잡지명	개벽 제13호
발행일	1921년 07월 01일
기사제목	孤帆兄에게, 懸賞文發表 小品文 等外 (To Brother Kop'o, Prize Essay Publication, Short Pieces, Etc.)
필자	浪葉
기사형태	문예기타 (Literary Miscellaneous)

To Brother Kop'o!!
						Nangyŏp
Brother Kop'o!! It has already been over a month since we shed sorrowful tears of parting at the cool and quiet station platform, amid the beloved whistle sounds of the beloved steam train, at the twilight hour in colorless Hanyang...
Alone in my quiet room, befriending only the candlelight, as I listlessly hold my pen, past events vaguely come to mind like a dream path. Brother, even now, I still dreamily recall that distant day with you by the dim Sŏnjuk Bridge, where the sorrowful sound of water winding through the moonlit willows evoked an elusive 『sentiment』 inspiration.

It was the dawn of May 7th when my small body stood alone and powerlessly on the deck of the Ilgimaru, my collar fluttering in the sea breeze, taking the first painful step away from my beloved homeland, where I had laughed, cried, worked, and rested for over ten long years, amidst the relentless sound of the motor and the chorus of the raging waves. The rose-like color, as if about to bloom, beautifully dyed the sky over Tongnae. Ah, as the panting sound of the motor grew louder, one, two, the lingering mist sadly obscured the view ahead, and the iridescent cloud-wreathed home mountains began to fade away like smoke without a trace—that heartbreaking moment!! Brother, I let a few irrepressible tears fly away on the blowing sea breeze. I sang a sad song, choked with emotion.

Mother, mother, my aged slave mother
The swallows of Kangnam return to their old nests
Dreaming butterflies are embraced within flowers
Ah, I, joyfully raised by your warm hand,
Leave your embrace full of all love with tears.
To live a life of wandering,
drifting under the cold moon of a foreign land!
Slave! Slave! Aged slave mother, it is you I mean.<19>
Your colorless face (面)
I gaze upon sorrowfully with tear-filled eyes!
The flame of passion and indignation burns my young heart.

Brother Kop'o!! The Ch'ukhumaru kindly delivered me to the Shanghai wharf in two and a half days, around 3 PM on the 11th of the same month.
Shanghai! Shanghai! My mind, weary from seasickness, unconsciously sought a different kind of stimulation.
Arriving at my destination, Suchou, at noon the next day, the spring breeze of Kangnam, carrying the fragrance of flowers and grass, seemed to welcome me. I sought out Hansan Temple on a donkey, and gazing far out at the boundless four directions, truly all sorts of feelings pounded in my small chest.

Ringing the ancient bell of the old temple a couple of times,
Where can one find the old poetic scene of 'Night Mooring by Maple Bridge'?

The sorrowful sound of a flute flies on the evening breeze,
In the twilight of a foreign land, the sky is even more desolate.

The dreary sound of oars echoes through Suchou city, submerged in the evening glow,
How colorlessly it made the traveler far from home feel.

Brother Kop'o!! It is now the evening sun of the 29th. Last night, the wind battered the candlelight, and sleepiness tempted me, so I could not finish writing. Today is Sunday, so after the worship service and finishing lunch, I returned to the dormitory, only to find the wind whistling through the second-floor room. Wanting to recover from fatigue, I climbed into bed, and a living picture, a scroll of the white and yellow sands of Hanyang! Sŏnggyŏng! Hwangju! etc., unfolded like a motion picture. Before I knew it, I had fallen asleep and woken up; the hour hand pointed past 5 o'clock, and a flute tune coming from the room across breaks the silence of the quiet room. Tomorrow morning, I plan to go to Shanghai, said to be a miniature of the world, to see the Olympic Games. What kind of impression will it give me? Brother, the day is very cloudy and gloomy, and outside the window, the wind ceaselessly flutters the tree branches. A butterfly spreads its wings and dances beautifully, while a purple swallow sings and follows behind it. Soon, they disappeared. From my line of sight...
Brother Kop'o!! The fate of that butterfly—what might have become of it!
Ah, this society! This world! It's all like that, isn't it? The great deceive the small, the strong exploit the weak. They put up signboards with beautiful words like Peace! Freedom!, but deep inside, the covetous eyes of wolves and foxes are full. Whether it's the big-nosed ones or the small-eared ones... Indeed, this world, this society, is layered with dark black clouds like that cloudy sky.<20>
Brother Kop'o!! A sad sentiment, difficult even to put into words, makes this hand holding the pen tremble. Just now, a small bird flies blackly away above that very cloudy sky.
Brother, like that bird, I intend to drift aimlessly to the ends of the world... Let's see how long this life of irrationality and immorality continues...
Brother Kop'o!! As lonely Nangyŏp, leaving this turbulent sea, I shall sail far, far away on that vast ocean, as far as strength allows, as will dictates, continuously hoisting that white sail over the endless sea, forward, forward, to find! To realize! a true life. Let us row powerfully! Until we find the Ideal Island...
Brother Kop'o!! The cool and quiet evening wind rustles my hair, and the peddler's bell sound forlornly bumps against the opposite wall. Following the flowing clouds, I silently sing the song, 『Though I wander through all pleasant places, there is no place like my own small, humble home』, and pouring a cup of tea, I endlessly reminisce about my homeland and home mountains.
(Evening of May 29, 1921, from your younger brother Nangyŏp in Suchou) <21>

**Summary**

This article is a letter written by "Nangyŏp" from Suchou, China, to his friend "Kop'o" in Korea in May 1921. Nangyŏp recounts his tearful departure from Korea, his journey via ship (Ilgimaru, Ch'ukhumaru) to Shanghai and then Suchou. He expresses profound feelings of homesickness, nostalgia for Korea (Hanyang, Sŏnjuk Bridge), and disillusionment with his new surroundings despite the beauty of places like Hansan Temple. He critiques the hypocrisy of the world ('the strong exploit the weak' under the guise of 'peace' and 'freedom') and expresses a desire to wander aimlessly, seeking a 'true life' or an 'Ideal Island'. For historians, this text offers a personal glimpse into the emotional turmoil of a Korean intellectual emigrating during the colonial period, reflecting sentiments of loss, displacement, nationalist yearning (referring to Korea as an 'aged slave mother'), and a critical perspective on global power dynamics likely influenced by imperialism. The mention of the 'Olympic Games' in Shanghai (likely referring to the Far Eastern Championship Games) also provides context for international events involving East Asia at the time.

**Named Entities**

孤帆	고범	Kop'o
눈독	눈독	Covetous glance, eyeing greedily
코큰 놈	코 큰 놈	Big-nosed guy (likely derogatory term for Westerners)
귀작은 놈	귀 작은 놈	Small-eared guy (meaning less clear, possibly another group)
曇天	담천	Cloudy sky
黯澹한	암담한	Gloomy, dark, somber
黑雲	흑운	Black clouds
싸혓습니다	쌓였습니다	Are piled up, have accumulated (older spelling)
슯흔	슬픈	Sad (older spelling)
感慨	감개	Deep emotion, strong feelings, sentiment
떨게 합니다	떨게 합니다	Makes (something) tremble
한울 우를	하늘 위를	Above the sky (older spelling)
方今	방금	Just now, a moment ago
깜아케도	까맣게도	Blackly, dimly (older spelling)
定處업시	정처 없이	Without a fixed place, aimlessly (older spelling)
끗으로	끝으로	To the end (older spelling)
흐르렴니다	흐르렵니다/흐르겠습니다	Intend to flow/wander (older volitional form)
不合理	불합리	Irrationality, absurdity
不道德	부도덕	Immorality
繼續하나	계속하나	Continues (form implying observation/question)
보게요	보겠소/봅시다	Let's see, I shall see (older volitional/hortative form)
외로운아	외로운 나	Lonely me (poetic/archaic form)
洶洶한	흉흉한	Turbulent, surging, rough
잇는대로	있는 대로	As one has, with all one's... (older spelling)
끗도 업는	끝도 없는	Endless (older spelling)
힌	흰	White (older spelling)
돗대	돛대	Mast
압흐로	앞으로	Forward (older spelling)
참삶	참삶	True life
어드려	얻으려	To obtain, to get (older volitional form)
실으려	실으려/이루려	To load; To realize, achieve (older volitional form)
힘잇게	힘있게	Powerfully, strongly (older spelling)
저어가서이다	저어갑시다	Let us row (older hortative/formal ending)
理想島	이상도	Ideal island, Utopia
머리털억을	머리털을	Hair (older spelling/form)
行商	행상	Peddler, traveling merchant
鐘소리	종소리	Bell sound
처량이도	처량하게도	Miserably, forlornly
마진편	맞은편	Opposite side (older spelling)
垣墻	원장	Wall, fence
부드침니다	부딪힙니다	Bumps against, collides with (older spelling/form)
娛樂한 곳	즐거운 곳/오락하는 곳	Pleasant place, place of amusement
내집밧기	내 집 밖에	Except my home, outside my home (older spelling)
업서라	없어라	There is none (older emphatic negative command/statement)
祖國故山	조국고산	Homeland and home mountains
끗업시	끝없이	Endlessly (older spelling)
追慕하나이다	추모하나이다	Reminisce, long for, cherish the memory of (older formal ending)
-e 

---------------------------


잡지명	개벽 제13호
발행일	1921년 07월 01일
기사제목	孤帆兄에게, 懸賞文發表 小品文 等外
필자	浪葉
기사형태	문예기타

孤帆兄에게, 懸賞文發表 小品文 等外
						浪葉
孤帆兄!! 빗갈업는 漢陽의 黃昏의 때, 愛煙한 그 汽笛소리로 그립은 벗님들과 凉寂한 驛頭에 애닯은 惜別에 눈물을 뿌린지가 이미 月餘로구려... .
寂寂한 房안에 홀로 초ㅅ불을 벗하여 맥업시 펜을 들고 잇는 나의 腦에는 지나간 옛일이 꿈길가티 니억니억 聯想되나이다. 兄아, 나는 只今도 오히려 그 달빗 새는 실버들 사이에서 애닯게 빗기는 물소리로 한끠 잡기 어려운 『셈딍』의 인스픠레슌을 자아내는 어슴푸레한 善竹橋 가에서 兄으로, 아득한 머-ㄴ날을 자미스럽게도 꿈꾸듯 하오이다.
작은 몸이 壹岐丸 甲板上에 홀로 힘업시 서서 海風에 옷깃을 날이며 無情한 모톨의 소리와 怒濤의 合奏로 10有餘年의 긴 사이를 웃고 울고 일고 눕던 戀戀한 故國을 떠나는 맘 압흔 첫거름을 내어 노키는 지난 5月 7日 東틀머리이엇습니다. 갓 피려는 듯한 薔薇빗은 東萊의 한울가를 곱게도 물들엇더이다. 아아, 모톨의 숨찬 소리가 하나, 둘, 度數를 더-할스록 悠悠한 雲霧는 애닯게도 압흘 가리워, 彩雲 서리운 故山은 烟氣인듯이 자취도 업시 차차 늘어지기를 비롯하는 애끈는 그-刹那!! 兄이어, 禁키 어려운 두어줄 눈물을, 들세는 海風에 날렷섯지요. 나는 구슯흔 노래를 목미게 불럿습니다.

엄마여, 엄마여, 老奴인 엄마여
江南의 제비는 옛집을 차저들고
꿈꾸는 나비는 꼿속에 품겻는데
아아, 따뜻한 너의 손에 즐겁게 길리운 나는
모든 사랑 가득한 너의 품을 눈물로 떠나도다.
異域의 찬 달알에 放浪한
漂流의 生涯를 지으려 함이여!
奴隷! 奴隷! 老奴인 엄마 너를 뜻함이로다.＜19＞
빗갈업는 너의 낫(面)을
저진 눈으로 애닯게 바라봄이어!
熱情과 憤慨의 불꼿이 어린 가슴을 태우도다.
孤帆兄!! 筑後丸이 2日 半만에 上海 埠頭에 고맙게도 실어다 주기는 同 11日 下午 3時頃이엇섯습니다.
上海! 上海! 배멀미에 疲勞한 나의 腦는 無意識하게, 別味의 刺戟을 바닷나이다.
翌日 正午에 目的地인 蘇州에 이르니, 꼿풀의 香氣를 품은 江南의 春風은 나를 맛는 듯하더이다, 一匹 나귀로 寒山寺를 차저들어 一望無際한 四面을 멀리 바라보니, 正히 모든 懷抱가 적은 가슴을 두드리더이다.
두어번 낡은 寺院의 古鐘을 울리미여,
楓橋夜泊의 옛詩景을 어느 곳에 차즐런가.

저녁 바람에 애닯은 笛聲이 나라옴이어,
異域의 黃昏에 한울은 더욱 호톳하여라.

暮霞에 잠긴 蘇城에 凄凉한 櫓聲이 빗김이어,
離鄕의 길손을 얼마나 빗갈업게 하엿나.
孤帆兄!! 只今은 29日 夕陽이외다. 昨夜, 바람은 초ㅅ불을 후리고, 睡魔는 나를 꼬혀 그만 쓰기를 다못햇습니다. 今日은 日曜日이라, 禮拜後 占心을 마치고 宿舍로 돌아오니 2層 宿室에는 바람소리가 휭할뿐이외다, 疲困함을 恢復코저 寢床에 오르니 漢陽! 松京! 黃州! 等의 白沙黃沙의 活畫 一幅이 活動寫眞가티 展開되더이다. 어느덧 一眠을 이루엇다 깨니 時針은 5時를 넘어 가르치고 건너房으로 넘어오는 한곡조 笛聲은 고요한 房안의 沈默을 깨치나이다. 明朝는 올림픽運動會 구경次로 世界 縮圖라는 上海를 가렴니다. 어떠한 것이 나에게 印像을 주려는지요? 兄이여 날은 몹시 흐려 으스름한데, 窓 밧게는 바람조차 나무가지가 부절업시 나비끼고 잇습니다. 한 마리 나비가 나래를 벌려 고히 춤을 추는데 紫色의 제비는 노래를 부르며 그 뒤를 딸옵니다. 이윽고 그들은 사라젓습니다. 나의 視線을 떠나... .
孤帆兄!! 그 나비의 運命-어찌나 되엇슬가요!
아아, 이 사회! 이 世界! 다-그 模樣이지요, 大者는 小者를, 强者는 弱子를 슬슬 속여먹지요. 그들은 平和! 自由! 그러한 美語로 看板을 부텻스나 그윽한 속에는 이리와 여호의 눈독이 가득찻습니다. 코큰 놈이나 귀작은 놈이나.... 果然 이 世界 이 社會엔 저 曇天가티 黯澹한 黑雲이 겹겹이 싸혓습니다.＜20＞
孤帆兄!! 무어라 말하기조차 어려운 슯흔 感慨는 나의 이 펜든 손을 떨게 합니다. 저-몹시 흐린 한울 우를 한 마리의 작은 새가 方今 깜아케도 떠서 갑니다.
兄이어, 나는 저-새처럼 定處업시 世界의 한 끗으로 흐르렴니다... .얼마나 不合理의 不道德의 삶을 繼續하나 보게요... .
孤帆兄아!! 외로운아 浪葉으로 저 洶洶한 바다 우를 떠나 멀리멀리 힘 잇는대로, 뜻 잇는대로, 자꾸자꾸 끗도 업는 저-바다 우를 그 힌 돗대를 날리며, 압흐로 압흐로, 참삶을 어드려! 실으려! 힘잇게 저어가서이다. 理想島를 어들 때까지... .
孤帆兄!! 凉寂한 黃昏의 바람은 나의 머리털억을 흔들고 行商의 鐘소리는 처량이도 마진편 垣墻에 부드침니다. 흘러가는 구름딸아 『娛樂한 곳 다-돌아도, 一間斗屋 내집밧기 업서라』의 노래를 소리업시 부르며, 차 한잔을 딸아 노코는 祖國故山을 끗업시 追募하나이다.
(1921年5月29日 黃昏, 蘇州잇는 浪葉弟) ＜21＞
＜19-21＞
