Magazine Title: 開闢 第66號
Publication Date: 1926년 02월 01일
Article Title: 社告 (Company Announcement)
Article Type: 사고·편집후기 (Announcements & Editorial Postscripts)

[Company] [Announcement]

For the necessary development of our General Branch Offices, we have recently established an outpost in Kyo■-dong, Mokp'o-bu, and will commence activities covering the four regions of Mokp'o, Muan, Chindo, Haenam, Tangjin (*Correction: the text says 長興, Changhŭng*), Changhŭng, and Yŏngam. The associated mobile reporters are as follows:
Chŏn T'o, Pak Tŏk-chin, Kim Chŏng-ae
Kaebyŏk Chŏnnam General Branch Office Director

P'yŏngyang Branch Office Change
Previously, the P'yŏngyang Branch Manager, Mr. Sunu Hyŏp, resigned according to his wishes. Now, under the management of Mr. Ko Yŏng-su, we have opened with a new structure as noted below and will further expand all affairs related to reader recruitment, article and advertisement handling■■; we ask all esteemed readers to please provide double the support as before.
Location: 127 Sinch'ang-dong, P'yŏngyang-bu
Tongyang Sŏgwan (East Light Bookstore)
Telephone: 1225
Postal Transfer: Kyŏngsŏng 11288
Region: P'yŏngyang-bu environs and its vicinity
Staff
Branch Manager: Ko Yŏng-su
Reporter: Chŏn Sang-do
Advisor: Chŏng Ki-su

Kyŏngsŏng Advertisement Correction
We apologize for and correct the misprints in the New Year greeting advertisements published in this magazine's New Year issue as follows:
Sinjongdang Postal Transfer Account Kyŏngsŏng 289 is changed to 11892, Chosŏn Photo Studio Telephone Kwanghwamun 542 is changed to 543, Kyŏngsŏng Paek Un-yŏng Sanghoe (Company) is changed to Paek Un-yŏng Sangjŏm (Store), Chongno 1-chōme Kim Yŏn-kwŏn Medical Clinic is changed to Kyŏngsŏng Chongno 3-chōme.

Kanggye Branch Office Change
Previously, the Kanggye Branch Manager, Mr. Chang Se-ho, resigned from this position due to circumstances. Now, under the management of Mr. Yi Ch'ang-hwa, we have opened with a new structure as noted below and will further expand all affairs concerning reader recruitment, article and advertisement handling; we ask all esteemed wise readers to please provide double the generous support.
Location: Ch'ŏndogyo Chongniwŏn within Kanggye-ŭp
Region: Kanggye-gun environs and its vicinity
Staff
Branch Manager: Yi Ch'ang-hwa
General Affairs: Kim Chŏng-nyŏl
Reporter: Han In-hyŏn
Advisor: Chang Se-ho
Advisor: Kim Sŏk-ryŏn
Advisor: Yi Pok-hyŏn
Advisor: Yu Ki-jŏng<68>

**Summary**

This article consists of four separate announcements from the magazine *Kaebyŏk*. The first announces the opening of a new outpost in Mokp'o to cover several districts in South Chŏlla Province, listing the assigned reporters. The second and fourth announce changes in leadership and staff at the P'yŏngyang and Kanggye branch offices, respectively, providing new contact information and asking readers for continued support. The third announcement corrects several errors (addresses, phone numbers, names) in advertisements published in the magazine's previous New Year issue. From a historical perspective, the article reveals the operational structure and geographical reach of a major Korean magazine during the colonial period, including its reliance on branch offices and specific personnel. The explicit mention of locations, names, and even business details like postal transfer accounts and corrections to advertisements for various businesses (pharmacy, photo studio, stores) provides a granular view of commercial and media activity in 1926 Korea. The association of the Kanggye branch with the local Ch'ŏndogyo office (天道敎宗理院) is also noteworthy.

**Named Entities**

木浦府	목포부	Mokp'o-bu
取扱	취급	Handling, dealing with
諸般事務	제반사무	Various affairs, all kinds of business
一層 擴張하다	일층 확장하다	To further expand
愛讀者	애독자	Esteemed reader(s) (lit. 'loving reader')
諸位	제위	You (plural, respectful), esteemed sirs/ladies
倍前厚援	배전후원	Double the previous support/generous backing (倍前 = double the previous, 厚援 = generous support)
位置	위치	Location
電話	전화	Telephone
振替	진체	Postal transfer (system)
地域	지역	Region, area
一圓	일원	The whole area of, environs
附近	부근	Vicinity, neighborhood
職員	직원	Staff, employee
顧問	고문	Advisor
訂正	정정	Correction
新年號	신년호	New Year issue
揭載되다	게재되다	To be published, carried (in a publication)
年賀廣告	연하광고	New Year greeting advertisement
誤植	오식	Misprint, typo
仰謝함니다	앙사합니다	To apologize respectfully (仰 = look up, implies respect; 謝 = apologize) (older form of 사과드립니다)
口座	구좌	Account (bank or postal)
商店	상점	Store, shop
事情	사정	Circumstances, situation
本職	본직	One's main post/position
辭退하다	사퇴하다	To resign, decline (a position)
下에셔	하에서	Under (older spelling variant of 하에서)
關한	관한	Concerning, regarding
諸賢	제현	Wise people, esteemed gentlemen (used respectfully towards readers)
倍舊厚援	배구후원	Double the old/previous generous support (倍舊 = double the old, 厚援 = generous support)
-e 

---------------------------


잡지명	개벽 제66호
발행일	1926년 02월 01일
기사제목	社告
기사형태	사고·편집후기

[社][告]
今般 總支社의 發展 上 必要에 依하야 木浦府 橋■洞에 出張所를 設置하고 木浦, 務安, 珍島, 海南, 唐津, 長興, 靈岩 等 四 地方을 通하야 活動를 開始케하오며 此에 當貴한 流動記者는 左와 如함니다
全濤·朴德珍·金貞愛
開闢 全南總支社 白
平壤支社 異動
過般 平壤支社長 淳淳協氏는 願에 依하야 辭免되고 다시 高永洙氏의 經營 下에서 左記와 如히 新陣容을 開張하고 讀者募集과 記事 及 廣告取扱에■■ 諸般事務를 一層 擴張하오니 愛讀者 諸位는 倍前厚援하시어 주십시요
位置 平壤府 新倉洞 一二七番地
東明書館
電話 一二二五番
振替 京城 一一二八八番
地域 平壤府 一圓 及 其 附近
職員
支社長 高永洙
記者 全尙道
顧問 鄭基琇
京城廣告訂正
本誌 新年號에 揭載된 年賀廣告 中 誤植된 것을 左와 如히 訂正 仰謝함니다
信鍾堂 振替口座 京城 二八九 番은 一壹八九二番으로, 朝鮮寫眞館 電話 光化門 五四二番은 五四三으로, 京城 白運永商會는 白運永商店으로, 鍾路 一丁目 金然權醫科醫院은 京城 鍾路 三丁目으로 함
江界支社 異動
過般 江界支社長 張世皓氏는 事情에 依하야 本職을 辭退하고 다시 李昌化氏의 經營 下에셔 左記와 如히 新陣容을 開張하고 讀者의 募集과 記事 及 廣告取扱에 關한 諸般事務를 一層 擴張하오니 愛讀者 諸賢은 倍舊厚援하시어 주십시오
位置 江界邑內 天道敎宗理院
地域 江界郡 一圓 及 其 附近
職員
支社長 李昌化
總務 金淨烈
記者 韓仁現
顧問 張世皓
同 金錫璉
同 李福鉉
同 劉基貞＜68＞
