잡지명	삼천리 제7권 제2호
발행일	1935년 02월 01일
기사제목	亞細亞의 風雲 (Winds of Change in Asia)
필자	米國軍事評論家 스티-일 (American Military Commentator Steele)
기사형태	논설 (Editorial/Op-Ed)

Winds of Change in Asia
						By American Military Commentator Steele
This text has caused quite a sensation, being translated into American, British, German, Japanese, and Chinese languages and widely read; it is essential reading and fine writing.

Britain's Goodwill Towards Japan

Japan has become an adult. Japan, which Western nations had hitherto thought of as a child not yet grown, has suddenly become a great adult. And thus, Japan has leaped to adulthood and is behaving steadfastly like an adult.
Now is the era of Japan's economic empire. The definite area called the so-called "sphere of influence" regarding China,<92> the acquisition of that vast Chinese market, or perhaps... the struggle for supremacy among the three great powers on the Pacific – Britain, Japan, and America – will break out from the spring of 1935.
Within China's territory, Japan's so-called *purisi·obu·inbiria* (probably 'presence or influence'?) ... that, in reality, certainly received Britain's support in practice. This Japanese policy was made crystal clear by the statement released by Japan's Ministry of Foreign Affairs in April 1934. That statement... generally... hints at things.
Asia... regarding... the fierce offensive has inevitably raised an issue on the Pacific Ocean. Moreover, the resolution of this problem is not simple. It is unlikely to be easily decided through diplomatic phrases or negotiations. Sooner or later, at some point... it is destined to be resolved. China... entrusting... needless to say, means the exclusion of American goods. At the same time, it also becomes a threat to America's territories in the Far East. Especially concerning Japan, it is utterly hopeless to expect America and Britain to keep pace together, and as far as the Far East issue is concerned, Britain's policy is pro-Japanese, so it will not be easy to halt Japan's advance.
Due to the advance of Japanese goods into American territories, military pressure will also not be insignificant. Over the past three years, Japan's export trade has shown remarkable progress in America, Panama, and the Canal Zone.
Thus, Japan is gradually advancing, but Britain has absolutely no inclination to obstruct Japan's development. Japan's development in the North primarily conflicts with American interests. For Britain, however, there is no such pain.
Essentially, Britain does not think that the advance of Japanese goods into India poses the kind of harm to British trade that the general public thinks it does. The advance of Japanese goods into India has been exaggeratedly publicized. Not only that, but one must not forget that over the past 25 years, Japan has purchased over 3 billion yen more from India than the value of goods sold to India. Thus, during the same period, Britain has sold over 2 billion yen more British goods to India than the amount imported from India. In other words, Japan, over the past 25 years, has sent an average annual amount of 125 million yen to India, while Britain, conversely, receives 100 million yen from India each year. Ultimately, India is paying for the goods purchased from Britain with the money earned from sales to Japan. Therefore, Britain leans towards Japan, if anything. It is just like the British Conservative Party seeing Germany as the only effective bulwark against the spread of Russian Communism. Moreover, considering the current situation where that Communism, based in China, is gradually moving south and encroaching upon Britain's "sphere of influence" in the Far East, it is natural for Britain to hold goodwill towards Japan.

Naval Budgets of the Three Great Powers

So, does Britain hold goodwill towards Japan<93> through and through? Not at all. While Britain holds goodwill towards Japan as an effective bulwark against Communism in the Far East on the one hand, on the other hand, it fears Japan's advancing power in the Pacific coming into contact with Britain's colonies in the South Pacific and is devising countermeasures.
Regarding Japan's development, Britain has been establishing strong naval bases on the Pacific, and in 1935, it is completing the naval fortress at Singapore. This naval base at Singapore will allow Britain's main fleet in the Mediterranean to be moved directly to the Far East.
Singapore has the world's largest dock (돗구) capable of accommodating ships of 50,000 tons without issue, plus five double docks (따부루돗구) for cruisers and one dry dock (도라이 돗구), as well as complete facilities for repairing powerful warships. Also, large-scale oil storage facilities for ship fuel are currently under construction. And the coastal batteries defending the entrance to Singapore harbor have been considerably strengthened compared to before, equipped with numerous large-caliber, long-range guns. Thus, Singapore not only seals the passage from the Pacific to the Indian Ocean but also holds full strategic value as a base for the defense of Ceylon Island and India. Why, then, did Britain have to build such a powerful naval base in Singapore? Needless to say, Britain has been steadily preparing for various events that might arise in the Pacific, intending to step in and play an important role, just like Britain's traditional role in intervening in European international issues, should a crisis occur. In other words, it is Britain's traditional policy of intervening in the struggle between two great powers to gain the fisherman's profit, which it intends to implement in the Pacific. Ultimately, the calculation is to incite Japan and America to fight, while Britain itself calmly stays aloof, watching the US-Japan war from a high seat.
And so, for Britain to attain such a position to gain the fisherman's profit, it must first and foremost bolster its own military preparedness. Especially, strengthening Britain's Pacific bases is the priority issue. For that reason, Britain is now steadily advancing towards that policy.
Now, to understand the tense situation regarding the Pacific, the quickest way is to first examine the figures of the naval budgets of the three great powers: Japan, Britain, and America. Looking at the naval budgets of the three powers for the last five years, they are as follows:
Japan (Yen)     UK (Pound)    US (Dollar)
1931-32  227,128,000  50,015,000  357,821,000
1932-33  306,766,000  50,164,000  349,562,000
1933-34  403,771,000  53,570,000  332,000,000
1934-35  487,871,000  56,650,000  457,000,000<94>
As can be seen from this table, the naval budgets of the three great powers are increasing year by year, and considering the current global situation, it is unimaginable that these figures will decrease. Especially as the tense situation in the Pacific gradually sharpens, it is as clear as day that naval budgets will increase even more.
Now, the navies of the three great powers as of December 31, 1933, are shown in the following table:

Japan              Britain               USA
Ships     Tonnage      Ships     Tonnage      Ships     Tonnage
Aircraft Carriers     4      68,370       6     115,350      3       77,500
(1 ,      11,500)
Type A Cruisers  14     123,520      19     183,686      2        10,000
(2       15,720)                       (1          7,350)
Type B Cruisers  20       93,375     35     165,045      10        70,500
(3,       21,920)   (15,      62,265)
Torpedo Boats [Destroyers]     104      128,802    160     181,864      251       267,470
(42       39,821)   (26     123,490)     (248      263,900)
Submarines      70        77,125    58       54,744       82       67,790
(7          5,344)   (25,     13,855)      (37       12,260)
Note - (Figures in parentheses indicate the number and tonnage of ships exceeding their age limit and due for replacement construction.)

The Colossus of the Pacific

On February 13, 1934, Japan approved an enormous military budget. The budget for the fiscal year starting April 1, 1934, includes a total of 100,000 [unit missing, likely billion yen? - the preceding budget tables suggest hundreds of millions, so this figure seems disproportionately large or mistyped/misprinted, likely meant 1 billion or similar total military budget] military spending, a figure reaching 45[%] of the Japanese government's total budget.
And so, Japan, at the 1935 Naval Conference, will cast aside all pretenses and resolutely withdraw from the conference. As a result, a naval shipbuilding competition unparalleled in history will break out. This is truly the "Colossus of the Pacific..." upon which the world's attention and interest will converge. However, before this "Colossus of the Pacific" is resolved, the answer to the question, that is, "Will there be a ... battle?" will be given to the world. ... considering the possibility of conflict with ... is a fundamental fact we must bear in mind. It is a fact acknowledged not only by military personnel of various countries worldwide but also by military researchers, especially ... that Japan's military strength and strategic position will be decidedly advantageous by the end of 1935. Therefore, the breakdown between the two countries naturally occurs in the spring of 1935. Militarily speaking, Japan is effectively in the same position as France. ... To gamble on victory, war must be instigated now. Time is working against her. Each moment delayed makes victory that much farther (harder). Why? Because ... day by day not only develops the efficiency of its military force<95> but also bolsters the capacity of the industries supporting it. Regarding its *** ***, the strategically **** *** ** is * France regarding * Europe *. However, considered economically, ... it is quite on the same track. Japan's industrial capacity, like Germany's industry centered on the Ruhr (루-루-), is concentrated in Tokyo-Yokohama and Osaka, and to survive, it must expand overseas. Moreover, it now faces the urgent need for that expansion. Just as Thyssen's and Schacht's Germany, situated in the middle of Europe, dreams of imagining an economically self-sufficient unit, Japan dreams of creating a great self-sufficient Asian economic unit governed from Tokyo. And thus, Japan, at the same time, is set to accommodate its surplus population, increasing at a rate of 1 million people annually, towards this thus created Asian economic unit.
Japan already... stands. ... what it will gladly defend, and will defend, ... stands. Britain is already ... waving its hand to Japan. On May 18, 1934, the British Foreign Secretary declared, "Britain does not swear to maintain the integrity of China. And Britain will not participate in direct sanctions against Japan or any other country."
This statement essentially represents the consensus of British industry and financial circles, always coordinating with Japan, despite the tendency of other dominions, excluding Canada, to sympathize with Russia. And judging by the tone of conservative newspapers like the Morning Post, Daily Telegraph, and the semi-official paper of the British Foreign Office, the London Times, over the past 12 months, it is crystal clear that Britain's foreign policy has a very pro-Japanese color.
Thus, the fact that the Federation of British Industries (英吉利 産業聯盟), with government approval, dispatched a delegation to Manchukuo in September 1934 signifies semi-official recognition of Manchukuo by the British government. In summary, the opinion within the British Conservative Party is that the Anglo-Japanese Alliance is necessary to supplement Britain's pro-German foreign policy, which is required to avoid future troubles for Britain's colonial policy. This gives considerable strength to Japan. As a result, relying on Britain's tacit support for Japan, the Japanese government gained the courage to ignore the sensitive memorandum from US Secretary of State Hull (하루) on April 30, 1934, which clarified the principle against unilateral actions by one country in the Far East.<96>

**Summary**

This 1935 article by an American military commentator analyzes the shifting power dynamics in Asia, focusing on Japan's rise as a major power challenging the West. It highlights Britain's ambivalent stance: supporting Japan as a bulwark against Communism spreading from China while simultaneously fearing Japanese expansion towards its own South Pacific colonies and strengthening its Singapore base. The author predicts an inevitable naval arms race involving Japan, Britain, and the US, fueled by Japan's economic and demographic pressures for expansion and Britain's strategy to profit from a potential US-Japan conflict. The piece details growing naval budgets and fleet strengths, concluding that Japan feels militarily advantageous in the short term (1935) and is emboldened by perceived British tacit support, evidenced by Britain downplaying Japanese actions in China and recognizing Manchukuo.

From the perspective of Korean colonial history, this article is revealing because it reflects the international geopolitical context in which Japan's colonization of Korea and expansion into Manchuria were taking place. It shows how major Western powers like Britain viewed Japan's actions through the lens of their own strategic interests (countering communism, maintaining colonial power, economic competition), sometimes offering tacit support or choosing non-intervention, which ultimately allowed Japanese imperialism to proceed with less resistance. Historians might find the explicit mention of Britain's calculation to let the US and Japan fight, Britain's nuanced view of Japanese trade not being overly detrimental, and the direct reference to British semi-official recognition of Manchukuo particularly interesting as contemporary foreign analysis of the situation enabling Japan's expansion.

**Named Entities**

亞細亞	아세아	Asia
신가볼-에는 五萬噸의 艦船이 故障업시 入渠할 수 잇는 世界最大의 돗구 外에 巡洋艦用의 따부루돗구 5個及 1個의 도라이 돗구 뿐 아니라 强力의 軍艦修理의 設備가 完全하여 잇다. 또한 艦船의 燃料로서 쓰는 大規模의 石油貯藏所가 目下 着着 工事중이다. 그리고 신가볼-港의 入口를 防禦하는 沿岸砲臺은 以前에 比하야 만히 充實强化되엿고 大口經의 長距離砲가 多數 說備되엿다. 이와 갓치 신가뽈-는 太平洋으로부터 印度洋의 通路을 封鎖할 뿐 아니라 세이론島와 印度의 防禦때문에 戰略的 根據地로서의 充令한 價値가 잇는 所以이다. 그러면 英吉利는 何故로 如此히 신가볼-에 强力한 海軍根據를 築城하지 안으면 안되게 되엿는가. 再言할 것도 업시 英吉利는 太平洋에 잇서서 惹起될 여러 事件에 대하야 着着 用意하얏다가 一且緩急이 잇스면 나아가 英吉利의 傳統的 役割 즉 從來 요-롯바의 國際問題에 買出된 거와 갓흔 重要한 役割을 演出하려는 혼膽이다. 此를 換言하면 2大國의 鬪爭 사이에 介在하야 漁夫의 利를 取得하려는 英吉利의 傳統的 政策을 太平洋上에 잇서서 實行하려는 까닭이다. 結局 日本과 아메리가를 싸움붓치고 自體는 平然히 隱居하야 日米戰을 놉히 안저서 求景하려는 心算이다.
그리하야 英吉利는 그처럼 漁夫의 利를 取得할 만한 地位를 가지려면 우선 무엇보담도 自國의 軍備를 充實히 하지 안으면 안된다. 殊히 太平洋의 英吉利 根據地 强化를 圖할 것이 先決問題이다. 그런 까닭에 英吉利는 지금 着着 그 方針에 향하야 邁進하고 잇다.
그런대 太平洋에 대한 緊迫한 狀態를 알려고 하면 몬저 日本, 英吉利, 아메리가의 3大國 海軍豫算의 數字를 檢計하는 것이 가장 捷路다. 최근 5個年의 3大國의 海軍豫算을 보면 다음과 갓다.
日本(圓)     英國(磅)    米國(弗)
1931-32  227,128,000  50,015,000  357,821,000
1932-33  306,766,000  50,164,000  349,562,000
1933-34  403,771,000  53,570,000  332,000,000
1934-35  487,871,000  56,650,000  457,000,000<94>
此表에 의하야 보더라도 3大國의 海軍豫算은 逐年 增大하고 잇스나 現下의 世界的 情勢를 考察하면 그 數字가 減少한다고는 想像되지 안는다. 殊히 太平洋의 緊迫狀態가 次第로 尖銳化하면 尖銳化할수록 海軍豫算이 益益增大할 것은 明若觀火이다.
이제 1933년 12월 31일 現在의 3大國의 海軍을 示하면 次表와 如하다.

日本              英國               米國
隻     トソ數      隻     トソ數      隻     トソ數
航空母艦     4      68,370       6     115,350      3       77,500
(1 ,      11,500)
甲式巡洋艦  14     123,520      19     183,686      2        10,000
(2       15,720)                       (1          7,350)
乙式巡洋艦  20       93,375     35     165,045      10        70,500
(3,       21,920)   (15,      62,265)
水雷艇     104      128,802    160     181,864      251       267,470
(42       39,821)   (26     123,490)     (248      263,900)
潛水艦      70        77,125    58       54,744       82       67,790
(7          5,344)   (25,     13,855)      (37       12,260)
註 - (括弧 內의 數字은 모다 艦齡을 초과하야 代艦建造할 隻數及噸數를 示한 것.)

太平洋의 巨物

1934년 2월 13일 日本은 尨大한 軍事豫算을 可決하엿다. 1934년 4월 1일부터 시작하는 會計年度의 豫算에는 凡 10만원의 軍事豫算이 합하여 잇스나 이 數字는 日本政府의 豫算總額의 45에 達한다.
그리하야 日本은 1935년의 海軍會議에 잇서서 모든 虛託을 버리고 決然 會議에서 脫會할 것이다. 그 結果 有史以來 그 比率할 데 업는 海軍 建艦競爭이 勃發할 것이다. 이야 말로 참으로「太平洋의...」로서 世界의 注意왓 興味 거긔 集中할 것이다. 그런데 이「太平洋의 巨物」가 解決되기 以前에 그 問題의 答案, 즉「...戰鬪가 잇게느냐?」라는 答案이 世界에 寄與되는 것이다. ...와의 곤후리구도의 可能性을 考察함에 잇서서 우리들의 銘記하지 안으면 안되는 根本的 事實이다. 그것은 世界 各國의 軍人 뿐 안이라 軍事硏究家 殊히 ...軍人이라고 認定될 만큼 ...兵力과 戰略的 位置는 1935년 末까지 斷然 ...有利하다고 하는 事實이다. 故로 兩國의 決裂은 1935년 春에 斯然 ...한다. 軍事的으로 말하면 日本은 佛蘭西와 事實上 同樣의 立場이다. ...勝利像博하라면 현재 戰爭을 惹起치 안으면 안된다. 때는 彼女의게 대하야 背反하고 잇다. 一刻이 느즈면 그만콤 勝利는 멀게(어럽게) 되는 것이다. 웨그러냐 하면 ...每日每日 그 兵力의 能率을 發*<95>할 뿐 안이라 그 *를 支持하는 産業**의 能力을 充實히 하는 까닭이다. 그 *** ***으로 말하면 戰略的으로 ****한 *** **는 * 요-롯바에 *한 佛蘭西* **이다. 그러나 經濟的으로 考察하면 ...자못 軌道를 갓치하고 잇다. 日本의 産業的 能力은 루-루-를 中心한 獨逸의 産業과 갓치 東京橫濱, 大阪에 集中되여서 存續되려면 外地에 發展하지 안으면 안된다. 况 지금은 切實히 그 發展의 必要에 當面하고 잇다. 다이센과 싸하도의 獨逸이 요-롯바의 眞中에 잇서서 經濟的으로 自給自足의 單位의 想像을 夢想하고 잇는 거와 갓치 日本은 東京에서 支配되는 一大 自給自足에 亞細亞 經濟單位의 創造를 夢想하고 잇다. 그리하야 日本은 그와 同時에 如斯히 創造한 亞細亞 經濟單位에 향하야 每年 100萬人割로서 增加하는 過剩人口를 단보할 것으로 되엿다.
日本은 이미...서 잇다. ...防得할 것 또 欣然히 防得할 것은 ...서 잇다. 英吉利는 이미 ...을 日本에 手波하고 잇다. 1934년 5월 18일 英吉利 外務大臣은「英吉利는 支那의 保全을 維持하겟다고 宣誓치 안는다. 그리하야 英吉利는 日本 혹은 어느 나라에 대한 直接的 制裁에도 參加할 것이 아니라」고 聲明하엿다.
이 聲明은 要컨댄 가나다를 除한 다른 自領이 露西亞에 대하야 同情할 傾向이 잇슴에도 不拘하고 恒常 日本과 協調하고 英吉利 産業及 財界의 總意를 代表하고 잇다. 그리하야 과거 12개월간에 亘하야 모-닌구, 뽀-스도, 데-리데리구리후며, 英吉利 外務省의 半官紙 론돈타임쓰와 갓흔 保守派의 新聞紙의 論調에 徵하여도 英吉利의 對外政策이 非常히 親日主義的 色彩가 잇는 것은 一目瞭然한 것이다.
이리하야 1934년 9월, 英吉利 産業聯盟이 政府의 承認下에 視察團을 滿洲에 特派한 事實을 말하면 英吉利政府의 滿洲國 半公式 承認이다. 대체 英吉利 保守派內의 意見을 綜合하면 日英同盟은 英吉利의 對植民地政策에 後患이 업게 하기 위하야 必要한 英吉利의 親獨的 外交政策을 補足할 것이라고 하고잇다. 이것은 日本에 잇서서 相當히 强味가 잇다. 이리하야 日本에 대한 英吉利의 暗暗裡의 支持에 依賴하고 잇는 結果, 日本政府는 1934년 4월 30일 極東에 대한 一國의 獨斷的 行爲의 主旨를 明確하게 한 아메리가 國務卿 하루의 썬써-손한 覺書를 黙殺할 勇氣를 어덧든 것이다.<96>
<92-96>
