**Header Section:**
Magazine Title: 개벽
Publication Date: 1920년 06월 25일
Article Title: 近代 勞働問題의 眞義 (The True Meaning of the Modern Labor Problem)
Author: 又影生
Article Type: 논설 (Editorial/Argumentative Essay)

**Body Text Translation:**
The True Meaning of the Modern Labor Problem
						U Yŏngsaeng

Regarding the labor problem, it seems that people's arguments and interpretations are not uniform. However, while they may show differences between broad and narrow senses, there is undeniably a common feeling about its fundamental meaning. Under the constraints of the specified topic and time, I wish to briefly discuss my incomplete views on this problem from a broad perspective, and at the same time, argue that the true, far-reaching, and vital meaning of this problem rather lies latently in this broader aspect.

The labor problem is a global issue and a human objective that holds special significance, having a pivotal relationship to the complex various problems in present-day society. It goes without saying that the self-awareness and efforts of the modern masses seeking to solve this problem are a natural consequence produced from the unreasonable social organization and living conditions of today; moreover, it is not a problem accidentally discovered from the brilliant minds of advanced scholars, but a natural result arising from the historical fact of class struggle.<67>

Examine the history of all humankind. Though complex, it is simple: the fact of conquering acts of struggle cannot be denied as the chaotic mainstream that runs through our history. The conquering acts of struggle among fellow humans resulted in the creation of classes and discrimination among them. This is the force of nature. Throughout all ages, regardless of era or society, although there have been various distinctions in form and name, the two poles of the so-called conqueror class (the victors) and the conquered class (the losers) have historically persisted in our society with hereditary characteristics. Are not the freemen and slaves of Greece, the patricians and plebeians of Rome, the feudal lords and serfs of the Middle Ages, and in the modern era, the capitalists and laborers, examples of this?

Looking back at our process, there was the ideological revolution called the Renaissance, the human rights revolution called the French Revolution, and the revolution for racial equality called the American Civil War. These are great achievements worthy of special note in our history. We cannot but express great respect for them. However, if we were to pass strict judgment on these from the perspective of our thoughts and feelings today, they amount to nothing more than narrow-mindedness, formalism, superficiality, lukewarmness, and temporizing measures. What freedom was there? What equality was there? Even the words justice and human rights were ambiguous. They failed to elucidate the fundamental meaning concerning the actual problems of our lives. They failed to obtain an accurate solution.

Under the feudal system of medieval Europe, a class engaged in commerce and industry arose. Revolutions like those in Germany<68> or England were particularly resistance movements of this newly rising class engaged in commerce and industry against the feudal aristocracy. They presented the moral facade of representing the entire pitiful populace suffering in agony, resisting and punishing the tyrannical and unjust aristocratic class that brazenly committed oppression and plunder without hesitation. However, this newly rising class of merchants and industrialists gradually accumulated economic power along with the development of commerce and industry, eventually forming the so-called capitalist class of today. This is the direct origin of today's social economic organization and the direct provenance of the emergence of the capitalist class. And is it not the social reality today that the capitalist class, like the tyrannical and unjust aristocrats of yesteryear, brazenly commits oppression and plunder against the laborer class without hesitation? The resistance against this is precisely the self-aware movement fermenting among laborers today.

Contemplating this, humankind shares the same ancestry, and human life has a single origin. Peace is our ultimate goal, and love is our highest emotion, yet we still draw lines of racial discrimination and establish classes in life as before, antagonizing and conflicting with each other. The winds of struggle blow strong, and the acts of conquest are fierce, such that violence has become moralized and the law of the jungle is regarded as sacred. Thus, the two poles of life based on class division and discriminatory treatment stubbornly reside together under the same sky, on the same earth, among the same humans. Consequently, one aspect of life flows into indulgence, tyranny, luxury, arrogance, idleness, and debauchery under freedom, while the other aspect of life falls into oppression, paralysis, ignorance, blindness, and misery under bondage. Thus, one aspect of life actively destroyed itself, and the other aspect of life passively damaged itself.<69> Not only that, but the lives of the majority are presented in the strange state of being sacrificed for the lives of the minority. Under such organization and conditions, how can one attempt the development of sound living or expect the display of the highest culture?

As stated above, with the persistence of the two opposing classes regarding our lives, struggle has expanded and bloodshed has become commonplace. The rise and fall of status and the switching of classes have been repeated. Yesterday's victor is today's loser. Today's victor is yesterday's loser. Safety and joy in life have not been attained. The conqueror class harbors fear and anxiety about the rebellion of the conquered class. The conquered class harbors fear and anxiety about the oppression of the conqueror class. Truly, our society, for millennia since the dawn of history, has merely sunk, wandered, and been besieged amidst fear, anxiety, pain, and trembling.

The recent Great War in Europe truly served as a catalyst providing intense stimulus and reflection on the various problems of our past lives. I interpret this as the labor problem. Not only I, but no one can deny this.

Therefore, the labor problem, standing upon the unstable social conditions of the present, is a great common human issue that critically evaluates and argues against the old civilization of humanity's past, thereby suggesting and seeking to establish the new civilization of the future.<70> I regard it as a problem signifying the self-aware movement of the modern masses desiring liberation from the past and construction for the future. Merely observing this problem as the laborers alleviating their economic suffering, or as a simple resistance and revenge of the laborer class against the capitalist class, is nothing more than a biased argument that fails to understand the true intention of the labor problem. It is a labor problem striving to create a new social organization that expresses faith and ideals regarding the ultimate value of our happiness by reforming the existing social organization which is the source of material and spiritual suffering. It is a labor problem seeking to release humanity from millennia of historical human suffering. It is about realizing the passionate yearning for spiritual freedom and the solid desire for material freedom, based on the will of the masses and the welfare of all humanity, upon the ruins of the old civilization.

In essence, the true meaning of the labor problem lies in its permanent significance: for all of humanity to become aware of the errors of a conquering human lifestyle, to reform the current unreasonable economic and social organization with the passion of mutual human love, and also to liberate the inherent, traditional spirit of humanity from the various darknesses and vices engendered under this organization. It is a problem of reforming the entire life of humanity, seeking to escape from an unreasonable life of suffering, intending to build our lives with the spirit and ethics of social mutual aid.

Thus, the labor problem is decidedly not just a problem for the laborers themselves. It is a problem signifying humanity's own good against evil. The essential meaning of human life is creation. It is production. It is invention. Bundling these together, we call it labor. Then, the true nature of humanity must affirm labor. Ah! Let us liberate our humanity from the crude systems of the present. Let us establish the right path of life. And thereby, praise the greatness of labor! Sing praises of the sacredness of labor!

June 11th, 9 AM - 10 AM (Author's postscript: Having written this, it seems too vast and vague. I take responsibility for providing a concrete discussion of this problem at a later date.)<71>

**Summary**

The author, U Yŏngsaeng, argues that the "labor problem" transcends simple economic disputes between capitalists and workers. It represents a fundamental, historical issue rooted in millennia of class struggle between conquerors and the conquered (citing examples from Greece, Rome, the Middle Ages, and modern capitalism). He critiques past revolutions (Renaissance, French, US Civil War) as insufficient for achieving true freedom and equality. The author views the modern labor movement as a necessary, self-aware reaction against capitalist exploitation, akin to past struggles against oppression, and ultimately as a movement for the total reformation of society based on mutual aid, love, and the inherent value of labor itself, aiming to build a new civilization free from the historical cycle of fear, conflict, and suffering, spurred by reflections following WWI.

From a historian's perspective, this 1920 article from *Gaebyeok* is significant. It reflects early Korean intellectual engagement with global socialist and anarchist ideas about class struggle and social revolution, framing them within a grand historical narrative. Its broad, philosophical, and somewhat idealistic approach to the "labor problem" — emphasizing universal human liberation, mutual aid, and the inherent dignity of labor rather than just wages or working conditions — is characteristic of early leftist or nationalist thought in colonial Korea, seeking fundamental societal transformation beyond mere economic adjustments, possibly resonating with the desire for national liberation from colonial oppression as well.

**Named Entities**

希臘	희랍	Hŭirap (Greece)
勞働問題는 現今 社會에 複雜한 諸問題에 對하야 中軸的 關係를 有한 特殊한 意義를 가진 世界的 問題이며 人類的 標目이다. 이 問題를 解決코자 하는 近代 民衆의 自覺과 努力은 不合理한 現今의 社會組織과 生活狀態로부터 産出되는 自然의 道理임을 勿論이어니와 또한 先進 學者들의 聰明秀逸한 頭腦로부터 偶然히 發見된 問題가 안이라 階級鬪爭의 歷史的 事實로부터 發生되는 自然의 結果이다.＜67＞
凡 吾 人類의 歷史를 展讀하라. 複雜하나 單純하니 卽 征服的 鬪爭行爲의 事實이 吾人의 歷史를 一貫한 亂脉的 主流됨을 拒否치 못할 것이다. 人類 同士 間의 征服的 鬪爭行爲는 그 結果 人類 同士의 間에 階級과 差別을 生하얏다. 自然의 勢이다. 古今을 通하야 何 時代 何 社會를 勿論하고 形式과 名稱으로는 種種의 別이 有하나 그러나 所謂 征服者 되는 勝者의 階級과 被征服者 되는 敗者의 階級과의 兩極은 遺傳性을 가지고 吾人의 社會에 歷史的으로 存續하얏다. 希臘의 自由民과 奴隷, 羅馬의 貴族과 平民, 中世의 領主와 農奴, 近代에 至하야는 資本家와 勞働者 等이 이것이 안인가.
吾人의 過程을 一瞥할진대 文藝復興이란 思想的 革命이 有하얏고 佛蘭西 革命이란 人權的 革命이 有하얏고 南北戰爭이란 人種平等의 革命이 有하얏다. 이것은 吾人 歷史上 特筆大書할 偉業이다. 此에 對한 吾人은 多大한 敬意를 表치 안이치 못할 것이다. 그러하나 若 此를 今日 吾人의 思想과 感情으로 嚴格한 批判을 下할진대, 陜量, 形式, 外塗, 微溫, 姑息에 不過하다. 무삼 自由가 잇섯스며 무삼 平等이 잇섯는가. 正義와 人權이란 말도 曖昧하얏다. 吾人 實際 生活問題에 對하야는 根本的 意義를 闡치 못하얏다. 正確한 解決을 得치 못하얏다.
歐洲 中世의 封建制度下에 當時 商工業에 從事하는 一階級이 發生하얏나니 獨逸의＜68＞ 革命이라던지 英國의 革命가튼 것은 더욱히 此 商工業에 從事하는 新興階級의 封建貴族에 對한 反抗運動이다. 苦痛에 煩惱하는 可憐한 人民全體를 代表하야 壓制 掠奪을 忌憚업시 敢行하는 暴逆無道한 貴族階級을 反抗討罪한다는 道德的 外觀을 呈하얏셧다. 그러하나 此 商工業者의 新興階級은 漸次로 商工業에 發達을 隨하야 經濟的 實力을 蓄養하야 遂히 今日의 所謂 資本家 階級을 形成하얏다. 今日 社會의 經濟組織의 直接 淵源과 資本家 階級의 發生의 直接 由來는 이러하다. 그리하야 資本家 階級은 昔日의 暴逆無道한 貴族과 가티 勞働者 階級에 對하야 壓制 掠奪을 忌憚 업시 敢行하는 今日의 社會的 現狀이 안인가. 此에 對한 反抗이 卽 今日 勞働者間에 醱酵하는 自覺的 運動이다.
惟思컨대 人類는 同宗이며 人生은 一源이라. 平和는 吾人 究極의 目的이며 愛는 吾人 最高의 感情이어늘 吾人은 依然히 種의 差別을 線하며 如一히 生의 階級을 立하야 相反目하고 相軋礫한다. 鬪爭의 風이 盛하고 征服의 行이 熾하야 暴力이 道德化하고 强食이 神聖視하게 되엇다. 그리하야 階級別과 差別待의 生의 兩極이 無理하게 同天下 同地上 同人間의 間에 頑居하매 一面의 生活은 放縱下에 橫暴, 奢侈, 傲慢, 無爲 逸滛에 流하고 一面의 生活은 束縛下에 抑塞, 痲痺, 無智, 盲目, 悲慘에 陷하얏다. 그리하야 一面의 生活은 積極的으로 自己를 破하얏고 一面의 生活은 消極的으로 自己를 損하얏다.＜69＞ 그뿐안이라 多數의 生活은 少數의 生活을 爲하야 犧牲이 되는 奇狀을 呈示한다. 이와 가튼 組織과 狀態 아래에 엇지 健全한 生活의 發展을 圖하며 最高한 文化의 發揮함을 期하랴는가.
上言함과 如히 吾人의 生活에 對한 兩極의 階級이 存續함에 딸아서 鬪爭이 擴大하고 殺伐이 例事가 되엇다. 地位의 榮枯와 階級의 轉換을 反覆하얏다. 昨日의 勝者는 今日의 敗者이다. 今日의 勝者는 昨日의 敗者이다. 生活에 對한 安全과 歡喜를 得치 못하얏다. 征服者 階級에 在하야는 被征服者 階級의 反逆에 對한 恐怖와 不安이 有하다. 被征服者 階級에 在하야는 征服者 階級의 壓迫에 對한 恐怖와 不安이 有하다. 참으로 吾人 社會는 歷史以來 幾千年을 다만 恐怖와 不安과 苦痛과 戰慄한 中에 沈淪하얏스며 彷徨하얏스며 包圍되엇다.
今回의 歐洲大戰은 實로 吾人 過去의 生活上 諸問題에 對하야 激烈한 剌戟과 反省을 與하는 動機가 되엇다. 나는 이것이 勞働問題라 解釋한다. 나뿐 안이라 누구이던지 此를 否認치 못할 것이다.
그럼으로 勞働 問題는 不安한 現在의 社會狀態에 立하야 人類 過去의 舊文明을 切實히 批判하며 抗論하야써 將來의 新文明을 示唆하며 樹立코자 하는 人類 共通의 大問題이다.＜70＞ 余는 看做한다. 過去에 對한 解放과 將來에 對한 建設을 欲求하는 近代 民衆의 自覺的 運動을 意味하는 問題이다. 이 問題를 다만 勞働者가 自己의 經濟的 苦痛을 緩和하며 資本家 階級에 對한 勞働者 階級의 單純한 反抗과 復讐로만 觀察함은 勞働問題의 本意를 理解치 못하는 偏論에 지나지 못한다. 物質的 精神的 苦痛의 源泉되는 在來의 社會組織을 改造하야 吾人 幸福의 究極 價値에 對한 信仰과 理想을 表現하는 新社會組織을 創作하려 努力하는 勞働問題이다. 幾千年의 歷史的 人類苦를 解免코자 하는 勞働問題이다. 舊文明 廢墟上에 群衆의 意思를 全人類의 福利를 基礎하야 熱烈한 精神的 自由의 憧憬과 堅實한 物質的 自由의 欲求를 實現코자 하는 것이다.
要컨대 勞働問題의 眞意는 人類 全體가 征服的 人類生活의 誤謬를 自覺하고 人類 相愛의 熱情으로써 現在의 不合理한 經濟的 社會組織을 改造하며 또 이 組織下에서 釀生되는 諸般의 暗黑과 惡德으로부터 人類의 因襲的 傳統的 精神을 解放코자 함에 永久한 意義가 잇다. 社會的 互相 扶助의 精神과 倫理로써 吾人의 生活을 建築하려 하는 不合理한 苦痛의 生活로부터 脫却코자 하는 全人類 生活의 改造問題이다.
이와 가티 勞働問題는 決코 勞働者 自身만의 問題가 안이다. 人類 自身의 惡에 對한 善을 意味하는 問題이다. 人生 生活의 要義는 創造이다. 生産이다. 發明이다. 이것을 一結하야 勞働이라 한다. 그러면 人類의 本然은 勞働을 肯定할 것이다. 아ㅣ 우리 人類로 하야금 現代의 粗惡한 制度로부터 解放하라. 生活의 正途를 確立하라. 그리하야 勞働의 偉大함을 讚美하라 勞働의 神聖함을 謳歌하라.
六月 十一日 午前 九時―十時 (筆者附言, 써노코 보니 너무 廣漠합니다. 此 問題에 對한 具體的 論議는 責任을 自擔하고 後日에 提供코자 하나이다.)＜71＞
＜67-71＞
