잡지명	개벽 第五十五號
발행일	1925년 01월 01일
기사제목	農村靑年에게 보내는 글월 (A Letter Sent to Rural Youth)
필자	木覓山人
기사형태	문예기타 (Literary/Miscellaneous)

A Letter Sent to Rural Youth
						Mongmyŏksanin (木覓山人)

Without any harvest, leaving behind only the慘酷 (ch'amhok - cruel/horrific) famine in the barren land, the year Kapsu (甲子) passed by, and standing behind it, I now write this letter to you, gentlemen, while looking upon our rural villages that are disintegrating and ruined amidst the desolation of starvation.

Rural youth, gentlemen! The place where I am writing this letter is not the desolate fields and collapsing hovels like the place where you are, where only dryness and insipidity are visible in the countryside. This place is a complex and bustling city where everything is rushed. When you eat coarse millet rice there, here we eat white rice; when you cherish cotton clothes there, here we wear silk clothes without difficulty. Just as there are many ignorant people in the countryside, there are many educated people in the city. In this way, while the countryside weeps in poverty, the city boasts of prosperity. If the city is called a place that enjoys civilization, the countryside could clearly be said to be wandering in a state of barbarism. Thus, speaking to you, rural youth, through the window of city life, which has such a different scope of life from the countryside, using topics related to rural life, feels no different than sitting in the inner room of a nobleman's house, who, upon seeing starving people, asks "Why not eat meat porridge?" (何不食肉米), and talking about the reality of the poor people's lives.

Rural youth, gentlemen! I do not know deeply the hidden realities of the poor, rock-bottom life you are living. However, I know this clearly as unmistakable – I am certain that while the children of the rich inherit wealth and nobility, and study even if they dislike university education, you, rural youth, inherit poverty and ignorance hereditarily. And I am not unaware that among you, apart from the great majority of proletarian youth awakened to new class ideology, the vast majority curse the painful peasant life, feel disgusted with the dry and tasteless countryside,<20> yearn for the pleasurable city life, or else are striving hard to somehow, by whatever means, escape the prison of poverty where exploitation is received, and pursue the leisurely life of a landlord who is free from the toil of plowing and cultivating. Besides these, there will be not a few youths who, having finished primary school or dropped out midway, babble bits of Japanese, look down only at their shiny shoes with greasy hair, and wander around the town aspiring to become a policeman for show. However, I do not intend to speak of such youth in the same breath as you.

Then, rural youth, gentlemen! As I said, are you truly disgusted with farming and yearn to leave the lonely countryside to live in the bustling city? If so, have you realized the need to know the actual situation of the city life you hope for? Of course, there must be many reasons why you yearn for city life. Considering your painful lives, it is understandable that you might desire city life. Now, allow me to tell you about city life.

This city where I am now is the capital of Chosŏn (朝鮮), the center of Chosŏn, and the center of modern culture in Chosŏn. Here, there are many schools and bookshops that can satisfy your intellectual hunger and thirst; the seniors and famous figures you admire are gathered here; the press organs that hold and shape the public opinion of the entire country are here; and many famous structures soar here and there. Lecture meetings by "famous figures" and concerts by all the "famous singers," which you would wish to attend at least once if opportunity allowed, continue day and night; all the ideological groups engaged in social movements also hang their signboards and gather here. Is that all? If you seek sensual satisfaction, there are theaters and movie houses (活動寫眞舘). Here and there are all sorts of restaurants like Myŏngwŏl Sech'im (明月洗心). There are many clothing merchants where one can indulge in extreme luxury at will. There are many kisaeng (妓生). There are many electric trams and automobiles.

I know all this makes you want to leave the desolate countryside and enter the city. However, you must take one step further and examine closely how the city became so prosperous and what kind of people predominantly reside in the city.

To understand the prosperity of the city and the relationship between the city and the countryside, one need not delve too deeply to find the reason. You can understand it by comparing the village where you live with the town center (邑內) of the district where you live. Just as the town center maintains its prosperity by exploiting the surrounding villages,<21> similarly, the city prospers and develops by exploiting the rural areas beneath it. This city, which gradually developed from a marketplace, truly treats the countryside like the proletariat with the attitude of the propertied class, trampling upon it. Just as the propertied class can strengthen its wealth by exploiting the proletariat, the city cannot achieve prosperity without exploiting the countryside; indeed, it would lose its very existence. As the city is a place where currency accumulates, located at a center of frequent traffic, people from the regions gather here, and goods are collected and distributed. Thus, the city concentrates money from the countryside into the city through all financial institutions, while city dwellers purchase agricultural products from rural people at low prices and maintain their existence with the food you supply. On the other hand, they manufacture handicrafts or luxury goods using the raw materials taken from you, sell them, and amass huge sums of money through unfair profits. As agricultural products bought cheaply become high-priced city-manufactured goods and are traded, not only does the proletariat in the city suffer hardship, but when these goods are re-imported back to the countryside, your lives face even greater difficulty. When you first let the agricultural products, which become the raw materials for those city-manufactured goods, out of your hands, wasn't the price extremely low? But when they pass through the hands of several merchants, become city-manufactured goods, and return to your hands, do you know that you cannot buy those manufactured goods unless you pay a price several times higher than the raw materials you initially sold?

In this way, the people living in the city fatten their bellies with the grain that you grow and send, working yourselves to the bone amidst lack of freedom, poverty, and forced ignorance. They cause you to fall further into the pit of poverty and ignorance, rob you of the opportunities for enjoyment that humans should have, and make you sink into a sea of tears (淚海) no different from a state of barbarism.

Rural youth, gentlemen! The city thus conquers the countryside, and the city dwellers who do not produce exploit you who toil throughout the year. The city is an enemy nation to the countryside, and the city dwellers are traitors to the countryside. However, despite this relationship between the city and the countryside, for you to want to become city dwellers from being peasants, and to follow exactly the exploitation you once received from city dwellers, carrying out exploitation against your rural brothers who were in the prison of poverty like you – to push unfortunate brothers further into misfortune without any sense of justice – perhaps you consider exchanging the hoe you held for an abacus (珠板) or stock certificates (株券), in other words, becoming a member of the exploiting class from having been exploited, as the realization of human value or the improvement of character. If you indeed think so, then I shall change the topic and re-examine whether becoming one of the exploiting class from the exploited class is indeed an improvement of character or not. -(To be continued)-<22>
<20-22>

**Summary**

The author, writing from the bustling city, addresses rural youth living in poverty and hardship. He contrasts the city's apparent prosperity (white rice, silk clothes, education, entertainment) with the countryside's destitution, arguing that the city's wealth is built directly upon the exploitation of rural labor and resources. Agricultural products are bought cheap, processed into expensive goods in the city, and sold back to the countryside, further impoverishing farmers. The author critiques rural youth who, disgusted with farm life, aspire to move to the city, not realizing they might simply transition from being exploited to becoming part of the exploitative system, thereby betraying their origins and fellow rural people. He questions whether joining the exploiting class truly constitutes personal advancement. From a historical perspective, the article vividly portrays the stark urban-rural divide and the exploitative economic structures prevalent in colonial Korea. It reflects a growing class consciousness and offers a poignant critique of aspirations shaped by colonial modernity, highlighting the dilemma faced by educated or ambitious rural youth under Japanese rule – whether to assimilate into the exploitative urban/colonial system or find another path.

**Named Entities**

木覓山人	목멱산인	Mongmyŏksanin
뻬	뼈	Bone (colloquial/dialect form in '뻬가 빠지도록' - working to the bone)
곡식	곡식	Grain
배를 불리다	배를 불리다	To fatten one's belly, enrich oneself
구렁	구렁	Pit, abyss
떠러지다	떨어지다	To fall (older spelling)
淚海	누해	Sea of tears
沈渝	침유	To sink, be immersed (in misery)
征伏	정복	Conquest, subjugation
生産	생산	Production
終歲	종세	Throughout the year
勤勞	근로	Labor, toil
敵國	적국	Enemy nation
反逆者	반역자	Traitor, rebel
不拘	불구	Despite, notwithstanding
踏襲	답습	Following blindly, imitating uncritically
兄弟	형제	Brothers (here meaning fellow countrymen/rural people)
正義感	정의감	Sense of justice
떼다 밀다	떼다 밀다	To push away/thrust into
호미	호미	Hoe (traditional Korean hand plow)
珠板	주판	Abacus
株券	주권	Stock certificate
被搾取階級	피착취계급	Exploited class
搾取階級	착취계급	Exploiting class
人間價値	인간가치	Human value
發揮	발휘	Display, exhibition, realization
人格	인격	Character, personality
向上	향상	Improvement, advancement
檢討	검토	Examination, review
未完	미완	Unfinished, to be continued
-e 

---------------------------


잡지명	개벽 제55호
발행일	1925년 01월 01일
기사제목	農村靑年에게 보내는 글월
필자	木覓山人
기사형태	문예기타

農村靑年에게 보내는 글월
						木覓山人
아모 收穫도 업시 赤地에 慘酷한 饑饉만 남겨 두고서 지나가 버리고 마른 甲子해 뒤에 서서 지금 나는 飢餓의 荒廢 속에서 支離破滅하는 우리의 農村을 바라보면서 諸君에게 이 글월을 쓴다.
農村靑年諸君! 내가 이 글월을 쓰고 잇는 곳은 諸君의 잇는 곳과 가튼 荒凉한 벌판과 쓰러저 가는 陋屋밧게 안이 뵈이는 乾燥無味한 鄕村이 안이다. 이곳은 모든 것이 奔走하고 複雜繁華한 都會다. 諸君이 잇는 그곳에서 조밥을 먹을 때에 이곳에서는 白飯을 먹으며 그곳에서는 무명옷을 貴하게 입을 때에 이곳에서는 비단옷을 어렵지 안케 입는다. 農村에 無智한 사람이 만흔 그대만콤 都市에는 有識한 사람이 多數가 된다. 이와 가티 農村은 貧窮에 울제 都市는 繁榮을 자랑하게 된다. 都市를 가르처서 文明을 享樂하는 곳이라 하면 農村은 分明코 野蠻國狀態에서 彷徨하고 잇는 것이라 할 것이다. 이토록 農村과 그 生活範疇가 다른 都會生活의 들窓門을 通하야 이제 農村靑年諸君에게 農村生活에 關한 話題로써 이 말을 걸녀하는 것은 飢民을 보고 何不食肉米를 말하는 貴人의 집의 안방에 안저서 貧民生活의 實情을 이약이하는 것과 다름업는 늣김을 준다.
農村靑年諸君! 나는 諸君이 지내고 잇는 가난한 밋창生活의 삿삿치 숨어잇는 實情을 깁히 알지 못한다. 그러나 이것만은 틀림업는 것으로 分明히 알고 잇다.-富者집 子弟들이 富貴를 相續하며, 大學敎育을 실혀도 배울 때에 農村靑年諸君은 貧窮과 無智를 世襲的으로 바더오는 것만은 確信한다. 그리고 諸君 中에 極多數의 階級的 新思想에 覺悟한 無産靑年을 除한 外에 그 多大數는 苦痛의 農民生活을 咀呪하고 乾燥無味한 農村에＜20＞ 厭症이 나서 享樂의 都會生活을 憧憬하거나 그러치 안으면 어떠케 무슨 짓을 하여서라도 絞取를 밧는 貧窮의 獄舍로부터 버서나서 耕耘의 勞苦가 업는 地主의 安逸을 追求하기에 苦心하고 잇는 줄도 모르지 안는다. 그 外에 普通學校를 맛첫거나 或은 中途에 廢學된 몸으로서 日語쪼각이나 짓거리고 기럼이 흘느는 머리로 구쓰코만 구버보면서 行勢거리로 巡査를 志願하며 邑內로 돌아  다니는 靑年도 적지 안을 것이다. 그러나 그러한 靑年은 諸君과 가티 한자리에 끼여서 말하지 안으려 한다.
그러면 農村靑年諸君! 내 말과 가티 諸君은 果然 農事를 짓기가 실혀서 寂寞한 農村을 떠나서 繁華한 都市에 살기를 憧憬하는가. 그러할진대 諸君은 諸君이 希望하는바 都市生活의 그 實情을 알 必要를 깨닷고 잇는가. 勿論 諸君이 都市生活을 憧憬하는 理由가 적지 안으리라, 諸君의 苦痛한 生活을 생각할제 諸君이 都市生活을 可히 願求할만도 하다. 諸君은 이제 나로 하여금 都市生活에 關한, 이약이하게 하라.
내가 지금 잇는 이 都會는 朝鮮의 首府요 朝鮮의 中央이오 朝鮮에 잇서서 近代文化의 中心地다. 이곳에는 諸君의 智識的 飢渴을 充足식혀줄 만한 學校와 書舖들도 만히 잇스며 諸君이 崇仰하는 先輩와 名家들도 이곳에 모혀 잇스며 全國의 輿論을 쥐고 펴는 言論機關도 이곳에 잇스며 모든 일홈놉흔 建設物들도 여긔저긔에 소사잇다. 諸君이 機會만 許諾하면 한번 듯기를 바라는 「名士」들의 講演會와 모든 「名唱」들의 音樂會도 日夜로 닛대여 잇스며 社會運動하는 모든 思想團軆들도 또한 이곳에 看板을 달고 모혀 잇다. 엇지 그뿐이랴. 官能的 滿足을 取하랴면 劇場과 活動寫眞舘도 잇다. 군데군데 明月洗心 等 모든 料理舘도 잇다. 窮奢極侈를 任意로 할 수 잇는 옷감장사도 만타. 妓生도 만타. 電車 自働車도 만타.
이 모든 것이 諸君으로 하여금 荒凉한 農村을 떠나 都會로 드러오게 하는 것인 줄 안다. 그러나 諸君은 한거름 더 나가 都會가 엇지하야 저가티 繁盛하며 都會에는 어떠한 사람이 多數히 居住하고 잇는가. 그것을 자세히 살펴보아야 한다.
都會가 繁盛한 것과 都會와 農村에 對한 關係를 알려면 그 理由를 구태여 깁히 드러가서 차질 것도 업다. 諸君이 사는 村落과 諸君이 사는 골의 邑內와를 比較하면 可히 알 수 잇는 것이다. 邑內가 그 周圍에 잇는 村落들을 搾取함으로＜21＞ 因하야 그 殷盛을 維持한 것과 가티 한가지로 都會는 그 아래에 잇는 地方의 農村을 搾取함으로써 繁盛하며 發達하는 것이다. 市場으로부터 차차 發達한 이 都會는 實로 有産階級의 態度를 가지고 農村을 無産階級과 가티 蹂躪하고 잇다. 無産者를 絞取함으로 因하야 有産者가 그의 富力을 强大히 할 수 잇는 것과 가티 都會는 農村을 絞取치 안으면 그 殷盛을 圖得할 수 업는 것은 勿論이오 도리혀 그 存在를 일케 될 것이다. 都會는 交通이 頻繁한 中心地에 잇는 貨幣集積地임으로 이곳을 中心삼고서 地方人들이 모혀 들며 貨物이 集散한다. 그리하야 都會는 모든 金融機關을 通하야 農村의 돈을 都會로 集中하는 同時에 都會人은 農村사람으로부터 低廉한 價格에 農産物을 買入하야 諸君이 供給한 食料로써 그 生存을 維持하는 一方으로 諸君에게서 가저온 原料로써 工藝品이라든가 奢侈品을 製造賣出하야 不當利益을 어더서 巨大한 돈을 모흔다. 廉價에 사드린 農産品이 高價의 都市 製造品이 되야 買賣됨을 따러서 都市에 잇는 無産階級이 困苦을 當할 뿐만 안이라, 農村으로 逆輸入되야 諸君의 生活이 더욱 困難을 當한다. 最初에 諸君이 그 都市 製造品의 原料가 되는 農産物을 諸君의 손에서 내여놀 때에는 그 代價가 極히 低廉치 안핫는가. 그러나 그것이 여러 商人의 손을 것처지고 都市 製造品이 되야 다시 諸君의 손에 드러올 때에는 諸君이 最初에 파른 原料보다 몃 갑절의 代價를 支拂치 안슜�면 그 製造品을 살수 업는 것을 諸君은 아는가.
이와 가티 都市에 사는 사람들은 諸君들이 不自由와 窮乏과 强制된 無智 속에서 뻬가 빠지도록 지어서 보내주는 곡식으로써 배를 불리면서 諸君으로 하여금 더욱 貧窮과 無智의 구렁으로 떠러지게 하야 사람으로서 가저야할 만한 享樂의 機會를 뺏고 野蠻의 狀態와 다름이 업는 淚海에서 沈渝케 한다.
農村靑年諸君! 都市는 이와 가티 農村을 征伏하며 生産을 하지 안는 都市人들은 終歲 勤勞하는 諸君들을 絞取한다. 都市는 農村에 對한 敵國이오 都市人은 農村에 對한 反逆者다. 그러나 都會와 農村의 關係가 이러함에 不拘하고 諸君은 農民으로부터 都會人이 되여 諸君이 일즉이 都會人에게서 밧든 搾取를 그대로 踏襲하야 諸君과 가티 貧窮의 獄舍에 잇든 農村兄弟에게 絞取를 行하려 하는 것은, 不幸한 兄弟를 보고 何等의 正義感이 업시 그들을 더욱 不幸한 속으로 떼다 밀려 하는 것은 아마 諸君이 호미를 잡엇든 손으로 珠板이나 株券을 잡는 것으로써 다시 말하면 搾取를 밧든 몸으로서 搾取階級의 사람이 되는 것으로써 人間價値의 發揮로나 人格의 向上으로 아는 것인지도 모르겟다. 만일 諸君이 果然 그러타 할진대 나는 話題를 돌려서 被搾取階級으로부터 搾取階級의 한사람이 되는 것이 果是 人格의 向上인가 안인가를 다시 檢討해 보려 한다. -(未完)-＜22＞
＜20-22＞
