Magazine Title: 三千里 제7권 제9호
Publication Date: 1935년 10월 01일
Article Title: 레코-드 歌手 人氣投票 (Record Singer Popularity Poll)
Author: Not specified (likely 삼천리사 - Samch'ŏlli-sa)
Article Type: 설문 (Survey/Poll)

Record Singer Popularity Poll
Final Results Announcement

Last spring, our company began a Record Singer Popularity Poll, which received an extraordinary welcome. Votes flooded in from music-loving masses on the streets, and indeed, by the end of this September, not yet the 8th round, the momentum showed signs of surpassing ten thousand ballots. Thus, the voting ends today, and we publicly announce the results as follows. Furthermore, we are deeply grateful for the support from various quarters for this grand event (牡擧), allowing it to conclude with such success. (Additionally, the lottery results will be announced later, and a commemorative concert will also be held).

Five Selected Male Singers
1st Place: Ch'ae Kyu-yŏp (蔡奎燁) (Columbia Records) 1,844 votes
2nd Place: Kim Yong-hwan (金龍煥) (Polydor Records) 1,335 votes
3rd Place: Ko Pok-su (高福壽) (Okeh Records) 674 votes
4th Place: Kang Hong-sik (姜弘植) (Columbia Records) 468 votes
5th Place: Ch'oe Nam-yong (崔南鏞) (T'aep'yŏng Records) 333 votes
Runners-up: Kim Yŏng-gil (金永吉) (313), Yun Kŏn-yŏng (尹健榮) (313), Yi Il-nam (李一男) (307), Im Hŏn-ik (林憲翊) (301), etc. Others include Kim Hae-song (金海松), Kim Chu-ho (金周鎬), Kim Il-song (金一松), Yi Sang-ch'un (李相春), and various other gentlemen (諸氏).
Total votes counted above: 5,888 votes

Five Selected Female Singers
1st Place: Wang Su-bok (王壽福) (Polydor Records) 1,903 votes
2nd Place: Sŏnu Il-sŏn (鮮于一扇) (Polydor Records) 1,166 votes
3rd Place: Yi Nan-yŏng (李蘭影) (Okeh Records) 873 votes
4th Place: Chŏn Ok (全玉) (Polydor Records) 387 votes
5th Place: Kim Pok-hŭi (金福姬) (Victor Records) 348 votes
Runners-up: Kang Sŏk-yŏn (姜石燕氏) (344 votes), Yi Ae-ri-su (李愛利秀氏) (309), Kim Sŏn-ch'o (金仙草) (306), Ch'oe Ch'ang-sŏn (崔昌仙氏) (306 votes), Son Kŭm-hong (孫錦紅氏) (301 votes)
Others include: Na Sŏn-gyo (羅仙嬌), Ch'oe Myŏng-ju (崔明珠), Ch'oe Yŏn-yŏn (崔姸姸), Kang Nam-hyang (江南香), Cho Kŭm-ja (趙錦子), Kim Chŏng-suk (金貞淑), Miss Korea (미스코리아), Namgung Sŏn (南宮仙), Pak Pu-yong (朴芙蓉), Han Chŏng-hŭi (韓晶姬), Kim Yŏn-wŏl (金蓮月), An Myŏng-ok (安明玉), Yun Ok-sŏn (尹玉仙), Chang Il-t'a-hong (張一朶紅), Yi Ŭn-p'a (李銀波), Sim Ok-ch'ŏn (深玉泉)
Total votes counted above: 4,243 votes
Grand Total: 10,130 votes
Awards Ceremony & Commemorative Concert
Lottery Prize Winners' Names (To be announced later)
Hosted by Samch'ŏlli-sa (三千里社) <133>
<132-133>

**Summary**

This article from the October 1935 issue of Samch'ŏlli magazine announces the final results of a record singer popularity poll conducted earlier that year. It lists the top five male and female singers based on over 10,000 votes received from the public, along with their affiliated record labels and vote counts. Ch'ae Kyu-yŏp and Wang Su-bok topped the male and female categories, respectively. The article expresses gratitude for the public's enthusiastic participation and announces plans for an awards ceremony, a commemorative concert, and a lottery prize draw. For historians, this article provides valuable insight into the burgeoning popular music scene and recording industry in colonial Korea during the 1930s. It reveals the leading stars, the dominant record companies (Columbia, Polydor, Okeh, T'aep'yŏng/Taihei, Victor), and the engagement of the public through media-driven popularity contests, reflecting cultural trends and consumerism under colonial rule.

**Named Entities**

蔡奎燁	채규엽	Ch'ae Kyu-yŏp
入選	입선	Selected, chosen (as a winner/finalist)
氏	씨	Mr./Ms./Mx. (Suffix for names)
票	표	Vote, ballot
次位	차위	Next rank, runner-up
次点	차점	Runner-up, next highest score
等 外	등 외	Etc., others outside the list
諸氏	제씨	Various gentlemen/persons (Hanja term)
投票枚數計	투표 매수 계	Total number of votes counted
總計	총계	Grand total
表彰式	표창식	Awards ceremony
主催	주최	Hosting, sponsorship


---------------------------


잡지명	삼천리 제7권 제9호
발행일	1935년 10월 01일
기사제목	레코-드 歌手 人氣投票
기사형태	설문

레코-드 歌手 人氣投票
決選發表
今春 本社에서 레코-드 歌手人氣投票를 開始한 바 비상한 환영을 밧어 街頭의 音樂愛好家大衆으로부터 투표가 踏至하야 과연 第8回 채인 今 9월 말일까지 壹萬枚를 돌파하는 기세를 보엿슴니다. 이에 今日로써 투표는 끗내고 그 결과를 如左히 公表하고써 아울너 今回의 牡擧에 여러 방면으로 愛援하여 이와 가치 盛况으로 終了케 하옴을 심히 감사히 아옵니다. (더욱 抽籤 結果도 追后發表하겟고 기념음악회도 개최하겟나이다)

男歌手入選五氏
第1位 蔡奎燁 (콜넘비아 레코-드) 1,844票
第2位 金龍煥 (포리돌- 레코-드) 1,335票
第3位 高福壽 (오-케- 레코-드) 674票
第4位 姜弘植 (콜럼비아 레코-드) 468票
第5位 崔南鏞 (太 平 레코-드) 333票
次位 金永吉 313) 尹健榮(313) 李一男(307) 林憲翊(301) 等 外 金海松·金周鎬·金一松·李相春等諸氏有
以上 投票枚數計 5,888枚

女歌手入選五氏
第1位 王壽福 (포리둘- 레코-드) 1,903票
第2位 鮮于一扇 (포리돌- 레코-드) 1,166票
第3位 李蘭影 (오-케 레코-드) 873票
第4位 全玉 (포리돌- 레코-드) 387票
第5位 金福姬 (삑타- 레코-드) 348票
次点 姜石燕氏(344票) 李愛利秀氏(309) 金仙草(306) 崔昌仙氏(306票) 孫錦紅氏(301票)
等外 羅仙嬌·崔明珠·崔姸姸·江南香·趙錦子·金貞淑·미스코리아·南宮仙·朴芙蓉·韓晶姬·金蓮月·安明玉·尹玉仙·張一朶紅·李銀波·深玉泉
以上 投票枚數計 4,243票
總計 10,130票
表彰式·紀念音樂會
抽籤結果入賞者氏名(追後發表)
三千里社主催＜133＞
＜132-133＞
