**Header Section:**
Magazine Title: 三千理 (Samch'ŏlli) Vol. 13, No. 6
Publication Date: June 1, 1941
Article Title: 봄철에 많은 急性胃腸가다루-慢性이 되지안케 빠른治療가 긴요 (Acute Gastroenteritis, Common in Spring – Prompt Treatment is Crucial to Prevent it Becoming Chronic)
Author: 醫學博士 岡部 卓 (Medical Doctor Okabe Taku)
Article Type: 잡저 (Miscellaneous Article/Essay)

**Body Text Translation:**
Acute Gastroenteritis, Common in Spring – Prompt Treatment is Crucial to Prevent it Becoming Chronic
						By Medical Doctor Okabe Taku

As spring deepens, gastrointestinal functions tend to slacken. When gastrointestinal function is inactive, it easily invites various stomach and intestinal disorders. Among these, gastroenteritis (胃腸가다루) is the most common gastrointestinal illness that anyone can easily catch due to careless eating ("食事の不注意"). Therefore, it is necessary to be well-informed about the appropriate measures and treatment methods for such occasions.

There are two types of gastroenteritis: acute and chronic. Most cases start acutely, and if not completely cured, they can sometimes transition into a chronic state. However, cases that develop slowly from the beginning are certainly not few.

If you engage in excessive drinking and eating ("暴飮暴食"), consume spoiled food or drinks, excessively hot food, or overly cold beverages, it often causes sudden abdominal pain accompanied by vomiting and diarrhea. Commonly called "meokkkyeotda" (맥켰다 - indigestion) or "geollyeotda" (걸렸다 - caught something), this is acute gastritis (急性胃가다루).

When afflicted with this illness, the mouth becomes dry, the tongue develops a white coating (白苔), appetite disappears, and food loses its taste. The stomach area feels heavy and sore, with sharp pains, nausea, belching, and a bitter taste filling the mouth. Bad breath (惡臭) occurs, urine output (尿量) decreases, and one may experience constipation (便秘) or diarrhea (泄瀉), along with symptoms like dizziness (眩氣), headache (頭痛), and general fatigue (全身倦怠).

Regarding the appropriate measures, first, eliminate the harmful food and temporarily stop eating to give the stomach and intestines rest. At this time, it is especially important to keep the abdomen (腹部) warm and rest comfortably lying down.

If possible, fast (絶食) for about a day. Initially, start with liquid foods (流動食) like thin rice gruel (미음) or porridge (죽), then gradually introduce easily digestible ("消化키쉬운") foods in small amounts, slowly progressing towards a normal diet (普通食). However, since the mucous membrane (粘膜) of the stomach and intestines is irritated and weakened<92>, even food thought to be easily digestible can unexpectedly cause trouble, reversing the course of recovery just when treatment was going well. This point requires particular caution.

At such times, it is necessary to take medicine like "Wakamoto" (와까모도), which strengthens the cells organizing the stomach and intestines while simultaneously aiding digestion.

"Wakamoto" (와까모도) contains several types of active digestive enzymes (活性消化酵素), including diastase (澱粉消化酵素 - starch digesting enzyme), lipase (脂肪消化酵素 - fat digesting enzyme), and trypsin (蛋白消化酵素 - protein digesting enzyme), thus aiding the digestion of consumed food and promoting the recovery (恢復) of gastrointestinal function. Furthermore, "Wakamoto" (와까모도) is rich in essential components (主要 成分) such as the Vitamin B complex ("비타민B複合體"), vitamins A and D, high-quality protein (高級蛋白質), fats (脂肪), carbohydrates (含水炭素), and minerals (無機質). This sufficiently supplements nutritional deficiencies arising from dietary restrictions, prevents weakening (衰弱), and speeds up the body's (自體) recovery. If management and recuperation during the acute phase are done well like this, gastroenteritis can be treated in a relatively short period (短時日). If the measures are insufficient (不充分), it can easily transition (移行) into a chronic condition or lead to complications (倂發) with other serious diseases, particularly making one susceptible to pulmonary tuberculosis (肺結核).

This "Wakamoto" (와까모도) costs 1 Won 60 Cheon for a 25-day supply (sold at a negotiated price depending on the region) and is sold at pharmacies (藥店) throughout Korea (朝鮮).<93>
<92-93>

**Summary**

This 1941 article by Dr. Okabe Taku advises readers on managing acute gastroenteritis, common in spring. It describes symptoms like abdominal pain, vomiting, diarrhea, loss of appetite, and fatigue, often caused by poor dietary choices. The recommended treatment involves rest, fasting, gradually reintroducing easily digestible foods, and keeping the abdomen warm. The article strongly promotes the supplement "Wakamoto," detailing its digestive enzymes and vitamins (B complex, A, D) as beneficial for recovery and preventing nutritional deficiencies. It warns that improper care can lead to chronic conditions or complications like tuberculosis. For historians, the article is interesting as it reflects public health concerns and medical advice dissemination in colonial Korea. The prominent, almost advertorial, inclusion of a specific Japanese product, "Wakamoto," highlights commercial interests intertwined with health information and the presence of Japanese goods and influence in the Korean market during this period. The mix of Japanese (author, product name, some terms) and Korean text further illustrates the linguistic landscape of the time.

**Named Entities**

岡部 卓	오카베 다쿠	Okabe Taku
봄이 지터지면 胃腸의 기능이 弛緩되기쉬운것입니다만 胃腸의 機能이 不活潑하면 여러가지의 胃腸障碍를 招來하기쉬운것입니다만 그中에서도 胃腸가다루는 자칫한
「食事의 不注意」
로서 누구나 걸리기 쉬운 一般的으로 第一많은 胃腸病이니까 平素부터 그럴때의 處置와 治療法을 잘알어두실 必要가 있습니다.
胃腸가다루에는 急性과 慢性의 두가지가 있습니다. 大部分은 急性으로 發病하야 그것이 完全히났지않으면 慢性으로 移行하는때가 있습니다만 그러나 最初부터 緩慢히 發病하는분도 決코적지않습니다.
「暴飮暴食」
이나 腐敗한 飮食物 너무뜨거운飮食이나 너무찬飮料를 잡수시면 猝地에 腹痛과 더부러 嘔吐泄瀉를 일으키는일이 흔히있습니다. 俗稱 맥켰다 걸렸다고합니다만 이것이 急性胃가다루입니다.
이病에 걸리면 口內가 말르고 舌에 白苔가 안고 食慾이 消失하며 밥맛이 없어집니다. 胃部는 무겁직한게 쓰리며 쌀쌀 압흐고 헛구역 트렴이 나고 쓴물이 입에 차고합니다. 입속에서 惡臭가 나며 尿量이 減少하고 便秘가있다든가 또는 泄瀉를하며 眩氣, 頭痛, 全身倦怠의 症狀을 뵈입니다.
여기에 對하여 었더한 處置를 하면 좋은가하면 먼저 有害한 飮食을 排除하고 暫時, 食事를 멈추고 胃腸에 休養을 줍니다. 이때는 특히 腹部를 따뜻하게 하며 편히누어게시도록합니다.
될수있는대로 하로쯤은 絶食하고, 처음엔 미음 죽같은 流動食으로부터 먹어서 가볍고
「消化키쉬운」
飮食을 조곰식먹어 徐徐히 普通食을 먼도록 합니다. 그러나 무어라해도 胃腸의 粘膜이 꺼칠어서 衰弱하고 있는것이＜92＞니까 消化가 잘될것이라고 먹은飮食이 意外로 障害를 끌어일으켜 모처럼 治療가 잘되려든것이 病勢를 逆轉식히는일있으므로 이點을 특히 注意하시지않으면 안됩니다.
그럴할때 「와까모도」와 같은 胃腸을 組織하고있는 細胞를 튼튼케하면서 同時에 消化를 도웁는藥을 復用함이 必要합니다.
「와까모도」에는 지아스타-제(澱粉消化酵素) 리빠-제(脂肪消化酵素)도 리뿌신(蛋白消化酵素) 등의 活性消化酵素을 數種에 걸어 含有하고 있슴으로 먹은飮食에 消化를 잘되게하고 胃腸機能의 恢復을 促進합니다. 또「와까모도」에는
「비타민B複合體」
를 비롯하야 비타민A와 D 高級蛋白質 脂肪 含水炭素 無機質 等의 主要 成分을 豊富히 含有하고 있으니까 食養으로 일어나는 營養不足을 充分히 補充하며 衰弱을 막고 自體의 恢復을 빨으게 할수있습니다. 이러케 急性일때 處置養生이 좋으면 胃腸가다루는 比較的 短時日에 治療됩니다 萬一 處置가 不充分하면 慢性으로 移行한다든가 또는 무서운 病 等을 倂發키 쉬웁고 특히 肺結核을 招來키 쉽습니다.
이 「와까모도」는 25日量 1圓60錢(脂肪에따라 協定價格으로 販賣)으로서 朝鮮內 各 藥店에서 팜니다.＜93＞
＜92-93＞
