잡지명	개벽 제57호
발행일	1925년 03월 01일
기사제목	一大 轉換期에 선 宗敎界의 昔今 (The Religious World Standing at a Great Turning Point: Past and Present)
기사형태	소식 (News/Report)

The Religious World Standing at a Great Turning Point: Past and Present

Buddhism with Nothing Particularly New
When one speaks of religion in Chosŏn (Korea), the listener likely thinks at once of Christianity, Ch'ŏndogyo, or Buddhism. However, Buddhism, having historically been pushed into the mountains for several hundred years and having little connection with the general populace, further fell under the control of government authorities with the implementation of the Temple Ordinance (寺刹令) immediately after the annexation. It has lost any significance and is daily becoming secularized and degenerate, which is lamentable for the historically significant Buddhism of Chosŏn. Looking at the numbers, at the end of Taishō 7 (1918), there were 1,350 temples and 7,961 monks and nuns. However, after the Kimsin Year (己未, 1919), by the end of Taishō 12 (1923), this decreased to 1,198 temples and 7,222 monks and nuns. Nevertheless, it is very encouraging that in recent years, some monks within the religion have gained an understanding of social work and are putting effort into areas like education. Especially among young monks, many have awakened to the ideas of the times and are planning fundamental reforms for the sake of the church and society.

Christianity After the Kimsin Year (己未), Standing at a Great Turning Point
At the end of the year before last (1923), there were over 358,000 Christian believers in Chosŏn, an increase of more than 92,000 compared to the end of the Musin Year (戊午, 1918). Of course, this figure of 350,000 believers includes denominations from the American, British, French, Japanese, and even Russian systems. Among these many Christian denominations, the most relatively influential and, in various senses, most present in the thoughts of many Chosŏn people are the Presbyterian Church and the Northern and Southern Methodist Churches. According to recent statistics, Presbyterian believers number over 186,000, Southern Methodists over 12,000, and Northern Methodists over 42,000. Divided this way, one gets the impression that the number of Christian believers in Chosŏn is unexpectedly small. <47>

This was not necessarily limited to Christianity, but immediately after Taishō 8 (1919), the vast majority of Chosŏn people held feelings of boundless wonder and admiration for religious organizations. Thus, the number of believers increased markedly, and the influence of the churches expanded accordingly. The newly established Government-General authorities also, as a measure to appease the feelings of missionaries and general believers, revised the Missionary Work Regulations in April of Taishō 9 (1920), changing the requirement for establishing churches and mission stations from needing permission to simply requiring notification.

Since the Kimsin Year (己未, 1919), various changes occurred in the thoughts and actions of the Chosŏn people. First, they came to find "the self," and concurrent with finding the self, they came to distrust everything that came from other countries or other peoples. Furthermore, they learned how untrustworthy the nations and governments of capitalism or imperialism, which only know money and flaunt power, are. Unfortunately, among these untrustworthy nations, the United States also played a part. Consequently, not only non-Christian believers among the Chosŏn people but also a majority of Christian believers came to distrust Western missionaries unlike before. Some more radical individuals even pointed to Christian missionaries as a type of magician standing on the side of the wealthy and powerful Western capitalist class. Thus, the atmosphere of self-governance (自治) became strong within the Chosŏn Christian church, and today we even see mutual disputes arising from this issue. The recent dispute at the Taegu Namsŏngch'ŏn Church (大邱 南城町敎會), which startled the public, is likely one example of this. Perhaps sensing this trend, missionary headquarters, whether Presbyterian or Methodist, have recently reduced missionary expenses for Chosŏn by a certain amount and are instead reportedly focusing more effort on missionary work in China.

However, issues like foreign missionaries and self-governance are rather peripheral. The truly fundamental issue for the Chosŏn Christian Church is likely the question of the church's ideology. Of course, one might say, what is there to question when the church's ideology is clearly written in the Bible, and its maintenance should be the focus? Or even if it becomes a question, isn't it something that cannot be helped? But if it is a fact that Christ's teachings themselves cannot exert any effect on their own and only produce efficacy through us humans, then it is a clear fact that even the Gospel of Christ, like a flower, will cultivate a different atmosphere depending on the life environment of the person propagating or believing in that Gospel. Looking at our Chosŏn Christian Church from this perspective, the initial propagators were nothing more than a type of favor-peddler (售惠師) dispatched by a few wealthy Americans, <48> and the vast majority of Chosŏn people who believe in and lead this religion are merchants in urban areas, landowners in rural villages, doctors in hospitals, founders of schools, etc.—in other words, people generally from middle-class or higher life environments. It is thus imaginable without saying how materialized, vulgarized, and ritualized the entire thought and atmosphere of this church must have become. If Chosŏn Christianity is to truly observe the future destiny of Chosŏn, embody the sacrifice of the Cross, and realize on this earth the Kingdom of Heaven—which, as shown by Lord Jesus, the rich cannot enter—it must mobilize entirely for the single task of transforming the church's whole ideology and atmosphere, leaping forward beyond the issue of national self-determination and self-governance, beyond the issue of liberal church administration reform. Could the Christians who were pioneers in Chosŏn's enlightenment movement 20 or 30 years ago possibly lag behind in the future Chosŏn reconstruction movement? Since the Kimsin Year (己未), discerning individuals within the Christian church have already shown signs of focusing on this point. Although they have not yet appeared in any formal shape, their latent power spreads moment by moment today. A certain Christian believer in Britain said:
"Old forms, old systems, old sentiments will perish, and a new, brilliant social organization will come under the inspiration of the spirit of love and sacrifice. It is the pre-promised new Jerusalem. No matter how much we religionists speak of individual improvement, lament the harm of drinking, and praise immediate charity, until we remove the causes of forced poverty, it will be nothing more than adding pages to the record of futile, unrealistic efforts that achieve nothing (計不入*)."

Ch'ŏndogyo, Gradually Deepening
Firstly, since the Kimsin Year (己未), Ch'ŏndogyo lost its third leader, Teacher Son Ŭiam (孫義菴), who had been like the sun of the church. Following this, a major disturbance arose within the organization itself. Consequently, for a time, the saying "Ch'ŏndogyo is no longer viable" circulated among people, both in good and bad senses. However, it was unlikely that a religious group with over 60 years of bloody history and more than several million believers would be so easily shaken. In just one or two years, their faith was renewed, the disturbance subsided, and they recovered the state of the church during Son Ŭiam's time. As proof of this, perhaps, at the end of last year, they even built and presented to the world a memorial hall (a building worth about 50,000 won) commemorating the centennial of the birth of the first patriarch of the religion, Teacher Ch'oe Suun (崔水雲).

Observing closely, it seems that in modern Chosŏn, no group has endured more persecution while continuing more vigorous movements than the Ch'ŏndogyo community. <49> Its predecessor, Tonghak (東學), initiated a struggle for social reform as early as 30 years ago in the Kap'o year (甲午, 1894). Although ultimately suppressed by the government forces of Han (Korea), Japan, and Ch'ing (China), its spirit was not broken, and its truth was not buried. Whether in the Kapchin year (甲辰, 1904) or the Kimsin year (己未, 1919), whenever the time came, whenever the opportunity arose, they never hesitated to do what needed to be done as a people, as human beings. For reference, let us introduce the principles and social view they adhere to:
"Human nature and Heaven (한울) are one. What is Heaven? It refers to the eternally limitless creative potential (開闢性) that stretches across the chords of heaven, earth, and all things. Therefore, only by realizing the Heaven-nature within oneself can humans form conscious relationships not only between people but also with all existing facts in the universe and all things. When these relationships are formed, people and people, and people and things, will finally align on one line, each achieving a new life, unheard of in the past or present, incomparable to the past or present (今不聞 古不聞 今不比 古不比), with a greatness like the universe itself."
"However, today's human environment and social organization fundamentally attempt to strip away human Heaven-nature while severing relationships between people and even with all things, fostering conditions of mutual isolation and exploitation. This is unacceptable from the perspective of Ch'ŏndogyo principles."
This seems to be the principle, conviction, and goal of those who believe in Ch'ŏndogyo. In other words, the purification and deepening of Tonghak principles—this appears to be the entirety of recent Ch'ŏndogyo, Ch'ŏndogyo after the Kimsin year (己未). The accompanying increase in new Tonghak followers—this too could be called an unusual phenomenon. <50>

**Summary**

This 1925 article from *Kaebyŏk* magazine surveys the state of major religions in Korea—Buddhism, Christianity, and Ch'ŏndogyo—during a "great turning point," largely influenced by the aftermath of the 1919 March 1st Movement. Buddhism is depicted as declining under government control and secular pressures, though hopeful signs exist among younger monks seeking social relevance. Christianity shows growth but faces internal tension due to rising nationalism, distrust of Western missionaries linked to imperialism and capitalism, and calls for self-governance; a segment within Christianity is urged towards radical ideological transformation focused on social justice. Ch'ŏndogyo, despite internal conflict after its leader's death, is portrayed as resilient, deepening its core Tonghak principles of human divinity and interconnectedness, critiquing exploitative social structures, and attracting new followers committed to social change. For historians, the article is valuable for its contemporary perspective on how Korean religions navigated colonialism, the rise of nationalism, internal debates about identity and foreign influence (especially in Christianity), and the growing engagement with social critique and reformist ideas in the mid-1920s. It clearly shows religion as a site of both struggle and adaptation under Japanese rule.

**Named Entities**

基督敎	기독교	Christianity
一大 轉換期에 선 宗敎界의 昔今
別無新奇의 佛敎
朝鮮에서 宗敎라 하면 듯는 사람은 문득 基督敎와 天道敎 또는 佛敎를 聯想할 것이다. 그런대 佛敎는 本히 몃 100年 以來 山間으로 몰리여 一般民衆과 別般關係를 가지지 못하던 中 倂合直後로 寺刹令이 實施함에 밋처는 또다시 官邊의 操縱에 드러 아모러한 意義를 찻지 못하고 날노 俗化 退化함이 잇슴과 가틈은 歷史잇는 朝鮮의 佛敎를 爲하야 寒心된 일이다. 數字로써 볼지라도 大正 7年 末에는 寺刹數 1,350處에 僧尼數 7,961人이던 것이 己未 以後 大正12年末에 이르리는 寺刹 1,198處에 僧尼數 7,222名으로 減退되엿다. 그러나 近年 同敎의 僧侶 中에서 社會事業에 理解를 갓는 이가 생겨 敎育事業 가튼 데에 힘을 쓰며 特히 靑年僧侶 中에는 時代思想예 눈 뜬 이가 만하서 敎會를 爲하야 社會를 爲하야 根本的 革新을 꾀하는 무엇이 잇슴과 가틈은 매우 깃거운 일이다.

一大 轉換期에 선 一自以後의 基督敎
再昨年 末의 朝鮮 안 基督敎信徒는 358,000餘 人인 바 지난 戊午年 末에 比하야서도 92,000餘 人이 增加하엿다. 그런대 여긔에 말하는 35萬의 信徒라 함은 勿論 米國系 英國系 法國系 乃至 日本系와 露國系의 宗派까지를 合算하야 하는 말이다. 이 만흔 宗派의 基督敎徒 中에서 比較的 第一 有力하고 또 여러 가지의 意味에서 多數 朝鮮 사람의 생각 속에 來往하는 敎派는 長老敎會와 南北監理敎會이다. 最近統計에 依하면 長老敎會 信徒가 186,000餘人 南監理 信徒가 12,000餘 人 北監理 信徒가 42,000餘 人인 바 이러케 난호아 보면 朝鮮의 基督敎 信徒도 料外에 少數인 感이 생긴다.＜47＞
반다시 基督敎에만 限한 일도 아니지만 大正 8年 直後의 朝鮮 사람 多大數는 宗敎團軆란 긔긔에 對하야 限업는 驚異 讚嘆의 感情을 가젓다. 그래서 信徒는 現著히 增加하고 敎勢도 그만큼 擴張되엿다. 새로 된 總督府 當局도 宣敎師 또는 一般敎人의 感情을 눅기어 주는 策으로 大正9年 4月에 布敎規則을 改正하야 敎會布敎所의 設立 等에 從來 許可를 要하던 것을 届出만 하면 足하게 하엿다.

己米 以後로 朝鮮 사람의 思想과 行爲예는 여러 가지로 變化가 생기는 中 몬저 「自己」라 하는 것을 찻게 되엿스며 自己를 찻는 同時에 다른 나라나 或은 다른 民族으로부터 온다는 모든 것을 밋지 못하게 되엿다. 더욱 돈만 알고 權力만 내서우는 資本主義 또는 帝國主義의 나라 政府가 얼마나 미덥지 못한 것을 아랏다. 그런뎨 이 미덥지 못한 나라 中에는 不幸히 米國도 한 목을 참견하엿다. 그래서 朝鮮 사람 中에 非基督信者는 勿論이오 基督信者의 多數까지 西人 宣敎師를 前가티 밋지 못할 뿐이 아니라 조곰 過激한 이는 基督宣敎師로써 富가 잇고 權力이 잇는 西國 資本階級의 側에선 一種의 魔術師라고까지 指目케 되엿다. 이러하야 朝鮮基督敎敎會 안에는 自治의 氣分이 濃厚하게 되며 때로는 이 問題로 緣起하는 彼此의 紛爭까지를 보는 今日이니 近來에 一般의 耳目을 놀내는 大邱 南城町敎會의 紛爭問題 가틈도 그 間의 하나일 것이다. 이러한 氣味를 아러채림인가. 長老이니 監理이니 할 것 업시 宣敎會本部로부터는 近來로 朝鮮에 對한 宣敎費의 幾分을 減削하고 그 代로는 一層 中國方面의 布敎에 力울 注하는 今日이라 한다.
그러나 外人 宣敎師問題 自治問題와 가튼 것은 오히려 枝葉問題이다. 朝鮮基督敎會에 잇서 正말로의 根本問題는 敎會의 思想問題일 것이다. 勿論 敎會의 思想이라 하면 聖經에 分明히 씨여 잇는 그것의 把持일 것인 바 問題될 것이 무엇이며 또는 問題가 된다할지라도 엇지 할 수 업는 것이 아니겟느냐 할 수도 잇겟지만 基督의 敎示 그것이 敎示 스스로만으로 무슨 作用을 할 수가 업고 오즉 사람이란 우리를 通하야서만 무슨 效用을 내는 것이 事實이라 하면 꼿 가튼 基督의 福音이라 할지라도 그 福音을 傳播하는 사람 或은 信仰하는 그 徒弟의 生活環境如何에 依하야 그 길리워지는 바 雰圍氣가 갓지 아늘 것은 分明한 事實일지라. 이 意味에서 우리 朝鮮의 基督敎會를 본다하면 처음부터 이 敎를 傳播한 이가 저 아메리카 몃 명 富豪로부터의 派遣을 바든 一種 售惠師에 지내지 못하엿고＜48＞ 이 敎를 밋고 指導하는 朝鮮人 中의 多大數가 市街地의 商人 農村의 地主 病院의 醫士學校의 設立者 等-달리 말하면 大槪로 中産級 以上의 生活環境을 가진 사람들인 바 이 敎會의 全思想 全氣分이 얼마나 物質化하고 野俗化하고 儀式化하엿슬 것은 不言可想할 바이다. 朝鮮의 基督敎가 正말로 今後 朝鮮의 運命을 正觀하고 十字架의 犧牲을 軆現하야 主예수께 보혀주신 富者로서는 드러가지 못할 天國을 이 땅 우에 實現하려면 民族自決의 自治問題보다도 自由主義의 敎政改革問題보다도 한 거름을 躍進하야 敎會의 全思想 全氣分의 轉換이라는 一事에 總動員하지 아느면 안될 것이다. 2, 30年 前부터 朝鮮의 啓蒙運動에 先驅된 基督敎人이엇지 今後의 朝鮮改造運動에라고 落後할 줄이 잇스리요. 己未 以後의 基督敎會의 具眼者는 어느듯 이 點엊� 着眼한 形迹이 뵈엿다. 그들은 아직것 엇더한 形式을 쓰고 나타나지 아엇스나 그 潛勢는 刻一刻으로 펄처저나가는 오늘이다. 英國의 엇던 基督敎 信者는 말하엿다.
『낡은 形式 낡은 制度 낡은 情想은 滅亡하고 새로웁고 찬란한 社會組織은 愛와 犧牲의 精神의 靈感 밋헤서 오리라. 그는 미리미리 約束되엿던 새로운 예루살넴인 故이다.
우리 宗敎家가 如何히 個人的 改善을 말하고 飮酒의 害를 嘆하고 當者의 慈善을 高調할지라도 우리가 强制的 貧乏의 原因을 除去하기까지는 空然한 計不入*의 非現實的 努力의 記錄에 頁數를 더함에 不過하리라』

漸漸 深化되는 天道敎
天道敎는 第一 己未 以後로 그 敎會의 太陽인 感이 잇던 第三世 先生 孫義菴을 일헛다. 니여서 自軆 안에는 크다라한 紛擾가 생겻섯다. 그래서 一時는 「天道敎도 이제는 말이 아니다」하는 말이 조흔 意味 낫븐 意味로 사람들의 口頭에 울낫섯다. 그러나 60餘 年의 血史를 갓고 몃 百萬 以上의 信徒를 가진 그 敎團이 그러케 쉽게 動搖에 맛칠 理는 업슬 것이라 不過 1,2年에 그들의 信仰은 更新되고 紛擾는 終熄되야 孫義菴 在世時의 敎况을 挽回하는 同時에 그의 表證이라 할가. 昨年 末에는 그 敎의 第一世 敎祖 崔水雲先生의 滿 百年을 紀念하는 紀念舘(約 50,000圓値의 建物)까지를 世上에 지여 보냇다.
가만히 보아오면 近代의 朝鮮에 잇서 가장 만흔 迫害를 바드면서 가장 세찬 運動을 繼續해온 이는 생각컨대 天道敎團 以上에＜49＞ 날 者가 업슬지니 그의 前身인 東學은 일즉히 30年 前 甲午에 社會改革의 鬪爭을 니르켜 結局 韓·日·淸 三國의 政府軍에게 壓倒는 되엿슬 망정 그의 氣魄은 꺽기지 아니하며 그의 眞理는 무치지 아니하야 甲辰이니 己未이니 할 것 업시 때만 오면 機會만 닥치면 그들은 언제든지 한 民族으로 한 人間으로의 할 바 일에 躕躇치 안엇다. 이제 叅考로 그들의 信奉하는바 主義 及 社會觀을 紹介하면
「사람 性과 한울은 하나이다. 한울이라 함은 무엇이냐. 天地萬有의 琴線에 걸처잇는 永遠旡極의 開闢性을 이름이다. 故로 우리 사람은 사람 自己 속에 잇는 한울性을 意識 實現함으로 해서뿐 사람과 사람 새는 勿論 宇宙萬有에 現存한 一切의 事實과 意識關係를 매즐 수가 잇스며 이 關係를 맷는 때에 사람과 사람 또 사람과 物은 비로소 한 線에 도라와 제각각 宇宙와 가튼 偉大로써 今不聞 古不聞 今不比 古不比의 새 生活을 할 것이다.」
「그런데 오늘 人間의 周圍環境과 社會組織은 根本的으로 사람의 한울性을 剝盡하려는 同時에 사람과 사람 乃至 萬有의 關係를 斷絶하야 各自 孤立 互相 搾取의 形勢를 助成하며 잇다. 이것이 天道敎의 主義로 보아 容認할 수 업는 일이다』
이것이 天道敎를 信奉하는 그들의 主義이요 信念이오 標的인 듯 십다. 말하면 東學主義의 醇化와 深化-이것이 近年 天道敎. 己未 以後 天道敎의 全軆인 듯 십흐며 이에 伴한 새 東學군의 增加-이것도 말하면 尋常치 아는 現像이라 하겟다.＜50＞
＜47-50＞
