**Header Section:**
Magazine Title: 삼천리 제9권 제1호
Publication Date: 1937년 01월 01일
Article Title: 伯林警視廳에 被逮記, 日本密偵의 嫌疑을 입어 (Account of Being Arrested by the Berlin Police Headquarters, Under Suspicion of Being a Japanese Spy)
Author: 獨逸醫學博士 鄭錫泰 (German Medical Doctor Chŏng Sŏk-t'ae)
Article Type: 회고·수기 (Memoir/Personal Account)

**Body Text Translation:**
Account of Being Arrested by the Berlin Police Headquarters, Under Suspicion of Being a Japanese Spy
						By German Medical Doctor Chŏng Sŏk-t'ae

Looking at recent newspapers, one sees that the Soviet Union has the "GPU" and Germany has the "Gestapo." Because of such systems, dozens of Germans have already been arrested in Moscow alone and their whereabouts became unknown. Last year, many Englishmen also unexpectedly lost their lives in Moscow, leading even to international issues. Also, receiving reports just the other day that a certain Nakayama, a Japanese national from the mainland, was sentenced to death by a military tribunal in Vladivostok under suspicion of being a spy by the Soviet GPU, one realizes that the number of those who have disappeared without a name, their locations unknown, suffering wrongful deaths, must be countless. It was just before Christmas in Taishō 11 (1922), with heavy snow falling just like these days, that I was arrested by the Berlin Police Headquarters under such terrifying suspicion. Recently, there are amicable terms between Japan and Germany like the Japan-Germany Pact, and also the solid foundation of the Nazi national administration, but at that time, the Empire had collapsed, and communists, social democrats, democrats, and all sorts of demons were rampant in broad daylight. Although Ebert had become President, it was much like Spain nowadays, no different from the Popular Front, a time when the government would round up rebels or foreign spies almost daily, stand them up on street corners, and execute them by firing squad. Moreover, at that time, concerning Germany, which had transferred its culture (engineering, medicine, law) and military regulations entirely to Japan over several decades, enabling Japan to become the great nation it is today, Japan had attacked even Qingdao during the Great War due to the difficult situation. As such, even when Japanese people walked meekly down the street, quick-tempered Germans would purse their lips and glare, making it impossible to even touch them. Of course, surveillance was so strict that if a Japanese person merely moved residences, they had to report in person to the relevant police station within 24 hours, or face punishment.

In the midst of such scrutiny, experiencing a danger that seemed like a falsehood from over 100,000 *ri* <146> away by land and sea, feels like a nightmare now as I write this experience down, but it seems true that I was half out of my mind at the time.

It was probably only about a week after arriving in Berlin. Of course, while I had no difficulty with specialized books in German, it was a time when I faced considerable difficulty with conversation for a while. However, I had already established my lodging in Charlottenburg, reported it to the local police, and was commuting daily to the Berlin University research lab, living a truly gentle and simple, fixed lifestyle without deviation. From anyone's perspective, there should have been not the slightest reason to suspect me of being a spy.

One deep night, perhaps around 4 a.m., just as I was finding my sole comfort in sweet dreams of my distant hometown, resting my body weary from the day in a warm bed, <147> I heard violent pounding on the door and the rough voices of men. According to Western customs, no matter how urgent the matter, it was etiquette never to wake a sleeping person; even if someone was taking a brief nap, it was common to wait until they woke up. Yet now, during the prime sleeping hours, this unusual commotion surely meant either thieves or a fire. Startled, I got up, opened my room door, and saw two rough-looking men, with the landlady standing behind them, looking at me with a worried expression, chattering something I couldn't understand the reason for at all. One of the men showed me a bronze badge; I didn't know what it was, but it said "Polizei," so it was probably proof that he was a Berlin police detective. One man stood me in a corner of the room, first searched my body to see if I had a six-shooter or anything, then rummaged through every nook and cranny, meticulously checking for any documents or evidence. When they were about to drag me away, not only did I still not know what was going on, but I was also scared and angry, wondering where they were taking me in this dark night. I asked why they were taking me, but communication failed between us, so we started communicating through writing (筆談). The detective wrote that I was a spy and had to go to the Police Headquarters. This was utterly unexpected. I showed them my passport, stating that the German Consul in Yokohama, Japan, had certified me as someone coming here for medical research, a person without greed, and proved that I was not such a person, but they paid no attention and were about to use physical force, demanding I come along immediately.

At that moment, I didn't know under what suspicion they called me a spy, but if I couldn't clear myself of this charge, I would inevitably face a wrongful, brutal death. If only a fellow countryman were here to witness this scene, they could go to the Japanese Embassy, explain this unjust situation, and negotiate. But what could I do if such a wrongful death occurred in a foreign land, ten thousand *ri* away? Suddenly, the scenes I had witnessed recently on the streets, of spies and rebels being shot, vividly appeared before me. <148> The sound of German army rifles, corpses falling dead, blood, bullets – spinning like images in a revolving lantern (步馬燈).

At that point, I screamed, "I won't go!" and resisted with all my might. But it was all useless. Powerlessly gripped on both sides, I was taken out onto the still-quiet, cold dawn street, my heart pounding like a startled bird's, overwhelmed with excitement, wondering what would happen next. In an instant, we arrived at the basement of the Berlin Police Headquarters. People went into this basement daily, but few came out. It was a living hell (生地獄). If I entered here, it would be eternal separation (永決終天). They stood me before the iron gate of a basement cell holding heinous criminals, grim and gloomy (悽慘하며 陰酸한), and told me to go in. There seemed no other way, but feigning ignorance, I gathered my last courage, struggled violently, and cursed indiscriminately in Korean, Japanese, and German, but they couldn't understand. Fortunately, the chief guard wasn't present, and lacking the key immediately, I was held by several detectives. I must have resisted in a way unimaginable now. I grabbed whatever my hands could reach and threw it, even hitting them with chairs, turning the place into a scene of carnage (修羅場). But in the end, it was futile. Firmly held, I resigned myself to fate (萬事休), waiting only for Heaven's will. As time passed and morning came, it must have been time for the senior officers to arrive. Someone in uniform, who seemed equivalent to a chief of the special affairs section here, appeared. As soon as he arrived, I acted even more foolishly, shouting and thrashing about. Whether this was my tactic (述策) or just good fortune, I was interrogated on the spot. He sat me down in front of his desk and said jokingly, "We saw through you as a spy long ago and have definite (的確) evidence. We arrested you early this morning before you could go elsewhere, so struggling further is useless."

"A spy? That's unthinkable for me. Didn't your diplomat clearly certify the purpose of medical research, as written in the passport?" I explained with all my might, but he acted as if it were utterly absurd, implying he wouldn't be fooled by such foolish tactics.

"Alright, I'll tell you the evidence for you being a spy. Why do you have two or three names? On this passport, it's written as (TEY) Tey, but in your correspondence, it's (CHUNG) Chŏng?"

"That's something you wouldn't know. I am originally Korean. As you know, due to the Japan-Korea Annexation, my name is Chŏng in Korean, but since this passport was issued in Tōkyō, Chŏng becomes Tey in the national language (Japanese), hence it turned out like this," I explained earnestly and detailedly.

However, he retorted,
"Absolutely absurd nonsense. Then, Christianity must exist in Korea and Japan <149> too. The person who gave birth to Jesus is Mary. So, if you translate this Mary into Japanese or Korean, what is she called? The German President is Ebert; what is that translated into Japanese? What is America's Washington or France's Napoleon translated into Korean?" he pressed relentlessly, like an iron demon (쇠귀신).

At this question, I lost even the courage to argue. How could proper nouns (固有名詞) be translated? Nevertheless, I stubbornly insisted, making all sorts of illogical excuses, emphasizing only that I was not a spy until the very end. He observed my every move closely, looked me up and down several times, then smiled, seeming to have sized me up. He likely concluded that a person like me wouldn't have the courage to be a daring military spy. After a moment, he said,

"You've been through trouble. You may leave. But because the times are so chaotic, it's standard practice to arrest and investigate all suspicious foreigners," and shook my hand. At that moment, more than joy, it felt like a heavy burden had been lifted. My winter underclothes were soaked enough to be wrung out. Startling someone has its limits; it felt as though several years had been taken off my life (減壽).

Is someone now calling me a coward? If so, perhaps it's because I haven't fully expressed the circumstances of that time. Just now, newspaper extras report that Chiang Kai-shek is dead in Xi'an, or maybe alive. Even the writing I've produced is chaotic; the world can certainly not be called simple.<150>

**Summary**

Dr. Chŏng Sŏk-t'ae recounts his harrowing experience of being arrested in Berlin in 1922 under suspicion of being a Japanese spy. Mistaken identity arose because his Korean name "Chŏng" (鄭) was rendered as "Tey" (the Japanese pronunciation) on his Japanese-issued passport. During a terrifying interrogation at the police headquarters basement, known as a place few left, he desperately argued his innocence. The German police officer mockingly challenged the idea that proper nouns could be "translated," highlighting the absurdity from his perspective. Ultimately, the officer seemed convinced Chŏng lacked the mettle for espionage and released him, leaving the author deeply shaken. From a historical perspective, the article reveals the precarious position of Koreans under Japanese rule traveling abroad with Japanese passports, the intense anti-Japanese sentiment and political paranoia in post-WWI Weimar Germany (even before the Nazis), and the potentially fatal consequences of bureaucratic misunderstandings regarding identity in a volatile international climate. Historians might find the specific details of the interrogation, the description of Weimar Berlin's atmosphere, and the reflection on Korean identity versus imposed Japanese identity valuable.

**Named Entities**
伯林	베를린	Pŏllin
엇던 深夜 아마 오전 4시 가령이였다. 나는 그날그날에 피로한 몸을 따듯한 자리에서 먼 故鄕의 딴꿈으로 유일한 慰安을 밧을 지음에<147> 문을 요란스러히 두다리면서 男子의 거치러운 목소리가 들닌다. 西洋風俗으로서는 아모리 긴급한 要件이 있다 하드래도 잠자는 사람은 결코 깨우지 못하는 禮儀이었으며 설사 잠시 낫잠을 자는 境遇라 하여도 깨기까지는 기다리는 것이 普通이였는대 只今 한참 자는 時間에 심상치 않은 이 소동에는 필연코, 盜적이나 火災가 안닌가 하여서 겁결에 일어나 내 房門를 여러제치고 보니 우락스러히 보히는 男子 두 명과 主人 마누라가 그 뒤에 서서 근심스러운 낫빗으로 나를 보고서 무어라는 소린지 짓거리나 나로서는 其 理由를 도모지 알 수가 없었다. 其中 한 男子가 銅牌를 내보이나 나는 무었인지 알 수가 없으나, 警察이라 쓰이여 있으니 아마 伯林警察 刑事라는 증명일 것이다. 한 者는 나를 방 한구석에다 세워두고 六穴砲나 안 가젓나 몸부터 搜査를 하고 무슨 書類나 있나 무슨 證據가 없나 하고 구석구석이 낫낫치 調査를 하고 나서 나 끌를고서 나가려 할 때 그때까지도 무삼 영문도 모를 뿐 안이라 이 깜깜한 밤에 어대를 바라고 갈가 겁도 나고, 분도 나서 웨 가자느냐는 曲節를 무렀으나 兩方의 意思가 疏通이 못 되여 筆談으로 始作를하였다. 其 刑事는 너는 密偵이니 警視廳으로 가자는 것이다. 그렇다면 千萬 뜻박기지 나는 醫學硏究次로 이곳에 왓다는 駐日橫濱獨乙領事가 證明하되 慾心없는 사람이고 「파쓰포드」에 씨여 있는 것을 내보이며 그러한 사람이 아니라고 證明을 하였으나, 들은둥 만둥 어서 나가자는 腕力行動을 쓰랴고까지 한다.
其 순간 엇더한 嫌疑로서 나를 密偵이라는지는 모르나 만일에 이 嫌疑에서 버서나지를 못한다면 依例히 어굴한 虐殺을 면치 못할 것이요, 누가 同鄕之人이나 같이 있어 이 觀景을 보앗다면 日本大使館에 가서 이런 어굴한 사정을 말하여 交涉도 하였으련만 萬里 異域에서 이와 같이도 어굴한 죽엄이 있다면 어찌하나 할 때 確然하게도 요사이 거리거리에서 密偵이나 反逆者들을 銃殺할 때 보이는 觀景이 낫타난다.<148> 獨己軍隊銃 놋은 소래, 죽어 넘어지는 송장, 피, 彈丸-步馬燈같지 핑핑 돈다.
그때 나는 「못 가겟다」 발악을 썼다. 그리고 힘껏 反抗을 하엿다. 그러나 모도가 쓸데가 없다. 힘었이 兩側에서 웅켜들니어서 아직도 잠잠한 새벽 찬 거리로 놀낸 새의 가슴 뛰는 모양으로 興奮에 욱바쳐 가슴이 울렁거리고 이 일을 將次 어찌하나하는 瞬間 벌서 伯林警視廳 地下室에 다다렀다. 이 地下室에는 每日같지 드러만 가면 나오는 사람은 別노히 없다. 生地獄이다. 여기만 내가 드러가면 永決終天이다. 悽慘하며 陰酸한 重罪囚를 잡어넛은 地下室鐵門 압헤 세우고, 드러가라고 한다. 別道理가 없는 形便이다만은 미런한 척하고 最後의 勇氣를 다하고, 발악도 하고 朝鮮말, 國語, 獨乙말 할 것 었이 함부로 辱說하였으나 저 자들은 알 바이 아니다. 때맛츰 看守長이 자리에 있지를 않어 미처 열쇠가 없어, 멫 刑事에게 붓들니여서 只今은 想想치도 못할 反抗을 하였든 모양이다. 손에 쥐이는대로 잡어 던지면 교의로 때리기도 하며 修羅場이 되였으나 結局 별수없이 꼭 붓들니여서 萬事休라 天運만 기다르든 때이다. 이럭저럭 아츰이 되여 上官出動時間이 되였는지 아마 이곳으로 말하면 高等課長이 되여보이는 制服입은 이가 오자마자 나는 좀 더 어리석은 척 하고서 소리소리를 지르고 몸부림을 첫다. 이것이 나의 述策인지 多幸하게도 즉석에서 신문을 받게 되였다. 그는 나를 자기 책상 앞에 앉히우고 농담으로 「너는 密偵인 것을 벌서부터 우리가 看破하고 的 確한 證據를 가젓으므로 아츰에 일즉이 또 다른 곳으로 가기 전 너를 檢擧하였으니 더 발악을 써야 쓸데가 없다」한다.
「스파이? 나는 夢想도 못할 條件이다. 파스포드에 씨운 것 같지 너희 外交官이 醫學硏究의 目的 이라 的 確히 證明을 하지 않었느냐」고 極力을 다하여 說明을 하였으나 그는 千萬에라는드시, 그런 어리석은 手段에는 속지 않는다는 뜻으로
「그러면 스파이 證據를 말할 터이니 웨 네가 일홈을 두 가지 세 가지를 가지고 있느냐, 이 파스포드에는 (TEY)데이로 되고, 네 便紙來往에는 (CHUNG) 정으로 되였느냐?」
「그것은 몰으는 말이지. 나는 본시 朝鮮사람으로서 아다십히 日韓合倂으로서 朝鮮말노 내 일홈은 정이라 하였으나 이 파스포드가 東京서 제작된이만치 정을 國語로 하면 데이로 되여 이와 같이 되였다」고 나 따는 정성스럽고 자세히 說明하였다.
그러나 그는
「千萬에 당치도 않는 소리다. 그러면 朝鮮이나 日本에도 그리스도敎가 있을<149> 터인대, 예수를 나은 사람이 즉 마리아다. 그러면, 이 마리아를 日本말노나 朝鮮말노나 번역하면 무어라 브르며, 獨乙大統領이 「에벨트」인대 日本말노 번역하면 무었이며, 米國 와싱톤이며 佛國 나포레온을 朝鮮말노 번역하면 무었이냐?」고 쇠귀신같지 물어댄다.
이 질문에는 나도 변명할 勇氣좃차 었다. 固有名詞를 번역하는 법이 어대 있을가, 그러나 나는 그냥 고집을 세우고 調理없는 가즌 변명으로 끗까지 密偵만 아니란 것만 力說하였으니 그는 나의 一動一節를 細密히 보며 아래 우를 멫번이나 흘터보드니 우슴을 띄우며 나라는 人物도 看破한 모양이다. 이런 人材가 大膽하게도 軍事密偵이나 할 勇氣가 없겟다고 自信한 모양으로 한참 있드니
「수고했소. 나가도 조흐나 時局이 이같지 混亂하여서 疑心스러운 外國人은 모다 븟잡어다 調査를 하는 법이요」하면서 握手한다. 其 순간 깃븜보다도 무건 짐을 버서논 듯이 겨울 속옷이 저저서 쥐여짜게 되었으니 사람을 놀내게 하여도 程度가 있지 몇 해 減壽가 된 듯 하였다.
只今 누가 날더러 비겁하다고? 그렇다면 그때 情景을 充分히 表現치 못함에 있지 않을가 한다. 方今 新聞號外에 蔣介石氏가 西安서 죽었다기도 하고, 살었다기도 한다. 내가 쓴 글좃차 어수선한 것이 世上이 결코 單純타고는 할 수가 없다.<150>
<145-150>
