잡지명	동광 제10호
발행일	1927년 02월 01일
기사제목	規模의 人 - 尹致昊씨 (A Man of Scale - Mr. Yun Ch'i-ho)
필자	李光洙
기사형태	회고·수기 (Reminiscence/Memoir)

A Man of Scale - Mr. Yun Ch'i-ho
						Yi Kwang-su

I recall first seeing Mr. Yun 23 years ago from now. At that time, I was a 14-year-old boy, and he was a middle-aged gentleman of about 40. At the time, he held the position of *Oebu Hyŏpp'an* (外部協判, Vice Minister of Foreign Affairs) for Korea and was on his way back from America when he came to the private school where about 20 of us students were preparing for enrollment. Back then, I had resolved that after finishing my studies, I would first become the Minister of Education and then the Prime Minister, so I didn't regard a mere Vice Minister of Foreign Affairs as particularly great, only seeing him as someone short whose glasses gleamed intensely. "They say he speaks eight languages," one classmate exclaimed in admiration, as if he knew best. Among those, I heard praise that his English was even better than a Westerner's.

Mr. Yun indeed possesses a special talent for languages. I don't know which eight languages were referred to, but as far as I know, his English was such that he interpreted between the Great Monarch and the British and American ministers starting from the Kapsin Coup led by Kim Ok-kyun. Also, being a graduate of Emory University in America, it goes without saying. He was proficient enough in Chinese to consider marrying a Chinese woman, or perhaps because he did so, his Chinese is beyond question. He was originally good at Japanese, but he became even more fluent during the time he was dragged through the courts for the alleged plot to assassinate the Governor-General. It is said he mastered French while imprisoned in Taegu Prison for the same incident. Thus, apart from Korean, his fluency in English, Japanese, Chinese, and French—four languages—is certain.

However, Mr. Yun Ch'i-ho's fame, of course, does not stem from his linguistic abilities, nor from being the son of Yun Ung-nyŏl, the Minister of War (兵曹判書) whose influence was formidable during his prime. It's not because he was the founder of the Southern Methodist Church based in Songdo and its affiliated enterprises, nor due to his wealth, said to yield over 7,000 *sŏk* (石) of rice harvest annually. He is famous as a fighter during the Independence Club era and as the manager of the *Tongnip Sinmun* (獨立新聞, The Independent), whose chief editor at the time was Sŏ Chae-p'il.

At that time, Mr. Yun was an enlightened youth (開化黨) in his early 30s with a Western education, and Mr. Sŏ Chae-p'il was a comrade and close friend of the same age and similar aspirations (志趣).
However, due to the disturbance involving the Min clan's peddlers (褓負商), the Independence Club was shattered, and its comrades scattered, some imprisoned (刑獄), others exiled (亡命).

After that, Mr. Yun entered government service, starting as the supervisor (監理) in Wŏnsan and later becoming the Vice Minister of Foreign Affairs. After the Protectorate Treaty, he devoted himself entirely to the church and educational work. It is certain that the primary reason he became implicated in the Governor-General assassination plot was his withdrawal from government service. Mr. Yun, whose spirit resonated with Mr. An Ch'ang-ho (志氣相通), became the founding chairman of the Ch'ŏngnyŏn Haguhoe (靑年學友會, Young Men's Study Association) and the principal of Taesŏng School (大成學校) in P'yŏngyang. The Ch'ŏngnyŏn Haguhoe was the detached force (別動隊) of the Sinminhoe (新民會, New People's Association), arguably Korea's first <8> most organized political society, and Taesŏng School in P'yŏngyang was the primary project and headquarters for the educational revitalization aspect, one of the Sinminhoe's three major initiatives (political association, industrial promotion, educational promotion). Being recommended as the leader for such endeavors became the second reason he was implicated as the ringleader (首謨者) in the plot to assassinate Governor-General Terauchi.

Upon his release from Taegu Prison, Mr. Yun delivered a lecture titled "Awakening at Fifty" (50而覺) at the YMCA Hall (靑年會館) in Chongno. Although I did not hear the lecture directly, its gist was reportedly: "Rash actions bring us no benefit. Only strength can save Korea; strength comes from the moral and intellectual cultivation of the youth, and thereafter from steady efforts in education and industry." This caused great dissatisfaction among the youth of the time, who were extremely politically agitated and held radical tendencies. The disappointment among the youth was as great as their expectations of him had been.

After this lecture, Mr. Yun led an even more reclusive (隱遯的) life. However, he is by no means someone who would forget the welfare of Korea. Even while living reclusively, he has continuously strived for Songdo Higher Common School (松都高普), Hosudŏn Girls' Higher Common School (好壽敦女高普), and the YMCA.

Nevertheless, the general sentiment among the youth towards him remained one of dissatisfaction. They criticized him as someone who, despite having the reputation, talent, wealth, and position to do greater things, indulged only in personal comfort and forgot worldly affairs. I was one such person.

Then, during the Kimi Year (1919), while I was wandering in Shanghai, I met Mr. An, Mr. Yun's former comrade.
"Although Yun may be a cautious, conservative figure (守成의 人物), I firmly believe in his will (志) and sincerity (誠) to love Korea and work for Korea," he repeatedly emphasized. Hearing this, I and others who heard him regained respect and consideration for Mr. Yun.

From that time on, I developed a kind of curiosity to know more about Mr. Yun and, since returning to Korea, have tried to understand his thoughts and personality. Being naturally disinclined to visit others, I have only visited him once at his residence in Kongp'yŏng-dong, otherwise merely exchanging a word or two upon encountering him at meetings or on the street. However, during this time, I gained various insights about him.

First, he always carries some book. Second, on Saturdays, he takes his wife and children to dine at the YMCA restaurant. Third, on Sundays, he attends church services (宗橋 禮拜堂). Fourth, when his young child is sick, unless it's serious, he never calls a doctor but personally carries the child to the hospital; the only times he rides a rickshaw are when carrying a sick child and when going from Kaesŏng Station to his North Village (北村) home; otherwise, he walks. Fifth, on rainy days, he wears long boots and carefully picks his way across dry ground to avoid splashing mud. Sixth, he rarely wears Western clothes, but even with Korean attire, he always wears a Western-style overcoat. Seventh, even for sums of 2 or 3 *wŏn*, he invariably uses a bank check. Eighth, in his vest pocket, he keeps a knife with a wooden handle and sheath, its handle tied with a cord, along with his watch chain, key chain, wallet chain, notebook cord, and handkerchief cord (?), all securely fastened askew through a buttonhole of his vest <9>. And so on, and so on.

The points listed above are facts I have witnessed on various occasions, and I trust that astute readers can sufficiently infer an aspect of his character from these alone.
However, if I were to stop after merely providing the readers with the above facts, I feel I would not be doing justice (쩌스티쓰) to Mr. Yun. Therefore, I believe it necessary to also list facts I have heard from reliable sources.

First. It is said that Mr. Yun strictly budgets for his household annually, monthly, and weekly. For example, his eldest son, Yŏng-sŏn, an agricultural science graduate from America (米國 農學士), receives 200 *wŏn* per month. This covers the living expenses for the son, his wife, and children, and also includes Mr. Yun's lunch expenses when he stays in Songdo, where his son-in-law (春府) resides. Furthermore, income from Yŏng-sŏn's ranch, apiary, and management of the Songdo High Weaving Factory naturally goes into the family's general account. The weekly dinner at the YMCA is, of course, included in the budget.

Second. Mr. Yun annually assists several students studying in America with travel and tuition fees, but the conditions are interesting:
(1) The student must be studying theology, science, or practical industry (實業).
(2) The student must have secured more than half of the travel or tuition fees.
(3) The student must not beg (哀乞).
The reasons given are: (1) Koreans must first learn how to make a living. (2) Those who do not exert their own utmost effort and instead rely unreasonably on others have no future prospects (將來之望). (3) Those lacking the self-respect (自尊心) to beg, bowing 100 or 1,000 times, cannot become significant figures. Mr. Yun's sons also all majored in agriculture.

Third. It is said that Mr. Yun reads through all sorts of periodicals and newly published books issued in Korean. About ten years ago, I saw an essay I had published in a certain magazine (about Korean Christianity) translated and published in an English-language magazine, and furthermore, he had written a rebuttal to it. From this, I understood Mr. Yun's "respect for others' opinions," and it is said he approaches the writings of young juniors with this attitude.

Fourth. He invariably takes a walk before meals (食前 散步) and meticulously follows scientific and regular patterns in diet (飮食), lodging (居處), labor (勞役), and rest (休息), making him an astonishing hygienist (衛生家). His mental and physical health (心身의 健康), which makes him look barely over 50 rather than his unbelievable 64, is said to stem from this.

Fifth. He deeply loves promising juniors (有爲한 後輩), to the point of showing them respect (尊敬). And so on, and so on.

I have not drawn any conclusions (斷案) about Mr. Yun's character above, intending to leave that to the reader's own judgment (判斷).
"He's weak (弱해서)."
This is a common assessment of Mr. Yun. It means he has the intention to act but cannot due to weakness (弱して) and fear (㤼). However, during his time as supervisor (監理) in Wŏnsan, it is said he arrested a Westerner and had him flogged (볼기를 때리었다), for which the people of Wŏnsan still praise him as the "strong-boned supervisor" (硬骨監理). Whether the strong principles (硬骨) of his youth have truly softened (軟化) or not, we can only wait to see in the future. I will just add one word (一言): I believe Mr. Yun will yet have "his day" again.

Do not seek to live long, but to live well. Measure not the length of life (生命) by years (歲月), but by deeds (事業).
- Watkins -<10>

**Summary**

Yi Kwang-su reminisces about Yun Ch'i-ho, a prominent Korean figure known for his complex history involving the Independence Club, government service, educational work, and imprisonment related to an alleged assassination plot. Yi initially viewed Yun critically after Yun's post-prison lecture advocating gradual self-strengthening over radical action. However, Yi's opinion softened after hearing An Ch'ang-ho vouch for Yun's patriotism. Yi then details Yun's meticulous, disciplined, and somewhat eccentric personal habits (linguistic talent, regular routines, careful budgeting, specific conditions for supporting students) and notes his reputation for being "weak" despite past instances of firmness. Yi concludes by expressing belief that Yun may yet play a significant role again. From a historical perspective, the article offers a contemporary (1927) view of Yun Ch'i-ho by a major intellectual figure, Yi Kwang-su, revealing the debates and disillusionment surrounding formerly radical figures adapting to colonial realities. It highlights the tension between gradualist self-strengthening advocated by figures like Yun and the more impatient or radical sentiments among younger Koreans, providing insight into the differing strategies within the nationalist movement during the 1920s. Yi's personal observations also paint a vivid picture of Yun's daily life and character.

**Named Entities**

尹致昊	윤치호	Yun Ch'i-ho
大邱監獄에서 나오는 길로 氏는 鍾路 靑年會館에서 『50而覺』이라는 一場의 講演을 하였다. 나는 그 講演을 直接 듯지 못하였거니와 『輕擧妄動은 우리에게 아무 利益도 주지 못한다. 朝鮮을 救濟할 者는 오직 힘이니 힘은 靑年들이 道德的으로 知識的으로 修養함에서 나오고 그러한 뒤에도 敎育과 産業을 위하여 꾸준히 努力함에서 나온다』는 要旨였었다고 한다. 이것이 當時 政治的으로 극히 興奮하여 急進的 傾向을 가지었던 靑年에게는 큰 不滿을 주었던 것이다. 氏에게 기대한 것이 크었던 이만콤 靑年의 失望은 크었던 것이다.
이 講演이 있은 후붙어 氏는 더욱 隱遯的 生活을 하였다. 그러나 氏는 결ㅎ고 朝鮮의 福利를 잊을 사람이 아니다. 隱遯的 生活을 하는 중에도 氏는 松都高普, 好壽敦女高普, 基督敎靑年會를 위하여서는 間斷없는 努力을 하여 오았다.
그렇지마는 一般 靑年들이 氏에게 대한 感情은 如前히 不滿하였었다. 좀 더 큰 일을 할 쑤 있는 名望과 才能과 財産과 地位를 가지고도 一身의 安樂에만 耽하여 世事를 잊어버린 사람이라 氏를 非難하였다. 나도 그러한 사람 중에 하나였었다.
그러다가 己未年 間에 내가 上海에 流浪할 때에 氏의 예전 同志이던 安씨를 만나아
『尹씨는 戰戰兢兢한 守成의 人物일찌언정 그가 朝鮮을 사랑하고 朝鮮을 위하여 일하려 하는 志와 誠을 나는 굳게 믿노라』
하고 屢屢히 力說함을 듯고 나와 및 나와 같이 그 말을 들은 사람들은 다시 氏에 대하여 尊敬과 鄭重을 갖게 되었다.
그 때붙어 나는 氏에게 대하여 알려 하는 一種의 好奇心을 가지고 歸國以來로 氏의 思想과 人格을 알아보려 하였다. 원악 남을 訪問하기를 싫어 하는 나는 일쯕 한 번 氏를 公平洞 自宅에 訪問한 것 밖에는 訪問한 일이 없었고 다만 혹은 어떤 會席에서 혹은 路上에서 그를 만나아 1,2語를 交할 뿐이었었다. 그러나 그러는 동안에 나는 氏에 대하여 여러 가지 知識을 얻었다.
첫째 그는 항상 무슨 書籍을 들고 다니고 둘째 그는 土曜日이면 夫人과 자녀들을 다리고 靑年會 식당에서 晩餐을 하고 셋째 그는 日曜日이면 宗橋 禮拜堂에를 가고 넷째 그는 어린 얘가 병이 나면 重病이 아닌 限에는 결ㅎ고 醫師를 부르지 아니하고 몸소 아이를 안고 病院에를 가는데 그가 人力車를 타는 境遇는 病兒를 안은 때와 開城驛에서 北村 自宅에 가는 때요 그렇지 아니 하면 徒步요 다섯째 그는 비오는 날이면 長靴를 신고 흙 안 뛰게 가만가만 마른 땅을 곪아 집고 여섯째 그는 좀처름 洋服을 입지 아니하되 朝鮮옷에도 반듯이 洋服外套를 입고 일곱째 비록 2,3圓의 돈이라도 꼭 銀行 小切手를 쓰는 것 여듧째 그는 조끼주머니에 나무자루 나무집 한 칼을 자루에 끈을 뀌어 時計와 열쇠ㅅ줄과 돈지갑ㅅ줄과 手帖줄과 손수건줄과(?) 아울러 조끼＜9＞ 단추ㅅ구멍에 꼭 빗그러 매어 두는 것. 其他 其他.
以上에 臚列한 것은 내가 이 機會 저 機會에 目擊한 事實이어니와 聰明하신 讀者는 이것만으로 足히 氏의 性格의 一端을 斟酌하리라고 믿는다.
그러나 내가 以上의 諸事實만 讀者에게 提供하고 다 하면 나는 氏에게 대하여 쩌스티쓰를 다하였다고 할 쑤 없을 듯 함으로 내가 믿을만한 이에게 들은 事實도 臚列할 必要가 있다고 믿는다.
첫째. 氏는 家庭에서 꼭 每年 每月 每週의 豫算을 세운다고 한다. 一例를 들면 그의 長子요 米國 農學士인 永善군에게는 每朔 200圓을 주되 이것은 君 內外와 자녀의 生活費요 또 君의 春府되는 氏의 松都 在留 時의 午餐費를 포함한 것이라고 하며 또 永善군의 牧場, 養蜂場, 松高織 工場支配人 收入은 당연히 家庭 晩餐費도 이 家庭 총회계로 收入이 된다고 한다. 1週 1次의 靑年會 식당 豫算 중에 포함되었슴은 물론이다.
둘째. 氏는 年年 數 名의 米國 留學生의 旅費와 學費를 補助한다는데 그 條件이 재미 있으니
(1) 神學이나 科學이나 實業을 배우는 者일 것.
(2) 半額 以上의 旅費나 學費의 準備가 있는 者일 것.
(3) 哀乞하지 않는 者일 것.
이라고 한다. 그 이유로 (1) 朝鮮人은 爲先 먹을 공부를 하여야 한다. (2) 제가 있는 힘을 다 쓰고도 不足한 者가 아니고 터문이 없이 남만 依賴하려 하는 者는 將來之望이 없다. (3) 100拜 1,000拜하고 哀乞하도록 自尊心이 없는 者는 人物이 되지 못한다. 이것이라고 한다. 氏의 아들들도 다 農科다.
셋째. 氏는 朝鮮文으로 幹行되는 각종 定期刊行物과 新刊書를 通讀한다고 한다. 10餘年 前에 내가 어떤 雜誌에 실었던 論文(朝鮮 耶穌敎에 대한)을 某 英文雜誌에 譯載하고 그 뿐더러 그것이 대한 反駁文까지 쓴 것을 보고 氏의 『人의 意見을 尊重함』을 알았거니와 氏는 이러한 態度로 어린 後輩의 文을 대한다고 한다.
넷째. 반듯이 食前 散步를 하고 飮食, 居處, 勞役, 休息을 꼭 科學的으로 規則的으로 하여 놀랍은 衛生家라고 한다. 64라면 믿지 못할 만콤 한 50이 넘을락 말락 해보이는 그의 心身의 健康이 여긔서 오는 것이라고 한다.
다섯째 그는 有爲한 後輩를 극히 사랑하되 尊敬하는 程度로 사랑한다고 한다. 其他 其他.
나는 以上 氏의 性格에 대하여 아무 斷案도 나리지 아니 하였거니와 그것은 讀者 자신의 判斷에 맡기려 함이다.
『弱해서』
하는 것이 氏에 대한 評이다. 일을 할 맘은 있으나 弱해서 㤼이 나서 못한다는 뜻이다. 그러나 氏는 일쯕 元山 監理ㅅ적에 西洋人을 붓들어다가 볼기를 따리었다 하여 元山人民은 지금까지 『硬骨監理』의 稱頌을 하고 있다. 진실로 壯年 時의 硬骨이 軟化하여 버리었는지 아닌지는 앞날을 기다릴 길 밖에 없다. 다만 氏는 한 번 더 『그의 날』을 가질 것을 나는 믿는다는 一言을 하여 둔다.

오래 살려고 하지 말고 좋이 살려고 하라. 生命의 長短을 歲月로 定하지 말고 事業으로 하려고 하라.
-왓킨쓰-＜10＞
＜8-10＞
