**Header Section:**
Magazine Title: 삼천리 第五卷 第九號
Publication Date: 1933년 09월 01일
Article Title: 英國汽船 船長 申君, 大西洋航行의 優秀船 船長으로 (British Steamer Captain Mr. Sin, as Captain of an Excellent Ship on the Atlantic Route)
Author: Not specified
Article Type: 소식 (News/Report)

**Body Text Translation:**
British Steamer Captain Mr. Sin, as Captain of an Excellent Ship on the Atlantic Route
The Great Spirit of a Korean Man Expressed
Navigation Calliage
This is Britain's top merchant marine academy. Do you all know Mr. Sin Sŏngmo (申性模), who graduated from this Merchant Marine School and is serving as the captain of the excellent ship, the MG Maru, owned by the major shipping company "Ppuryugŭ, Wana" (뿌류그, 와나) in London?

That ship is a 10,000-ton class vessel, an excellent passenger ship that regularly sails the Atlantic (太西洋). Occasionally, perhaps once every few years, it takes the London-Yokohama route and visits the East (東洋).
A Korean man, Mr. Sin, sailing across the waves of the Pacific and Atlantic as the captain of a large ship belonging to a British company, the pride of the world. This name must surely deliver a very pleasing melody to our ears.
What kind of person is he?

About ten years ago, there was a Korean youth who graduated with excellent results from the Chinese Naval Academy (中國海軍士官學校). He was one of the brilliant talents whom Sun Wen (孫文) highly praised. A Naval Academy! Doesn't that path itself already strike us as unexpected?
Then came 1918. He took off his naval officer's uniform and rushed busily through the wide streets of Shanghai (上海), finding them too narrow, just as all the residents seemed to do in those times!
He experienced many hardships here and there. Accordingly, the deeds accomplished by his own hands shone in various ways.
However, the storm passed. Watching all this unfold, he resolutely made up his mind about something. When the moonlight sank and shattered on the waters of the Huangpu Bund (黃浦灘), he went unnoticed to the Shanghai Pier (上海埠頭) and boarded an Italian (伊太利) steamer bound for Europe (歐羅巴).
That man was Mr. Sin Sŏngmo (申性模).

He went to London and studied while working hard. Thousands of miles away in a foreign land, studying diligently among foreign students, he faced many unknown persecutions and hardships. Upon arriving in London, he was first busy preparing foundational knowledge, then entered the London Merchant Marine School (倫敦商船學校). This Merchant Marine School is a renowned institution, counted among the best in all of Europe (全歐羅巴)—perhaps the best in the world. Its difficult entrance exam is famous throughout Britain (全英國).
He completed the six years of coursework and practical training without being overshadowed in the slightest by students from other countries. Brilliant students from Britain, America, France, and Germany gather at this school. Among these talents, the Korean youth raised Korea's reputation (聲價).
Everyone was astonished.
He received his glorious graduation certificate. He wept at the London Docks (倫敦埠頭). Students from other countries would return to their homelands and become government shipbuilding engineers, build warships... But where was Sin's path?
After tearfully bidding farewell to his classmates from various nations, he turned back and hid his lonely shadow in the foggy streets of London.
The "Ppuryugŭ Wana" (뿌루그·와나) Merchant Shipping Company is as famous as the Ōsaka Shōsen (大阪商船) or the Nippon Yūsen Kaisha (日本郵船會社). In Britain, Ppuryugŭ Wana and the "Hwait'ŭssisŭt'ŏ" (화잇씨스터) company are the most famous.
Hearing of his brilliant reputation, this famous Ppuryugŭ Wana company invited Mr. Sin Sŏngmo with generous terms and humble entreaties (厚弊低辭). At first, he served as the Chief Officer (즉 일등운전사), the captain's second-in-command, on the MG Maru. Then, owing to his truly amazing character and talent (才操), he soon (未幾) became the captain.
The young captain, cutting through the white waves across the Atlantic (大西洋)—is he now in triumph, or in despair?

His hometown is Miryang (密陽), Kyŏngsang Province (慶尙道). It is said that the renowned Mr. Yi Yusŏk (李有石) of the Yŏngnam region had promised to provide his school expenses, but as the promise was not fulfilled, he consistently supported himself through hard work and study.
His father-in-law is an official currently serving as the Chief of the Postal Bureau in the Nanking Government (現南京政府 郵務局長). Is Sin 38 years old this year?
Mr. Sin Sŏngmo! When are you coming back?
(There are many stories about Mr. Sin, but due to circumstances, they are withheld for now.) <87>

**Summary**

This 1933 news report from the magazine *Samch'ŏlli* celebrates Sin Sŏngmo, a Korean man who became the captain of a major British passenger ship (the MG Maru, owned by "Ppuryugŭ Wana" line, likely the Blue Funnel Line) operating on the Atlantic route. The article traces his path from graduating the Chinese Naval Academy, enduring hardships in Shanghai, studying arduously at the prestigious London Merchant Marine School, and rising through the ranks from Chief Officer to Captain based on his talent and character. It highlights his exceptional achievement as a Korean succeeding in a high-profile international position during the colonial period and expresses a longing for his return. For historians, this article is interesting as it showcases Korean aspirations and achievements on an international stage despite the limitations of colonial rule. It reflects a sense of national pride projected onto an individual succeeding abroad and provides insight into the networks (Chinese Naval Academy, Nanking Government connections) and challenges (financial hardship, discrimination) faced by Koreans seeking opportunities outside the Japanese empire. The mention of specific shipping lines and the London Merchant Marine School offers concrete details about international maritime operations and education in the era.

**Named Entities**

英國	영국	Yŏngguk (Britain)
깁흔	깊은	Deep (older spelling of 깊은)
거림자	그림자	Shadow (older spelling of 그림자)
주식회사	주식회사	Corporation, Co., Ltd.
듯고	듣고	Hearing (older spelling of 듣고)
후폐저사	후폐저사	With generous gifts and humble words (厚幣低辭 - a set phrase)
초빙	초빙	Invitation (to recruit someone)
일등운전사	일등운전사	Chief Officer (lit. First Class Navigator/Operator)
차장	차장	Deputy head, second-in-command
잇섯다	있었다	Was, existed (older spelling of 있었다)
놀나운	놀라운	Amazing, surprising (older spelling of 놀라운)
인격	인격	Character, personality
재조	재조	Talent, skill (才操)
미기	미기	Soon after, before long (未幾 - Hanja term)
백파	백파	White waves
고향	고향	Hometown
학자	학자	School expenses, educational fund
대어주다	대어주다	To provide, supply (funds)
이행	이행	Fulfillment (of a promise/duty)
안어서	않아서	Because not... (older spelling of 않아서)
일관	일관	Consistently, throughout
장인	장인	Father-in-law
현관	현관	Incumbent official, high-ranking official
우무국장	우무국장	Chief of the Postal Bureau
사적	사적	Personal history, facts, deeds
만흐나	많으나	Although there are many (older spelling of 많으나)
사정	사정	Circumstances, situation
보류	보류	Withholding, reservation
함니다	합니다	Do, does (formal polite ending, older spelling)


---------------------------


잡지명	삼천리 제5권 제9호
발행일	1933년 09월 01일
기사제목	英國汽船 船長 申君, 大西洋航行의 優秀船 船長으로
기사형태	소식

英國汽船 船長 申君, 大西洋航行의 優秀船 船長으로
朝鮮男兒萬丈意氣吐
Navigation Calliage
이것은 英國의 最高商船學校다. 이 商船學校를 마치고 倫敦에 잇는 큰 배 회사 「뿌류그, 와나」의 소유 우수선, MG 丸에 선장으로 잇는 申性模 氏를 여러분은 아는가.
그 배는 1만톤 級으로 太西洋을 정기적으로 航行하는 우수한 客船인데 각금 몃 해에 한 차레 정도로 倫敦, 橫濱間의 항로에도 就하야 東洋으로 방문 오는 때가 잇다.
조선 사람으로서 세계의 자랑인 英國會社의 큰 배 선장으로 太平洋과 大西洋의 물결을 갈느고 다니는 미스터·신. 이것은 우리들의 귀에 대단히 깃분 멜로듸를 전하는 일홈이 아니되면 안된다.
그는 엇던 사람인고?

지금부터 십여 년 전에 中國海軍士官學校를 우수한 성적으로 졸업한 朝鮮靑年이 잇섯다, 그는 孫文이 極力稱讚한 수재중의 한 사람이엇다, 海軍士官學校! 그 길부터 벌서 우리들의 意表에 뛰어 나지 안느냐.
그러자 1918년을 當하엿다. 그는 해군 사관복을 버서 버리고 너른 上海의 길을 좁다고 분주히 다라다녓다, 그 시절의 모든 거류민이 그리하든 모양으로!
그는 처처에서 풍상을 만히 격것다. 그만치 그의 팔 안에서 되어가는 일도 여러 가지로 빗낫다.
그러나 폭풍우는 지낫다, 이 모든 광경을 바라보든 그는 무엇인가 단연히 결심한바 잇서 黃浦灘 물결에 달빗이 잠기여 바서질 때 아모도 모르게 上海埠頭에 나가 歐羅巴로 가는 伊太利 汽船에 몸을 실엇다.
그가 申性模 氏엿다.

그는 倫敦 가서 苦學하엿다, 異域萬里에 가서 외국인 학생 속에 끼어 螢雪의 功을 닥는 그의 몸에는 남이 모르는 迫害도 만헛고 고난도 만헛다. 그는 倫敦 가서 처음은 기초지식의 준비에 분주하다가, 倫敦商船學校에 입학하엿다, 이 商船學校는 全歐羅巴에서 손꼽는 유명한 學府다, 아마 세계 최고의 學府리라, 그 입학시험이 어려운 것은 全英國에서도 유명하다.
그는 6년의 학과와 실습을 다른 나라 학생에 조곰도 손색이 업시 마첫다, 이 학교에는 英米法德 각국 수재들이 모여든다, 그 수재 속에서 조선 청년은 조선의 聲價를 내엇다.
모다 경탄하엿다.
그는 영광의 卒業狀을 탓다, 그는 倫敦埠頭에서 울엇다, 다른 나라 학생들은 고국에 도라만 가면 정부의 造船技師도 되고, 군함도 만들고... 그러나 申은 갈 길이 어듼가.
여러 각국의 학우들을 눈물로 작별한 그는 다시 도라서 안개 깁흔 론돈 시가로 외로운 거림자를 감추엇다.
「뿌루그·와나」 商船株式會社라 하면 마치 大阪商船이나, 日本郵船會社 모양으로 유명한 회사다. 英國에는 뿌루그·와나와 화잇씨스터 회사가 가장 유명하다.
이 유명한 뿌루그·와나 회사에서 秀才한 명성을 듯고 厚弊低辭로서 申性模 氏를 초빙하엿다. 처음은 그는 MG 丸의 Cliaf officer
즉 일등운전사로서 선장 차장으로 잇섯다, 그리다가 과연 놀나운 인격과 才操에 未幾에 선장이 되엇다.
白波를 차며 大西洋을 가는 청년 선장 그는 지금 得意라 할가, 失意라 할가.

그의 고향은 慶尙道 密陽이다. 嶺南 유명한 李有石 氏가 學資를 대어줄 약속을 한 일이 잇섯다 하나 약속을 이행치 안어서 그는 고학으로 一貫하엿다 한다.
그의 丈人은 現南京政府 郵務局長으로 잇는 현관이다, 申은 금년 38인가.
申性模 君! 君은 언제 도라오는가.
(氏에 대한 事績이 만흐나 사정으로 아직 保留함니다.) ＜87＞
