**Header Section:**
Magazine Title: 동광 제33호
Publication Date: 1932년 05월 01일
Article Title: 讀書室 (Reading Room)
Author: 요한 (Yohan)
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
Reading Room
*Nosan Sijo Collection* (*鷺山時調集*)
By Yi Ŭn-sang (李殷相)

If we were to grant the honor to this *Nosan Sijo Collection* of having perfected the *sijo*, the only classical poetic form possessed by the Korean people (朝鮮人), in both its Form (型) and Thought (想), I know there would likely be many who would immediately protest that this is excessive praise. However, if my immediate impression is not mistaken, there is likely no other *sijo* writer or *sijo* collection revealed up until today that displays such a refined style and unified conception as this one. Collections by deceased poets are exceedingly rare, and among those rare ones, it is even harder to find someone who could be called a systematic *sijo* writer; most treated it merely as an avocation (餘技), capturing only one or two inspirations. Of course, one might think that among them, many composed works but the majority were not transmitted, yet this also serves as counter-evidence that the recognition of *sijo* was very weak.

Now, Nosan (鷺山) is deeply versed in other fields as well, but he is also a devoted scholar (篤學者) concerning *sijo*. Therefore, the reason why his *sijo* collection today appears to be the orthodox perfection of the Korean Classics (朝鮮 古典) can be seen in his profound research in this field over the years. Not only can one find such classical refinement (古典的 整齊) in its form, but also in its thought, one can find the pinnacle of the so-called "*sijo*-like" sentiment, to the point that, from our perspective, it could even be seen as excessively classical. This should be called an outflow of classical taste, naturally "infected" (感染) while he immersed himself in reading countless old *sijo*.

Hoisting two or three sails to the river wind, the boat enters the port (浦口) at a slant.
Turning back at sunset, the mundane world (塵寰) is just as it was.
Drunken guests gather at the riverbank (江頭), coming and going.

Gazing upon the spring pond (春塘), the colors of spring have arrived,
But on the closed window of Kyŏngch'un Hall (景春殿), only spiderwebs are tangled.
A visitor passing through the corridor (廻廊) is moved to tears.

I shall live in Kŭmgang (金剛), I shall live in Kŭmgang!
Taking the clouds and mist with me, I shall live in Kŭmgang.
Famous temples (名刹) corrupted by the red dust (紅塵), would I even acknowledge them?

These are merely examples picked here and there as they came to hand, but they are exceedingly classical, exceedingly perfect classical forms. In this sense, it would not be an overstatement to call Nosan the most representative successor and perfecter of the classic Korean *sijo*. Consequently, for us who look towards a new era, it is this very point of excessive perfection that we regard with dissatisfaction. The *sijo* of the new era must possess a new cadence and new conception.

The experimental composition (試作) of two-stanza *sijo* is a very interesting matter; I welcome it as one of the efforts to break away from the classics. In any case, this *sijo* collection can be called an unparalleled textbook for those wishing to learn *sijo*. At this time when many are interested in *sijo*, and from the perspective that sees a high possibility of this becoming popularized as a type of people's poetry (민중시가), I wish to widely recommend this *sijo*. Here, let me select a couple of gems from the many jewels as samples (見樣) and put down this brush.

Looking out the train window, both the mountains and I were all going;
Getting off and looking back, the mountains are gone, only I have come.
Leaving everything behind, only it goes on – is this human life (人生)?
(Behold the profound humor)

They say this waterfall is the Milky Way (銀河), perhaps it is true.
Sitting upon a rock, I gaze down at Komu Pond (姑姆潭);
The bright moon (明月), unable to forget the Milky Way, has come down together.
(The heart that takes the moon's heart as its own)

Mount Kŭmgang (金剛) at dusk, peak after peak is cloud;
That old Zen monk (老禪), where is he going up the tiered stone path (層層石逕)?
My true nature (本性) delights in clouds, so I follow the clouds.

The sense of desolation contained in the three verses of "After Waking from a Dream" (꿈 깬 뒤) is, I think, an artistry difficult to find easily, but let's leave the text itself for the reader's direct enjoyment. (Yohan)
(List Price 70 Chŏn [錢], Published by Kyŏngsŏng Hansŏng Book Company Ltd. [京城漢城圖書株式會社 發行], Postal Transfer Kyŏngsŏng [振替京城] 7660番) <80>

**Summary**

This 1932 article reviews Yi Ŭn-sang's (pen name Nosan) *sijo* collection, praising it as the pinnacle of classical *sijo* form and sentiment, calling Yi the representative successor and perfecter of this traditional Korean poetic genre. The reviewer highlights the collection's refined style, unified conception, and deep classical roots, providing several examples. However, the reviewer also expresses a degree of "dissatisfaction" with this very perfection, arguing that the *sijo* of the "new era" requires new rhythms and ideas, welcoming Yi's experiments with two-stanza *sijo* as an effort to evolve. The collection is recommended as an essential textbook for aspiring *sijo* poets and potentially as a form of "people's poetry." From a historical perspective, the article reveals the strong emphasis on preserving and mastering traditional Korean cultural forms like *sijo* during the Japanese colonial period, viewing it as a key element of national identity ("the only classical poetic form possessed by the Korean people"). Simultaneously, it reflects the tension between classicism and the perceived need for cultural adaptation and innovation to suit the "new era," possibly hinting at navigating modernity under colonial constraints. The promotion of *sijo* as potential "people's poetry" (민중시가) is also notable for its nationalistic undertones.

**Named Entities**

鷺山	노산	Nosan
朝鮮人이 가진 유일한 고전적 시형인 時調를 그 型과 想에 잇어서 완성한 것이라는 영예를 이 鷺山時調集에 준다하면 물론 당장에는 과찬이라고 항의할 이가 많이 잇을 줄 안다. 그러하나 나의 端的 인상이 틀림이 없다하면 적어도 지금까지 오늘까지에 나타난 시조작가로 또는 시조집으로 이 만한 정제한 스타일과 통일된 구상을 보이는 것은 없을 것이다. 故人의 시조집이 매우 드무나 드문 중에도 특히 체계잇어 시조작가라고 칭할 이는 더욱 찾기 어렵고 대개는 一 餘技로서 그 1, 2 數의 착상을 취할 것 뿐이엇다. 물론 그 중에는 作歌는 많이 햇으되 傳치 못하는 것이 태반이라고 생각할 점도 잇겟지마는 그는 또한 시조에 대한 인식이 매우 엷은 반증도 된다.
이제 鷺山은 다른 방면에도 조예가 깊거니와 시조에 대해서도 篤學者다. 그러므로 금일 氏의 시조집이 朝鮮 古典의 정통적 완성이라고까지 보이게 되는 까닭이 그의 평소 이 방면에 대한 연구가 깊은데 잇다고 볼 것이다. 그 형식에 잇어서만 그 같이 고전적 整齊를 찾을 뿐 아니라 그 想에 잇어서도 소위 「시조」적 정취의 극치를 찾을 수 잇어 우리로서 보면 차라리 너무 고전적이라고까지 볼 수 잇게 되엇다. 이는 그가 수 많은 고시조를 탐독하는 가운데 자연히 「감염」된 고전취미의 流露라고 할 것이다.
두세돗 江風을 띠어 浦口로 밭비 드네
석양에 돌아서니 塵寰이 고대로다
江頭에 醉客이 모여 오락가락 하더라

春塘을 바라보니 봄빛은 왓건마는
景春殿 닫힌 窓엔 거미줄만 얽혓구나
廻廊을 지나는 손이 눈물겨워 하노라

金剛에 살으리랏다 金剛에 살으리랏다
雲霧 더리고 金剛에 살으리랏다
紅塵에 썩은 名刹야 아는 체나 하리오

이런 것들은 그냥 여기저기 손 잡히는 대로 골라 본 것이거니와 너무도 고전적인 너무도 완벽적인 고전형이다. 이런 의미에서 鷺山은 朝鮮 시조의 고전의 가장 대표적인 계승자요 완성자라고 함이 과언이 아닐 것이다. 따라서 새로운 시대를 바라보는 우리로서는 이 너무도 완성적인 점을 不滿하게 생각한다는 것이다. 새 시대의 시조는 모름직이 새로운 격조와 새로운 구상이 잇어야 할 것이다.
兩章 시조의 試作은 매우 흥미잇는 일이니 고전에서 脫却하랴는 노력의 하나로 보아 환영한다. 여하간 이 시조집은 시조를 배우려는 이에게는 둘도 없는 교과서라 할 것이니 시조에 뜻 두는 이가 많은 이 때에 또는 일종의 민중시가로서 이것이 보편화될 가능성이 많다고 보는 견지에서 이 시조를 널리 추천코저 한다. 이에 그 많은 주옥 중에서 두어 개 見樣으로 골라내고 이 붓을 놓자.
車窓을 내다 볼 제 山도 나도 다 가드니
나려서 물러보니 山은 없고 나만 왓네
다 두고 저만 가나니 人生인가 하노라.
(깊이 잇는 유모어를 보라)

이 폭포 銀河라니 아마도 옳은 말이
바위에 올라 앉아 姑姆潭 구워보니
明月도 銀河를 못닞어 함께 나려 왓더라.
(달의 마음을 내 마음으로 삼은 그 마음)

金剛 저문 山이 峰峰이 구름인데
저 老禪 層層石逕을 어디까지 가시는고
내 本性 구름을 즐기메 구름따라 가노라.

「꿈 깬 뒤」 3수에 담긴 적막감은 쉽게 찾기 어려운 예술이라고 생각하거니와 그 본문은 독자의 직접 보실 때에 즐김으로 남겨두자. (요한)
(정가 70錢 京城漢城圖書株式會社 發行 振替京城 7660番)＜80＞
