**Header Section:**
Magazine Title: 東光 第33號 (Tonggwang No. 33)
Publication Date: 1932년 05월 01일 (May 1, 1932)
Article Title: 至急電報 (Urgent Telegram)
Author: 一記者 (One Reporter), 金東仁 (Kim Tongin), 車相瓚 (Ch'a Sangch'an - attributed source)
Article Type: 잡저 (Miscellaneous writing/column)

**Body Text Translation:**
Urgent Telegram
World War Prediction?
(Q). German General Ludendorff predicted that a World War would break out on May 1, 1932. What is the reason for this? (Yu Hyŏng)
(A). According to General Ludendorff, a scientific analysis of the existing military armaments of European nations indicates that war would break out on May 1, 1932. The basis for specifying this date, according to General Ludendorff's opinion, is that Jews hold great power in various European countries, and in the secret spells of Judaism, the sacred number promising fortune is "15". Therefore, the time when various organizations in which Jews hold worldwide influence can achieve victory is the year when the sum of its digits equals 15, that is (1+9+3+2=15) 1932. The recent Great European War also adds up to 15 (1+9+1+4=15). Furthermore, May 1st is considered most likely because it is a worldwide Jewish festival day. (One Reporter)<33>

Compendium of the Eight Views
(Q). Please tell me about the following. (Haeju Student, list omitted)
(A).

Eight Views of Kwandong
Kyŏngp'odae Pavilion in Kangnŭng, Chukchŏru Pavilion in Samch'ŏk
Mangyangjŏng Pavilion in Uljin, Ch'ŏngganjŏng Pavilion in Kansŏng
Samilp'o Lagoon in Kosŏng, Ch'ongsŏkchŏng Pavilion in T'ongch'ŏn
Wolsongjŏng Pavilion in P'yŏnghae, Naksansa Temple in Yangyang

Eight Views of Kwansŏ
Yŏn'gwangjŏng Pavilion in P'yŏngyang, Kangsŏllu Pavilion in Sŏngch'ŏn
Inp'ungnu Pavilion in Kanggye, Paeksangnu Pavilion in Anju
T'onggunjŏng Pavilion in Ŭiju, Hwanghakru Pavilion in Samdŭng
Naksan East Pavilion in Yŏngbyŏn, Mujindae Pavilion in Kaech'ŏn (or Ŭigŏmjŏng Pavilion in Sŏnch'ŏn)

Eight Views of Hsiaohsiang
Returning Sails from Distant Shores, Night Rain on the Hsiao and Hsiang
Wild Geese Landing on Flat Sand, Autumn Moon over Lake Tung-t'ing (Dongting)
Sunset Glow over a Fishing Village, Spring Warblers at Huangling
Evening Snow over the River Village, Clearing Mist over a Mountain Market

Eight Views of Tanyang
Todam Sambong Peaks, Sŏngmun Gate, Sainam Rock, Oesang Sŏnam Rock, Chung Sŏnam Rock, Ha Sŏnam Rock, Kudam Pond, Oksunbong Peak

Eight Views of Hansan
These became famous after Yi Mogŭn (李牧隱) of Koryŏ composed the "Eight Views of Hansan Poem". They are as follows:
Pines at Sungjŏng Rock (崇井岩松), Sunlit Stone Wall (日光石壁)
Deep Cave at Lonely Rock (孤石深洞), High Peak at Hoesa Temple (回寺高峰)
Evening Drum at Wŏnsan Mountain (圓山戌鼓), Returning Sails at Chinp'o Port (鎭浦歸帆)＜34＞
Encouraging Farming at Ab'ya Field (鴨野勸農), Watching Fishing at Ungjin (熊津觀釣)

Critique of People by the Eight Provinces
Kyŏnggi: Beauty in a Painting (美人畵中) (Beauty in a Mirror (鏡中佳人), Painting Eyebrows Facing a Mirror (對鏡畵眉))
Ch'ungch'ŏng: Clear Wind and Bright Moon (淸風明月)
Chŏlla: Willow Swaying in the Wind (風前搖柳)
Kangwŏn: Sleeping Buddha Beneath a Rock (巖下睡佛)
P'yŏngan: Ferocious Tiger Emerging from the Forest (猛虎出林) (Ferocious Tiger of the Blue Mountains (靑山猛虎))
Hwanghae: Ox Plowing a Stony Field (石田耕牛)
Hamgyŏng: Dogs Fighting in the Mud (泥中鬪狗)
Kyŏngsang: Great Mountain, Lofty Peak (泰山喬岳)
(Ch'a Sangch'an)

To Mr. Kim Tongin
(Q). How far behind is the Chosŏn literary world compared to the world literary scene? (Anju . Yi Hanmin)
(A). I think the ratio between world culture and Chosŏn culture can be applied here as well. (Kim Tongin)

Beekeeping Master
(Q). I intend to start beekeeping soon. Please provide the name and address of someone knowledgeable in both the theory and practice of beekeeping, whom a beginner could consider a master beekeeper (養蜂大家). (Yi Sihwa)
(A). If you inquire with Mr. Sŏng Chubok (成周復), who operates Samsan Mirwŏn (三山密園) at 174 Sŏngbuk-ri (城北里), outside Tongsomun Gate (東小門), Kyŏngsŏng (京城), you can learn everything about beekeeping.

Music Teacher
(Q). I want to learn the violin ("payoring") and piano ("p'iano"). Are there places that teach them in Seoul (Sŏul)? (A Female Reader in Kyŏngsŏng)
(A). Ms. Kim Chŏngsun (金楨洵), a graduate of Tokyo Musashino Music School (東京 武藏野音樂學校), has organized the Taedong Music Association (大東音樂協會) at 143 Kwansu-dong (觀水洞), Kyŏngsŏng-bu (京城府) and is currently teaching. Please inquire there for details. (One Reporter)＜35＞

**Summary**

This article from the May 1932 issue of *Tonggwang* magazine features a Q&A format addressing diverse reader inquiries. Topics include a prediction of World War II based on General Ludendorff's interpretation of Jewish numerology, detailed listings of the famous "Eight Views" scenic locations in Korea (Kwandong, Kwansŏ, Tanyang, Hansan) and China (Hsiaohsiang), stereotypical characterizations of people from Korea's eight provinces attributed to Ch'a Sangch'an, a question to prominent writer Kim Tongin about the status of Korean literature, and practical advice on finding experts for beekeeping and Western music (violin and piano) instruction in Kyŏngsŏng (Seoul).

For historians, the article is interesting for several reasons. It reflects the circulation of international news and even anti-Semitic conspiracy theories (Ludendorff's prediction) within colonial Korea. The provincial stereotypes offer a glimpse into contemporary social perceptions. Furthermore, it documents the growing interest in Western cultural pursuits like music and provides specific names and locations related to literature (Kim Tongin), traditional culture (Eight Views), and modern services (beekeeping, music schools) in 1930s Kyŏngsŏng.

**Named Entities**

獨逸	독일	Germany
(答). 루덴돌프將軍의 말에 의하면 歐洲 諸國의 現存한 軍備를 科學的으로 分析하면 1932年 5月 1日에 戰爭이 나리라 하는 것입니다. 그 날자까지 밝힌 根據는 루將軍의 의견에 의하면 歐洲 各國에 큰 勢力을 가지고 잇는 것이 猶太人인데 猶太敎의 秘呪에 幸福을 約束하는 神聖한 數字가 「15」라고 합니다. 그래서 猶太人이 世界的으로 勢力을 가지고 잇는 각 團體가 勝利를 얻을 수 잇는 때는 各個의 數의 合이 15가 되는 해 즉 (1+9+3+2=15) 1932年이라고 하는 것입니다. 요전 歐洲大戰도 (1+9+1+4=15) 合하면 15가 됩니다. 그러고 猶太人의 世界的 祭日인 관계로 5月 1日이 가장 有望하다고 하는 것입니다. (一記者)＜33＞

八景全集
(問). 左記를 말슴하여 주십시오. (海州生 左記略)
(答).

關東八景
江陵鏡浦臺 三陟竹西樓
蔚珍望洋亭 杆城淸澗亭
高城三日浦 通川叢石亭
平海月松亭 襄陽洛山寺

關西八景
平壤練光亭 成川降仙樓
江界仁風樓 安州百祥樓
義州統軍亭 三登黃鶴樓
寧邊樂山東臺 价川無盡臺 (혹은 宣川依劒亭)

潚湘八景
遠浦歸帆 潚湘夜雨
平沙落鴈 洞庭秋月
漁村落照 黃陵春鵑
江村暮雪 山市晴嵐

丹陽八景
島潭三峯, 石門, 舍人巖, 外上仙巖, 中仙巖, 下仙巖, 龜潭, 玉筍峯

韓山八景
이것은 高麗 李牧隱積이 韓山八景詩를 지은 후 이름이 난 것이니 如左-
崇井岩松 日光石壁
孤石深洞 回寺高峰
圓山戌鼓 鎭浦歸帆＜34＞
鴨野勸農 熊津觀釣

八道人質評
京畿 畵中美人(鏡中佳人, 對鏡畵眉)
忠淸 淸風明月  全羅 風前搖柳
江原 巖下睡佛  平安 猛虎出林(靑山猛虎)
黃海 石田耕牛  咸鏡 泥中鬪狗
慶尙 泰山喬岳 (車相瓚)

金東仁씨에게
(問). 朝鮮文壇界는 世界文壇界에 비추어 얼마나 뒤떠러 젓나뇨? (安州 . 李한民)
(答). 世界文化와 朝鮮文化의 比例를 여기도 準할 수 잇겟다고 생각합니다. (金東仁)

養蜂大家
(問). 本人이 일로부터 養蜂을 할여고 하는데 養蜂에 대하야 學術上으로나 實驗上으로나 初學者가 可히 師할 만한 養蜂大家이라고 할 만한 이의 住所氏名을 敎示하여 주십시오. (李時華)
(答). 京城 東小門 外城北里 174에서 三山密園을 經營하시는 成周復씨에게 물어 보시면 養蜂에 대하야 모든 것을 알 수 잇습니다.

音樂敎授
(問). 「바요링」과 「피아노」를 배울려는데 서울에 가르치는 곳이 잇습니까. (京城 一女讀者)
(答). 東京 武藏野音樂學校를 卒業하신 金楨洵양이 京城府 觀水洞 143番地에 大東音樂協會를 組織하고 實地 敎授 중이니 詳細는 그리로 물어 보시오. (一記者)＜35＞
＜33-35＞
