잡지명	삼천리 제13권 제9호
발행일	1941년 09월 01일
기사제목	月光を愛す(月愛三味の記) (To Love the Moonlight (A Record of Moon-Love Absorption))
필자	津田節子
기사형태	문예기타 (Literary/Miscellaneous)

To Love the Moonlight (A Record of Moon-Love Absorption)
						Tsuda Setsuko

When bathed in the light of the moon, everyone becomes sad.
*When I see the moon,*
*Sadness comes in a thousand forms—*
*Though the autumn is not for me alone.*
The ancients who sang this poem and we of the Shōwa era are the same.

*Seeing the moonlight, I become sad*
*Why do tears flow?*
*Within the moonlight lies a country*
*A nostalgic homeland of love*
*On evenings when moonlight streams*
*My thoughts grow ever more lonely*
*Seeing the moonlight, I become sad*
*Why do tears flow?*

This old poem, which I've loved since I was a girl, is one I still find myself humming on moonlit nights.
The sky's color is relatively bright, almost appearing a pale yellow, and within it is a mass of light, as if drenched, a crystallization of light that seems as if droplets might drip down—when I gaze fixedly up at it like this, my body and soul seem to become drenched too. And then, a pleasant sadness, making me want to be coddled, to silently take someone's hand, gently envelops me. And whenever I look up at a full moon like tonight's, I invariably recall the words "Gatsuai Zanmai" (月愛三昧 - Moon-Love Samādhi).

Gatsuai Zanmai (月愛三昧)—please look at these characters. I love these characters. The character for moon (月), the character for love (愛), and the word "sanmai" (三昧). It is said that this light of the full moon is the light that naturally flows from the unwavering body of the Buddha when he enters the meditative state called Gatsuai Zanmai <41> (月愛三昧).

King Ajase (阿闍世), deceived by a wicked friend, killed his father and imprisoned his mother. Out of shame and remorse, he suffered in body and mind.
*Like a pond where lotus flowers do not bloom*
*Like a tree that bears no blossoms*
*Like a king who has lost his country*
It is written that he was wasting away with grief. When a good friend named Jīvaka (耆婆) was telling him various things about the Buddha, the voice of his deceased father echoed from somewhere, commanding, "Go quickly to the Buddha and seek salvation." Upon hearing this voice, the king fainted and collapsed to the ground.
"At that time, the World-Honored One (世尊), being between the twin Sāla trees (娑羅雙樹)..."
He saw this Ajase. The gentle eyes of the Buddha must have been moist with tears. And to save King Ajase, he entered the meditative concentration (禪定 - zenjō) called Gatsuai Zanmai. Then, a cool, refreshing light began to overflow from his body, illuminating the fallen Ajase's form and enveloping his defiled, wounded flesh. As the suffering of his body and mind suddenly vanished, King Ajase, astonished, asked Jīvaka (耆婆) beside him:
"From where does this light come?"
Jīvaka replied:
"Great King, you should know that such an auspicious sign (瑞相) is indeed the radiant light emitted by the Tathāgata (如來) upon entering the Gatsuai Zanmai (月愛三昧)."
This is the story found in the Nirvana Sutra (涅槃經). I thought it was a truly beautiful story.
Cool, refreshing light, pellucid light. And the light of the moon, which holds shadows somewhere within it—this, it is said, is the radiant light the Buddha emits upon entering Gatsuai Zanmai. Moreover, it is said that the recipient of this is the wicked and inhuman Ajase.
The Buddha explains it thus:
"I entered Gatsuai Zanmai for the sake of Ajase alone. However, that Ajase refers to all ordinary beings (一切凡夫). Ajase means all people who suffer and are troubled. Ajase means all women (一切の女人)."
There are many poems praising the moonlight. There are many stories pledging oaths by the moonlight. But I believe there is no other story as beautiful, as fitting for the moonlight, as this one.

The faint crescent moon with its delicate brow is lovely, and the five-day moon floating solitarily is also beautiful, but it is the roundness, the beauty of the full moon that I can truly look up at with a sense of gratitude. Light that permeates even the depths of the heart; gazing at the moon while holding feelings that overflow the chest, one can weep with the feeling of crying on a distant mother's back, and at other times, one can gaze at the moon with the affectionate heart of a young child snuggling against its mother's cheek. The moonlight is a caress and a compassion. <42>
I make an effort to look up at the moon. It is because I want to make my heart cool and clear. When I join my palms towards the moon, close my eyes and pray, then raise my eyes and gaze at the moon once more, true love flows into our bodies through human sentimentality.
The ill-fated poetess Takeuchi Teruyo sang:

*This beautiful, pure light*
*Oh, Moon!*
*Is the wordless love*
*You show to humankind.*

*Traveling alone through the vast sky*
*Until you sink into the western woods*
*I scoop that light in the palm of my hand (たなごゝろ)*
*And quietly worship that light.*

Ah, I too spread open both hands to scoop this moonlight, and purify myself (みそぎ) within the moonlight meant for suffering women (苦しめる女人). <43>

**Summary**

This essay by Tsuda Setsuko reflects on the profound emotional and spiritual connection the author feels with moonlight, particularly the full moon. She describes the sadness and longing evoked by moonlight, linking it to classical poetry and a personal favorite poem. The core of the essay explores the Buddhist concept of "Gatsuai Zanmai" (Moon-Love Samādhi) from the Nirvana Sutra, where the Buddha emits a purifying, compassionate light to save the suffering King Ajase, who represents all troubled beings, especially women. The author finds solace, purification, and a connection to universal love and compassion by consciously bathing in and contemplating the moonlight, echoing the sentiments of the poetess Takeuchi Teruyo. From a historical perspective, this Japanese author's contemplative piece published in a prominent Korean magazine ("Samch'ŏlli") during the late colonial period is interesting. It highlights the presence of Japanese cultural and spiritual expression within the Korean public sphere and offers insight into personal solace sought through Buddhism and nature appreciation, perhaps as an escape or counterpoint to the harsh realities of the time, particularly focusing on female suffering and spiritual remedy.

**Named Entities**

津田節子	つだせつこ	Tsuda Setsuko
娘のころから好きだつたこの古い詩、今もやつぱり月夜には口ずさむ私です。
空の色が割に明るく、まるで淺黃色にさへ見える中にぬれたやうな光のかたまり、雫がしたゝり落ちはしないかと思はれる光の結晶―それをかうしてじいつと仰いでゐますと私のからだも心も濡れて來るやうです。そして甘えたいやうな、默つて人の手をとりたいやうな、心地よいかなしみがしみ〲と私を包みます。そして私は今夜のやうな滿月を仰ぐときつと「月愛三昧(ぐわつあいさんまい)」といふ言葉を思ひ出心ます。
月愛三昧(ぐわつあいさんまい)―この文字をみて下さい。私はこの文字が好きです。月といふ字、愛といふ字、そして三昧(さんまい)といふ言葉。それはこの滿月のこの光は、佛樣が、月愛三昧と＜41＞いふ禪定(ぜんじやう)にお入りになつた時そのゆるぎなきおからだからおのづから流れ出る光なのだと―かういふのです。
惡い友にだまされて父を殺し母を幽閉した阿闍世(あじやせ)王は慚愧のために、身も心も苦しんでゐました。
蓮華が咲かない池のやうに
花がつかない樹のやうに
國を失つた王者のやうに
愁ひをとろへてなやんでゐたと書いてあります。耆婆(ぎば)といふよい友達に色々と佛のことを說かれてゐる時に、どこからともなく亡き父君のみ聲が響いて「速かに佛陀のみもとに行きて救ひを求めよ」と命ぜられます。王はそのお聲をきくと悶絶して地に倒れました。
「その時に世尊(せそん)、娑羅雙樹(さらさうじゅ)の間にいまして……」
この阿闍世をごらんになりました、やさしい佛さまの御瞳はうるんでゐたことでせう。そして阿闍世王を救ふために月愛三昧と名づける禪定にお人りになりました。するとおからだから淸凉な光が溢れはじめて倒れた阿闍世の身を照らし汚れ傷ついた肉體を包みました。心身の苦しみが怱ち消えた阿闍世王は驚いて側の闍婆(ぎば)にきゝます。
「此の光何れよりか來れる」
耆婆は答へました。
「大王當(まさ)に知るべし、是(かく)の如きの瑞(ずゐ)相は即ち是如來月愛(によらうぐわつあい)三昧に入りて放ちたまふ所の光明なるを」と
涅槃經(ねはんきやう)にあるお話はかうなのです。私はほんとにきれいなお話だと思ひました。
淸凉な光、透徹した光。そしてどこかに陰翳(かげ)のある月の光―それは月愛三昧に入つて佛樣が放ちたまふ光明であるといふのです。しかもその相手は、惡逆無道の阿闍世のためだといふのです。
佛樣はかう說明していらつしやいます。
「我は阿闍世一人の爲に月愛三昧に入つた。しかしその阿闍世とは一切凡夫をさすのだ。阿闍世とはなやみ苦しむ人達一切のことだ。阿闍世とは一切の女人(によにん)のことだ」と
月の光をたゝへる詩は多い。月の光を誓へるお話は多うございます。しかしこんなに美しくこんなに月光にふさはしいおはなしは外にないと思ひます。

ほのかな眉の三日月もよく、ぽつかり浮いた五日の月もきれいですが、やはり滿月のまどかさ、美しさ、ほんとにありがたい思ひで仰ぐことが出來ます。心の中までしみ込んでくる光、胸に餘る思ひを抱いて月を仰げば、遙かな母の背に泣き伏す思ひで泣けますし、時には又幼子が母に頰をすりよせるやうな甘え心で月をみつめることも出來ます。月の光は愛撫であり哀憐でございます。＜42＞
私はつとめて月を仰ぎます。心を淸凉にしたいからでございます。月に向つて合掌し眼(まなこ)を閉ぢて祈念し、眼をあげて更に月を仰ぐ時、人間の感傷を通して眞實の、愛が私達のからだの中に流れこみます。
薄倖の女詩人竹內てるよは歌ひました。

うるはしく淸きこの光こそは
月よ
おん身が人類に指し示す
一つの言葉なき愛である

はる〲大空とひとり旅して
おん身西方の森に沈みゆくまで
たなごゝろにその光を掬し
靜かにその光を拜しまつる。と。

あゝ私も、雙手をひろげてこの月光を掬し、苦しめる女人のためなる月光の中に、みそぎするのでございます＜43＞
＜41-43＞
