Magazine Title: 삼천리 제10권 제1호
Publication Date: 1938년 01월 01일
Article Title: 해외활약의 中國公使들 (Chinese Ministers Active Overseas)
Article Type: 소식 (News/Report)

Chinese Ministers Active Overseas

Gu Weijun (顧維鈞) (France)
He is a prominent figure among Chinese diplomats, who gained fame for his arguments at the Paris Peace Conference. Born in Shanghai in 1888, he completed studies at a school run by foreigners in Shanghai, then studied abroad in America, learning international law at Columbia University. He was a star of the student debate society. Since returning to China in 1912, he pursued a diplomatic career. He was appointed Minister to Mexico in 1915 and signed the treaty restoring diplomatic relations with Russia in 1924. In May 1926, he was appointed Minister of Finance.<5> In 1927, he formed a cabinet and concurrently served as Minister of Foreign Affairs.
Even after the establishment of the Nanjing Nationalist Government, he remained active on the diplomatic stage, becoming Minister of Foreign Affairs in 1931. He participated as the Chinese representative on the Lytton Commission. Since 1932, as Ambassador to France, he has been the key figure in China's European diplomacy. During this time, he has attended all international conferences in Europe as the Chinese representative. It is fully imaginable that he is maneuvering behind the scenes regarding the current Sino-Japanese Incident.

Wang Zhengting (王正廷) (United States)
Born in 1882 in Ningbo, Zhejiang Province, he studied at Beiyang University in Tianjin and then at the Tianjin Anglo-Chinese College. After studying in Japan for two years, he studied in the United States at the University of Michigan and Yale University (Note: "콜대학" likely refers to Yale), receiving degrees. After graduation, he served as the general secretary of the Y.M.C.A. When the Xinhai Revolution occurred, he joined Li Yuanhong. When the Tang Shaoyi Cabinet was formed in Beijing, he was appointed Vice Minister for Industry and Commerce (Note: "강남부차장" likely refers to 工商部次長 Gongshangbu Cizhang). In 1918, he joined the Guangdong Government and was dispatched to America as its representative. In 1919, he was appointed as a delegate to the Paris Peace Conference. In 1920, he established a trading company and Huafeng Textiles (華豊紡績) in Shanghai, attempting large-scale activities typical of the Zhejiang financial clique, but did not achieve significant success. In 1922, concerning the retrocession of Shandong, he was appointed the <6> Chinese chief representative on the Sino-Japanese Joint Commission and worked on contact with Japan. In the same year, he served as Minister of Foreign Affairs and then Acting Premier. Later, in 1923, he began negotiations with Karakhan for the restoration of Sino-Russian diplomatic relations, putting forth all his effort until the preliminary signing in April 1924. Immediately after that, he became the general manager of the Liuheman Coal Mine Company (六河滿炭坑회사). After the fall of the Zhili clique, he served under Feng Yuxiang as Minister of Foreign Affairs and Minister of Finance. In 1926, he became Minister of Foreign Affairs for the Beijing Government. Then, at some point, he became a member of the Nanjing Government's Foreign Affairs Committee and served as Minister of Foreign Affairs from 1928-31. He held significant power as a member of the Kuomintang Central Executive Committee and the Central Political Council. Appointed Ambassador to the United States in the summer of 1936, he had not yet taken up the post, but as the situation between Japan and China rapidly worsened, he proceeded to his post in Washington.
He is often described as a merchant diplomat or a comprador diplomat.

Guo Taiqi (郭泰祺) (United Kingdom)
Born in 1888 in Guangji County (廣濟縣), Hubei Province, he went to the United States as a government-sponsored student in 1904 and studied political science at the University of Pennsylvania. Returning to China in 1912, he served as secretary to Li Yuanhong (黎元洪). In 1917, he resigned from his official post and followed Sun Wen, becoming his secretary. In 1918 (remainder omitted) <7>

**Summary**

This 1938 article from the Korean magazine *Samch'ŏlli* profiles three prominent Chinese diplomats active internationally: Gu Weijun (Ambassador to France), Wang Zhengting (Ambassador to the US), and Guo Taiqi (Ambassador to the UK). It details their educational backgrounds (often including study in the US), early careers during the turbulent period of the Chinese Republic, involvement in key diplomatic events like the Paris Peace Conference and negotiations with Russia, and their current roles representing China abroad during the Sino-Japanese War. The article highlights their experience and influence, particularly noting Gu Weijun's key role in European diplomacy and Wang Zhengting's complex career involving business and politics, labeling him a "merchant diplomat." For historians studying the Korean colonial period, this article is interesting as it shows Korean readership being informed about China's international diplomatic efforts during the war against Japan. The use of the term "支那" (China), common in Japanese and Korean sources of the era, and the neutral, biographical tone despite the ongoing conflict offer insights into how regional affairs were presented to a Korean audience under Japanese rule.

**Named Entities**

顧維鈞	구유균	Gu Weijun
직후	직후	Immediately after
총경리	총경리	General Manager
몰락	몰락	Downfall, collapse
지내다	지내다	To serve (in a position), pass time
어느틈에	어느틈에	At some point, somehow
위원	위원	Member
세력	세력	Power, influence
가젔다	가졌다	(Older spelling) Possessed, had
움지기지 않었으나	움직이지 않았으나	(Older spelling) Although he hadn't moved/taken action
풍운	풍운	(Figurative) Troubles, turbulent situation (lit. wind and clouds)
급함	급함	Urgency, critical situation
고하자	고하자	(Older spelling) As it became high/serious
부임	부임	Proceeding to one's post/assignment
아모턴지	아무튼지	Anyway, in any case
매판	매판	Comprador
다성	다성	Many voices, widespread opinion
비서	비서	Secretary
사하다	사하다	To resign


---------------------------


잡지명	삼천리 제10권 제1호
발행일	1938년 01월 01일
기사제목	해외활약의 中國公使들
기사형태	소식

해외활약의 中國公使들
顧維鈞(佛國)
巴里平和會義에서 논쟁에 勇名을 날닌 支那 외교관중의 芳形이다. 188년 上海에서 출생하야 上海 外人經營學敎를 마치고 아메리카애 유학하야 컬럼비아 대학에서 국제법을 배웟다. 그는 학생토론회의 花形이었다. 192년 귀국이래 외교생활을 하였다. 1915년에 맥시코 公使에 임명되고 1924년에는 露西亞와 復交條約에 조인하였다. 1926년 5월에는 財政總長에＜5＞ 임명되였다. 1927년에는 내각을 조직하고 外交總長을 兼任하였다.
南京國民政府가 되면서도 외교무대에 등장하야 1931년에는 외교부장이 되었다. 리튼컨미숀에는 支那측 위원으로서 가입하였다. 1932년이래 駐佛大使로서 支那의 歐洲 外交에 總探題이다. 그 동안 歐洲에 있어서 모든 국제 회의에 支那 대표로서 출석하고 있다. 이번 日支事件에 대하야 暗中飛躍하는 것은 충분히 상상할 수 있다.

王正廷 (米國)
1882년 浙江省寧波 출생으로 天津 북양대학에서 수학하고 그 다음으로 천진 앙크로·차이니스·칼레지에서 수학했다. 日本 유학 2년후 米國 유학 미시칸 대학, 콜대학에서 수학하야 학위를 받었다. 졸업후 Y,M,C,A, 총간사일을 보았다. 辛亥革命이 이러나자 黎元洪에게 가담했다. 북경에 唐紹儀內阿이 성립되자 그는 강남부차장에 임명 되였다. 1918년 廣東政府에 참가하고 此를 대표하야 아메리카에 派遺되였다. 1919 巴里平和會義에는 대표에 임명되였다. 1920년 상해에 무역회사와 華豊紡績을 설립하야 대대적으로 절강재벌적 활약을 하여 볼랴고 하였으나 그리 큰 성과는 보이지 못했다. 1922년 그는 산동 還付에 귀한 日支共同委員會의＜6＞ 支那*主席委員에 임명되여 日本과의 접촉에 힘썼다. 同年 外交總長 그 다음 代理 國務總理에 임하였다. 그 후 1923년 카라한과 露支復交交涉을 개시하야 1924년 4월에 假調印을 할 때까지 전력하였다. 그 직후 六河滿炭坑회사의 총경리가 되었있다. 直隷沒落後 馮玉祥 앞에서 外交總長財政總長을 지냈다. 1926년 北京政府外交總長이 되였다. 그리고 어느틈에 南京政府外交委員會의 위원이 되고 1928-31년 外交部長을 지냈다. 國民黨 中央執行委員, 中央政治會議의 -버라는 당당한 세력을 가젔다. 1936년 여름 駐米大使에 임명된 이래 움지기지 않었으나 日支間의 풍운이 급함을 고하자 華盛頓에 부임하였다.
그는 아모턴지 商人外交官으로 매판 외교관의 多聲이 높다.

郭泰祺(英國)
1888년 湖北省 *濟縣 출신으로 1904년 정부유학생으로서 米國에 건너가 펜실비니아 대학에서 정치학을 배웟다. 1912년 귀국하야 蔡元洪의 비서로 있었다. 1917년 育途를 辭하고 孫文을 따러가 비서가 되였다. 1918년(下畧) ＜7＞
＜5-7＞
