**Header Section:**
Magazine Title: 大東亞 第14巻 第3号 (Greater East Asia Vol. 14, No. 3)
Publication Date: 1942년 03월 01일 (March 1, 1942)
Article Title: 來鮮した賓客の印象 (Impressions of Guests Who Visited Korea)
Author: 李光洙 (Yi Kwang-su), 崔貞熙 (Ch'oe Chŏng-hŭi), 朱耀翰 (Chu Yo-han) / 松村紘一 (Matsumura Kōichi)
Article Type: 回顧·手記 (Recollection / Memoir)

**Body Text Translation:**
Impressions of Guests Who Visited Korea

Dozens of politicians, influential figures, writers, and artists have kindly visited our peninsula. Among them, we will serialize these impressions, recalling the faces of those who left the deepest mark on the peninsula's intellectuals, continuing issue by issue (Continued in the next issue).
Old Master Tokutomi Sohō ......... Yi Kwang-su
Writer Shimaki Kensaku ......... Ch'oe Chŏng-hŭi
President Yamamoto of Kaizōsha ......... Chu Yo-han

A Record of Meeting Mr. Tokutomi Sohō
Kōyama Mitsurō (Yi Kwang-su)

The first time I met Mr. Tokutomi Sohō was in the summer of Taishō 5 (1916), twenty-seven years ago from now. At that time, Mr. Tokutomi was middle-aged at fifty-four, and I must have been a youth of twenty-five. This year, Mr. Tokutomi has reached the advanced age of eighty, and I hear there was a grand celebration party in Tōkyō several days ago.
Even when I first met him at the Pusan pier, Mr. Tokutomi already had white hair, and he also had a facial tic; one of his eyes and cheeks would twitch convulsively whenever he spoke.
The second time I met him was on the upper floor of the Kokumin Shinbunsha in Tōkyō, where there was a horizontal scroll by His Highness Yi T'aewang (King Gojong) with the seal 'Chuyŏn', and a map of Manshū (Manchuria) drawn in ink by Prime Minister Katsura when planning the Russo-Japanese War, displayed.<57>
After that, I visited him two or three times at Min'yūsha in Ginza, which was Mr. Tokutomi's workplace for his entire life. Mr. Tokutomi's reception room and study at Min'yūsha are literally filled with books. His own writings alone must amount to several hundred titles. It truly is a life of "serving the nation through writing" (文章報國). Moreover, these works are consistently centered on Tennō-ism (天皇中心主義). Just the *History of the Japanese People* (日本國民史), which he is currently writing, would likely take even us a year just to read through once.
Whenever Mr. Tokutomi met me, he always told me two things: Do not get involved in politics, and become centered on the Emperor.
The most recent time I met Mr. Tokutomi was in the spring of Shōwa 11 (1936).
"Write a history of Chōsen (Korea). Try writing an East Asian history from the Chōsen standpoint," he said. However, I remain unable to fulfill his expectations.
I once visited his so-called Sannō Sōdō (Sannō Hermitage) in Ōmori Sannō. Mr. Tokutomi was traveling, but I was able to meet his wife for the first time. Several hundred walking sticks were stood up there; they must have been mementos from his travels. The house at Sannō Sōdō is small, but the garden is spacious, and even the old trees were lush and dense.
Mr. Tokutomi is famous enough to be considered a specialty of Mt. Asō. He is an elder statesman of Japan. He doesn't partake in tobacco or alcohol, and his entertainment, it is said, consists of gazing at Mt. Fuji or the sea at Atami; otherwise, it's reading and writing. Now, his eyesight is failing, and he continues his writing by having a stenographer take dictation.
He is deeply versed in both Chinese and English literature, also composes Chinese poetry well, and is knowledgeable about Korean history too. After all, he has worked diligently for eighty years.
For Mr. Tokutomi's eightieth birthday celebration, I wrote and presented him with this:
"文名冠一世。三代勤皇人。八十春來意。千秋史筆年新"
(Literary fame crowns the age. A loyal servant across three reigns. Eighty springs bring purpose. A thousand autumns, the historian's brush renews the years.)

Writer Shimaki Kensaku
Ch'oe Chŏng-hŭi

I began to take an interest in Mr. Shimaki Kensaku seven or eight years ago, after reading his standalone book titled "Goku" (獄 - Prison).
While reading "Goku," "Rai" (癞 - Leprosy)—I've forgotten the others as it's been a long time—and other short stories collected in "Goku," the desire to meet the author, Shimaki Kensaku, welled up within me many times.<58>
It is usual for me, when faced with a good novel, good poetry, good painting—in other words, good art—to even develop affection for the creator. However, conversely, it is extremely rare for me to appreciate these works to the extent that my thoughts turn to the author.
In any case, it seems I was very fond of Shimaki Kensaku at the time I read "Goku." Every time I met a friend who understood novels, I recommended reading "Goku."

I met Mr. Shimaki Kensaku in person three or four years ago.
Taking the opportunity of his visit to Chōsen (Korea), there was a discussion meeting (座談會 - zadankai) hosted by a certain magazine company. That evening, due to some matter, I arrived later than the scheduled time, and professors from Keijō Imperial University (城大敎授) and others were already deep in conversation centered around Mr. Shimaki. I don't know what the discussion was about. Judging from the fact that not a single thing remains in my memory now, I suppose it must have been a stiff, formal conversation that I disliked.
Even though I don't remember his conversation, the impression of Mr. Shimaki, who was talking animatedly about something, is still clear. His appearance as he sat leaning on the armrest felt exactly like the image I had imagined of him, without the slightest difference. However, when the discussion meeting ended and everyone stood up, I received a different impression from the one I got when Mr. Shimaki Kensaku was seated. It was because his stature was exceedingly short. Wearing a hunting cap (ハンチシク), he was only about as tall as a fifteen or sixteen-year-old child. I felt a slight sense of disappointment.

Impressions of President Yamamoto of Kaizōsha
Matsumura Kōichi (Chu Yo-han)

I met President Yamamoto of Kaizōsha ten years ago. I believe it was certainly during his trip through Manshū (Manchuria) and Chōsen (Korea). I was a reporter for the Tōa Nippō (Dong-A Ilbo), and since the president of Kaizōsha was an advertiser for the Tōa Nippō, we invited him to Myōgetsukan (Myŏngwŏlgwan).
I think the details of that occasion are described finely in Mr. Yamamoto's own writings.
Apart from his statement that he wanted to introduce the works of Korean writers in "Kaizō" magazine, I don't recall any stiff political talk during that gathering. Topics ranging from Korean customs and habits eventually extended to the underworld, including Tōkyō's, and it ended up being an informal chat session.<59>
I thought Mr. Yamamoto's personality—that of a publisher, a writer, a dilettante, and also a politician—was revealed quite accurately. Moreover, it seemed to me that his characteristic, and also his shortcoming, lay in not being thoroughly committed to any one of these roles.
Although he launched "Kaizō" and took a role in introducing the leftist thought of the time, as far as meeting him in person went, he seemed to be neither left, nor right, nor center.
He didn't discuss the grand trends of the world or line up ideologies. An intellectual who enjoyed hobbies and savored culture—this seemed to be the final assessment of him.
He published the "History of the Korean Economy" (朝鮮經濟史) and discovered Chang Hyŏk-chu (張赫宙), showing considerable interest in Chōsen (Korea), but even this was nothing more than one of his hobbies.
He was perhaps the archetypal magazine journalist. Following his whims, drawn by his interests, he honestly dabbled in all sorts of fields, yet remained unbound and unconstrained by anything—that's how he was, I still think. (He is an executive at Hwashin, former name Chu Yo-han).<60>

**Summary**

This article compiles recollections from three prominent Korean intellectuals (Yi Kwang-su, Ch'oe Chŏng-hŭi, Chu Yo-han writing under a Japanese name) about their impressions of three Japanese figures: the influential nationalist writer Tokutomi Sohō, the novelist Shimaki Kensaku, and Yamamoto Sanehiko, the president of the publishing house Kaizōsha. Yi Kwang-su recounts Tokutomi's advice to avoid politics and embrace Emperor-centricism, while noting his vast knowledge and productivity. Ch'oe Chŏng-hŭi describes her initial admiration for Shimaki's work "Goku" (Prison) but her slight disappointment upon meeting him and finding him physically short. Chu Yo-han portrays Yamamoto as a multifaceted but non-committal intellectual, a publisher interested in Korean culture and writers (like Chang Hyŏk-chu) partly out of dilettantism, despite his magazine "Kaizō" introducing leftist ideas.

From a historical perspective, the article is revealing about the complex positions of Korean intellectuals under late colonial rule. Their writing in Japanese for a magazine titled "Greater East Asia," their interactions with influential Japanese figures, and the specific advice given (e.g., Tokutomi's emphasis on Emperor-centricism) highlight the pressures and realities of the period. Yi Kwang-su's mention of being asked to write a Korean history from a Korean perspective by Tokutomi, yet being unable to, hints at the constraints. Chu Yo-han writing under a Japanese pseudonym (Matsumura Kōichi) while discussing Yamamoto's superficial interest in Korea further illustrates the nuanced and often compromised roles intellectuals navigated.

**Named Entities**

德富蘇峰翁	とくとみそほうおう	Old Master Tokutomi Sohō
先生は私に逢はれる度に、いつも二つのことを申された。政治に關係するな 天皇中心主義になれ、といふことである。
私が最近先生にお逢したのは昭和十一年の春であつたが、
「朝蛘の歷史を書け。朝鮮の立場から見た東洋史を書いて見よ」
といはれた。しかし私はその囑望にお答へ出來すに居る。
私はたつた一度大森山王の、先生のいはゆる山王草堂を訪れたといがある。先生は旅行中であつたが奧様には始めてお目にかゝれた。ステツキが何百本も立てられてあつたが旅行の記念なのであらう。山王草堂は家は小いが庭園は廣く老樹さへも鬱蒼としてゐた。
德富先生は阿蘇山の名物になつたほど有名だ。日本の國老であられる。煙草酒も親ます、娛樂とては富士山や熱海の海を眺めることで、あとは讀書と著述ださうだ。今は眼が見えす、速記者に筆記させることによつて著述を繼續されてゐる。
漢文學にも、英文學にも造詣深く、漢詩もよくせられ、朝鮮史にも詳しい。何しろ八十年も勤勉努力されたのだ。
私は先生の八十のお祝に
「文名冠一世。三代勤皇人。八十春來意。千秋史筆年新」
と書いて差上げた。

作家島木建作
崔貞熙

わたしが島木健作さんに興味を感じはじめたのは七年か八年かの前に彼の「獄」と云ふ單行本を讀んでからである。
「獄」の中におさめられた-久くなつて忘れたが「獄」「癞」その他の短篇を讀みながら、何度も作者島木健作にお逢ひしたい情までわき上つた＜58＞のである。
わたしはもとくよい小說、よい詩、よい繪畵云はばよい藝術の前であるとその創造者にまで情愛を抱いたりするのが常であるがしかしその代りわたしがそれらを鑑賞して作者にまで心を走らせることはこく稀である。
とにかく「獄」を讀んだ同時の島木健作は非常に好きであつたらしい。小說を解る友達に逢ふ每にわたしは「獄」を讀むことをすゝめたのであつた。

島木健作さんの實物にお逢ひしたのは三年か四年前のことである。
彼の來鮮を機會に某雜誌社からの催し座談會があつた。その晚わたしは何かのことで定刻より遲くなつて行つたので島木さんを中心に城大敎授やその他の方方等がもうさかんに話し合つてゐた。どんな話しであつたか判らない。わたしの記憶にいま一つも殘つてゐないのを推して見ればおそちく私の好かない堅苦しい話であつたであらうと思ふ。
彼の話しは記憶に殘つてゐないとしてもしきりに何かを話してゐた島木さんの印象はいまだにはつきりしてゐる。ヒヂ掛に凭坐つてゐる彼の風姿はわたしの像想して來た彼といさゝかの隔もなかつた様に感じられた。しかし座談會が終つて皆が立ち上つた時、わたしは坐つてゐた時の島木健作さんから受けられた印象と違つた印象を受けた。彼の背があまりに低かつたからである。ハンチシクをかぶつた彼は十五六才の子供ほどしか高くなかつた。わたしはちよつとしたさびしさを感じた。

山本改造社長の印象
松村紘一

山本改造社長に會つたのは十年昔である。確かに滿鮮旅行の途次であつたと思ふ。私は東亞日報の記者であつたが改造社社長は東亞日報の廣告主として明月舘に我我が御招待したのであつた。
その時の事は確か山本氏の著書の中に細しく出て居ると思ふ。
その席での話しは改造に朝鮮作家の作品を紹介したいとの事以外には堅苦しい政治的な話などなかつたように思ふ。朝鮮の風俗習慣から仕舞には暗黑街のこと、東京のそれなどまで話題にのぼつて一席の雜談會に＜59＞終つたのであつた。
山本氏の印象は出版屋であり文筆家であり物好きであり政治家でもあるその性格を如實に現はして居ると思ふた。しかもその何れにも徹底して居らぬ所に彼の特徴があり又短所がある樣に思へた。
「改造」を發刊して當時の左翼思想の紹介に一はだ脫いだ形であつたけれども彼自身に會つた限りでは彼は左でも右でも中間でもなささうであつた。
天下の大勢を論じたりイデオロギイを並べたりしない。趣味を樂しみ文化を味ふところの一人の智識人-これが彼の總決算のやうに思へた。
「朝鮮經濟史」を版版したり張赫宙を發見したりして彼の朝鮮に對する關心も相當ではあつたがこれさへ彼の一つの趣味でしかないのであつた。
彼の如き典型的の雜誌記者であらう。その氣まぐれの趨くまゝに、その趣味の引かるゝまゝにすなほにあらゆる分野に手を染めながらしかも何事にも束縛されす、こだはらすと云ふ様な彼であつた-と私は今でも思ふ。(氏は和信重役、舊名朱耀翰)＜60＞
＜57-60＞
