Magazine Title: 大東亞 第14卷 第3號
Publication Date: 1942년 03월 01일 (March 1, 1942)
Article Title: 亞細亞主義와 東亞新秩序 建設, 孫文 汪精衛外 中國政客의 亞細亞論을 基調로하여 (Asianism and the Construction of the New East Asian Order, Based on the Asian Theories of Sun Yat-sen, Wang Jingwei, and Other Chinese Politicians)
Author: 上海興亞院文化局 平田在福(舊名 張在福) (Shanghai Kōain Cultural Bureau, Hirata Zaifuku [Former Name: Chang Chae-bok])
Article Type: 논설 (Editorial/Opinion Piece)

Asianism and the Construction of the New East Asian Order, Based on the Asian Theories of Sun Yat-sen, Wang Jingwei, and Other Chinese Politicians
						Shanghai Kōain Cultural Bureau, Hirata Zaifuku (Former Name: Chang Chae-bok)

Since the outbreak of the China Incident (支那사변), various theories and opinions regarding Japan-China relations can be seen in newspapers and magazines in Our Japan (我 日本), but it seems difficult for us to hear the assertions and theories from the Chinese side. Therefore, I will record a few passages regarding the views on Asia held by famous Chinese figures, as shown below, and simultaneously write about the significance of the New East Asian Order. (Author)

『We must advocate Greater Asianism (大亞細亞主義) and restore the status of the Asian peoples. Based solely on benevolence, righteousness, morality, and ethics (仁義道德), we must unite the various peoples and make all Asian peoples powerful. The reason we speak of Greater Asianism is that the issue is how the peoples suffering in Asia can stand against the powerful European peoples. Simply put, it concerns the problem of eliminating the discontent of the oppressed peoples.』(Sun Yat-sen's Lecture on Greater Asianism)

The era in which China is currently undergoing a revolution is vastly different from Japan's Meiji Restoration (維新) period. During Japan's Restoration period, the power of Europe and America had not yet fully advanced eastward, and there were no other obstacles in the lands of East Asia. When Japan sought to modernize its military and reform its politics, it was free from any restraint. That is why Japan's restoration could be fully established. However, when Our China (我中國) faced revolution 13 years ago, the great powers of Europe and America had already invaded East Asia, and China was surrounded by the hindrances of powerful nations, encountering numerous difficulties. Even if these difficulties were overcome, the same objective could not be achieved. For this reason, even today, in the 13th year of the revolution<128>, it has not yet succeeded. Japan is currently the strongest independent nation in the East and also one of the world's great powers. If Japan truly recognizes that China has become a colony of more than ten countries, I think it is impossible for an independent nation to seek friendship with a colony. If Japan sincerely wishes to be friendly with China, it must first immediately help China abolish the unequal treaties and restore its position as master, allowing China to attain the status of freedom. Only then can China become friendly with Japan. As we are accustomed to saying, China and Japan are nations of the same race and script (同種同文), fraternal countries (兄弟의 邦). In terms of thousands of years of history and status, China is the elder brother (兄) and Japan is the younger brother (弟). At this time, if the brothers mutually gather and achieve harmony within the family (一家 和睦), then the younger brother, Japan, must recognize that its elder brother has already been a slave for over ten years. He has suffered extraordinary pain until today and is still suffering. The cause of that suffering is the unequal treaties. Furthermore, you gentlemen who are the younger brother must share the worries on behalf of the elder brother, assist the elder brother in his struggle, abolish the unequal treaties, and liberate him from the status of a slave. Only after that can China and Japan truly become brothers again. (An excerpt from Sun Yat-sen's lecture in Kobe)

Looking at this passage, it is extremely thorough, viewing Japan and China as fraternal nations and Asia as Our home. It leads to the point of how we should mutually aid each other in the future to revitalize Our home.

『There is not the slightest doubt that what China currently seeks is the independent survival, freedom, and equality of the nation and people. Only by granting China national and ethnic independent survival, freedom, and equality can it share the responsibility for peace and stability in East Asia with Japan. China must adopt the same policies as Japan in diplomacy and national defense, and economically, based on the principle of equality and mutual benefit (平等互惠) with Japan, it must practice mutual exchange of resources (有無相通) and mutual supplementation of strengths and weaknesses (長短相補).』 (Wang Jingwei [汪精衛])

This passage shows no great difference from the Konoe Three Principles of neighborly friendship, joint defense against communism, and economic cooperation.

『Since the founding of the Republic, the Chinese government has been organized by the Han (漢), Manchu (滿), Mongol (蒙), Hui (回), and Tibetan (藏) five peoples. However, in reality, those in power have all been Han Chinese. Although it is said that a policy of republicanism, freedom, and equality is practiced towards these five peoples, this is merely empty talk on paper. In reality, a policy of restraint (羈絆策) is employed towards the Han, Mongol, Hui, and Tibetan four peoples, not only obstructing their self-reliant revival but also making it impossible to maintain peace in the border regions, leaving them exposed to the threats of imperialism taking advantage of the situation. <129> This amounts to cooperating with the aggressive policies of imperialism and does not constitute an attempt to resolve issues based on the principle of national self-determination (民族自決策). Rather, there is no choice but to liberate the four peoples, allow each to form an independent state, and have their own peoples defend their own nations.』(Chang Myŏng [强鳴])

Thus, Chang Myŏng proposes the liberation of the five peoples, the establishment of a Great Han State (大漢國), and the formation of an Asian International League (亞洲國際聯盟). The Asian International League would focus on common national defense, with Japan taking charge of defense with its navy, building an invincible Pacific fleet, while the other continental nations would build large armies to handle the defense of the four northern directions. This opinion of Chang Myŏng also advocates for the liberation and independence of the peoples within China to promote national development, and through this, achieve a great union (大同聯合) to prepare for any future contingencies.

『Regarding the relationship between Japan and China, since Japan is the nation in Asia where military power, culture, science, and technology are most developed, it is of no concern (無關之事) to receive assistance in technology and capital from Japan to develop China's natural resources and advance industry. This leads to coexistence and co-prosperity (共存共榮) and equality and mutual benefit (平等互惠), and is by no means one country becoming subordinate (**) to another.』 Chou *'s (周*) (Greater Asianism)

『The Japanese and Chinese peoples have close relations racially and culturally. Although there are differences in national character, they possess largely similar traits (大同小異的 性質), making mutual intimacy and harmony (相親相睦) by no means impossible.』(Yi Chi-sŏng [李至誠])

Let us briefly examine the general sentiment towards foreign powers among Chinese people today.

『We can divide recent foreign relations into five periods: 「Despising Foreigners (鄙視外人)」, 「Excluding Foreigners (排斥外人)」, 「Fearing Foreigners (畏懼外人)」, 「Relying on Foreigners (倚恃外人)」. When sea routes first opened and foreigners first came to Our Country (我國), the people regarded them with extreme contempt (鄙視). <130> During the Qing Dynasty (淸朝時代), when foreign envoys had an audience with the emperor, they were forced to perform the ritual of three kneelings and nine kowtows (三跪九叩首). Later, as transportation became convenient and Western material civilization spread to various regions along with missionaries, the general scholar-official class (士大부급) was astonished by its reality, eventually leading to a mentality of closing the gates, preserving the national essence (國粹), and rejecting European ways (歐風). The Boxer Rebellion (義和團事件) can be seen as its peak. Subsequently, as they were defeated in successive wars against foreign powers, their attitude completely changed to one of fearing foreigners (畏懼外人), gradually entering a state of self-deprecation and lack of self-respect. Then, this mentality further degenerated into a sycophantic mentality towards foreigners (媚外心理), and from this sycophantic thought, it advanced one step further to become a thought of reliance on foreigners (恃外思想). Consequently, money was deposited in foreign banks, shops sought to use foreign brands, and it reached a point where even major national affairs were expected to be resolved with the participation of foreigners. This became true for all matters related to politics, economy, and military affairs. The current Chungking Government (重慶政府) serves as a prime example, relying on Britain and America (英米) and looking expectantly towards the Soviet Union (蘇聯), with national self-reliance becoming entirely absent.』(Greater Asianism Magazine 「中文」 Vol. 4, No. 2)

From the above, we can sufficiently deduce how the Chinese people's psychological attitude towards foreign powers has changed over time. No matter how much the Chungking Government propagates anti-Japanese resistance thought (排日抗日思想), the people's hearts remain inclined towards relying on Westerners, exhibiting a state of extreme suspicion (疑視千萬之狀). Even those in the leadership of the resistance are psychologically wavering left and right. What their final outcome will be in the not-too-distant future, I leave to the judgment of you, the readers. As described above, I have briefly noted the Asian perspectives of several famous Chinese figures and the transformation of popular sentiment towards foreign powers. Now, the "Construction of the New East Asian Order" (東亞新秩序建設) that we are advocating and advancing, based on geographical and historical conditions, aims to rectify the ills of East Asia and establish eternal peace and prosperity in East Asia by forming an organic community system spanning national defense, politics, economy, and culture. Regarding the morality (道義) that forms the foundation of the new order, the countries of East Asia should avoid mutual confrontation, relate organically, become intimate (相親), and further contribute to the establishment of a new world order.

The New East Asian Order signifies, on one hand, the liberation of East Asia. Until this demand is fully realized, the self-defense capabilities of East Asians must be urgently strengthened. If "morality also lacks substantial power" (道義도 實力), the path of constructing the new order we are advancing will be nothing more than empty talk. Therefore, the urgent task at hand is to swiftly organize the joint defense posture of East Asia under the new order structure, thoroughly instill a sense of coexistence throughout East Asia, and secure the safety within its sphere. <131>

**Summary**

This article, written by a Korean collaborator working for a Japanese propaganda bureau in Shanghai, argues for Japan's "New East Asian Order." It selectively quotes Chinese figures like Sun Yat-sen and Wang Jingwei, emphasizing themes of Asian unity against Western oppression, Sino-Japanese brotherhood (with Japan positioned to "help" China), and the need for economic and military cooperation under Japanese leadership. It criticizes the Nationalist Chinese government in Chungking for relying on Western powers and portrays the Chinese populace as having shifted from despising foreigners to relying on them, suggesting they are ready for Japan's leadership. The article concludes by stressing the need to build a strong joint defense system under the New Order to achieve East Asian liberation and prosperity. From the perspective of Korean colonial history, the article is significant because the author, Chang Chae-bok (using the Japanese name Hirata Zaifuku), represents Korean collaboration within the Japanese imperial structure, actively participating in disseminating Japanese wartime ideology. Historians might find the strategic use of Chinese nationalist figures' words to justify Japanese expansionism and the portrayal of shifting Chinese public opinion (as interpreted through a pro-Japanese lens) particularly revealing about the nature of propaganda and collaboration during this period.

**Named Entities**

大亞細亞	대아세아	Great Asia
成(す)	이루다	To form, constitute (Japanese verb 'nasu' read in Korean)
道義	도의	Morality, righteousness
相互	상호	Mutual
對立	대립	Confrontation, opposition
關聯	관련	Relation, connection
相親(하며)	상친하며	Being intimate with each other
貢獻(코저함이다)	공헌코자 함이다	It is the aim to contribute (older form)
解放	해방	Liberation
意味(한 것이니)	의미한 것이니	As it signifies
要求	요구	Demand, requirement
貫徹(하기까지는)	관철하기까지는	Until it is fully realized/penetrated
自力防衛	자력방위	Self-defense capabilities
緊急(히)	긴급히	Urgently
强化(시키여야 한다)	강화시켜야 한다	Must be strengthened (older spelling)
實力	실력	Real power, substantial ability
充實(치 못하면)	충실치 못하면	If not substantial/full (older negative)
進行(하는)	진행하는	Advancing, proceeding
建設之道	건설지도	The way/path of construction
一場空論	일장공론	Mere empty talk
不 過(한 것이니)	불과한 것이니	As it is nothing more than
機構下	기구하	Under the mechanism/structure
一日 速(히)	일일 속히	Swiftly, as soon as possible (lit. one day quickly)
共同防衛態勢	공동방위태세	Joint defense posture
整濟(식힘이)	정제시킴이	Organizing, putting in order (older verb ending/form)
刻下	각하	Present moment, right now
急務	급무	Urgent task
全體	전체	Entirety, whole
共生觀	공생관	View of coexistence
徹底(히)	철저히	Thoroughly
認識(시키여)	인식시키여	Making recognize (older spelling)
其	기	Its, their (older possessive)
圈內	권내	Within the sphere/zone
安全	안전	Safety, security
確保(하여야 할 것이다)	확보하여야 할 것이다	Must secure


---------------------------


잡지명	대동아 제14권 제3호
발행일	1942년 03월 01일
기사제목	亞細亞主義와 東亞新秩序 建設, 孫文 汪精衛外 中國政客의 亞細亞論을 基調로하여
필자	上海興亞院文化局 平田在福(舊名 張在福)
기사형태	논설

亞細亞主義와 東亞新秩序 建設, 孫文 汪精衛外 中國政客의 亞細亞論을 基調로하여
						上海興亞院文化局 平田在福(舊名 張在福)
支那사변 발생이래 我 日本에서는 日支關係에 대한 여러 가지의 이론과 의견을 신문지상으로나 잡지상으로 볼수있지만은 中國측의 주장과 其 이론은 우리편에서 듣기가 어려운 것 같다. 그런고로 아래와 같은 中國名士의 亞細亞觀에 대한 幾節을 기록하는 동시에 東亞신질서의 意義을 쓰기로 한다.(필자)

『我等은 大亞細亞主義를 주장하여 亞細亞민족의 지위를 회복하지 않으면 안된다. 다만 仁義道德을 기초로 하여 각 민족을 연합하고 전 亞細亞민족을 유력하게 하지 않으면 안된다. 我等이 大亞細亞주의를 講話하는 이유는 亞細亞에서 痛苦를 蒙하고 있는 민족이 어떻게 하여야 歐洲의 강대민족에 대항할 수 있을가 함이 문제이다. 간단이 환언하면 피압박민족의 불평타파를 문제로 한다』(孫文의 大亞細亞主義講演)
中國이 今般 혁명을 이르키고 있는 것은 日本의 維新時代와는 其 시대가 크게 다르다. 日本의 維新時代는 歐米의 세력이 아직 완전히 東進하지 않었고 東亞의 천지에는 기타의 장애가 없었다. 日œ¬이 군비를 정비코저하고 정치를 쇄신코저 하면 何等 견제를 받지않는 자유이었다. 그렇기에 日本의 유신은 완전이 성립할수 있었다. 然이나 我中國은 13년전 혁명에 당하여 歐米의 大勢力은 임이 東亞에 침입되고 中國의 四圍에는 강국의 장애를 받지 않음이 없이 許多의 곤란을 받게 되고 가령 이 곤란을 돌파한다고 하더래도 同목적을 달성할 수 없었다. 其故로 혁명 13년차 今日에＜128＞ 至하여도 아직 성공하지 못한 것이다. 日本은 현재 동양의 최강독립국가이며 또한 세계열강국의 하나이다. 만일 日本이 참으로 中國이 십수개국의 식민지가 되어있음을 인식한다면 일개 독립국가가 식민지에 대하여 친선을 구하여 오기는, 나는 그것이 될 수 없다고 생각한다. 만일 日本이 성의를 가지고 中國과 친선코저 한다면 즉시 먼첨 中國을 도와 불평등한 조약을 廢除하여 주인된 지위를 奮回시키여 中國으로 하여금 자유의 신분을 획득식힘에 있어서 비로소 中國은 日本과 친선할 수 있게 될 것이다. 我等은 입에 익은 말과 같이 中國과 日本는 同種同文의 국가이며 형제의 邦이다. 幾千年의 역사와 地位로 말한다면 中國은 兄이요 日本은 弟이다. 此際兄弟互相集合하여 一家 和睦하여진다면 즉시 弟된 日本은 其 兄이 임이 십수년간을 노예가 되여 있음을 알아주지 않으면 안된다. 今日까지 비상이 고통을 받었으며 아직도 고통을 받고 있다. 其 고통의 원인은 즉 불평등조약이다. 更이 弟가된 諸君은 兄을 대신하여 憂를 분담하여 형을 조력하여 분툊�하며 불평등 조약을 폐제하고 노예의 지위로부터 이탈시키지 않으면 안된다. 그리한 後래야 中國과 日本은 비로소 다시금 형제가 되는 것이다.(神戶에서 孫文의 講演1節)
此一節을 보건데 극히 철저하여 日中은 형제의 국, 亞細亞를 我等의 가정으로 본것이니 아등은 장차 如何히 상부상조하여 我等의 가정을 부흥시켜야 할 것인가하는 점에 나아가는 것이다.
『中國의 현재 구할 바는 국가민족의 독립생존, 자유평등인 것은 小毫도 의심할 여지가 없다. 中國의 國家民族獨立生存 自由平等을 줌에 있어서 비로소 日本과 함께 東亞의 和平과 안정의 책임을 분담하게 될 것이다. 中國은 외교상 국방상 日本과 동일한 방침을 취하며 경제상 日本과 평등호혜의 원칙에 基하여 有無相通하며 長短相補를 실행치 않으면 안된다』 (汪精衛)
此 一節은 선린우호, 共同防共, 경제제휴의 近衛 3원칙과 大差가 없는 것이다.
『민국이래 中國정부는 漢, 滿, 蒙, 回, 藏, 5민족으로 조직되었다. 하지마는 실상 집정자는 擧皆 漢民族이었다. 此 5族에 대하여 共和自由平等의 정책을 행한다고 하지마는 此는 紙上空論에 불과한 것이다. 실제에는 漢 蒙, 回, 藏, 사민족에 대하여 羈絆策을 채취하여 其자력갱생을 阻害할 뿐만아니라 변경의 치안을 유지하기도 불가능하여 帝國主義가 틈을 타서 威脅하는 그대로＜129＞ 방임하고 있다. 此는 帝國主義의 침략정책에 협동하는 것으로 되고 민족자결책에 의하여 문제를 해결하고저 하는 것이 되지 못한다. 차라리 四族을 해방하여 각자 독립국가를 형성시키고 其 민족**에서 자기의 국가를 방위시키는 수 밖에 없다.』(强鳴)
그리하여 張鳴은 5族해방과 大漢國樹立亞洲國際聯盟의 결성을 제안하며 亞洲國際聯盟은 공동국방에 중심을 두고 日本은 해군으로 국방을 담임하여 太平洋 무적함대를 건설하고 기타 대륙제국은 대육군을 건설하여 4북국방을 담임코저 함이니 此 張鳴의 의견도 中國내 민족 해방독립을 주장하여 민족발전을 촉진시키고 此로 大同聯合하여 후일의 만일의 경우를 備코저함이다.
『日本과 中國과의 관계에 있어서는 日本은 무력, 문화, 과학기술 등이 亞細亞에 있어서 가장 발달된 국가임에 따라 중국의 天然富源을 개발하여 實業을 발달시키는데는 日本의 기술과 자본의 원조를 受함이 無關之事고 此는 共存共榮 平等互惠가 되는 것이요 결코 一國이 타국에 **되는 것이 아니다.』 周*의(大亞細亞主義)
『日中양민족은 종족적으로 문화적으로 밀접한 관계가 있는바 민족성으로 相違한 점이 있다하지만은 대동소이적 성질을 가진바로 相親相睦이 결코 불가능한 바가 아니다.』(李至誠)
現今 중국인의 일반적 대외감정을 간단이 들어보기로 하자.
『我等은 최근 대외관계를 들어 5期로 分할 수 있다. 즉 「鄙視外人」 「排斥外人」 「畏懼外人」 「倚恃外人」의 5期이다. 첨음 해운이 통하여 외국인이 처음으로 我國에 올 때 국인은 此等을 對하여 極端으로 鄙視하였다.＜130＞ 淸朝時代에 외국사신이 황제에 拜竭할 時는 3跪9叩首의 禮를 강요하였다. 其後 교통이 편리케되여 서구의 물질문명이 선교사와 함께 각지에 유포하는데 따라 일반 사대부급은 其실상에 경탄하여 드듸여 관문을 폐하고 스스로 國粹를 保持코저하고 歐風은 배척하는 심리로 되었다. 義和團事件이 즉 其 최고조라고 보겠다. 기후 次次로 봉기된 대외전쟁에 擧皆 실패하게되니 其 태도를 일변하여 畏懼外人적 심리로 되고 점점 자기를 경시하고 자기를 존중치 안는 태도에 入하다. 그리하여 此 心理가 다시 타락하여 媚外心理로 되고 媚外心理的 사상으로부터 한거름 나아가 恃外사상이 된 것이다. 이같이 되어 금전은 외국은행에 저축하며 상점은 외국상표를 사용하자고 하고 한층 더 심한 것은 국가의 대사건까지 외국인이 參來하여 해결하여 주기를 待望할 것이라고까지 되었다. 기타 정치, 경제, 군사상의 일체에 至하기까지 그러하게 되었으니 현재의 重慶政府가 其實例가 된 바니 英米를 의존하며 蘇聯의게 企待하여 민족자신이라는 전무케 되다.』(大亞細亞主義雜誌「中文」第4卷 2號)
이상과 같이 중국인민의 시대적 대외 심리 변화가 如何하였음을 우리는 넉넉히 추상할 수 있다. 重慶政府가 如何히 排日抗日思想을 선전한다고 하여도 민심은 依然 서양인을 의존하는 편에 있어서는 오히려 疑視千萬之狀이며 抗戰지도층에 있는 輩等도 심리적으로는 좌왕우왕하는 편이니 不遠한 장래에 그들의 종국이 如何히 될지 此點에 대하여는 讀者 諸位의 판단하에 일임한다. 이상과 같이 중국측 명사 몇분의 亞細亞觀과 대외적 민심변태를 略記하였거니와 그러면 우리편에서 주장하고 進中에 있는『東亞新秩序建設』은 지리적 역사적 조건을 배경으로 하고 東亞의 時弊를 匡正하여 東亞영원의 평화와 번영을 확립코저 국방, 정치, 경제, 문화제반에 亙하여 유기적 공동체제를 형성함에 있다. 신질서의 基調를 일우는 도의에 至하여는 東亞의 각국은 상호대립을 피하고 유기적으로 관련 相親하며 한거름 나아가서는 세계신질서 수립에 공헌코저함이다.
東亞신질서는 일면으로 東亞의 해방을 의미한 것이니 此要求를 貫徹하기까지는 東亞人의 자력방위를 긴급히 강화시키여야 한다 『道義도 實力』이 충실치 못하면 우리가 진행하는 신질서의 建設之道도 일장공론에 불과한 것이니 먼저 신질서 機構下에 一日 速히 東亞의 공동방위태세를 整濟식힘이 刻下의 급무이며 東亞전체에 공생관을 철저히 인식시키여 其 권내의 안전을 확보하여야 할 것이다.＜131＞
＜128-131＞
