Magazine Title: 삼천리 제11권 제4호
Publication Date: 1939-04-01
Article Title: 감출 수 업는 것은(외 2편) (What Cannot Be Hidden (and 2 others))
Author: 露雀 (Nojak)
Article Type: 시 (Poem)

What Cannot Be Hidden (and 2 others)
						Nojak

What Cannot Be Hidden

If you go to gather herbs, gazing at the distant Mountain (山)
What do you see, using the spring pool as a mirror?
Hiding the short pine branch in the pine grove is useless
What cannot be hidden is the big girl's behind.

Seeing the Half-moon (半달), letting out a long sigh
Shaking out the fish trap at the front stream's stone weir
When the hedgehog wanders off alone and goes for a drink
The virtuous woman from the back house with a red face walks the dawn path.

What use is a hero who cannot see the signs of the times?
Amidst smallpox chaos (素症난리) and banishment of Shame (廉恥), planning a chicken theft
Old Mr. Kang with the yellow beard cannot sleep at night
Watching the Pleiades (좀星) for Heaven's Ki (天機), grumbling to himself <254>

Even if Red Peppers and Bellflowers are Spicy

My younger brother-in-law, the Master Carpenter (都片手), working on the Ch'ungju Guesthouse (忠州 客舍) crossbeam
How can I trust the young Husband (郞君) held in my arms?
The winding Outer West Village (外西村) path, full of puddles
Who can know the heart of the sister-in-law (싀뉘) like a drizzling rain?

Weaving Mokch'ŏn cotton (木川무명), a Ch'ŏngju woman (淸州나이), twelve-*sae* weaving (열누새 길ㅅ삼)
Setting the heddle (잉아) and grabbing the shuttle (북), my heart thumps
Thump-thump cries the loom frame (바듸), what is so sorrowful?
Twelve spools (가락고치) drain the marrow from my spine (등ㅅ골).

The unknowing mother-in-law (싀어머니) only winds skeins (꾸리)
Even if five hundred skeins are unwound and woven, will this sorrow be relieved?
When all this fine cloth (細木) is finished, who will wear it?
There’s nothing for the front house (압宅) baby's diaper cloth (기저귀ㅅ감), how absurd.

In July/August (七八月), pounding grain all night long
Coarse barley rice (꽁버리밥) after the first steaming, even that is precious <255>
The sister-in-law's (싀누이) malice earns her ill repute (陋名) for stealing grain husks (강피훌ㅅ다?)
With every glance, the thoughtless Husband (郞君) throws empty punches.

A Solitary Step

A solitary step, isn't the P'och'ŏng bridge (捕廳다리) frightening?
The *salp'uri* rhythm (殺푸리 長短) from the Restaurant (料理ㅅ집), it's Pokch'ŏng Bridge (福淸橋)
Deliberately getting soaked by the heavy snow, is it such a big deal?
The Half-Millennium (半千年) old bell, silently, Emillelle...

A solitary step, isn't the goblin's arm (독갭이 팔) frightening?
The jazz (짜쓰) from Chindan Street (진딴다 거리) makes my ears ring
Deliberately getting soaked by the heavy snow, is it such a big deal!
Over Sup'yo Bridge (水標다리), how many feet, how many inches deep is the ditch water (구정물)...

A solitary step, isn't the Hullyŏnwŏn site (訓練院터) frightening?
The late factory siren (공장싸이렌), the body is weary too
Deliberately getting soaked by the heavy snow, is it such a big deal!
Ogansu (五間水) is choked up, how can I get to Wangsimni (往十里)? <256>

**Summary**

These three poems by Nojak depict distinct scenes of Korean life in the late 1930s. The first, "What Cannot Be Hidden," offers vignettes of rural life, observing nature, simple actions, and subtle social commentary on hidden feelings or unseemly realities. The second, "Even if Red Peppers and Bellflowers are Spicy," delves into the arduous and often thankless life of a young wife and daughter-in-law, focusing on the physical toil of weaving and domestic chores, compounded by familial tensions and lack of appreciation. The third, "A Solitary Step," shifts to an urban setting, likely Seoul, portraying a lonely, perhaps anxious, walk through the snowy city at night, referencing specific locations and contrasting traditional elements (Emille bell) with modern ones (jazz, factory sirens), reflecting a sense of unease and displacement. For historians, the poems are valuable for their portrayal of everyday life and emotional landscapes during the colonial period, capturing both rural hardships (especially for women) and the emerging modern anxieties in urban spaces, grounded in specific locations like Ch'ungju, Ch'ŏngju, and various sites within Seoul. The blend of traditional Korean imagery with modern elements like jazz and factory sirens highlights the transitional nature of the era.

**Named Entities**

山	산	Mountain
느즌	늦은	late (older spelling of 늦은)
공장싸이렌	공장 사이렌	factory siren
저즌들	젖은들	even if wet (older spelling/form)
메니	메니	being choked up; blocked


---------------------------


잡지명	삼천리 제11권 제4호
발행일	1939년 04월 01일
기사제목	감출 수 업는 것은(외 2편)
필자	露雀
기사형태	시

감출 수 업는 것은(외 2편)
						露雀
감출 수 업는 것은

나물캐러 가면은 먼 山 바래기
옹달 우물 거울 삼어 무엇을 보누
솔도치에 몽당 솔을 감처야 쓰지
감출 수 없는 것은 큰 아기 궁둥

半달 보고 긴 한* 웃음을 당싯
압내여을 잔돝방천 통발을 털어
고슴도치 외따지고 술추념 갈 제
낫 붉은 뒷집 烈女 새벽길 것네

時勢 못 본 영웅이 소용이 무엇
素症난리 廉恥귀양 닭서리 가려
노랑수염 강생원님 밤잠 못 자고
좀星이 天機보며 홈자 군소리 <254>

고초당초 맵다한들

忠州 客舍 들ㅅ보남글 都片手-ㄴ 아우
품 안에든 어린 郞君 어이나 믿어
굽은 사리 外西村 길 푸돌먼 가두
가랑개리 싀뉘 마음 그 누가 알리

木川무명 淸州나이 열누새 길ㅅ삼
잉아 걸고 북 잡으니 가슴이 달캉
달캉달캉 우는 바듸 무엇이 설우
열 두가락 가락고치 등ㅅ골을 빼지

속 몰으는 싀어머니 꾸리만 겼수
五百꾸리 풀어짠들 이 서름 풀ㅅ가
이 細木을 다-나으면 누를를 입혀
압宅 아기 기저귀ㅅ감 어이두 없네

七八月에 자체방아 온 밤을 새두
애벌댓김 꽁버리밥 그것두 대젼 <255>
강피훌ㅅ다 陋名 쓰긴 싀누이 암상
눈ㅅ결마다 헛주먹질 철 없는 郞君

호젓한 걸음

호젔한 걸음 捕廳다리 무섭지 안소?
料理ㅅ집 殺푸리 長短 福淸橋라오
일부러 맛는 함박눈 옷저즌들 대수요?
半千年 묵은 쇠북 말없이 에밀렐레...

호젔한 걸음 독갭이 팔 무섭지 안소?
진딴다 거리의 짜쓰 귀가 저리네
일부러 맛는 함박눈 옷 적즌들 대수요!
길넘은 水標다리 구정물 몇자 몇치...

호젔한 걸음 訓練院터 무섭지 안소?
느즌 일 공장싸이렌 몸도 고달펴
일부러 맛는 함박눈 옷 저즌들 대수요!
五間水 목이 메니 往十里 어이 가리 <256>
<254-256>
