**Header Section:**
Magazine Title: 삼천리 第六卷 第七號
Publication Date: 1934년 06월 01일
Article Title: 余의 轉向理由, -朝鮮共産黨員 某의 手記- (My Reasons for Defection - A Memoir by a Certain Korean Communist Party Member)
Author: 某 (Anonymous)
Article Type: 회고·수기 (Memoir/Personal Account)

**Body Text Translation:**
My Reasons for Defection - A Memoir by a Certain Korean Communist Party Member

Since Sano Manabu (佐野學) in Tōkyō declared his severance from the International Communist Party and defected, the world has been watching closely to see what kind of ripples this would cause among Chosŏn's ideological activists. Recently, a certain prominent figure currently imprisoned in Sŏdaemun Prison (西大門刑務所) in connection with the Korean Communist Party Domestic Work Committee (朝鮮共産黨 國內工作委員會) incident published a lengthy document criticizing the "Comintern" (컨민텐) policy from within prison, along with a memoir of his defection. The content is lengthy, and lacking the freedom to publish it explicitly, only the main points are summarized below.
Furthermore, regarding the aforementioned Domestic Work Committee incident, it was a large-scale secret society case involving approximately one hundred defendants, and at the time of the arrests, it greatly stirred the atmosphere of the peninsula.

1 The Disaster of Factional Strife

Looking back at the history of the Korean Communist Party's movement, it has truly been characterized by factional strife (派爭).
Factional strife is the greatest cancer on the movement's path. There is no reason for such factions—the Shanghai Faction (上海派), the Nikolsk Faction (尼市派), the Tuesday Faction (火曜派), the Seoul Faction (서울派), the North Wind Faction (北風派), the ML Faction (ML派), etc.—to exist among activists on the same path, heading toward the same principles and the same goal, engaging in divisive struggles. Nevertheless, on our movement's path, the power struggles of these factions have recurred so often that there has hardly been a peaceful day. Although conscientious comrades fought hard to eliminate this deplorable evil habit, seeking the eradication of factions and the settlement of factional strife, the fortress of factionalism has always remained unshakable. The Communist Party, whose life depends on absolute secrecy, has repeatedly suffered tragic collapses due to this factional strife. The Domestic Work Committee incident, in which I was involved, was also discovered precisely because of this factional strife, resulting in the arrest of numerous comrades all at once.<96>

2 Regarding Policy and Tactics

Regarding policy and tactics, our movement hitherto had weaknesses. First, concerning the movement's direction, the fixed, monotonous formalism lost its power to guide the actual movement, and the methods for the organizational structure of the Communist Party, its external organizations, fraction (푸락숀) activities, and the struggle for hegemony (헤께모니) always followed a fixed pattern, inevitably repeating failures. To put it more concretely, although a national united front (民族的 協同戰線) was aimed for, it was impossible for certain reasons. The powerlessness of the Japanese Communist Party regarding Chosŏn, the political indifference of the Korean people, and the flaws of simple Korean-style houses lacking defensive measures for underground secret meetings—thus, no matter how cleverly conducted the clandestine operations were, they were prone to failure.

3 Disregard for Chosŏn's Specific Characteristics

The International Communist Party (國際共産黨) disregarded Chosŏn's historical and social specific characteristics. The Comintern (곤민턴) based its guidance solely on the experience of Russia (露西亞XX), attempting to direct and regulate the XX of various countries around the world, each possessing distinct national characteristics and cultural particularities; herein lay a great flaw. As each nation has a different historical background, the formalized guidance policy of the International Communist Party cannot be said to have been without flaws in the process of implementation.

4 Theoretical Contradictions

The point where I felt a contradiction in Marxist materialism (맑스 唯物論), the foundational theory of communism, is the idea that "humans, like other matter, are merely matter, and the human spirit is nothing but a reflection of matter." If that is the case, how does it explain metaphysical culture such as religion and philosophy, created by the efforts of the human soul? Marxist materialism is too biased and irrational to answer this question.

5 Future Direction

It must be a legal, moderate, and mass-based movement suitable for the reality of Chosŏn. (Remainder omitted - original text)<97>

**Summary**

This article is a memoir by an anonymous, high-ranking member of the Korean Communist Party, written from Sŏdaemun Prison in 1934, explaining his reasons for defecting ('chŏnhyang'). He cites persistent, destructive factionalism within the party (naming several factions) as a primary cause, leading directly to the exposure of his own Domestic Work Committee. He criticizes the party's rigid, formulaic policies and tactics, detached from Korean realities, and the failure to build a national united front. He also faults the Comintern for imposing a Russia-centric model that ignored Korea's unique historical and social context. Finally, he expresses philosophical disagreement with Marxist materialism's explanation of human consciousness and culture. He concludes that the future path must be a legal, moderate, mass-based movement adapted to Korea's specific situation.

Historians would find this article valuable for its firsthand account of the internal dynamics and disillusionment within the Korean communist movement during the colonial period. It explicitly details the severe impact of factionalism (a recurring theme in Korean political history), critiques Comintern policies from a Korean perspective, and provides a personal rationale for 'chŏnhyang' (political conversion/defection under pressure), a significant phenomenon among intellectuals and activists in 1930s Korea and Japan. The critique of Marxist theory adds an ideological dimension to the defection narrative.

**Named Entities**

佐野學	さの まなぶ	Sano Manabu
힘을 일헛고	힘을 잃었고	Lost power/strength (일헛고 older spelling)
組織體系	조직체계	Organizational structure
外廓團體	외곽단체	External organization, front group
푸락숀	프락션	Fraction (political cell within another org)
헤께모니	헤게모니	Hegemony (phonetic transcription)
戰取運動	쟁취운동	Struggle to seize/win
方法	방법	Method
늘	늘	Always
定型	정형	Fixed pattern, stereotype
흘나서	흘러서	Following, flowing from (older spelling)
失敗	실패	Failure
거듭 할 박게 업섯다	거듭할 밖에 없었다	Could not but repeat (older form)
좀더	좀더	A bit more
具體的	구체적	Concrete, specific
民族的	민족적	National
協同戰線	협동전선	United front, cooperative front
期하엿스나	기하였으나	Aimed for, expected (older form)
엇더한	어떠한	What kind of, certain (older spelling)
理由	이유	Reason
不可能하엿고	불가능하였고	Was impossible (older form)
無力한	무력한	Powerless
點	점	Point, aspect
政治的	정치적	Political
無關心	무관심	Indifference, apathy
秘密會議	비밀회의	Secret meeting
地下層	지하층	Underground level/stratum (referring to activists)
防禦裝置	방어장치	Defensive measures/arrangements
單純한	단순한	Simple
朝鮮式	조선식	Korean-style
家屋	가옥	House, dwelling
缺陷	결함	Flaw, defect
이리하야	이리하여	Thus, in this way (older form)
아모리	아무리	No matter how
巧妙한	교묘한	Clever, skillful, ingenious
潛行運動	잠행운동	Clandestine movement/activity
特殊性	특수성	Specific characteristics, particularity
無視	무시	Disregard, ignore
歷史的	역사적	Historical
社會的	사회적	Social
專혀	전혀	Entirely, solely
經驗	경험	Experience
土台	토대	Foundation, basis
各其	각기	Each, respective
民族的 特異性	민족적 특이성	National distinctiveness/peculiarity
文化的 特殊性	문화적 특수성	Cultural particularity
世界 各國	세계 각국	Various countries of the world
指導	지도	Guidance, direction
規定하려는 데에	규정하려는 데에	In trying to regulate/define
相異한	상이한	Different
背景	배경	Background
公式化한	공식화한	Formalized
實踐過程	실천과정	Process of implementation/practice
理論上	이론상	Theoretically
矛盾	모순	Contradiction
基礎的 理論	기초적 이론	Fundamental/basic theory
唯物論	유물론	Materialism
感한	감한	Felt
物質	물질	Matter, substance
同樣으로	동양으로	Similarly, in the same way
一個	일개	One piece, merely a
精神	정신	Spirit, mind
反映	반영	Reflection
不過하다	불과하다	To be merely, nothing but
그러타면	그렇다면	If so, in that case (older spelling)
靈魂	영혼	Soul, spirit
努力	노력	Effort
創造된	창조된	Created
宗敎	종교	Religion
哲學	철학	Philosophy
等	등	Etc.
形而上學的	형이상학적	Metaphysical
文化	문화	Culture
說明하려는가	설명하려는가	Intends to explain?
疑問	의문	Question, doubt
對答하기에	대답하기에	To answer (older form)
너무	너무	Too
偏頗的	편파적	Biased, partial
不合理하다	불합리하다	Is irrational, unreasonable
今后	금후	Henceforth, from now on (modern: 이후)
進行方針	진행방침	Future direction, course of action
現實	현실	Reality
適合한	적합한	Suitable, appropriate
合法的	합법적	Legal
穩健的	온건적	Moderate
大衆的	대중적	Mass-based, popular
아니면 안된다	아니면 안 된다	Must be, has to be (idiomatic)
下畧	하략	Remainder omitted


---------------------------


잡지명	삼천리 제6권 제7호
발행일	1934년 06월 01일
기사제목	余의 轉向理由, -朝鮮共産黨員 某의 手記-
기사형태	회고·수기

余의 轉向理由, -朝鮮共産黨員 某의 手記-
東京서 佐野學이 國際共産黨과 絶綠을 宣言하야 轉向한 以來 朝鮮의 思想運動者사이에 그것이 如何한 波紋을 던지어 오는가 함은 世人이 注視하여 오든 바 最近 朝鮮共産黨 國內工作委員會 事件으로 方今 西大門刑務所에 拘禁되어 잇는 巨頭 某는 「獄內에서 「컨민텐」 政策을 批判한 長文의 書와 同時에 轉向手記를 發表하엿다. 그 內容은 長文이오. 또 赤裸裸하게 發表할 自由가 업기에 이에 簡單하게 그 要領만을 抄記하면 如左하엿다.
더욱 前記 國內工作委員會事件으로 말하면 被告數가 約 百餘名에 達하는 大規模의 秘密結社事件으로 檢擧 當時는 半島의 空氣를 몹시 驚動시켜 놋든 것이엇다.

1 派爭의 禍

朝鮮共産黨의 歷代의 運動史를 회고하면 실로 派爭으로 一貫하엿다.
派爭은 運動線上의 最大의 癌이다. 上海派, 尼市派, 火曜派, 서울派, 北風派 ML派 等 가튼 主義, 가튼 目標를 향하야 나아가는 同一線上의 運動者들에게 分類相爭하는 이러한 派가 잇슬 까닭이 업다. 그러컨만 從來 우리 運動線에는 이 派閥의 勢力싸홈이 하느한 때든지 실로 寧日이 업스리만치 번복되어 왓다. 이 痛恨할 惡弊를 업시하고저 뜻잇는 同志들이 派閥撲滅, 派爭淸算을 위하야 만히 奮鬪하엿건만 언제든지 派閥의 城塞는 確乎不拔하어 왓다. 絶對秘密을 生命으로 하는 共産黨은 이 派爭때문에 悲慘한 陷沒을 번복하고 잇섯다. 내가 關係한 國內工作委員會事件도 실로 이 派爭때문에 發覺되어 多數의 同志가 一朝에 檢擧를<96> 當하게 된 것이다.

2 政策 及 戰術에 잇서

政策 及 戰術에 잇서 從來의 우리 運動은 弱點이 잇섯다. 爲先 運動方針에 잇서 固定한 千篇一律的인 公式主義는 實際運動을 指揮하는 힘을 일헛고 共産黨의 組織體系 그 外廓團體, 푸락숀 헤께모니 戰取運動의 그 方法은 늘 定型에 흘나서 失敗를 거듭 할 박게 업섯다. 좀더 具體的으로 말하면 民族的 協同戰線를 期하엿스나 그도 엇더한 理由로 不可能하엿고 日本共産黨이 朝鮮에 대한 無力한 點 朝鮮民族의 政治的 無關心 秘密會議에 대한 地下層의 防禦獎置도 업는 單純한 朝鮮式 家屋의 缺陷 이리하야 아모리 巧妙한 潛行運運이라도 失敗하기 쉬웟다.

3 朝鮮 特殊性의 無視

國際共産黨은 朝鮮의 歷史的 社會的 特殊性을 無視하고 곤민턴은 專혀 露西亞XX의 經驗을 土台로 하여 各其 民族的 特異性, 文化的 特殊性을 가진 世界 各國의 XX을 指導, 規定하려는 데에 큰 缺陷이 잇섯다. 各國의 民族은 다 相異한 歷史的 背景을 가지고 잇슴으로 公式化한 國際共産黨의 指導方針은 實踐過程에 잇서 缺陷이 업섯다고 할 수 업다.

4 理論上의 矛盾

共産主義의 基礎的 理論인 맑스 唯物論에서 矛盾을 感한 點은 「人間은 다른 物質과 同樣으로 一個의 物質이요 人間의 精神은 物質의 反映에 不過」하다는 것으로 그러타면 人間의 靈魂의 努力에 의하야 創造된 宗敎 哲學 等 形而上學的 文化는 무엇으로 이를 說明하려는가. 이 疑問에 對答하기에 맑스 唯物論은 너무 偏頗的이요 不合理하다.

5 今后 進行方針

朝鮮의 現實에 適合한 合法的, 穩健的, 大衆的인 運動이 아니면 안된다.(下畧-원문)<97>
<96-97>
