Magazine Title: 삼천리 제11권 제7호
Publication Date: 1939년 06월 01일
Article Title: 劇團高協通信, 關北巡禮記 (Theater Troupe Kohyŏp Correspondence, A Pilgrimage Record of Kwanbuk)
Author: 沈影, 盧載信, 池季順氏로부터 (From Sim Yŏng, No Chae-sin, Chi Kye-sun ssi)
Article Type: 기행문 (Travelogue)

**First Letter**

We began in Wŏnsan on April 1st, toured 2,000 ri (approx. 800 km) of Kwanbuk all the way to Yongjŏng in Kando, and are now on our way back.
North Korea, seen again after about 8 years, has changed astonishingly. Among the changes, Hamhŭng, Ch'ŏngjin, Najin, and Unggi have become especially splendid, truly developed beyond recognition; in a word, all facilities have become quite civilized. However, although people say that hearts grow harsh as civilization advances, the Kwanbuk people's hearts are unchanged from past to present – generous, kind, and with a certain trustworthiness amidst their bluntness, making it a place where traveling never feels tiresome. How could one bear not to visit again? When the wild grapes and kiwis are ready to be picked, I shall surely return to witness the autumn moonrise over Ch'ŏngjin Harbor, which seems to part the sea as it rises.
Sŏ Wŏl-yŏng (from Ch'ŏngjin)

Everywhere, the children walking along the road – laughing, crying, or acting cute – especially the boys around ten years old, make me very happy. The joy of continually meeting these cute, young ones, not in the theater but newly on the roadside – I receive from them the comfort for a traveler's heart that only a father can feel. I grew attached to one such Manchurian child over two days; the little fellow clung to my coattails, saying "ch'angsi ch'angsi." On the day I left, he insisted on coming along, and had his parents not barely managed to stop him, I almost missed my train time. It seems the trouble started when I bought him a pair of rubber shoes because his were all worn out.<183> O, young ones in foreign lands, next time I want to bring plays to entertain you.
Pak Che-haeng (from Yongjŏng)

I'm worried about the recording date for "Kukkyŏng" (Border). Even so, I certainly cannot abandon the group's work midway for personal reasons. Here is Najin. After the play, I strolled along the beach, whistling far, far away towards the reflection of the emerging port's underwater palace (水中宮) on the water and the dark horizon beyond. A patrol boat (警備船) speeds past beneath my feet – this too is unrelated to my whistling. Adieu! Be well, Najin!
T'ae Ŭl-min (from Najin)

The docks – fishing boats – lighthouse – sailors – the harbor late at night – all these scenes are places my shadow once passed. But that ancient fishing village (漁村) down below is gone, and concrete houses (洋灰집) are densely packed in its place. Though only 7 or 8 years have passed, it's not that long ago, yet does it give such a feeling of drastic change (隔世之觀)? My remembered harbor… Alas, Unggi!
Chu In-gyu (from Unggi)

Although it's a long tour, it's not too arduous, because this time there is no so-called "noriuch'i" (freeloading/unplanned additions). Father, please don't worry.
Following my colleagues, I came out to Mangyangjŏng Pavilion (望洋亭), said to be more beautiful than Hae Kŭmgang. It was a bright day where one didn't feel the cold even while catching crabs and clams. We also viewed the honeycomb-like Russo-Japanese War historic site (日露戰蹟) at Pujuk (不築) from here and rested while listening to the explanations provided by the local teachers. A pleasant day!
Chi Kye-sun (from Sŏngjin)

Hurrying the connecting bus, we rushed to Nongjŏng Station (農城驛) just as the train went "Beep!". My comrades looked out with worried faces. The hot spring water was nice and the friendship was appreciated, but C-kun, your excessive kindness almost made me depart all alone.
Yu Hyŏn (from Nongjŏng Hot Spring)

"I'll pay for all the studies you want to do. Kye-sun, please become my adopted daughter," she said, hugging me tightly. That "auntie" (아즈머니), who was said to have lived alone from age 20, when she became a widow, until 40. There, in that village (Pukch'ŏng), under the dimly flickering electric light – is she still well now, three years later?
Yu Kye-sŏn (in the train)

The scene in the waiting room at Hŭngnam, waiting for the Hamhŭng-bound hire car (하이야-). English words at every turn, German words at every turn (or so it seems). Though their clothes are grease-stained factory uniforms, their heads <184> must belong to frighteningly important people.
Yi Chae-hyŏn (from Hŭngnam)

An old pine tree inside a walled enclosure, growing lying along the ground, is barely visible over the wall from the hire car (하이야-). The study (書齊) where that esteemed person (그 어른) used to study – right there is Pon'gung (本宮). It's regrettable that I cannot stop by to see it. In the square before it, a plane lands gently at Namchak (南着) airfield.
No Chae-sin (from Pon'gung)

Instead of seeing Pon'gung, we climbed Pallyongsan Ch'imadae (盤龍山 馳馬台). Elevation 2,000 ch'ŏk (feet?). Helping the women who were falling behind, we reached the summit – flat land on the mountaintop. This too is a historic site (古蹟) where that esteemed person (그 어른) used to ride swift horses. Below lies the vast Hamhŭng Plain (咸興開明). Hamhŭng truly seems like the capital of Kwanbuk, its scale is dignified.
Pak Ch'ang-hwan (from Hamhŭng)

Looking back on the traces of over a month, since it was our debut tour (處女公演), I feel there were flaws and shortcomings somewhere, and thus feel regret. Next time, I will surely make up for it. I will also come having selected more substantial scripts.
As I envision the stage for our second tour upon the gently rising spring waves, the grassy fields flickering past the train window – we have already passed Kalma (葛麻).
Sim Yŏng (Passing Wŏnsan) <185>

**Summary**

This travelogue compiles short reflections from members of the Kohyŏp theater troupe during their tour of the Kwanbuk region (northern Hamgyŏng area) and Kando in the spring of 1939. The actors describe the significant modernization and development they witness in cities like Hamhŭng, Ch'ŏngjin, Najin, and Unggi after an eight-year absence, contrasting this with the perceived unchanging generosity and sincerity of the local people. They share personal anecdotes from various locations, including interactions with locals, reflections on past memories, sightseeing excursions to places like Mangyangjŏng and a Russo-Japanese War site, and thoughts on their performances and future plans. From a historical perspective, the article offers glimpses into the Japanese colonial-era development of northern Korea's infrastructure (ports, airfields, potential industrial sites like Hŭngnam with foreign presence), the persistence of traditional culture alongside modernization, travel conditions (trains, buses/hire cars), and the experiences of traveling performers navigating this changing landscape. The mention of "that esteemed person" (그 어른) associated with historic sites like Pon'gung and Ch'imadae is intriguing and might refer to a figure significant within the colonial narrative or local history, warranting further investigation.

**Named Entities**

沈影	심영	Sim Yŏng
투성의	투성이의	Covered in, stained with
공장복	공장복	Factory clothes, workwear
누어	누워	Lying down (older spelling)
울담	울담	Fence, wall (esp. traditional)
老松	노송	Old pine tree
넘겨다 보인다	넘겨다 보인다	Can be seen over (something)
하압시든	하시던	(Honorific) who used to do (older honorific form)
書齊	서재	Study room
들너보는 게	들러보는 게	Stopping by to see (older spelling of 들러)
恨	한	Regret, resentment
비행기	비행기	Airplane
스르륵	스르륵	Gently sliding or landing sound/manner
뒤떠러지는	뒤떨어지는	Falling behind, lagging (older spelling)
부축하며	부축하며	Supporting, helping someone walk
올나보니	올라보니	Having climbed up (older spelling)
山上	산상	On top of the mountain
平地	평지	Flat land, level ground
駿馬	준마	Swift horse, fine horse
달리시든	달리시던	(Honorific) who used to run/ride (older honorific form)
古蹟	고적	Historic site, ancient ruins
眼下	안하	Below one's eyes, under view
즐퍽한	널찍한	Spacious, wide (즐퍽하다 is an older form of 널찍하다)
규모	규모	Scale, size
점잔쿠나	점잖구나	Is dignified/gentlemanly! (older spelling/form)
자최를	자취를	Traces, footsteps (older spelling)
뒤도라 보니	뒤돌아 보니	Looking back (older spelling)
處女公演	처녀공연	Maiden performance, debut tour
未及하고	미급하고	Being insufficient, falling short
회복하리라	회복하리라	Will recover, make up for it (promising form)
극본	극본	Script, playbook
추려갔고	추려갖고	Having selected/chosen carefully (older spelling/form of 추려서 가지고)
잔잔이	잔잔히	Gently, calmly (older spelling)
얼는거리는	얼른거리는	Flickering, shimmering (older spelling)
풀밧	풀밭	Grass field, meadow (uses older ㅅ genitive marker)
벌서	벌써	Already (older spelling)


---------------------------


잡지명	삼천리 제11권 제7호
발행일	1939년 06월 01일
기사제목	劇團高協通信, 關北巡禮記
필자	沈影, 盧載信, 池季順氏로부터
기사형태	기행문

劇團高協通信, 關北巡禮記
						沈影, 盧載信, 池季順氏로부터
第一信
4월 1일 元山을 위시하야 간도 龍井까지 關北 2천里를 도라, 이제 歸路에 就하였읍니다.
약 8년만에 보는 北朝鮮은 놀납게 변하였고 그 중에도 咸興과 淸津과 羅津, 雄基가 더욱 훌늉하게 되야 정말 몰나보게 발전하였는데 말하자면 모든 시설이 퍽 文明하여젔읍니다. 그렇나 文明함을 따라 인심이 야박하여진다고들 하는데 關北 인심은 예나 지금이나 변함이 없이 너그럽고 후하고 무뚝뚝한 가운데 어딘가 실속스러움이 있어 가도가도 겨웁지 않은 곧인가 합니다. 었지 다시 찾지를 않고 견딜 것이리오. 멀구, 다래 따먹게 될 때, 바다를 갈느고 올녀미는 淸津港의 가을 달마지에 대이도록 다시 차저 가오리다.
徐月影(淸津에서)

곳곳마다 웃으며 울며 혹은 재롱을 부리면서 길가는 아해들이 더구나 여나문살 된 사내애들이 나는 몹시 반값읍니다. 다음에서 다음으로 이 귀였고 어린 것들을 그도 극장에서 말고 길가에서 새로새로 만나는 기뿜-애비된 사람만이 늣기는 旅情의 慰撫를 그들에게서 받고 있읍니다. 그러한 滿洲 아해 하나와 이틀 동안에 정을 디렸는데 그 녀석은 「창시 창시」하면서 내 옷자락에 매달닙니다. 떠나는 날 같이 간다고 따러 나스는데 그 부모가 간신히 말리지 않었든들 그만 나는 차시간을 노칠번 했지오. 그 녀석이 신발이 다 떠러젔기에 고무구두 한 컬네 사 신긴 것이 탈이었나 보지오.＜183＞ 타관의 어린것들아 다음엔 너이를 즐겁게 할 연극을 가지고 오고 싶다.
朴齊行(龍井에서)

「國境」의 錄音 일자가 걱정스럽다. 그렇타고 혼자 사정 때문에 관계단체 일을 보다 말 수는 더욱 없다. 여기는 羅津, 연극을 파하고 해변을 거르며 물 우에 빗긴 新興港의 水中宮과 다시 컴컴한 수평선 저-쪽 멀니 멀니에 나는 휘파람을 보내였다. 쏜살같이 발 밑을 달니는 警備船, 이것도 내 휘파람과는 상관없는 물건이다. 아디-아우! 安泰하라 羅津!
太乙民(羅津에서)

부두-어선-등태-마도로스-밤 深夜의 浦口-이 모든 풍경은 내 그림자가 스치든 곳, 허나 그 太古的이든 저 아래ㅅ마을 漁村은 간 곳 없고 洋灰집들이 빽빽이 들안젔기란 불과 7, 8년이 한 옛날은 아니건만 이렇게 隔世之觀을 주는 건가. 내 回想의 浦口 噫, 雄基!
朱仁奎(雄基에서)

長期公演이지만 그닥 고되지 안는 것은 이번은 소위 「노리우찌」가 없는 까닭. 아버지 마음 노세요.
同人들을 따라 海金剛보다도 아름답다는 望洋亭에 나와서 거이와 조개를 잡어도 춘 줄 몰으는 화창한 날 벌집 가튼 不築의 日露戰蹟도 예서 구경하고 이곳 선생들이 대주시는 설명도 들으며 쉬는 유쾌한 하로!
池季順(城津에서)

連絡뻐스를 재축질 해서 부리야부리야 農城驛에 다으니 차가 삑-한다. 동무들은 걱정된 얼굴노 내다본다. 온천물도 조았고 友誼도 고마웠으나 C君 자네 好意가 지나처서 하마트면 나는 외따로 떠날번 했었네.
柳玄(農井溫泉에서)

-하궆은 공부 다 시켜 주마. 게순아 내 쉬영딸이 되여다오 하면서 꼭 껴안든 그이 20 과부로 40까지 혼자 사러왔다든 그 아즈머니 전등이 히미하게 깜박이는 저 속에 저 마을(北靑) 속에 3년 후의 지금도 그이는 안녕하신가.
劉桂仙(車 속에서)

咸興行 하이야-를 기대리는 대합실 풍경 말마다 영어요 말마다 독일어(그런 듯하다) 비록 그 옷들은 기름 투성의 공장복이나 그 머리들은＜184＞ 무섭게 높은 사람들인가 보다.
李載玄(興南에서)

땅바닥으로 누어 자란 울담 속의 老松이 하이야-에서 겨우 넘겨다 보인다. 그 어른께서 공부하압시든 書齊-바로 저기가 本宮, 못 들너보는 게 恨이다. 그 앞 광장에 南着 비행기가 스르륵 내린다.
盧載信(本宮에서)

本宮을 못 본 대신 盤龍山 馳馬台에 오르다. 해발 2,000尺, 뒤떠러지는 여자들을 부축하며 올나보니 山上에 平地, 여기도 그 어른께서 駿馬를 달리시든 古蹟이다. 眼下에 즐퍽한 咸興開明, 아무래도 여기는 關北의 首都인양 규모도 점잔쿠나.
朴昌煥(咸興에서)

1개월여의 자최를 뒤도라 보니 處女公演이라 어딘가 흠 있고 未及하고 그래서 섭섭한 생각이 든다. 다음엔 꼭 회복하리라. 극본도 좀 더 실속 있는 놈을 추려갔고 오리라.
제2회의 새로운 무대를 잔잔이 이는 봄 波濤 우에 그려볼제 차창에 얼는거리는 풀밧 벌서 葛麻를 지냈다.
沈影(元山過次)＜185＞
＜183-185＞
