**Header Section:**
Magazine Title: 삼천리 제6권 제5호
Publication Date: 1934년 05월 01일
Article Title: 崔昌學氏 朔州金鑛採鑛觀, 全朝鮮의 大金鑛巡禮(其一) (A View of Choe Ch'anghak's Sakchu Gold Mine Operations, A Pilgrimage to the Great Gold Mines of All Korea (Part 1))
Author: 木兵丁 記 (Reported by Mok Pyŏngjŏng)
Article Type: 소식 (News/Report)

**Body Text Translation:**
A View of Choe Ch'anghak's Sakchu Gold Mine Operations, A Pilgrimage to the Great Gold Mines of All Korea (Part 1)
						Reported by Mok Pyŏngjŏng

Right now, Korea (朝鮮) is truly in an era of gold madness. Whether in P'yŏngan Province, Hamgyŏng Province, or Chŏlla Province, wherever there are mountains, rocks, and soil, there is no place without prospectors holding hammers. Whether Western-dressed or top-knotted, adult or child, wherever two or three people with eyes and noses gather, talk of gold mines inevitably arises – that's how far the gold fever has spread.
Thus, thousands, tens of thousands of people are now dreaming of becoming Choe Ch'anghak, Pang Ŭngmo, or Pak Yong'un.
Whether this is sad or joyful, what can be done about this unavoidable phenomenon of today?
Countless young men who were once involved in social movements and national movements have attached themselves to gold mining sites; countless too are the figures who went bankrupt trading rice futures or running shops in Chongno and have become gold mine overseers (德大, tŏktae). And in Seoul city,
mining offices are multiplying like real estate agencies (복덕방). How on earth will this trend turn out in the future?
In any case, we now intend to seek out all the famous Korean-owned gold mines throughout Korea, one by one, to see what kind of facilities they have established, how much income they are seeing, and how much money they want to sell for – we will seek out all these things.<122>

Seeking the Gold Mountain of Kugok-myŏn, Sakchu

Hearing news, whether rumor or truth, that a large gold mine, touted with a asking price (呼價) of 10 million won, had appeared in Yŏnsam-dong, Kugok-myŏn, Sakchu County, P'yŏngan Pukto, the reporter set out for an actual exploration in late March. It was a cold day when the long stream of the Amnok River was still frozen, with white snow covering it here and there, and flurries whipped up whenever the early spring cold wind blew.
I took the bus from Sinŭiju to Sakchu at 10 in the morning; the one-way fare alone was 4 won 50 chŏn.
The road from Sinŭiju into Sakchu has little flat land and is mostly mountainous terrain. The bus skillfully slipped around this mountain bend and that mountain corner, and the ladies riding with me startled each time, letting out sighs of relief.
Finally, after 4 hours, we arrived at the small village called "Yŏnsam." This is the famous gold mining area.
However, unless you are an expert, it's hard to tell. The mountains look just ordinary, rugged peaks, and the rocks are blackish, common rocks you might find anywhere people live. Yet, to think that within those rocks, within those mountains, sits yellow gold worth hundreds of thousands, millions, or tens of millions of won, it's breathtaking and feels mysteriously enchanting, as if under a spell.<123>
A stream flows on the far side of the village called Yŏnsam. Just across this stream is the site of the gold mine belonging to Pak Yong'un, a man from Sinŭiju, who became suddenly rich two or three months ago when it was sold to the Mitsubishi Company (三菱會社) for 1.5 million won, or perhaps 200,000 won. On this side is the location of Choe Ch'anghak's Sakchu Gold Mine, whose reputation (聲價) is currently soaring.
Indeed, it seems that two of Korea's second-largest gold mines are lying side-by-side in this narrow area, barely the size of a cat's forehead.

An Office Complex of Over Twenty Buildings, The Sound of Blasting Dynamite

This gold mine of Mr. Choe Ch'anghak in Yŏnsam-dong only came into Mr. Choe's hands and began mining operations last July, so in terms of age, it cannot be called old. However, the facilities established are on a large scale, befitting someone who is originally a mining expert, surprising the eyes of onlookers. First, near the stream bank in Yŏnsam-dong, right in the middle of the village, a huge whale-like mining office built with a mix of Western and Japanese styles catches the eye. Then there's the dynamite storage, the warehouse for machinery, and then the residences for the office workers. Altogether, the buildings attached to this mine number over 20. These many white houses sit prominently in the dark, gloomy mountain valley, so it's no wonder the village elders raised in the mountain village shake their heads disapprovingly.
Then, about forty or fifty houses for the miners are spread out on the left and right along a wide alleyway. Along the roadside, as is always the case in places where the smell of money permeates, gaudily made-up prostitutes (色酒家, 賣笑婦), ghostly even in broad daylight, can be seen peeking out with sly smiles. At the tobacco shop, top-knotted men sit playing *changgi* (장긔), battling over Chu and Han.
Most of the miners seem to have gone up to the mine, as even their *chikka tabi* sandals (지까 다비짝) cannot be seen in front of their house doors.
This street probably only becomes boisterous at night, like the guest quarters of a large feast house, with drinking, singing, and harassing women. The whole town seen during the day felt more like a desolate village than a gold mining hub.<124>
Currently, there are six or seven active mining sites. The actual mining site (採鑛現場) is five or six *chō* (町, approx. 550-650 meters) further into the mountain valley from this office. A trolley line (도롯꼬, 'torotkko' - pushcart) has been laid from the office to the mining site. And via that pushcart, even while I was watching from in front of the office, several loads of ore glittering with gold were brought down.
From afar, the sound of dynamite blasting to break rocks goes *tang-tang-* continuously. However, the dynamite storage is not here. The dynamite storage is in Sinŭiju, and it is transported by cargo truck to the Kusŏng Gold Mine and the Sakchu Gold Mine once every few days, stored, and used as needed.

A 125-Horsepower Machine and Facilities Said to Cost Over 100,000 Won

Next to the office is the refinery (探鍊所, *t'amnyŏnso* - likely means ore crushing/processing plant here, not smelting). A large 125-horsepower rock-crushing machine runs continuously. When fed into this machine, large rocks are broken into pieces and come out as powder.
I heard that besides this 125-horsepower machine, there are plans to install two or three more machines of several tens of horsepower, but for now, it's just a plan.
The refining process is the same as seen at other gold mines, so I won't record it further. It seems this mine also uses Ashio-style rock drills (足尾式 鑿岩機).
It is said that if only this machinery is installed, mining becomes profitable even if the ore grade (鑛含有量) is merely in the 1/100,000 or 1/1,000,000 range. Money begets money!<125> The economic iron rule of capitalist society holds true here as well. Therefore, no matter how good a gold deposit one discovers, one must first invest at least several thousand won to lay tracks for pushcarts and install equipment like these Ashio-style rock drills for the gold mine to function as a gold mine.
Do the tens of thousands of gold prospectors roaming the world, often jumping in with nothing, know this philosophy? Do they know the iron rule that if one lacks the capital to invest tens of thousands of won in facilities, even if one discovers a good mine, one cannot help but leave with only a few hundred won as a discovery fee?
Even speaking only of Mr. Pak Yong'un's gold mine, over 300,000 won was spent on facilities alone. Because such facilities were established, he was able to receive 1.2 million won.
I hear that this Sakchu mine of Mr. Choe Ch'anghak also has facilities worth fifteen or sixteen thousand won (십오륙만원 - *Note: this seems low compared to the 100,000+ mentioned earlier, potentially a typo or misunderstanding by the reporter, or referring to a different subset of equipment. The later text references 10+ 만원 investment, aligning better with the 100,000+ figure*).

A Terrifying Guard Post, One Hundred *Ch'ŏk* Underground

I went up to the mining site. Some tunnels burrowed straight into the mountainside horizontally, while others went down vertically more than a hundred *ch'ŏk* (尺, approx. 30 meters) underground. There are tunnels managed indirectly through overseers ("德大," *tŏktae*) and places managed directly by Choe Ch'anghak himself.
Guided by a foreman (十長), I decided to enter what was said to be the deepest tunnel among them. Although it was broad daylight, the foreman carried a lamp. They had constructed the underground passage by weaving together planks and logs here and there. It was dark, so I couldn't see well, but the places where hard rock had been indiscriminately bored through with explosives in search of ore veins looked terrifying.
And the rock color was dark, glistening under the lamplight (람포불).
Here and there, bare-chested miners with iron-copper complexions were busily digging earth and drilling rock with pickaxes. And behind them stood foremen with intensely gleaming eyes, looking like ruffians, directing the work and also keeping watch lest anyone swallow a gold nugget that appeared.
An indescribable stench constantly rose from underground. It seemed to be the smell of gunpowder and the miners'<126> sweat.
And thinking about where dynamite might explode with a *kwang!* or when this tunnel, ceilinged with rock, might collapse, the thought truly arose that I had come to the path of Hell. My body trembled.
Although I could still go down another forty or fifty *ch'ŏk*, I thought it would be the same even if I went down further, recalling my past experience seeing a coal mine, and turned back out.
Outside, miners were still loading the excavated ore onto trolleys and sending it to the processing plant near the office. It was a bustling scene.
I heard that the current number of miners employed at this mine is about 230, but it seems likely to increase as work begins in earnest this spring. The annual gold production amount is not yet known as statistics haven't been compiled, but it seemed to produce no less than one or two hundred thousand *kŭm* (금, 金 - likely referring to won value) worth.
Mine owner Choe Ch'anghak is not currently in Sakchu, but having left Seoul, he seems to have gone to his main residence in Kusŏng, apparently coming here occasionally for supervision.
And the ore grade of this gold mine varies, with some places in the 1/10,000 range, some in the 1/100,000 range, and some in the 1/1,000,000 range. However, since he has already invested a large sum of over ten thousand won (10여 만원 - *likely meaning over 100,000 won*) to establish large-scale facilities, it is said to be profitable even if the grade is not that high.
He previously sold the Samsŏng Gold Mine with good fortune (分福), becoming a 3 million won Gold Mine King. Thus, it's said he has 690,000 won in cash deposited in just one branch of the OO Bank in Sinŭiju, and it's rumored he has deposited one million won or some amount in the Bank of Chosŏn (朝鮮銀行).
Through this Sakchu Gold Mine this time, what kind of fortune is he seeking to receive?
As I'm about to put down my pen, today's newspaper reports that the buying price for 1 *momme* (匁, 3.75g) has risen again, to 12 won 50 chŏn at Seoul's Tŏkryŏk (?) exchange and 10 won 50 chŏn at the Bank of Chosŏn. The Government-General (鮮督府) has announced plans to establish a 3 million won refinery in Seoul.
Ah, gold! Gold! Whose bosom are you seeking to find next?<127>

**Summary**

This 1934 article describes the intense "gold rush" atmosphere pervading colonial Korea, where people from all walks of life dreamt of striking it rich like mining tycoons Choe Ch'anghak and Pak Yong'un. The reporter details a visit to Choe Ch'anghak's large-scale gold mine in Sakchu, P'yŏngan Pukto, describing its modern facilities (including a 125-hp crusher and plans for more), the numerous buildings, the harsh and dangerous underground working conditions for the over 230 miners, and the contrast between the potential immense wealth and the grim reality of mining life. The article emphasizes the necessity of significant capital investment for successful mining, referencing Choe's previous fortune from selling the Samsŏng mine and Pak Yong'un's sale to Mitsubishi after heavy investment. It concludes by noting the rising gold price and government plans for a large refinery, reflecting the peak of the colonial gold boom.

For historians, this article is valuable for its vivid portrayal of the socio-economic impact of the gold rush in 1930s Korea. It highlights the emergence of wealthy Korean capitalists like Choe Ch'anghak within the colonial structure, the influx of diverse people into mining speculation, the adoption of modern (Japanese-influenced) technology like Ashio-style drills, and the stark labor conditions faced by miners. It also captures the pervasive "gold fever" and its reflection in media and government policy (like the planned refinery), offering a snapshot of colonial economic activity and social change driven by resource extraction.

**Named Entities**

崔昌學	최창학	Choe Ch'anghak
멀니서는 바위를 깨치느라고 화약터지는 소리가 탕-탕-하고 연해 난다. 그러나 화약고가 여기 잇는 것은 아니다. 화약고는 新義州에 잇는데 龜城金鑛과 朔州金鑛에 몃칠에 한번씩 화물자동차로 운반하여다 노코 저장하여 두면서 쓴다.

百二十五馬力 機械와 設備 十餘 萬圓說

사무소 엽헤 探鍊所가 잇다. 125마력의 암석 쫏는 큰 기계가 연해 돌아간다. 이 기계에 물니면 그 큰 바위가 쪼각쪼각 쪼겨저서 가로가 되어 나온다.
드른즉 이 125마력 외에 또 몃 10마력짜리 기계 두 세 채를 더 설비할 작정이라 하는데 아직은 설계 뿐이다.
제련하는 광경은 다른 금광에서 보는 것과 갓기에 더 기록치 안는다. 이 광산서도 足尾式 鑿岩機를 사용하는 모양이다.
이 기계만 설비하면 鑛含有量은 10만分臺나 100만分臺에 불과한 것이라도 채산이 맛는다고 한다. 돈이 돈을 무러온다!<125>하는 자본주의 사회의 경제 철칙은 여기서도 꼭 드러 맛는다. 그러기에 아모리 조흔 금광을 발견할지라도 적어도 몃천원 드리어 밀구루마의 軌道도 노코 이와가치 足尾式 鑿岩機라도 시설하여 노아야 그 금광이 금광노릇을 한다.
세상에 흔히 거저 범벼드는 수만혼 金鑛꾼 諸公은 이 철학을 알고 금점판으로 도라다니는고? 手中에 수만원 설비할 資力이 업스면 조흔 광산을 발견하엿다 할지라도 發見料 數300원이나 겨우 어더 먹고 떠러지지 안을 수 업는 이 철칙을 아는고?
朴龍雲氏의 금광만 말하여도 설비에만 30여 만원을 하여 노앗다. 그만치 설비를 하여 노앗기에 120만원을 밧을 수 잇든 것이다.
드르니 이 崔昌學氏의 朔州鑛도 십오륙만원의 설비를 하고 안젓다든가.

地下百尺으로 무시무시한 把守

나는 採鑛현장으로 올나가 보앗다. 엇든 굴은 山 엽구리를 一直線으로 드리 뚤느는 것도 잇고 엇던 굴은 지하로 백여 尺 뚤는 데도 잇다.「德大」를 주어 간접 경영하는 굴도 잇고 崔昌學氏가 직접 손을 내리어 경영하는 곳도 잇다.
나는 十長의 안내로 그 중에도 가장 깁흐다는 굴로 드러가 보기로 하엿다. 十長은 白晝건만 등불을 들엇다. 널장지와 몽둥이를 이리저리 얽어 지하도를 만들엇는데 어두어서 잘 보이지안으나 鑛脈을 찻느라고 폭약으로 굿은 암석을 함부로 뚤어 그 자리가 무시무시하게 보인다.
그리고 암석빗은 검문데 람포불에 번들번들 광택을 발한다.
가담가담 웃통 버슨 鐵銅色의 광부들이 분주히 곡깽이를 들고 흙을 파고 바위를 뚤고 야단들이다. 그리고 그 뒤에는 眼光이 몹시 빗나는 불량스럽게 보이는 十長들이 서서 일도 지휘하고 금덩이 나오면 삼킬가바 파수도 보고 잇다.
땅밋에서는 무에라 말할 수 업는 악취가 작고 올나온다. 화약냄새와 광부들의<126> 땀냄새 인 듯하다.
그리고 어느 곳에서 꽝! 하고 화약이 터질는지 어느 틈에 바위로 천정을 한 이 굴이 문허저 내려안즐는지 이런 생각을 하매 과연 地嶽道에 왓구나 하는 생각이 난다. 몸이 떨닌다.
아직도 내려가자면 四五十尺은 더 내려갈 수 잇스나 나는 내려가 보아도 마찬가지리라 하야 녯날 석탄광을 보든 생각을 하고 도로 도라서 나왓다.
밧갓헤서는 여전히 뜨더나온 광석을 광부들이 도롯꼬에 실어 사무소 잇는 채련소로 보낸다. 奔雜한 풍경이다.
듯건대 현재 이 광산에서 종업하는 광부수는 230여 명이라는데 今春부터 본격적으로 일을 시작하면 더 늘 모양이라 하며 1년 채금량은 아직 통계가 되지 안어 모르나 少不下 一二十만금은 産하는 눈치이엇다.
鑛土 崔昌學氏는 지금 朔州에 와잇지 안으나 서울서는 떠나서 아마 龜域本宅에 온 모양인데 각금 감독차로 이곳으로 온다고 한다.
그리고 이 금광의 함유량은 만分臺도 잇고 10만分臺되는 곳도 잇고 100만分臺되는 곳이 잇스나 그가 이미 10여 만이란 거액을 投하야 대규모의 설비를 하고 안젓느니 만치 함유량은 그리 만치 못하여도 채산이 만는다고 한다.
그는 전일에 三成金鑛을 分福이 조케 팔어서 300만원의 金鑛王이 되엇다. 그래서 新義州 OO은행지점 한 곳에만 69만원의 현금을 저금하고 잇더라 하며, 백만원인가 얼마를 朝鮮銀行에 預入하고 잇다고 전한다.
이번 이 朔州金鑛을 통하야 그는 또 엇던 分福을 밧으려 하는고.
붓을 떼려하는데 오늘 신문에 서울 德力서는 12원 50전 朝鮮銀行서는 10원 50전으로 1匁買入 가격이 또 올는 것을 전하고 鮮督府에서는 서울에 300만원의 제련소를 둘 계획을 발표하엿다.
아아 황금! 황금! 너는 장차 어느 누구의 품을 차즈려는고.<127>
<122-127>
