Magazine Title: 개벽 제23호
Publication Date: 1922년 05월 01일
Article Title: 하믈레트 (Hamlet)
Author: 쉑스피아 (原作) 玄哲 (譯述) (Shakespeare (Original Author), Hyŏn Ch'ŏl (Translator/Adapter))
Article Type: 희곡·시나리오 (Play/Scenario)

Hamlet
						Shakespeare (Original Author) Hyŏn Ch'ŏl (Translator/Adapter)
Act Three
Scene Three
(A Room in the Castle)
The King enters first, followed by Roojenk'ŭrantch'ŭ and Kildensŭtaan.

King. Not only is it unsettling to the mind, but if we leave such mad symptoms unattended, unfavorable things may happen to us. Therefore, I intend to entrust him to you and send him to England (英吉利). Hurry and prepare to depart bearing the state letter. For the sake of the nation, there is no choice regarding his madness, which grows worse by the hour.
Kilden. We shall begin preparations at once. It is an exceedingly proper measure that Your Majesty considers the safety of the people whose lives depend under Your Majesty's authority.
Roo. Even an ordinary man (匹夫) uses all his wisdom to avoid misfortune (禍厄), how much more so for the royal person (玉體) whose life is connected to the life and death of the countless populace (億兆蒼生); it cannot be left as it is. There is a saying by way of metaphor (比喩) that a king never perishes alone but, like a large whirlpool (큰물희리 水渦), pulls everything around him into it. Or, like a great windmill (風車) installed on a high mountain peak (高山絶頂), countless small objects <32> are attached to the edges of its large wheel (수래바퀴); therefore, if it were ever to collapse, no small attached part (附屬物) could escape being destroyed (破壤됨). It is true that the groans (呻吟) of millions follow His Majesty's (聖上 陛下) sigh (嘆息).
King. Then, please prepare for a swift departure (出帆). I wish to quickly bind this dangerous thing (危險物), which runs rampant too freely, with iron chains (쇠사슬).
Roo. Then we shall take measures (措處) quickly.
Kilden.
(Roojenk'ŭrantch'ŭ and Kildensŭtaan exit.)
(Pporooninyasŭ enters.)
Pporo. Reporting, Your Highness. The Prince (王子 殿下) is now beside Her Majesty the Queen Mother (母后 陛下). I shall hide behind the curtain (帳幕) and listen from beginning to end (始終). Her Majesty the Queen Mother will surely deliver a strict (嚴格하신) admonition (訓戒). And, just as Your Majesty said, no matter how wise (어지신) the words, in that place where the two sit facing each other, the relationship of flesh and blood (骨肉) naturally exists, so there will inevitably be words of cherishing (愛護하시는). Therefore, it would be convenient (便利하실) to have one more person hiding and listening. Please take care of your royal person (玉體). Before you retire to your bedchamber (寢所), I will report the detailed situation (仔細한 動靜) before Your Majesty (尊前).
King. Thank you for your words.
(Pporooninyasŭ exits.)
Ah! What a great sin (罪惡) this is. The stench of that sin reaches the ends of heaven (한울). When this world first opened, the curse (咀呪) first fell upon it. The curse of killing a brother. I try to offer prayers (祈禱), but I cannot. The desire to pray surges from my heart, but when I think of my many sins, even that thought fades away (슬어져 업서지고), like trying to do two things at once, this and that get mixed up, and nothing gets done... Even if my brother's blood were doubly caked (누러부터서) upon this hand of resentment (怨嗟), if the rain of pity (憐愍) fell from heaven, would it not become whiter than snow! If there is no light shining (照臨) upon the sinner, even great mercy (大慈悲) has no use. Prayer is offered to avoid the fall (墮落). Even if one falls, can salvation (救함) be obtained? Without these two merits (功德), prayer has no effect (效果). Right, beyond this, there is nothing but to pray to God (한우님). My transgression (허물) is a thing of the past... But what should I pray for? "Please forgive (容恕해줍소서) the harm (毒害) of injustice (非道)?" No, this won't do. Can I be absolved of the sin <41> while still possessing the throne, the crown, the queen whom I killed and stole (빼슨)? In this chaotic world, even a hand that committed sin, if gilded (鍍金) with gold, can bend justice (正義) and fairness (公道), and eventually, even buy (買收) the nation's authority (威權) with the power of wealth (財貨) obtained through injustice. But the court (法庭) in heaven looks down upon all things; it cannot be deceived even by a hair's breadth (털끗마치라도). Then what should I do? It is said that any sin disappears with repentance (改過). Right, right, with the sincerity (精誠) of repentance. But what if true repentance is not achieved? Ah, ah, pitiful! This heart besieged by death! Though I try to reform, like a baby bird (새새끼) tied by the leg with thread, the more I struggle (부비대면), the more my whole body (全身) gets entangled in the thread's end (실끗) of sin—such pain (苦痛)! Save me, God (한우님)! I pray with sincerity. Take pity, and may these stubborn (完固한) knees, this heart like steel (鋼鐵), become soft (軟하게) like a child's muscles (筋肉)—may all wishes be achieved (成就하도록).
(The King retreats to a corner, kneels (꿀코), and prays (빈다).)
(Hamŭlnerŭ enters.)
Hamŭl. Now is truly the time to act (擧事할). While he is offering prayers. My enemy (寃讐)...
Then that man will go to heaven (天國)... I take revenge (寃讐를 갑는다)? This requires thought. A villain murdered (弑殺햇다) my father king. As recompense (報償), his son sends that villain to heaven! To heaven... Truly, this is a hired service (품파리의 일). It is not revenge (復讎). When Father King met his end (最後) because of that scoundrel, worldly desires (塵慾) still filled his heart, and his sins were blooming and boasting like the hundred flowers (百花) of spring. Extrapolating from human affairs to imagine (想像하면) the affairs of the next world (他世), Father King's faults (허물) must also be heavy! And what is that? Right now, that man is praying (빌고) for the afterlife. If I kill him now, he will go to paradise (極樂). This is not the way of revenge... Right, now is not the time to kill. When he is lying drunk (醉해서), or indulging in lewdness (邪淫), or deciding a match (勝負), or making a false oath (盟誓)—I must wait for an opportunity (機會) when his soul (魂靈) is so defiled (드러워젓슬) that there is no way for atonement (購함), then strike him down (꺼구러 트리면), so his heels (발굽) kick at heaven, and he falls headlong into dark (暗黑한) hell (地獄) to receive eternal (永劫) torment (苛責)... The Queen Mother must be waiting... Letting him live for a short while (暫間동안) is merely prolonging the illness (病).
(Hamŭlnerŭ exits.)
King. My words fly up to heaven, but my thoughts remain on earth. Words without thoughts behind them never reach heaven.
(King exits.)
Curtain
—(Act 3, Scene 3 End)— <42>

**Summary**

This text is a Korean translation of Act 3, Scene 3 of Shakespeare's Hamlet, published in the magazine *Kaebyŏk* in 1922. King Claudius, fearing Hamlet's madness, tells Rosencrantz and Guildenstern to prepare to take Hamlet to England immediately. Polonius informs the King he will hide and eavesdrop on Hamlet's conversation with his mother. Left alone, Claudius expresses profound guilt over his brother's murder and tries to pray for forgiveness but finds himself unable to repent sincerely while still enjoying the fruits of his crime (crown, queen). Hamlet enters and sees Claudius praying. He considers killing him then and there but decides against it, reasoning that killing Claudius while he is praying might send his soul to heaven, which would not be true revenge for his father's murder under sinful circumstances. Hamlet resolves to kill Claudius at a later time when he is caught in sin, ensuring his damnation, then leaves. Claudius rises, acknowledging his prayer was ineffective as his thoughts remained earthbound.

From a historical perspective, this article is significant as an early example of Western literary translation into Korean during the Japanese colonial period. Published in *Kaebyŏk*, a major intellectual magazine known for promoting cultural enlightenment and sometimes nationalist sentiments, the translation itself signifies an effort to engage with world culture. The specific Korean used, with its older spellings (e.g., 한울 for 하늘, 잇슬 for 있을, 밧드러 for 받들어, 꿀코 for 꿇고), grammatical forms, and Hanja usage, offers valuable linguistic data for researchers studying the evolution of the Korean language in the early 20th century. The choice of *Hamlet*, a play dealing with themes of legitimacy, revenge, and political corruption, might have resonated subtly with contemporary Korean intellectuals navigating the complexities of colonial rule, although the translation itself appears relatively direct.

**Named Entities**

國王	국왕	King (Claudius)
뽀로.  아뢰옵니다. 王子 殿下께서는 只今 母后 陛下의 엽헤 게십니다. 臣은 帳幕 그늘에 숨어 始終을 듯고 잇겟습니다. 母后 陛下께서는 정녕코 嚴格하신 訓戒를 내리실 것 가틉니다. 그리하옵고 陛下께서 내리신 말슴과 가티 아모리 어지신 말슴이라도 두 분이 마주 안즈신 그 자리에는 自然 骨肉의 關係가 업지 아니하신 까닭에 愛護하시는 말슴도 업지 아니하실 것이니 한 사람 더 숨어 듯게 하시는 것이 便利하실 것 가틉니다. 그러면 玉體 保重하옵소서. 寢所에 듭시기 前에 尊前에서 仔細한 動靜을 아뢰겟습니다.
國王  고마운 말이다.
(뽀로오니냐스 들어간다.)
아! 이것이 무슨 큰 罪惡인고. 그 罪惡의 냄새가 한울 끗까지 이르럿다. 이 世上이 열리어 그 처음에는 咀呪가 멈추어 잇다. 兄을 죽인 咀呪이다. 祈禱를 들이랴고 하여도 들일 수가 업다. 祈禱를 들이랴고 하는 마음은 가슴 가운대로부터 끌허 나오지마는 罪惡이 만흔 것을 생각하면 그러한 생각도 슬어져 업서지고 한 때에 두 일을 하는 것 가티 이것과 저것이 석갈려 아모 일도 되지 안는다. ... 設或 이 怨嗟의 손에 兄任의 피가 누러부터서 2倍나 늘어나도 한울에서 憐愍의 비가 내리면 눈보다도 맑게 되겟지!   罪人의 몸에 照臨이 업스면 大慈悲도 쓸 곳이 업다. 祈禱할 때는 墮落을 免한다. 墮落을 할지라도 救함을 어들가. 이 두가지 功德이 업스면 祈禱의 效果가 업다. 올타 이 우에는 한우님에게 빌어볼 수 밧게 업다. 나의 허물은 過去의 일이다. ... 그런데 무어라고 빌어볼가? 非道의 毒害를 容恕해줍소서? 아니 이러케 해서는 아니 되겟다. 죽이고 빼슨 王位, 王冠, 王妃를 그냥 두고서 罪惡만＜41＞ 免할 수가 잇슬가? 어지러운 이 世上에서는 罪를 犯한 손으로도 黃金으로 鍍金만 하면 正義와 公道를 굽혀서, 가 다가는 非道로 어든 財貨의 힘으로도 國家의 威權을 買收할 수가 잇다. 그러나 하울에 잇는 法庭에서는 모든 일을 내려다 보고 잇스니 털끗마치라도 속일 수는 업다. 그러면 어떠케하여 조흘가? 改過에는 如何한 罪惡이라도 업서진다고 하엿다. 올타 올타 改過의 精誠으로써 그러타고 하지마는 참으로 改過가 되지 아니하는 때는? 아 아 가련타! 죽음에 싸힌 이 가슴! 改心을 하랴고 하여도 다리에 실로 맨 새새끼 모양으로 부비대면 부비댈스록 罪惡의 실끗에  全身이 감기는 苦痛! 살려주소서 한우님! 精誠으로 빕니다. 불상히 생각하셔서 完固한 이 무릅이, 鋼鐵과 가튼 이 마음이 어린아이의 筋肉과 가티 軟하게 됩소서-모든 願이 成就하도록 합소서.
(國王이 한 모통이에 물러 안저서 무릅을 꿀코 빈다.)
(하믈네르 들어온다)
하믈.   只今이야말로 擧事할 때가 되엇다. 祈禱를 올리고 잇는 저 때. 나의 寃讐를. ...
그러면 저 者는 天國에 가겟지... 나는 寃讐를 갑는다? 이것은 생각할 것이다. 惡漢이 잇서서 父王을 弑殺햇다. 그 아들이 그 報償으로 그 惡漢을 한울에 보내! 한울에... 果然 이것은 품파리의 일이다. 復讎는 아니다. 父王께서 저놈으로 하여 最後를 마치실 때는 塵慾이 아즉도 가슴에 찻고 罪惡은 봄철의 百花와 가티 피여서 자랑하고 잇슬 때이겟지. 人事를 미루어  他世의 일을 想像하면 父王의 허물도 또한 무겁겟지! 그런데 저것이 무어야? 只今 저 者는 後世를 빌고 잇는 中이다. 只今 죽이면 極樂에 가겟지. 이것이 復讎의 法이 아니다... 그러타 只今은 죽일 때가 아니다. 醉해서 누엇실 때던지, 邪淫에 빠질 때던지 또는 勝負를 決하던지 거짓 盟誓를 하여 購함을 바들 길이 업슬만치 魂靈이 드러워젓슬 機會를 기다려 꺼구러 트리면 그 者의 발굽은 한울을 차고 暗黑한 地獄에 거꾸로 떠러저 永劫의 苛責을 밧겟지... 母后께서 기다리시겟지... 暫間동안 목숨을 살려두는 것은 다못 病을 길게 두는 것이다.
(하믈레르 들어간다)
國王.   말은 한울에 올라가도 마음은 땅을 떠나지 아니한다. 마음에 벗어나는 말은 한울에 到達하지 아니한다.
(國王 들어간다)
幕
ㅡ(第3幕 第3場 完結)ㅡ ＜42＞
＜32, 41-42＞
