잡지명	개벽 제23호
발행일	1922년 05월 01일
기사제목	멀리온 兄弟, 海蔘威演藝團을 歡迎함 (Welcoming the Brothers from Afar, the Vladivostok Performing Arts Troupe)
필자	玄哲
기사형태	문예기타 (Literary/Arts Miscellaneous)

Welcoming the Brothers from Afar, the Vladivostok Performing Arts Troupe
						Hyŏn Ch'ŏl

It's not just one or two hundred thousand brothers who are far away overseas, and the groups of compatriots visiting the motherland year after year are also not just one or two, but what stops in my thoughts and remains in my memory seem to be the Vladivostok Student Music Troupe from last year and the Vladivostok Performing Arts Troupe that has come this time. I suppose I cannot say that any group visiting the homeland lacks meaning, but among them, the visit of an arts troupe to the motherland seems to imprint a not insignificant impression upon this Hyŏn Ch'ŏl.

I have longed for Russia (露西亞) for a long time. I longed for Russia, the nation of art, more than Russia of radicalism, and I deeply admired Russia, the nation of freedom, more than Russia of communism. Whether the form of government is a monarchy, a republic, an anarchist collective, or communist, such nouns proclaiming a form do not strike Hyŏn Ch'ŏl as particularly fragrant slogans. Regardless of the form of the state body or the noun the nation bears, the question is how its people can live a free life and how they can maintain a warm national life following the beauty of life. Today, that thing called the state has become the objective of human life, and all citizens and all peoples are becoming absolute sacrifices and servants under the name of the state. Hyŏn Ch'ŏl does not think such a superficial state seems like the objective of human life. At the very least, the state must become an instrument for the truth, goodness, and beauty of human life. This is proven by the history of humanity from ancient times. If tribal life could guarantee the security of a people's life, then that people would be content with tribal life.<18> If, even under autocratic rule, the life of the people itself could be free and happy, then we would be satisfied there. And if, even as a republic or communist collective, the life of the people itself could be comfortable and beautified, then there would be no complaint either. Therefore, rather than speaking according to the form, one should distinguish good from bad according to the actual content.

Everything about us is not like others. Even if my home is affluent, my body has freedom, and my heart has peace, the feelings of wandering adrift in a foreign land away from home – one cannot know how bitter, how lonely, how painful they must be. Moreover, our brothers and sisters wandering thousands of miles overseas, having abandoned their ancestral graves and left their relatives! We can guess, without asking or hearing, that their lives are not abundant and their hearts lack ease. In this situation! In these circumstances, with the same sorrow and the same dissatisfaction, by what do those living adrift console their hearts, and by what do they comfort the sorrow of life? Whenever I think of this, seeing those brothers and sisters who, under the same background, bear one more tear of sorrow from a foreign land than we do, an unusual emotion stirs within me, Hyŏn Ch'ŏl, as an individual.

Guests visiting the motherland from abroad are not just once or twice a year, nor are the groups just one or two. However, while such groups' visits merely involve sightseeing the culture and institutions of the motherland or seeing our unwelcome state of life and leaving, I am reminded again that the visit of groups like the Russian Vladivostok Student Music Troupe that came last year and the Vladivostok Performing Arts Troupe that came this time has deep significance and much meaning.
For those steeped in the Russian way of life, where they feel as if they have no life for a day if they miss the daily newspaper, and as if they have no life for a week if they cannot see a play once a week, for them to visit the motherland with their skills, however insufficient they may be, is a more welcome and joyful event than anything else. It is a fact that all our facilities are in their nascent stages and incomplete, and especially when it comes to the field of art, we still have nothing much to boast about. In such circumstances, how many seeds of art they will sow here in our Korea (朝鮮) remains to be seen, as Hyŏn Ch'ŏl has not yet seen them perform, so I cannot say how it will be. However, even if they do not all possess specialized skills,<19> there are undoubtedly specialists among them, and moreover, having been immersed in the artistically rich atmosphere of Russia, even if the troupe was organized with amateurs, I believe it will surely be several times better than the concerts or theatre troupes that seem to occur almost every month here in Korea.

Human social life is complex in various ways, almost innumerable and dazzlingly multifaceted, making it impossible to discuss each aspect individually. Which aspects are more necessary and which are less so will differ for each person according to their field and needs. However, in comforting the inner solitude of human life, elevating taste, and guiding aesthetic sensibilities well, there is little with a greater effect than art. For us, whose circumstances are miserable and whose lives are sorrowful, the need for art seems to be many times greater than for others.
The current visit to the motherland by the members of the Vladivostok Performing Arts Troupe is certainly not to boast of their skills to the motherland, nor is it for the purpose of profit. They simply came to show their compatriots in the motherland what they do, well or poorly, as a means of self-consolation for their difficult lives in a foreign land and climate. Whenever we see them, we know there will be the sorrowful melody that harmonizes their bleak lives in the cold winds and snowy weather of Siberia (西伯利亞).
Moreover, receiving the trends of the art nation, which have not been heard or seen before in mainland Korea, and having them transmitted to our mainland – although we do not know how much stimulus this will give to our desolate artistic garden – we earnestly hope for many such visits by groups to the motherland.
Finally, I lay down my brush, wishing for the health of the entire troupe during their nationwide tour.<20>

**Summary**

Hyŏn Ch'ŏl warmly welcomes the Vladivostok Performing Arts Troupe, a group of Korean compatriots visiting from Russia. He contrasts the perceived artistic richness and freedom of Russia (regardless of its political system) with the constrained and underdeveloped artistic environment of colonial Korea. He sees the troupe's visit not primarily as a display of professional skill, but as a meaningful act of cultural exchange and mutual consolation between Koreans at home and those living difficult lives abroad. He hopes their performance, born from the sorrowful yet artistically fertile Russian environment, will stimulate Korea's nascent art scene and provide comfort to a populace living under harsh conditions. Historically, the article is interesting as it reflects Korean intellectual admiration for Russian culture (distinct from political ideology) in the early 1920s, underscores the hardships and cultural activities of the Korean diaspora in the Russian Far East, and highlights the role of art as a source of solace and national expression during the colonial period. The longing for freedom and cultural development, contrasted with the perceived situation in Russia, offers insight into Korean aspirations under Japanese rule.

**Named Entities**

海蔘威演藝團	해삼위연예단	Vladivostok Performing Arts Troupe
멀리 海外에 잇는 兄弟들이 決코 一二十萬이 아니고 年年歲歲로 母國를 訪問하는 同胞의 團體가 또한 一二가 아니나 나의 생각에 멈추고 腦裡에 記憶되는 것은 昨年 海蔘威學生音樂團과 이번에 온 海蔘威演藝團인 것 갓다. 나는 무슨 團體나 다 한 가지로 祖國을 訪問한다 하는 것은 한 가지 意味가 업다고 하지 못하겟지마는 더욱이 그 中에서 藝術團體의 母國 訪問이 또한 적지 아니한 印象을 이 玄哲에게 씹어주는 것 갓다.

나는 露西亞를 憧憬한 지가 오래이다. 過激主義의 露西亞보다도 藝術國의 露西亞를 憧憬하얏고 共産主義의 露西亞보다도 自由國의 露西亞를 永慕하얏다. 國體가 君主國이던지 共和國이던지 無政府 團體이던지 共産主義이던지 그러한 形式을 標榜하는 名詞는 玄哲에게 그처럼 향그럽지 못한 標語이다. 어떠한 形式의 國軆이던지 어떠한 名詞를 가진 國家를 勿論하고 그 國民이 어찌면 自由로운 生活을 하여가며 어찌면 人生美에 따뜻한 民族的 生活을 維持하여 갈가 하는 그것이다. 오늘날은 그의 國家라는 그것이 人類生活의 目的物이 되어 모든 國民과 모든 民族이 그 國家라는 名稱 下에서 絶對의 犧牲者가 되고 使役者가 되어간다. 玄哲은 그러한 皮相的 國家가 人類生活의 目的物 가티 생각이 들지 아니한다. 적어도 國家가 人類生活을 眞善美한 手段物이 되지 아니하면 아니 되겟다. 그것은 往古의 人類歷史가 證明하는 바이다. 部落生活로써 그 民族의 生活이 安全을 保障할 것 가트면 그 民族은 部落生活로도＜18＞ 足한 것이고 萬一에 專制政治 미테서라도 그 民族의 生活 自體가 自由스롭고 幸福스러울 것 가트면 거긔에서 우리는 滿足할 것이고 共和나 共産主義의 團體로서도 그 民族의 生活 自體가 安樂하고 美化할 것 가트면 그것도 또한 不平이 업슬 것이다. 그러함으로 그 形式을 딸하 말하는 것 보담도 그 實地의 內容을 딸하 조코 그른 것을 分揀할 것이다.

우리는 모든 것이 남과 갓지를 아니하다. 내 집이 넉넉하고 내 몸에 自由가 잇고 내 마음에 平安이 잇더래도 집을 떠나서 客地에 漂泊하는 그 마음 얼마나 辛酸하며 얼마나 寂寂하며 얼마나 괴로울는지 모를 것이다. 더구나 墳墓를 버리고 親戚을 떠나서 萬里海外에 漂泊하는 兄弟姉妹들! 그네의 生活이 豊足하고 그네의 心情에 餘裕가 업슬 것은 우리가 뭇지 아니하고 듯지 아니하여도 斟酌할 것이다. 이러한 處地! 이러한 境遇에 가튼 슯흠을 가지고 가튼 不滿을 가진 漂泊 生活의 그네들이 무엇으로써 그 마음을 慰勞하며 무엇으로써 生活悲를 安慰하는지? 이것을 생각할 적마다 다 가튼 背景 미테서 우리보다 한가지 더 異域悲哀의 눈물을 먹음은 그 兄弟姉妹를 볼 때마다 玄哲의 個人으로써는 異常한 情感이 衝動된다.

外地로부터 母國을 訪問하는 손님들이 1年에도 한두번이 아니고 團體에도 一二가 아니다. 그러나 그러한 團體의 訪問이 母國의 文物을 구경한다던지 또는 반갑지 못한 우리의 生活狀態를 보고 가는데 지나지 못하지마는 昨年에 온 露領 海蔘威學生音樂團과 이번에 온 海蔘威演藝團 가튼 것은 그 뜻이 깁고 意味가 만흔 줄을 또다시 생각이 난다.
하로의 新聞을 못하면 하로의 生命이 업는 것 가티 알고 一週日에 한 번 演劇을 구경하지 못하면 一週日의 生命이 업는 것 가티 생각하는 露西亞의 生活에 저저온 그네들이 만치 못한 技術이나마 그것을 가지고 母國을 訪問한다고 하는 것은 무엇보다도 반가운 일이요, 질겨운 일이다. 우리는 모든 施設이 草創이고 完備치 못한 그 가운대도 더구나 藝術 方面에 이르러서는 아즉은 넉넉히 자랑할 것이 업는 것은 事實이다. 그러한 가운대 그네들이 얼마나 만흔 藝術種子를 우리 朝鮮 內地에 뿌려줄는지 그것은 아즉 玄哲이 行演하는 것을 보지 못하엿스니 어떠하다고 말은 할 수가 업스나 그네들이 비록 모도 다 專門的 技術은 가지지아니하엿다고＜19＞ 하더래도 個中에는 專門家도 업지 아니하고 또 露西亞라는 藝術的 氣分이 豊富한 空氣에 저저왓스니 그 團體가 비록 生手로 組織되엇다고 하더래도 우리 朝鮮서 거의 다달이 잇다십히 하는 音樂會라던지 演劇團이라고 하는 그것보다는 勿論 數倍나 나흘 줄로 밋는 바이다.

人間의 生活社會는 여러 가지 複雜하여 거의 數를 헤아릴 수가 업고 一一이 말을 다 할 수가 업슬만치 眩煌한 것이니 그 中에 어떠한 것이 더 必要하고 어떠한 것이 덜 必要한 것은 各各 사람사람이 方面을 딸하 다를 것이고 必要에 應하야 서로 갓지 아니할 것이나 그러나 人類의 內的 生活性의 獨寂을 慰安케 하며 趣味를 高尙케 하고 美的 感情을 善導하는 데는 그 效果가 藝術에 더 나을 것이 別로 업는 것이니 우리는 處地도 悲慘하며 生活도 悲悵한 우리로써는 남보다 幾倍나 藝術要求가 必要할 것 갓다.
海蔘威演藝團 一行의 그내들의 今番 母國訪問은 그네의 技術을 母國에 자랑하고자 하여 온것도 아니고 營利의 目的으로 母國을 訪問한 것도 勿論 아니다. 다못 그네들이 잘하나 못하나 異域風土에 괴로운 生活을 自慰하는 것으로써 母國同胞에게 보이고자 왓다 하니 우리는 그것을 볼 때마다, 西伯利亞의 寒風雪天에 冷落한 生活을 調和하는 그 音律의 悲哀가 잇슬 줄 아는 바이다.
더구나 朝鮮內地에서 일즉이 듯지 못하고 보지 못하던 藝術國의 風潮를 바다 이것을 우리內地에 傳하게 되는 것은 우리의 蕭條한 우리 藝術동산에 얼마마한 刺戟을 줄는지는 모르겟스나 우리는 이러한 團體의 母國訪問이 만히 잇기를 懇切히 바라는 바이다.
끗으로 全國 巡業 中 全團의 建康을 빌고 붓을 놋는 바이다.＜20＞
＜18-20＞
