**Header Section:**
Magazine Title: 개벽 第34號
Publication Date: 1923년 04월 01일
Article Title: 兄弟, 妻子, 不相見의 形形 (Various Forms of Brothers, Wives, and Children Not Seeing Each Other)
Author: Not specified
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
Various Forms of Brothers, Wives, and Children Not Seeing Each Other

When I, the writer, was once reading the ancient book *Mencius* (孟子), I saw a passage among Mencius's words of warning to King Hsüan of Ch'i (齊宣王), saying, "If Your Majesty only indulges in hunting (田獵), the result will lead to bringing about the tragic situation where the people's brothers, wives, and children do not see each other (兄弟妻子不相見)." However, how could I have thought that I myself would witness that tragic situation of brothers, wives, and children not seeing each other?

Several years ago, around a certain year, we saw brethren from South Chosŏn (南朝鮮), supporting the old and carrying the young (扶老携幼), disperse to the Northwest Chien-tao (西北間島) region. Among them, there were particularly many brethren from Kyŏngsang Province (慶尙道). And we come to discover numerous Chosŏn women working as prostitutes (매춘부) starting from within Chosŏn and extending to various places like Chungnyŏng (中領) and the Russian Maritime Province (露領).

Among them, we recognize that women born in Kyŏngsang Province are particularly numerous.

Turning again and again – since the year before last, the number of Chosŏn laborers crossing over to Japan (일본) has been increasing daily, reaching a point where its cessation is unknown; we recognize that among them too, brethren from Kyŏngsang Province—especially South Kyŏngsang (慶南)—are the most numerous. Alas! Seeing this phenomenon, how should we recognize it?

In Chosŏn's history, the distinction between the *pan* (班, gentry) and *sang* (常, commoner) classes was most severe in Ch'ungch'ŏng (忠淸) and Kyŏngsang (慶尙). Such a severe class distinction relentlessly trampled the lives of the numerous common people (平民) and consequently degraded their character to the extreme. The *pan-sang* distinction, which began to loosen (解弛) from the time of the Kabo Peasant War (甲午東亂), has seen its lines become much blurred in the twenty years leading up to today. However, with the implementation of the Government-General's rule (總督政治), the disparity between rich and poor (貧富), whose fortress walls have become increasingly firm, has once again disregarded the happiness of the numerous populace (多數民人). Furthermore, the cultivation (扶植) of the economic power of another people [i.e., the Japanese], which has vigorously arisen (蔚然) over the past dozen or so years, has layer by layer made it impossible for them [Koreans] to secure stability.

Although not exclusive to this province, in South Kyŏngsang Province (慶南道), there are hired hands (품파리꾼) called *mŏsŭm* (머슴). It is said that combining the men and women employed in this way averages out to one person used per every three households. In addition to this, there are again young *mŏsŭm*, calculated at an average of one person per every five households.<44> Now, given that the Chosŏn population of South Kyŏngsang (慶南) was 339,515 households as of the end of Taishō 10 (1921), calculating according to the above ratio, there are approximately 110,000 adult *mŏsŭm* and about 70,000 child *mŏsŭm*, totaling about 180,000 *mŏsŭm* currently existing. However, 99 out of 100 of them are people without support (無依), without homes (無家), without knowledge (無識), and without shame (無廉). In other words, they are the scraps (屑) of humanity. This is all the product of life destruction (生活破棄) and character bankruptcy (品性破産)—in other words, family destruction (家庭破壞)—originating from all the aforementioned causes (原因). In this way, they finally fall into the tragic situation of brothers, wives, and children not seeing each other.

The 180,000 people mentioned here refer to those who have already ended up crying out (呌號) on the roads, but besides them, there must be countless brethren currently walking such a miserable path.

Becoming like this, they disperse to Northwest Chien-tao or across the East Sea [to Japan], or they transform into *kisaeng* (藝妓) or prostitutes (娼妓). Now, if we show the total figures for the situation of brethren from each county (郡) of South Kyŏngsang (慶南) who went to and came from Japan from January to November of Taishō 11 (1922), it is as follows <45>
[Note: Table mentioned as '如左' (as follows) is not provided in the text snippet]

The above table pertains to the situation before the abolition of travel permits. However, after the said permit regulations were abolished, the number of those crossing to Japan (渡日者) increased even more intensely. From December 15th (the day after the permits were abolished) until the 31st of the same month, compared to 3,053 returnees, 6,379 people crossed to Japan, resulting in 3,327 more people on the side of crossing to Japan. This phenomenon has continued until now.<46>

Regarding *kisaeng* (藝妓) and prostitutes (娼妓), the total number of women from this province (本道) who have gone outside its borders (境外) is unknown. If we show the number of *kisaeng* as of the end of Taishō 10 (1921), it is as follows:
[Note: Table mentioned as '如左' (as follows) is not provided in the text snippet]

Besides the above, there are many unlicensed prostitutes (私娼). According to officials (當局者), in Chinju City (晋州市內) alone, there are about 600 unlicensed prostitutes. From this, one might be able to sufficiently infer the overall situation.<47>

**Summary**

This 1923 editorial from *Kaebyŏk* magazine laments the widespread phenomenon of Korean families being broken apart ("brothers, wives, and children not seeing each other"), particularly affecting people from Gyeongsang Province. The author attributes this social disintegration to deep-rooted poverty stemming from historical class discrimination (Pan-Sang system) exacerbated by Japanese colonial rule and economic policies favoring Japanese interests. This forces many Koreans, especially from Gyeongsang, into desperate situations: migrating to Manchuria, the Russian Far East, or Japan for labor, or women becoming prostitutes (*kisaeng* or unlicensed). The article cites statistics showing a high prevalence of *mŏsŭm* (hired hands/servants) in South Gyeongsang, indicating extreme poverty, and notes the significant outflow of laborers to Japan and the large number of prostitutes, particularly from this region.

For historians, this article is valuable as a contemporary account of the severe social and economic distress in rural Korea, specifically Gyeongsang Province, during the colonial period. It highlights the perceived connection between historical social structures (class system), colonial policies (economic exploitation, Government-General rule), and the resulting migration patterns and social problems like prostitution and family separation. The specific focus on Gyeongsang Province and the use of statistics (even if incomplete in the provided text) offer concrete data points regarding regional disparities and the impact of colonialism on the Korean populace's livelihoods and social fabric.

**Named Entities**

古書	고서	Ancient book
우리는 이제로브터 몃 해 전 어느 年頃에 南朝鮮의 형제가 扶老携幼하야 西北間島지방으로 離散함을 보앗다. 그런대 그 중에도 慶尙道의 형제가 別로 만하섯다. 그리고 우리는 朝鮮內地를 始하야 中領, 露領 각지에서까지 幾多의 조선여자인 매춘부를 발견하게 된다.
그런대 그 중에도 慶尙道生의 여자가 別로 만흠을 認하게 된다.
一轉 又 一轉 - 재작년 이래로 조선인 노동자로 일본에 渡去하는 자가 逐日 증가하야 其低止할 바를 不知하는 바 그 亦 慶尙道ㅡ중에도 慶南의 형제가 最多함을 認하게 된다. 오호라 우리가 이 현상을 보고 무엇이라 認하여야 可할고.
조선의 古來에서 班常의 別이 심하기로는 忠淸, 慶尙이 제일이엿다. 이와 가튼 班常의 別이 甚한 그것은 다수 평민의 생활을 여지업시 유린하엿스며 따라 그의 품성을 극도에까지 卑劣化하엿다. 甲午東亂으로브터 解弛키 시작된 班常의 구별은 20년 이후의 금일에 至하야 其線이 만히 희미하엿스나 총독정치의 시행을 以하야 益益히 其城壘가 견고해지는 빈부의 현격은 다시금 多數民人의 행복을 무시함이 되엿스며 加之而 十數年來로 蔚然히 발흥되는 이민족의 경제력의 扶植은 層一層 그들의 안정을 不得케 함이 되엿다.
반다시 이 道에 뿐인는 것은 아니나 慶南道에는 머슴이라는 품파리꾼이 잇다. 그러케 고용되는 남녀를 합하야치면 매 3戶에 1인 사용평균이 된다고 한다. 이 외에 다시 유년 머슴이 잇는대 그것은 매 5호에 1인의 평균을＜44＞ 算하게 된다. 그런대 慶南의 조선인이 大正 10년말 현재로 339,515호인즉 右의 比例로 계산하면 어룬 머슴 약11만여, 어린이 머슴 약7만,  합하야 약18만의 머슴이 현존하게 된다. 그런대 그들은 100의 99가 無依, 無家, 無識, 無廉한 사람이다. 말하면 사람의 부스럭(屑)이다. 이것이 모다 前記의 諸原因에 기인한 生活破棄, 品性破産 ㅡ 달니 말하면 가정파괴의 산물이다. 이리하야 그들은 드대여 兄弟妻子不相見의 참상에 陷하는 것이다.
여긔에 말한 18만의 사람은 現에 旣히 도로에 呌號하게 된 그 사람을 말함이거니와 그 외에도 現에 그러한 비참한 도정을 거러 나아가는 형제가 얼마라도 잇슬 것이다.
이러케 되야 그들은 西北間島로 또는 동해의 뎌편으로 離散케 되는 것이며 또는 藝妓, 娼妓의 변형하는 것이라. 이제 大正 11년 1월브터 11월까지의 慶南 各郡의 형제가 일본에 가고 또 온 형편을 총계로써 示하면 如左＜45＞
右表는 旅行證明 폐지 이전의 事이여니와 該證明法規가 폐지된 이후는 渡日者가 일층 심하야 12월 15일(증명폐지된 翌日)로브터 同 31일에 至하기까지 귀환자는 3,053인에 대하야 渡日者 6,379인을 出한 바 渡日의 편에 3,327인이 多하엿스며 이 현상은 지금까지 계속되엿 잇다.＜46＞
藝妓, 娼妓에 잇서는 本道의 여자로서 境外에 出한 자는 其 總計를 모르겟고 大正 10년 말 현재의 藝妓數를 示하면 如左
右外에 私娼이 多有한 바 당국자의 말에 의하면 晋州市內에만 私娼이 약 600명이라 한즉 이로써 足히 전반을 窺知할 수가 잇슬가 한다.＜47＞
＜44-47＞
