**Header Section:**
Magazine Title: 三千里 (Samch'ŏlli)
Publication Date: 1935년 01월 01일 (January 1, 1935)
Article Title: 寫眞 (Photograph)
Author: 田榮澤 (Chŏn Yŏngt’aek)
Article Type: 소설 (Short Story)

**Body Text Translation:**

Photograph
Chŏn Yŏngt’aek

One
A month after leaving Songdo and coming up to Sŏul, S received a photograph. Smiling faintly, he unwrapped the paper covering the photograph. The handwriting on the envelope was written neatly in the same polite and welcoming manner the owner of the script used when greeting S before. -The owner of the script was Y.- However, although he had expected Y to be alone in the photograph, there was another person besides Y. It was a close classmate of Y's. S looked at it with pleasure and put it away in his desk drawer.

Two
S had been a teacher at a certain elementary school in Songdo. That school had both a girls' section and a boys' section, and S taught mostly in the girls' section. The oldest among those female students was fourteen, and most were young; they were generally well-behaved and talented. Therefore, S, who originally liked music, taught singing with enthusiasm and told them many interesting children's stories every day. The students also learned eagerly, listened with interest, and loved Teacher S very much. Even after school let out, they didn't return home. Even after the summer vacation began, the students similarly gathered at school, clinging to Teacher S's sleeves to play, oblivious to the heat. So Teacher S stayed at the school, not thinking about those waiting for him at his home in Sŏul.
Y was a student among them whose grades were good and whose character seemed clever in S's view. And she was also a very kind-hearted child. While all the students loved Teacher S, Y loved S even more. Thus, being nearby her own home, she earnestly worried about the clothes and meals of S, who was living away from home in a lodging place. Though unspoken, she truly loved Teacher S the most.
Teacher S came to leave Kaesŏng (Songdo). Firstly, it was to study abroad,<279> and secondly, there had been some unpleasantness (알) between him and the school authorities. One day, as Teacher S was coming down after school let out, he mentioned that he would now resign from this school and go up to Sŏul. Then, about two hours after he had gone down, he happened to come back up again, and saw a student standing leaning against an acacia tree in a corner of the playground, turned away. S knew who it was even from afar and went closer. Y turned back around and was crying loud enough to be heard.

Three
That spring, S went to Tōkyō to study abroad. S, alone in a corner room on the west side of the dormitory at Ōtsuka Higher Normal School, sits silently leaning on his desk, receiving the late afternoon sun setting leisurely over the wide Musashino plain, where the rice ears in the fields have turned yellow, the pampas grass (스스끼) along the roadside has turned white, and the autumn foliage on the hills here and there has turned red, the autumn colors deepening. He gazes at the distant field scenery, then occasionally looks down at the photograph on his desk. Then he closes his eyes again and thinks about something. After a while, he opens his eyes again and looks down at the photograph.
Whether S developed homesickness after going to Tōkyō or not, he always lived melancholically. So, to console himself (though in reality, it only deepened his yearning for the old days), he took Y's photograph out of his bag and put it in a frame. Originally, there were two people in that photograph. The owner of the face with an exquisitely pretty overall contour, lips held tightly shut but with smiling, black, round eyes that seemed to draw one's heart in, was Y. And the face of her friend sitting beside her seemed lacking somehow; her small eyes, long eyebrows, and narrow brow seemed full of fierce jealousy (시기). Whenever S looked at Y's face, it gave him welcome and joy, but the friend's face gave him displeasure and fear. So S cut out the friend's face and body with scissors.
Then, he skillfully blurred the remaining part of the friend on Y's photograph by coloring over it with a pencil.
And he received Y's occasional letters very gladly. Sometimes, letters came from her friend too.

Four
When summer vacation came, S returned to his home in Sŏul.
Hearing the news that S had arrived, Y and her friend, who had come together to study at a certain girls' higher common school in Sŏul, came to visit. The friend was the student pictured together with Y in the photograph.
S was very pleased, chatted about various things, and asked questions. The two students, originally quiet and demure, mostly just smiled brightly <280> and didn't offer many other answers or words, but to the question of how they were enjoying studying in Sŏul, they answered emphatically, "The most fun was when you, Teacher, taught us back in the countryside."
To treat his welcome guests, S took out picture books and photo albums he had brought from Tōkyō from his bag and went out, wearing rubber shoes, to buy Korean melons (차미). While returning with the melons, S thought of something and exclaimed "Oh no!" as if startled. He had completely forgotten that Y's photograph, the one he kept on his desk in Tōkyō, was pasted in the photo album he had put out. Worrying greatly inwardly, he entered the house, and indeed, the two girls' demeanor and faces had completely changed. The picture books and photo album had been pushed aside, and the two looked as if they had encountered something terribly embarrassing and terribly upsetting, appearing ready to leave immediately.
After much persuasion, they barely pretended to eat a slice of melon each, and then the two hurriedly fled. After they left, S quickly opened the photo album. The place where Y's photograph had been attached was carelessly torn out and gone. "Who did this? Who took it?" S wondered.

Five
In the autumn, S went over to Tōkyō again. Two months after he left, a brief letter arrived from Y. Inside the letter was a photograph of Y taken alone. And it said that her friend had come up after school started but developed tuberculosis (페병) and went back down to the countryside.
Reading the letter, S remembered the friend's suddenly darkened face, tear-filled eyes, and tightly bitten lips from when he saw her last summer. So he rummaged through his desk (체블) drawer. Several pieces of the photograph he had previously cut with scissors were still remaining. (End) 1924. 10. 1. <281>

**Summary**

A Korean teacher, S, leaves his post in Songdo (Kaesŏng) where he was adored by his students, especially Y, to study in Tōkyō. Y sends him a photo of herself with a classmate. In Tōkyō, S cuts the classmate out of the photo due to her unpleasant appearance and keeps only Y's image on his desk. During summer vacation back in Sŏul, Y and the same classmate visit S. He inadvertently shows them a photo album containing the altered picture. The girls leave upset, and S discovers the altered photo has been torn out. Later, back in Tōkyō, S receives a new photo of Y alone and learns the classmate returned home ill with tuberculosis, recalling her distressed appearance during the visit. The story subtly explores the complex emotions between a teacher and his former students, jealousy, and unspoken feelings, culminating in a tragic turn for one student.

From a historical perspective, the story offers glimpses into colonial Korean life: the role of elementary education (including separate sections for boys and girls), the emotional bonds formed in schools, the aspiration for further study abroad (specifically Tōkyō, the imperial center), and travel between Korea and Japan. The mention of a Girls' Higher Common School (여자고등보통학교) reflects the educational system of the time. The friend's illness, tuberculosis (폐병), was a prevalent and feared disease during that period. The subtle power dynamics and intense emotions, possibly heightened by the constraints of the era, are also noteworthy.

**Named Entities**

田榮澤	전영택	Chŏn Yŏngt’aek
Y는 그 중에 성적이 조코 S가 보기에 위인이 똑똑한 학생이엇다. 그리고 마음도 퍽 착한 아이이엇다. 여러 학생이 모두 S선생을 사랑하는 가온데 Y는 더욱 S를 사랑하엿다. 그리하야 자긔 집에 가삀œ 객지에 잇는 S의 의복 걱정과 식자 걱정을 간곡히 하엿다. 말은 아니 하여도 실상은 제일 S선생을 사랑하엿다.
S선생은 개성을 떠떠나게 되엿다. 첫재는 류학하＜279＞기 위하야, 둘재는 학교 당사자와 사이에 조금 재미업는 알이 잇서서. S선생이 하로는 하학하고 내려오면서 나는 인제는 이 학교를 사직하고 서울노 올나간다는 말을 하엿다. 그리고 내려 갓다가 두 시간이나 지내서 무심 중 다시 올나와 보앗더니 운동장 한 모퉁이에 한 학생이 아가시아 나무를 의지하고 도라서 잇섯다. S는 벌서 멀니서 보고도 누구인 줄 알고 갓가히 가 보앗다. Y는 다시 도라서면서 들니리 만큼 소리를 내여 울고 잇섯다.

三
S는 그 봄에 동경으로 류학을 갓다. 오호츠까 고등사범학교의 긔숙사 서편 모퉁이 방에 혼자 잇는 S는 논에 벼이삭이 누으래지고 길ㅅ가에 스스끼가 허어여 지고 여긔저긔 언덕에 단풍이 빨개저서 가을빗이 무르넉는 무장야 너른 들에 한가이 넘어가는 석양볏을 밧으면서 책상을 의지하고 말업시 안저 잇다. 멀니 드을 경치를 바라보다가는 잇다금 잇다금 책상 우에 잇는 사진을 듸려다 본다. 그리고는 또 눈을 감고 무슨 생각을 한다. 한참 잇다가는 다시 눈을 – 서 사진을 듸려다 본다.
S는 동경 가서 고향 그리운 병이 낫든지 늘 수심으로 지내엿다. 그래 그거슬 스사로 위로 하야 (실상은 녯날 그리운 병을 더 깁게 하엿건마는) 가방에서 Y의 사진을 끄내여 사진틀에 너어 노앗다. 그 사진에는 본래 두 사람이 잇섯다. 얼골전체의 윤곽이 묘하게 입본 데다가 입은 꼭 다물고 잇스나 사람의 마음을 끄러 가는 듯한 웃는 눈 까맛코 동그런 눈의 주인은 Y이엇다. 그리고 그 엽헤 안자 잇는 그의 동모의 얼골은 어덴지 모르게 빠진 데가 잇고 적은 눈과 긴 눈섭과 좁은 미간에는 독한 시긔가 가득한 듯 하엿다. Y의 얼골은 듸려 볼 때마다 S의게 반김과 깃붐을 주엇스나 그 동모의 얼골은 불쾌와 무서움을 주엇다. 그래서 S는 가위로 그 동모의 얼골과 몸을 버혀 버렷다.
그리고 남는 Y의 사진에 아직 남아잇는 부분을 연필노 칠하야 묘하게 흐려 버렷다.
그리고 잇다금 오는 Y의 편지를 퍽 반가히 바다 보앗다. 그의 동무의게서도 혹 편지가 왓다.

四
녀름방학이 되여 S는 서울 자긔 집으로 도라왓다.
S가 왓다는 소식을 듯고 서울 어느 녀자고등보통학교에 가치 와서 공부하든 Y와 그 동무가 차자 왓다. 그 동무는 Y와 함게 사진 박힌 학생이엿다.
S는 퍽 반가워서 여러 가지 니야기도 하고 무러도 보앗다. 본래 말이 업고 얌전한 두 학생은 방긋방긋＜280＞ 웃기만 하면서 다른 대답이나 말은 별노 업섯스나 서울 와서 공부하는 재미가 엇더냐 뭇는 말에는 「시골서 선생님끠서 저희를 가라치실 때 재미가 제일이야요.」하는 대답은 힘잇게 하엿다.
S는 반가온 손님을 대접하기 위하야 동경서 가저 온 그림책과 사진첩을 가방에서 끄내 놋코 고무신을 신고 차미를 사러 나갓다. 차미를 사 가지고 오면서 생각하다가 S는 깜작 놀내는 듯시 「아차!」 하엿다. 그 사진첩에는 동경서 책상에 노앗든 Y의 사진이 부터잇는 거슬 깜박 니저 버리고 내노앗섯다. 속으로 만히 념려를 하면서 집에 들어 갓더니 과연 두 사람의 태도와 얼골은 아조 일변하엿다. 그림책과 사진첩은 젓어 치어 놋코 두 사람은 무슨 몹시 붓그럽고 몹시 섭섭한 일을 당한 듯한 얼골노 당장 니러 나가려고 하는 모양이다.
여려 말로 만류하야 겨우 차미 한쪽식을 먹는 체 하고는 두 사람은 밧비 다라 나갓다. 그런 뒤에 S는 밧비 사진첩을 펄처 보앗다. Y의 사진은 부텃든 자리가 함브로 찌저지고 업서젓다. 「누가 이랫나 누가 가저 갓나.」하고 S는 생각하엿다.

五
S는 가을에 다시 동경으로 건너 갓다. 간지 두 달이 지난 후에 Y의게서 간단한 편지가 왓다. 그 편지 속에는 Y의 혼자 백힌 사진이 드러 잇섯다. 그리고 그 동무는 개학해서 올나 왓다가 페병이 생겨서 시골노 내려 갓다고 하엿다.
S는 그 편지를 보고 지난 녀름에 볼 때에 그 동무의 금시에 까매진 얼골과 눈물먹음은 눈과 꼭 깨물어 담은 입설이 생각낫다. 그래서 체블설합을 뒤저 보앗다. 아직도 긔왕 가위로 버혓든 사진조각이 몃 조각 나마 잇섯다. (끗) 1924, 10, 1.＜281＞
＜279-281＞
