Magazine Title: 삼천리 제7권 제1호
Publication Date: 1935년 01월 01일
Article Title: 野談 徐花潭 (Folk Tale: Sŏ Hwadam)
Author: 愼麟範
Article Type: 문예기타 (Literature/Etc.)

Folk Tale: Sŏ Hwadam
						Sin Ninbŏm
During the mid-Yi Dynasty, almost everyone knew of the Kaesŏng Samjŏl (開城三絶, Three Wonders of Kaesŏng). For Neo-Confucian learning, there was Sŏ Hwadam (徐花潭); for spirit, Hwang Chin (黃眞); and for scenery, Pak Yŏn (朴淵). These were the so-called Three Wonders. Compared to the scenery of Pak Yŏn and the famous kisaeng Hwang Chin, Sŏ Hwadam's virtue was not just much higher. He was erudite and well-read, naturally proficient in the Confucian classics, but beyond that, there was nothing he wasn't skilled in, including astronomy, geography, medicine, and divination. He built a pavilion in a place called Hwadam and was teaching his disciples daily when suddenly an old Buddhist monk came below the steps, put his hands together, and bowed. Hwadam asked,
"For what reason have you come here?"

The monk replied simply,
"This humble monk happened to be passing by your esteemed residence on my way somewhere, so I stopped briefly to pay my respects."
Upon hearing the monk's answer, Hwadam again asked, hinting at a plea,
"I feel great pity for that innocent person who will die. Can't you just leave them be?"<114>

The monk said,
"I cannot. That too is heavenly destiny (천승), so what can be done?"
He turned and left. His height exceeded nine ch'ŏk (feet), and his face was extremely fierce, so much so that it was unpleasant to look up at him.

After sending the monk off, Master Hwadam smacked his lips repeatedly and sighed incessantly. The disciples attending him looked at each other, bewildered, not knowing the reason. After a while, the disciples asked,
"Master, why are you so worried?"
Hwadam replied, sighing,
"The monk who just visited and left is a divine tiger who serves as a mountain guardian (산직힘). Tonight, in a certain village, at someone's house, they are celebrating a joyous occasion, welcoming a son-in-law as their daughter gets married. But that maiden will suffer harm from that tiger. Isn't it pitiful?"

Hearing this, the disciples pleaded,
"Master, if you know this will happen, won't you think of a plan to save her?"
Hwadam thought for a moment, then turned again to his disciples, saying,
"I wish to test something slightly, but I worry because there is no one to send."
Hearing these words, one disciple volunteered to go. Hwadam was infinitely pleased and gave him a book, instructing,
"This is scripture from the Lotus Sutra (蓮花經). If you recite this, you can avoid disaster. Go to that house, do not reveal the secret, but simply set up an incense table on the main wooden floor (대청), lock the maiden securely in her room, have five or six strong servants hold her tightly so she cannot come out, and you, sitting on the main floor, read this scripture. Read it without mistaking any letters or phrases. If you can just get past the rooster's crow, there will be no trouble."

The disciple heard these words, took the scripture, and went searching for the house. Indeed, it was the home of a wealthy family living in splendor. They were incredibly busy preparing for the imminent wedding. He went in, saw the master of the house, and said,
"Forgive my unpleasant words during your esteemed family's wedding, but there may be danger to the young lady's person today. I have come expressly to prevent this. Please set up an incense table in the main hall, and I shall sit and recite scripture to pass the night safely, thus avoiding calamity."
Hearing this, the master of the house thought Hwadam's disciple was mad and tried to chase him away. Hwadam's disciple pleaded so earnestly, time and again (지재지삼), that the master was finally moved by his sincere warnings and entreaties. Thinking that even if such a thing didn't happen, there would be no particular harm, just as the sun was setting, he had lamps hung here and there in the main hall <115> and locked his daughter in her room, having several servants guard her so she couldn't move. Hwadam's disciple sat in the main hall, concentrating his entire mind and energy, reciting the scripture. Just as the third watch of the night (samgyŏng, approx. 11 PM - 1 AM) arrived, a whirlwind suddenly arose, a sound like thunder crashed, and it felt as if the whole house was collapsing. A large white tiger (백색대호) of unknown origin dropped into the middle of the courtyard; its eyes were like lightning, its fur like awls. Seeing this sight, everyone in the house was frightened out of their wits and couldn't move. The newly married maiden screamed that she needed to defecate and frantically tried to get out of the room, but the servants held her fast so she couldn't budge. Hwadam's disciple collected himself and read the scripture. The tiger clawed (훕이고) at the ground in the courtyard and roared, then suddenly rushed at a pillar on the main floor porch, biting and tearing (무러 뜻기를) at the pillar three times. Just then, the sound of a rooster crowing was heard, and instantly the tiger vanished without a trace. The maiden fainted (깜울처) and lost consciousness.

Only then did everyone in the house, from the master downwards, without distinction of rank, praise the meritorious deed of Hwadam's disciple. The master offered a thousand pieces of gold (천금) to repay the kindness of saving his daughter's life. Hwadam's disciple then revealed his master's instructions and refused, saying,
"I only came to save a life because I pitied an innocent person's death; what other desire could I possibly have?"
But the master insisted, holding onto him (붓 들고) and trying to give him all sorts of rewards (뢰물), refusing to let him go. Hwadam's disciple, without further argument, broke away forcefully and returned. Hwadam laughed (우스시며) and asked,
"How is it that you misread the scripture in three places?"
Hwadam's disciple asserted,
"I made no errors in reading."
Hwadam laughed again (우스며) and said,
"Just now, the monk stopped by on his way and told me that because you misread the scripture in three places, he deliberately bit and tore the pillar in three places to let you know."
Only then did Hwadam's disciple think back and realize that he had indeed misread three passages. Hwadam was a great Confucian scholar (유현) with such high spiritual arts (도술). Therefore, King Injong (仁宗大王), wishing to employ him specifically for governing the nation, decided to appoint Master Hwadam as the Right State Councilor (우의정) when selecting the three chief state councilors. But unfortunately, King Injong passed away less than a year after becoming king, and Hwadam also failed to attain any significant position, passing away without demonstrating his great splendor to the people. How unfortunate this was! <116>

**Summary**

This article recounts a folk tale about Sŏ Hwadam, a renowned 16th-century Neo-Confucian scholar known for his wisdom and supernatural abilities. The story tells of Hwadam foreseeing a fatal tiger attack on a young bride orchestrated by a mountain spirit disguised as a monk. He sends a disciple with instructions and a Buddhist scripture (Lotus Sutra) to recite, saving the girl despite the disciple making minor errors, which the tiger spirit points out by damaging pillars. The tale concludes by lamenting that Hwadam's potential service to the state under King Injong was cut short by the king's early death.

From a colonial history perspective, the article, published in 1935, presents a nostalgic look at a legendary figure from Korea's past, emphasizing native wisdom, spiritual power (linked to both Confucianism and Buddhism implicitly through the scripture), and moral virtue (saving the innocent, refusing reward). Highlighting such historical figures and tales could serve as a subtle assertion of Korean cultural identity and intellectual heritage during a period of Japanese assimilation policies. The lament for unrealized potential under a Korean king might also resonate with the contemporary situation of lost sovereignty.

**Named Entities**

徐花潭	서화담	Sŏ Hwadam
훕이고	후비고? 핥고?	Digging? Clawing? (uncertain action on the ground, older verb form)
대청상 기둥	대청 위 기둥?	Pillar on the main floor/porch
달려들어	달려들어	Rushing towards, attacking
무러 뜻기를	물어뜯기를	Biting and tearing (older spelling)
닭의 소리	닭의 소리	Rooster's crow
고만	그만	Just then, instantly
흔적	흔적	Trace, mark
없시	없이	Without (older spelling)
깜울처	까무러쳐	Fainting, losing consciousness (older form)
상하로소	상하노소	High and low, old and young (everyone)
구별할 것 없이	구별할 것 없이	Without distinction
공덕	공덕	Meritorious deed, virtue
칭송하고	칭송하고	Praising, extolling
천금	천금	A thousand pieces of gold (large sum of money)
갑흐려	갚으려	Trying to repay (older spelling)
시김을	시킴을	The order, instruction (noun form of 'to make someone do')
무고히	무고히	Innocently, without fault
죽엄	죽음	Death (older spelling)
바람	바람	Wish, desire
잇슬리야 잇겟소	있을 리야 있겠소	Could there possibly be? (rhetorical question, older polite form)
거절하얏더니	거절하였더니	Refused, and then (older past connective)
구지	굳이	Insistently, persistently
붓 들고	붙들고	Holding onto (idiomatic for insisting, older spelling)
뢰물	뇌물	Reward, gift (lit. bribe, older spelling)
종시	종시	In the end, after all; persistently
노치를 안는다	놓지를 않는다	Does not let go (older negative form)
말대구	말대꾸	Talking back, retorting
뿌리치고	뿌리치고	Shaking off, breaking free
왓더니	왔더니	Came back, and then (older connective)
우스시며	웃으시며	Smiling/laughing (honorific, older spelling)
엇지하야	어찌하여	Why, how (older spelling)
세곳	세 곳	Three places
잘못 읽엇느냐	잘못 읽었느냐	Did you misread? (older interrogative)
발명한다	변명한다	To explain, defend oneself (here closer to 'assert' or 'deny')
우스며	웃으며	Smiling/laughing (older spelling)
일부러	일부러	Deliberately, on purpose
물어뜨더	물어뜯어	Biting and tearing (older form?)
알려주고	알려주고	Letting know, informing
깨달앗다	깨달았다	Realized (older past tense)
도술	도술	Spiritual arts, magic, Taoist magic
놉흔	높은	High (older spelling)
유현	유현	Great Confucian scholar
인종대왕	인종대왕	King Injong the Great
치국하기로	치국하기로	For governing the nation
특별히	특별히	Specially, particularly
하시고저	하시고자	Wishing to do (honorific)
삼정승	삼정승	The three chief state councilors
우의정	우의정	Right State Councilor (one of the top posts)
작정하섯스나	작정하셨으나	Decided, but (honorific, older connective)
불행히	불행히	Unfortunately
임군	임금	King (older spelling)
승하하시고	승하하시고	Passed away (royal honorific)
별로	별로	Particularly, especially (often used with negative)
지위	지위	Position, rank, status
엇지 못하야	얻지 못하여	Failing to obtain (older spelling)
호화	호화	Splendor, magnificence (here implies great deeds/influence)
백성	백성	The common people
가섯스니	가셨으니	Passed away, so (honorific, older connective)


---------------------------


잡지명	삼천리 제7권 제1호
발행일	1935년 01월 01일
기사제목	野談 徐花潭
필자	愼麟範
기사형태	문예기타

野談 徐花潭
						愼麟範
리조 중엽에 개성삼절(開城三絶)이라면 누구나 거의 다 아는 일이다. 도학으로 서화담(徐花潭) 기상으로 황진(黃眞) 경치로 박연(朴淵) 이것이 이른 바 삼절이다. 박연의 경치와 황진의 명기에다 서화담의 도덕을 비하면 훨신 더 놉흘 뿐이 아니엿다. 그가 박학다문하야 성경현전에 능통함은 물론이고 기외의 천문지리 의약복서까지 능통치 안흘이 없섯다. 화담이란 곳에다 정자로 짓고 날마다 제자들과 강학을 하든 중에 홀연히 늙은 중 하나이 계하로 와서 합장배례를 한다. 화담은
「네가 무슨 일로 여긔로 왓느냐」
물엇드니 그 중은
「빈도가 마츰 가는 곳이 잇서 길이 선생님 댁 문압흐로 지나게 됨으로 잠간 와서 보입고 갑니다」
하고 대답을 할 뿐이다. 이 중의 대답을 드른 화담은 다시
「내가 그 죄가 없이 죽는 것을 퍽 불상히 아노니 좀 그대로 둘 수 없느냐」＜114＞
하고 청빗스일른다. 그 중은
「할 수 없읍니다. 그것도 천승이니 어찌합니까」
하고 돌아서 가는데 그 키는 크기가 구적 이상이요 그 얼골은 대단 흉녕하야 치어다 보기가 실흔 만큼 되엿다.

이 중을 보내고 화담선생은 입맛을 쩍쩍 다시며 한탄을 마지 아니하니 모시고 잇든 제자들은 서로 치어다 보며 당황하야 무슨 까닭을 모르고 잇슬 뿐이엿다. 제자들은 얼마 후에
「선생은 어째 그러케 걱정을 하십니까」
하고 물엇드니 화담은
「앗가 나를 와보고 가든 중은 어떤 산직힘으로 잇든 신령한 호랑인데 오늘 저녁에 어느 동리 누구의 집에서 딸을 혼인 지내노라고 사위로 마지하야 경사로 지날 터인데 그 처녀가 그 호랑이의 해함을 바들지라 어찌 가엽지 안흐냐」
대답하시며 탄식을 하신다. 이 말을 드른 제자들은
「선생이 그러 할 줄을 아시면 건저 주실 계책을 생각하지 안흐십니까」
하고 졸은다. 화담은 무슨 생각을 한참하고 잇더니 다시 제자들을 향하야
내가 족음 시험하고저 하나 보낼 사람이 없어 걱정이다 하신다. 이 말슴을 드른 제자 중에서 한 사람이 가기로 자청하야 나선다. 화담은 무한히 깃거하며 한 책을 주고
「이것은 련화경(蓮花經) 중에 잇는 경문이라. 이것을 외우면 화액을 면할 수 잇나니 네가 그 집에 가서 비밀을 누설하지 말고 다만 향탁을 대청 우에 배설하고 그 처녀로 방중에 꼭 가두엇다가 건장한 비복 오륙인으로 그 처녀로 나오지 못하게 꼭 붓잡고 너는 대청우에서 이 경문을 읽어 글자와 글구로 차착이 없이 읽어서 닭이 울 때만 지나면 아모 탈이 없스리라」 하고 일러준다. 그 제자는 이 말을 듯고 그 경문을 바다가지고 그 집을 차저가니 과연 호화롭게 사는 부호의 집이라. 방장 혼인 준비로 하노라고 여간 분주를 뜨는 판이 아니다. 들어가 주인을 보고
「귀한 댁 혼인에 자미없는 말슴이 올시다 마는 오늘에 딴님의 신변에 위험이 잇겟기로 그것을 방비하기 위하야 일부러 차저 온 것이오니 대청 안에 향탁을 베풀고 내가 안지서 경문을 읽어 오늘 밤을 지내고야 곤 화로 면할 것이 올시다.」
일러 주엇다. 이 말을 드른 주인은 그러케 말하는 화담의 제자로 미친사람으로 돌리어 내쪼치려 한다. 화담의 제자는 지재지삼 하도 정성스럽케 청하얏드니 그제야 그 주인도 그 정성스럽게 일르고 청하는데 감동이 되여 설령 그런 일이 잇지 안흘지라도 별 해는 없으리라 하야 해가 막 떨어지며 대청에다 등불을 이구석 저구석에 달고 자긔＜115＞ 딸은 방속에 가두고 여러 비복으로 꼼작 못하게 직히엿다. 화담의 제자는 대청에 안저서 일심정력을 드리며 그 경문을 읽어 삼경이 막 이르자 회호리 바람이 막 일더니 벼락치는 소리가 나며 온 집안이 쓸어지는 것 갓더니 난데없는 백색대호가 마당 가운데로 떨어지며 눈은 번개갓고 떨은 송곳갓다. 이 광경을 본 온 집안사람은 모다 혼비백산이 되여 꼼작을 못하고 그 혼인 지낸 처녀는 똥을 누러가겟다고 야단을 치며 방밧그로 나오려고 하는 것을 여러 비복이 꼼작 못하게 붓잡고 화담의 제자는 정신을 차리고 경문을 읽엇더니 호랑이는 마당에서 땅을 훕이고 소리를 지르다가 와락 대청상 기둥으로 달려들어 기둥을 무러 뜻기를 세 번 하자 닭의 소리가 들리니 고만 그 호랑은 흔적이 없시 가고 그 처녀는 깜울처 정신을 일헛다.

그제야 그 집주인으로부터 상하로소를 구별할 것 없이 모다 화담 제자의 공덕을 칭송하고 주인은 천금으로 자긔 딸을 살려준 은혜를 갑흐려 한다. 화담의 제자는 그제야 자긔의 선생의 시김을 말하고 인하야
「내가 무고히 인생의 죽엄을 불상히 알아 와서 살릴 뿐이지 그외에 무슨 다른 바람이 잇슬리야 잇겟소」
하고 거절하얏더니 주인은 구지 붓 들고 모든 뢰물을 다 주고저 하야 종시 노치를 안는다. 화담의 제자는 다시 말대구를 하지 안코 바로 뿌리치고 돌아 왓더니 화담은 우스시며
「네가 엇지하야 경문을 읽는데 세곳을 잘못 읽엇느냐」 하고 무른 즉 화담의 제자는
「잘못 읽은 일이 없다고」
발명한다. 화담은 다시 우스며
「앗가 그 중이 가는 길에 내게 들려서 네가 경문 세 곳을 잘못 읽음으로 일부러 기둥 세곳을 물어뜨더 알려주고 왓다고 하더라」
하니 그제야 화담의 제자는 다시 생각을 하야 본즉 과연 세 곳의 잘못 읽은 것을 깨달앗다. 화담은 이와 가튼 도술이 놉흔 큰 유현이엇다. 그럼으로 인종대왕이 치국하기로 특별히 하시고저 하야 삼정승을 고르는데 이 화담선생으로 우의정을 삼으려고 작정하섯스나 불행히 인종도 임군되신지 일년을 넘지 못하야 승하하시고 화담도 별로 지위를 엇지 못하야 큰 호화로 백성에게 보이지 못하고 돌아 가섯스니 이 얼마나 불행한 일이냐.＜116＞
＜114-116＞
