**Header Section:**
Magazine Title: 동광 제32호
Publication Date: 1932년 04월 01일
Article Title: 針大棒小 (Needle Big, Stick Small - Making a mountain out of a molehill)
Author: Not Specified
Article Type: 잡저 (Miscellaneous Jottings)

**Body Text Translation:**
O Tongjin (吳東振), who clamored in court that he was the third son of God, received a sentence of life imprisonment. In this enlightened world, how could even the third son of God evade the net of the law?

Private schools are said to be decreasing year by year due to economic difficulties. Don't think it's because they lack money; pubs and cafes are increasing year by year.

A new term, "aimless migrants to Manchuria" (漫然渡滿者), has emerged. What is meant by aimless? Ultimately, it refers to people going without money. Is Manchuria any different? The problem of those with money and those without remains the same.

The first item on the agenda at the Disarmament Conference was a grand oratory contest, and similarly, the League of Nations General Assembly for the Shanghai Incident also began with a grand oratory contest. Eloquence is silver, bullets are gold.

The Manchuria-Korea air route is said to pass through Hamgyŏng Province. Let's hope the Paektu Mountain tigers aren't startled by the propeller noise.

Applications to girls' higher common schools have decreased. Conversely, the number of working girls in Kyŏngsŏng city is increasing. Both should be increasing, but it's no fun that only one is.

The average school fee per household is increasing from 90 chŏn to 1 wŏn starting from April. The people's livelihood sees no increase, yet burdens constantly grow; this is a worry.

Public physical training groups have sprung up in the forests of Kyŏngsŏng. All three thousand ri (Korea) has forests and fields everywhere. Let every nook and cranny form a choir of muscles.

The retreating Chinese troops blaming each other – what is this? Did they forget that blaming colleagues even in defeat is the spirit of sports?

Measles is rampant. The reason people don't do the prevention, which could avoid it, is because they don't know. Wouldn't adding measles to the list of quarantine diseases <12> be appropriate for the level of the Chosŏn people?

While financial tycoons are attacked by right-wing extremists, communist elements are arrested among low-level employees of the Bank of Japan. This truly reflects a swirling state of society.

Peace negotiations aboard HMS Kent ended without result after two meetings. Warships and peace – the very names conflict from the start.

Graduation ceremonies at each school. The graduates' stomachs must be full from congratulatory addresses, exhortations, farewell speeches, and admonitions. But unless they are Taoist immortals (神仙), can they survive by eating only congratulatory addresses?

In the United States, gold is said to be the main culprit for the depression, and there's a major effort underway to drag out the hidden gold. Ultimately, when the gold is arrested, might it not turn out that the real culprit is something else?

Starving people unable to eat number 63,000 in North Hamgyŏng Province alone. Yet, people worry that the rice piled up in grain warehouses will spoil.

Mr. Stimson declared, "I'm closing down the business of writing ultimatums from now on." A late realization, indeed.

American university professors reportedly petitioned for an economic blockade. The difference between an economic blockade and war can only be found on a desk; it can't be seen in reality. Not knowing this is what they call armchair theory (机上空論).

A musician sues another musician for copyright infringement. If this is evidence that Chosŏn music has developed, then on the one hand, it's something to congratulate.

There are 2.3 million children not enrolled in school throughout Chosŏn. Ten years from now, there will be 2.3 million societal dropouts. Lamentable, deplorable.

Why did Manchukuo have to be founded on March 1st? There might be a line about it in the Chŏnggamnok (鄭鑑錄).

It's said that up to 60% of 500 female prisoners are charged with murder. If Chosŏn women are not brutal, it's evidence that Chosŏn's morality is brutal. <13>
<12-13>

**Summary**

This collection of short, critical observations from April 1932 paints a picture of colonial Korea grappling with economic hardship (school closures vs. cafe growth, rising fees, famine), social issues (low school enrollment, increase in working girls, measles outbreak, crime among women), and political commentary (O Tongjin's sentence, critique of international diplomacy like the League of Nations and disarmament talks, the founding of Manchukuo, US policy). The writer employs a cynical tone, highlighting contradictions and societal problems under Japanese rule and commenting on global events from a detached, sometimes sarcastic perspective. For historians, the article offers valuable glimpses into the socio-economic anxieties, public health concerns, and critical viewpoints circulating in Korea during the early 1930s. The comments on education disparity, migration to Manchuria, the perceived hypocrisy of international bodies, and the social commentary on crime and morality provide insights into the lived realities and intellectual currents of the colonial period.

**Named Entities**
吳東振	오동진	O Tongjin
滿腹	만복	Full stomach
神仙	신선	Taoist immortal / Transcendent being
不景氣	불경기	Economic depression / Recession
元兇	원흉	Main culprit / Ringleader
업드린	엎드린	Prostrated / Hidden / Lying face down (Older spelling of 엎드린)
判明	판명	Being revealed / Ascertained
飢饉民	기근민	Famine victims / Starving people
米穀倉庫	미곡 창고	Rice granary
變質	변질	Spoilage / Deterioration
通諜	통첩	Ultimatum / Official notice
廢業	폐업	Closing down business / Quitting
聲言	성언	Declaration / Proclamation
晩覺也	만각이라	It is a late realization (Older particle form 야)
經濟封鎖	경제 봉쇄	Economic blockade
請願	청원	Petition
机上空論	기상공론	Armchair theory / Impractical theory (lit. 'desk empty talk')
著作權侵害	저작권 침해	Copyright infringement
告訴	고소	Lawsuit / Accusation
證據	증거	Evidence / Proof
慶賀	경하	Congratulation
未就學兒童	미취학 아동	Children not yet enrolled in school
落伍者	낙오자	Straggler / Dropout
可嘆	가탄	Lamentable / Deplorable
可恨	가한	Resentful / Deplorable
何必	하필	Why necessarily / Of all things
建國耶	건국인가	Is it the founding of the nation? (Older particle form 야)
女囚	여수	Female prisoner
殺人罪	살인죄	Murder charge / Crime of murder
殺伐	살벌	Brutal / Violent / Savage
道德	도덕	Morality / Ethics


---------------------------


잡지명	동광 제32호
발행일	1932년 04월 01일
기사제목	針大棒小
기사형태	잡저

針大棒小
하느님의 셋재아들이라고 法廷에서 떠들든 吳東振 은 無期懲役의 言渡를 받앗다. 이 밝은 世上에서 셋재아들인들 法網을 피할 수 잇나.

私立學校는 經濟難으로 年年이 감소된다고. 돈이 없어서 주는 줄 알지 말아, 술집과 카페는 年年이 늘어만 간다.

「漫然渡滿者」라는 새 文字가 생겨낫다. 무엇을 가르켜 漫然이라 하는가. 결국은 돈 안가지고 가는 사람을 가르킨 것이다. 滿洲도 별 수 잇나, 돈 가진 사람과 돈 안가진 사람의 문제는 그대로 잇다.

軍縮會議의 第1順序가 雄辯大會더니 上海事件을 위한 聯盟總會도 우선 雄辯大會. 雄辯은 銀也요 彈丸은 金也라.

滿鮮航空路가 咸鏡道로 지나간다고. 白頭山호랑이 푸로펠라 소리에 幸여나 놀랄라.

女子高普 志願이 줄엇다. 그 반대로 京城市內에 職業少女의 수효는 늘어간다. 두가지 다 늘어얄텐데 한가지만 느는 것이 재미없다.

學校費戶別割의 平均額이 每戶 90錢에서 1圓으로 4月부터 증가. 民生은 느는 것이 없는데 負擔만 작고 느니 이것이 걱정.

民衆体育班, 京城의 숲 속에서 발생. 삼천리가 숲 아니요 들 아닌데 없다. 坊坊谷谷이 筋肉의 合唱隊를 지어라.

退却한 中國軍, 서로 怨妄이 무슨 일인가. 敗해도 同僚를 원망하는 것이 스포츠의 精神인 것을 잊엇든가.

紅疫이 大流行. 豫防하면 피할 수 잇는 것을 안는 것은 모르는 까닭. 紅疫도 隔離病目에 넣는＜12＞ 것이 朝鮮民度에 合한 일이 아닐까.

右翼過激分子의 손으로 財界巨頭가 被擊하는데 日本銀行 下級行員 중에서는 共産分子가 被檢. 이야말로 소용도리치는 社會相.

켄트號上의 和平交涉이 會見 2次로 遂無結果. 軍艦과 和平이란 원래 이름부터가 相克.

각學校卒業式. 祝辭, 勸說, 告辭, 訓諭로 卒業生의 배가 滿腹이렷다. 그러나 그들이 神仙이 아닌 이상 祝辭만 받아 먹고야 살 수가 잇나.

米國서는 不景氣의 元兇이 金이라 하야 숨어 업드린 金을 잡아내기에 大活動중이라 한다. 결국 金을 逮捕해 보면 主犯이 또 다른 것인 것이 判明되지나 않을는가.

밥 못먹는 飢饉民이 咸北一道만도 63,000. 그런데 米穀倉庫에는 싸인 쌀이 變質되겟다고 걱정들.

스팀슨君은 「通諜쓰는 일은 今後廢業」이라고 聲言. 晩覺也라.

米國의 大學敎授들이 經濟封鎖請願을 햇다 한다. 經濟封鎖와 전쟁의 차이는 机上에서나 발견할 것이지 實際에는 볼 수 없다는, 이것을 모르는 것이니 曰 机上空論.

著作權侵害라고 音樂家가 音樂家를 告訴. 이것이 朝鮮音樂이 발달된 證據라면 한편으로는 慶賀할 일.

全朝鮮에 未就學兒童이 230萬. 이재부터 10年後에 사회의 落伍者가 230萬. 可嘆, 可恨.

滿洲國이 何必 3月 1日에 建國耶. 鄭鑑錄에 한 줄거리 잇을 듯.

女囚 500명의 6割까지가 殺人罪라 한다. 朝鮮의 女性이 殺伐하지 않다면 朝鮮의 道德이 殺伐한 證據다.＜13＞
＜12-13＞
