Magazine Title: 三千里 제4권 제2호
Publication Date: 1932년 02월 01일
Article Title: 三千里社主催 誌上 靑年學徒雄辯大會 (Samch'ŏlli Company Sponsored Youth Student Oratorical Contest Held on Paper)
Article Type: 설문 (Survey/Debate)

Samch'ŏlli Company Sponsored Youth Student Oratorical Contest Held on Paper
Topic: Does Chosŏn Seek a Strategist (策士) or a Rich Man (富者)?
Judges: An Chaehong
Yi Kwangsu
Company Side: Kim Tonghwan
Selection Announcement
Awaiting a Strategist to Guide the Masses Well - Son Yŏngjo, Hiroshima Middle School
Chosŏn Calls for a Rich Man - Song Kŏlsu, Tongsung Commercial School
Strategist from the Workplace (abbreviated - original text) - Ch'oe Yŏnghae, Yangjŏng High School

Awaiting a Strategist to Guide the Masses Well
Son Yŏngjo, Asahiyama Middle School, Hiroshima City

Everyone, we are the youth of Chosŏn. We are young people born as individuals of Chosŏn. The small entity of Chosŏn is the crystallization formed by the collection of our strength and power.
Therefore, we are constituent elements of an important part of the entity called Chosŏn. If, regardless of the society, the young people are the backbone, foundation, and strength for the survival and prosperity of that society, then we bear the great responsibility and heavy duty as the central figures of our Chosŏn society.
Thus, just as the youth of any country, any nation's society, regardless of the world, fight with all their might for the continuity and prosperity of their own country and nation, we too must bravely advance with all the strength and courage we possess for our Chosŏn society. Then, if we make a firm resolution to work for our society, where should we start, and what path should we walk? This world is truly complex and multifaceted. Opinions are many, and ideas are diverse. If we fail to keep our wits about us and hesitate, we will be meaninglessly swept away without any existence or value amidst all this complexity. First, we must realize who we are. We must survey our surrounding environment, the position we currently walk in, and the various phenomena, and calmly contemplate our path to survival. <86> In a word, it means realizing that we are the youth of Chosŏn and that we must work for the masses of Chosŏn.

Everyone, then what is the condition of our Chosŏn society? Is it thriving, or is it declining? It declines daily, treading the path of ruin. Among these, the decline of the agricultural villages, which occupy the greatest majority both in quantity and quality in agriculture-centric Chosŏn, is so severe it cannot be fully expressed in words. Large landowners become owner-farmers, owner-farmers become tenant farmers, and again, tenant farmers cannot even secure food to eat, inevitably shedding sorrowful and resentful tears of blood, bidding farewell to their beloved homeland, and seeking a path of life. Don't they cross the Apnokkang River towards desolate North Manchuria and cross the Hyŏnhaet'an Strait, hoping to extend their thread-like lives by obtaining even a spoonful of rice? And what do the newspapers report to us daily? Is that Manchuria truly a place of settlement for our White-Clad Compatriots (白衣同胞), and did crossing the Hyŏnhaet'an truly bring us happiness and joy? No. Ultimately, it turned back and crushed us who were struggling and crossing over. When one looks around the cities, anyone can intuitively grasp the societal conditions changing moment by moment, and aren't the crowds of the unemployed, wandering aimlessly without work even when they want to work and earn a living, increasing daily? All of the above are clear facts that everyone sees plainly before their eyes. What do these signify?
If things continue like this, in the not-so-distant future, our youthful boiling spirit and vibrant courage will likely vanish without ever having been fully displayed. If there is resentment in this world, could it be greater than this, and if there is heartache, could it be greater than this? Then, is there no way to overcome this pitiful and frustratingly critical difficulty? If there is, what might it be? Of course, being poor as we are now, unable even to fill our bellies that hunger for three meals in nine days, we naturally seek a rich man, but an intelligent strategist (策士) with leadership, who can guide the masses composing the entity of Chosŏn onto the right path and open up a way for us, the youth, is absolutely necessary. Do we currently possess anything that we can present to others as noteworthy? For our society, which possesses many spirited and vibrant youths, could there be a greater shame than this? What is the reason for this? I say it is due to the lack of excellent strategists to lead Chosŏn. Everyone, look back at our past history. While others invaded wielding X [likely a weapon, unspecified], we, far from confronting them, were still wandering in dreamland, and even worried about waking from that dream. While others were solving equations, we couldn't even write numbers. (Remainder omitted - original text)

Chosŏn Calls for a Rich Man
Song Kŏlsu, Tongsung Commercial School

Briefly, what I want to tell you all is that although the title demands Wealth (富), ultimately, if you think about it, Chosŏn people do not solely demand Wealth, nor do they solely demand a Strategist (策士). Why is that? Because if Chosŏn people were to escape the current reality solely through their own strength, even if a strategist like Zhuge Liang (諸葛亮) or a hero like Napoleon (나폴레옹) were born among Chosŏn people, without wealth, it would be like a building with only an exterior and no interior content. And if there were only wealth and no strategist, it would be just like a foolish Kimsaeng who has only gotten fat. Therefore, from our perspective, we cannot help but see that neither wealth alone is necessary, nor do we demand only a strategist with the capacity to move the nation and society. So, ultimately, it is true that we require both Wealth and a Strategist.
However, since the question is confined to only one of Wealth or Strategist, we inevitably have no choice but to select one of them. Thus, I came to choose Wealth. It is definitely not because I attend a Commercial School <87>.
Then, where lies the reason Chosŏn people demand Wealth? It is something we feel keenly every day. The people of Chosŏn speak of it, the brethren who turn away wiping tears after studying in the same classroom due to school expenses speak of it, and the pitiful beggars or laborers crying out on the streets even in this cold winter—they speak of it all too clearly. Not only that, but the labor-capital struggles (勞資鬪爭) flaring up in various countries today speak of it, and the imperialist nations invading enemy countries to expand territory speak of it. The modern proletarian movement (무산계급운동) will ultimately amount to nothing more than a movement for the proletariat (푸로레타리아) to possess wealth as well.
Since the scope here is limited to Chosŏn people, reflecting on Chosŏn's past, comparing it to the present reality, and projecting into the future, it's not that Chosŏn lacked heroes and strategists in the past, but Chosŏn has never possessed wealth. The strategists born in this small land of three thousand ri only knew this land as a peerless (無雙한) ideal stage and merely performed tragicomedies (비활극) commanding the sheep-like populace of this land; thus, one can see that strategists were greatly lacking. On top of that, Chosŏn's wealth was also unspeakably meager.
Then, this Chosŏn, which has grown for thousands of years without anything to proudly boast of to others and without becoming as excellent as others, has reached the present day... (Remainder omitted - original text)

Selection Critique
A Good Topic for Investigating Reality

An Chaehong
I believe that what is needed more than anything else for the survival movement of the Chosŏn people is to gather the greatest capacity of the greatest majority and propel it ceaselessly towards a fixed goal. To achieve this, leaders with the utmost sincerity, passion, insight (견식), and courage (담력) are required. In this demand for human resources, a figure like a Strategist (策士) will be necessary, and concurrently, there must be great rich men who provide funds without lack. This is likely an important objective that Chosŏn is seeking currently.
That this topic was raised as a target for the on-paper discussion of young students, allowing their contemplation (思究) and sentiment (정서) to eventually bring about considerable steps of progress towards a scientific awareness of the times, will be the breadth and depth of this issue. It is quite interesting that the students debated this issue back and forth, as it is an appropriate matter.

Strategist and Leader
Yi Kwangsu
I wonder if the term Strategist (策士) is not inappropriate. Because the term Strategist is interpreted as meaning a person full of schemes, perhaps this should also be rejected. Why was it not called Leader (指導者)?
Those who discussed this issue seem to have used the term Strategist in the sense of Leader.
It is regrettable that those who discussed leaders seem to lack awareness regarding unity, that is, the recognition that there is no leader apart from unity. I think it is necessary to recognize that a leader is precisely the representative of some unity.
The demand for rich men may be said to be a peculiar phenomenon of Chosŏn. This is because without adding rich men to leaders, it is impossible to carry out projects. However, I think the social value of a rich man depends on whether he chooses a leader well or poorly.
Not only does a rich man himself have no social value, but a rich man who does not undertake projects under the guidance of a proper leader cannot but be called a pirate of society. Since it is a time when myriad projects must be initiated, if a rich man forgets this heavenly duty, there will be nothing left for him but condemnation (정죄).
I acknowledge that the words of the four pre-selected individuals all came from this aspect, but there is undeniably a sense of insufficient awareness in this regard. However, all four have their own distinct characteristics, and I do not wish to discard any of them.

Second Round Topic: Outlook 10 Years Hence. Judges: Kim Pyŏngno
Pak Hŭido
Please send speech manuscripts by March 8th. <88>
<86-88>

**Summary**

This 1932 article from *Samch'ŏlli* magazine presents a debate among Korean students on whether Chosŏn (Korea) primarily needs "Strategists" (策士, interpreted as wise leaders/intellectuals) or "Rich Men" (富者, representing capital and economic power) for its future progress. Son Yŏngjo argues for strategists to guide the suffering masses, pointing to widespread rural decline and emigration. Song Kŏlsu argues for the necessity of wealth, stating that even great leaders are ineffective without capital, citing historical poverty and contemporary socio-economic struggles. Judges An Chaehong and Yi Kwangsu comment on the topic's relevance. An praises the focus on practical needs, while Yi critiques the term "Strategist," preferring "Leader," and emphasizes that leaders must represent unity and that wealth's value depends on its use under proper guidance for societal benefit.

The article is historically significant as it reflects the anxieties and aspirations of Korean youth under Japanese colonial rule. It highlights the dire socio-economic conditions (poverty, emigration, unemployment) and the search for solutions. The debate between needing intellectual/political leadership versus economic power encapsulates a core dilemma for national development under constraint. Yi Kwangsu's emphasis on "unity" and the social responsibility of wealth points towards emerging nationalist and potentially socialist-influenced ideas about collective action and the role of capital in national movements. Historians might find the students' perspectives and the judges' nuanced critiques valuable for understanding colonial-era intellectual currents, youth engagement in national discourse, and the perceived paths toward overcoming subjugation and poverty.

**Named Entities**

三千里社	삼천리사	Samch'ŏlli Sa
여러분, 그러면 우리 조선사회의 형편은 엇떠슴니까. 흥하야 감니까, 패하여 감니까. 날마다 퇴패해가고 파멸의 길을 답습하고 잇슴니다. 기중에도 농업 위주인 조선에 잇서서 양으로나 질로나 최대다수를 점령해 잇는 농촌의 쇠퇴는 입으로 다 말할 수 업슬만치 심합니다. 대지주는 자작농이 되고 자작농은 소작농이 되고 또다시 소작농은 먹을 양식도 구하지 못하여 할 수 업시 설음과 한 만은 피눈물을 뿌리며 정든 故土를 이별하고 생의 길을 차저서 한술의 밥이나마 구하야 실낫 갓흔 생명이나 연장해보려고 저 쓸쓸한 北滿州를 향하여 압록강을 건느며 현해탄을 건너가지 안슴니까. 그리고 신문은 날마다 우리에게 무엇을 보도하고 잇슴니까? 저 滿洲가 과연 우리 白衣同胞의 안주지며, 현해탄을 건늠이 과연 우리에게 행복과 깃뿜을 주엇슴니까? 안임니다. 결국 허덕이며 넘어가는 우리들을 돌이혀 눌녀버리고 말엇슴니다. 도시를 한번 돌아볼 때 시시각각으로 밧귀여가는 사회상을 누구나 직관적으로 알 것이며 압만 일을 해 버러먹을내도 한일 업서 도중에 방황하는 실업자의 무리가 날마다 증가해 가지 안슴니까? 이상의 모든 것은 누구나 다 목전에 환하게 보는 명백한 사실임니다. 이것들은 무엇을 의미하고 잇슴니까?
만일 이대로만 나가면 멀지 안은 장래에 우리 청년의 끌는 의기와 潑剌한 용기도 한번 마음것 발휘해 보지 못하고 말 것임니다. 이 세상에 통분한 일이 잇다한들 이에서 더 하며 가슴 압은 일이 잇다한들 이에서 더 하겟슴니까. 그러면 이 한심하고 안타까운 중대한 난사를 타개할 방책은 업겟슴니까. 만일 잇다면 무엇이겟슴니까. 물론 현하에 빈약하고 三旬九食의 주린 창자도 못채우는 우리로서 부자도 자연 찻게 되겟지만은 조선이라는 덩어리는 작성하고 잇는 대중을 올은 길노 지도하고 청년이인 우리들이 활로를 여러줄 만한 지략, 조종의 策士가 절대로 필요하겟슴니다. 현하 우리로써 남한테 이러타 하고 내노을 만한 그 무엇 하나 소유하엿슴니까. 의기 潑剌한 청년을 만히가진 우리사회로서 이에서 더한 수치가 또 어듸 잇겟슴니까? 이것이 무엇 때문임니까? 나는 조선을 지도할 훌융한 책사들이 부족한 관계라고 합니다. 여러분 지내온 우리의 과거의 역사를 돌이켜 보십시요. 남들은 X을 들고 처들어오는데 우리는 其 대적은 커녕 아즉 꿈나라에서 헤매엿스며 그 꿈이 깨칠 것까지도 우려한 처지에 잇슴니다. 남들은 방정식을 푸는대 우리는 수자도 못 썻슴니다.(하략-원문)

朝鮮은 富者를 부른다
東星商業 宋杰洙

잠간 여러분에게 말슴 드릴 것은 제목만은 富를 요구한다 하엿스나 결국 생각하면 조선인은 오로지 富만을 요구치 안코 策士만을 요구하지도 안씀니다. 웨 그러는고 하니, 만일 조선인 자체의 힘으로만 현실사회에서 탈출할녀면 조선인의게 諸葛亮갓흔 策士나 「나폴레옹」갓튼 영웅이 난다 할지라도 富가 업스면 그것은 외형만 잇고 내용이 업는 건물이나 가튼 것이요, 富만 잇고 策士가 업슬진대 그것은 흡사히 미련한 김생이 살 만히 찐 것 갓튼 것입니다. 그러니 우리 처지로 보아서 富만이 필요한 것도 안이요, 민족과 사회를 움지길 만한 역량 잇는 策士만을 요구치 안는다고 볼 수 밧게 업슴니다. 그러면 결국 우리는 富와 策士를 모다 요하고 잇는 것이 사실임니다.
그러나 문제가 「富」나 「策士」의 한가지만으로 국한되여 잇스니 불가불 그중에 하나를 선택할 밧게 업슴니다. 그래서 富를 택하게 된 것임니다. 결코 내가 商業學校＜87＞ 다닌다고 그런 것이 아니겟슴니다.
그러면 조선인이 富를 요구하는 이유가 奈邊에 잇는가? 그것은 너머도 우리가 일상에 늣겨 마지안는 바 임니다. 이중 조선사람이 그것을 말하며 한 교실에서 공부하다가 학자금으로 인하야 눈물을 씻고 돌아서는 형제가 그것을 말하며 이 치운 겨울에도 가로에서 울부짓는 불상한 거지떼나 노동자, 그들이 너머도 여실히 그것을 말하고 잇슴니다. 비단 그것만이 안이라 現今 각국에서 불 붓는 勞資투쟁이 그럿코, 적국을 침략하야 영토를 확장하는 제국주의 국가가 그것을 말하고 잇슴니다. 현대의 무산계급운동도 결국은 『푸로레타리아』도 富를 소유해 보자는 운동에 지내지 못할 것임니다.
여기에 조선인이라 제한이 되엿스니까 조선의 과거를 회고하야 현실에 비최며 미래를 추상하건대 과거 조선엔 안인게 안이라 영웅, 책사가 업슷든 바가 안이나 그러나 조선은 富를 소유해 본 일이 업슴니다. 삼천리 이 좁은 땅에 난 조선의 策士는 다만 이 땅을 무쌍한 이상적 무대로 알고 이 땅의 羊 가튼 백성을 호령하는 비활극을 연출햇섯슬 뿐이니, 무더니 策士가 결핍하엿든 것을 알 수 잇슴니다. 그 우에 조선은 富도 또한 말할 수 업시 빈약하엿슴니다.
그러면 남의게 뻐젓이 자랑할 게 업고, 남만치 훌용이 되지 못하고 수 천년을 자라난 이 조선이 오늘날에 이르러.(하략-원문)

選評
現實討究의 好題目입니다

安在鴻
조선인의 생존운동에는 최대 다수의 최대 역량을 모아서 일정한 목표에 향하야 쉴새 업시 추진시키든 것이 무엇보담도 필요하다고 안다. 이것을 일우는 데에 가장 성과 열과 견식과 담력을 가진 지도자를 요한다. 그런데 이러한 인적 요구에서 策士라는 인물이 필요도 할 것이오, 겸하야 자금을 결핍함이 업도록 대여주는 큰 부자가 잇서야 할 것이다. 이것은 현하 조선이 찻고 잇는 중요한 一대상일 것이다.
청년학생 제군의 지상토론의 목표으로 이것을 걸어서 그 思究와 정서가 필경은 과학적 시대인식에까지 다분의 추진 계단을 가저오게 할 수 잇는 것은 이 문제의 종횡일 것이다. 학생 제군이 이 문제로서 종횡 토론한 것도 적절한 일인만치 돌이어 퍽 흥미를 끄으는 것이다.

策士와 指導者
李光洙
策士란 말이 부적당하지 아니한가 합니다. 策士란 말은 꾀 만흔 사람이란 뜻으로 해석이 되는 때문이니 이것도 배척하는 것이 아닐가 합니다. 웨 지도자라고 아니하엿습니까.
이 문제르 토론한 이들은 策士라는 말을 指導者란 의미로 한 듯 합니다.
지도자를 논한 이들이 단결에 대한 인식, 즉 단결을 떠나서 지도자가 업다는 인식이 부족한 듯 한 것이 유감입니다. 지도자도 곳 어떤 단결의 대표자라는 것을 인식할 필요가 잇다고 생각합니다.
부자를 요구하는 것은 조선의 특이한 현상이라 하겟습니다. 지도자에 부자를 加하지 아니하고는 사업을 할 수가 업기 때문입니다. 그러나 부자의 사회적 가치는 그가 지도자를 잘 택하고 못 택하는데 달렷다고 생각합니다.
부자 자신에게는 아모 사회적 가치가 업슬뿐더러 정당한 지도자의 지도를 밧아 사업을 아니하는 부자는 도로혀 사회의 해적이라고 아니할 수 업슴니다. 만 가지 사업을 이르켜야만 할 때인지라 조선에서 부자를 부른다는 것이 만일 부자가 이 천직을 잇는다면 그에게는 정죄 박게 남은 것이 업을 것입니다.
예선 밧은 네 분의 말이 다 이면에서 나온 것을 승인하나, 이러한 점에서 좀 인식이 부족한 감이 업지 아니합니다. 그러나 네 분이 다 각각 특색이 잇서 하나도 버리고 십지는 아니합니다.

제2회 演題 10년 후의 展望 審判 金炳魯
朴熙道
기한은 3월 8일까지 연설원고를 보내시오.＜88＞
＜86-88＞
