**Header Section:**
Magazine Title: 삼천리 제4권 제2호
Publication Date: 1932년 02월 01일
Article Title: 題號와 命名者 (Title and Namer)
Author: Samch'ŏlli Magazine Contributors
Article Type: 소식 (News/Information)

**Body Text Translation:**
Title and Namer

「Tonggwang (東光)」(Monthly Magazine)
Tonggwang Editor-in-Chief, Chu Yo-han (朱耀翰)

1.  "Tonggwang" means the East is dawning.
2.  Six years ago from now, on March 1, 1926,
3.  It was named by Dr. Kim Yŏ-shik (金麗植).

「Shindonga (新東亞)」(Monthly Magazine)
Shindonga Editor-in-Chief, Chu Yo-sŏp (朱耀燮)

1.  It was decided to create it in relation to the "Tong-a Ilbo (東亞日報)"; initially, it was going to be called "Wŏlgan Tonga" (Monthly Tong-a), but later it became "Shindonga."
2.  On November 1st of last year (1931),
3.  Mr. Sŏl Ŭi-shik (薛義植) named it.

「Hyesŏng (彗星)」(Monthly Magazine)
Kaepyŏk Publishing (開闢社) Editor-in-Chief, Cha Sang-ch'an (車相讚)

1.  Hyesŏng—was first published in March of Showa 6 (1931); the meaning is as the characters suggest (Comet), and the naming was decided by the employee association (사원회).
2.  Shinyŏsŏng (新女性)—was originally called "Puin" (婦人), founded in Taisho 11 (1922), and primarily targeted old-style housewives, but as it did not go as planned, the employee association retitled it "Shinyŏsŏng."
3.  Ŏrini (어린이)—was founded on March 1, Taisho 12 (1923), and the late Mr. Pang Chŏng-hwan (方定煥) named it.
4.  Pyŏlgŏn'gon (別乾坤)—was founded on November 1, Taisho 15 (1926), and
Mr. Pak Tal-sŏng (朴達成) named it.

「Nongmin (農民)」(Monthly Magazine)
Nongmin Editor-in-Chief, Pak Wan (朴浣)

1.  "Nongmin" was first published on May 9, Showa 5 (1930).
2.  It was originally called "Chosŏn Nongmin" (朝鮮農民), but it was renamed Nongmin after severing ties with Mr. Yi Sŏng-hwan (李晟煥).
3.  The meaning is just as the characters indicate (Farmer).

「Chungang Ilbo (中央日報)」(Daily Newspaper)
Chungang Ilbo Provincial News Editor, Yu Kwang-ryŏl (柳光烈)

1.  The title Chungang Ilbo was named by the current president, Mr. No Chŏng-il (盧正一).
2.  It was written by the master calligrapher, Mr. O Se-ch'ang (吳世昌).
3.  Publication began on November 27, Showa 6 (1931), and it continues the issue numbering of the former Chungoe Ilbo (中外日報).

「Chosŏn Ilbo (朝鮮日報)」(Daily Newspaper)
Chosŏn Ilbo President, An Chae-hong (安在鴻)

1.  The Chosŏn Ilbo was published before I became involved.
2.  I do not know who named the title.
3.  Publication began the year after the March First Movement (己未 翌年 - 1920).

「Tong-a Ilbo (東亞日報)」(Daily Newspaper)
Tong-a Ilbo Acting Managing Editor, Sŏl Ŭi-shik (薛義植)

1.  The Tong-a Ilbo was published as the first private newspaper in the year after the March First Movement (己未 翌年 - 1920).
2.  It seems the title was named by Mr. Chang Tŏk-su (張德秀).
3.  As for the meaning, I leave it to everyone's imagination.

「Samch'ŏlli (三千里)」(Monthly Magazine) Samch'ŏlli Company (三千里社), Kim Tong-hwan (金東煥)

1.  Founded in July, Showa 5 (1930).
2.  I did the naming myself.
3.  You all probably know the meaning, without needing words.＜49＞

**Summary**

This article compiles statements from editors-in-chief or representatives of major Korean newspapers and magazines in 1932, explaining the origins of their publication titles (題號) and who named them (命名者). It covers magazines like Tonggwang, Shindonga, Hyesŏng, Shinyŏsŏng, Ŏrini, Pyŏlgŏn'gon, Nongmin, and Samch'ŏlli, as well as newspapers like Chungang Ilbo, Chosŏn Ilbo, and Tong-a Ilbo, providing founding dates, naming rationale, and sometimes calligraphers or related publications. For historians, this piece offers valuable insights into the cultural and media landscape of colonial Korea, revealing the individuals (like Chu Yo-han, Pang Chŏng-hwan, An Chae-hong, Sŏl Ŭi-shik, O Se-ch'ang) involved in shaping public discourse, the establishment dates of significant media outlets (often linked to the post-March First Movement cultural policy shift), and the self-perceived meanings or aspirations embedded in the titles chosen for these influential publications. The connections mentioned, such as Shindonga's link to Tong-a Ilbo or Chungang Ilbo continuing Chungoe Ilbo's lineage, also map relationships within the media industry of the time.

**Named Entities**

東光	동광	Tonggwang
4. 別乾坤―은 大正 15년 11월 1일에 창간하엿는데
朴達成 씨가 명명하엿슴니다.

「農民」(월간잡지)
農民 主幹 朴浣

1. 「農民」은 昭和 5년 5월 9일에 창간하엿는데
2. 원래는 「朝鮮農民」이라 하든 것을 李晟煥 씨와 관계를 끈으면서부터 農民이라 개칭하엿고
3. 뜻은 글자대로지요.

「中央日報」(일간신문)
中央日報 地方部長 柳光烈

1. 中央日報란 題號는 現 사장 盧正一 씨가 명명하엿는데
2. 書法 대가 吳世昌 씨가 쓰신 것으로
3. 발간은 昭和 6년 11월 27일이고 前 中外日報의 號數를 그량 이어나감니다.

「朝鮮日報」(일간신문)
朝鮮日報 사장 安在鴻

1. 朝鮮日報는 내가 관계하기 전에 발간되어
2. 題號는 누가 지엇는지 모르며
3. 발간은 己未 翌年임니다.

「東亞日報」(일간신문)
東亞日報 編輯局長代理 薛義植

1. 東亞日報는 己未 翌年에 최초의 민간신문으로 발간되엇는데
2. 題號는 張德秀 씨가 명명한 듯 하며
3. 의미는 여러분이 상상하시지요.

「三千里」(월간잡지) 三千里社 金東煥

1. 昭和 5년 7월 창간으로
2. 명명은 내가 하엿고
3. 뜻은 다 아시겟지요, 말치 언어도.＜49＞
