Magazine Title: 삼천리 (三千里)
Publication Date: 1932년 02월 01일 (February 1, 1932)
Article Title: 春草는 年年 綠인데 그이만 가고 못 오시나? (The spring grass is green every year, but has he alone gone, unable to return?)
Author: 柳光烈 (Yu Kwang-ryŏl), 朴熙道 (Pak Hŭi-do)
Article Type: 소식 (News/Account)

Spring grass is green every year, but has he alone gone, unable to return?
						Yu Kwang-ryŏl

Mr. Son Pyŏng-hŭi's Tomb
The editor of *Samch'ŏlli* has asked me to write about my emotional experience visiting a grave. Apart from the graves of my parents or ancestors, I have only visited two or three others.

It was a spring day several years ago. I went to Kŭmgok Hongnŭng, the tomb of the final monarch of the Yi Dynasty, Kojong. The place is Yangju Kŭmgok, less than an hour's drive by car.

Spring grass was still green on the royal tomb. As I leisurely climbed up before the tomb, several stone figures silently stood guard over the king's eternal rest. I bowed respectfully and recalled the life of Kojong. Since his ascension, the French Disturbance of Pyŏngin (1866), the Treaty of Kanghwa (Pyŏngja) of 1876, the Imo Incident of 1882, the Kapsin Coup of 1884, the Sino-Japanese War of Kapo (1894), the Russo-Japanese War of Kapchin (1904)—Kojong personally experienced all these tumultuous world events (風雷世情). The many troubles that arose between the great hero, the Taewŏn'gun, father of the king, and the great heroine, Queen Min (閔中殿), were also events he personally endured.

However, times changed. When he was alone in Tŏksu Palace in his later years, as the bright moonlight shone on the deserted palace and even the footsteps of the court ladies ceased, a sense of desolation must have wandered through his heart (胸中). Kojong, who had passed through so many storms, now lay peacefully and quietly in his eternal resting place in Kŭmgok.

Although the spring and autumn memorial rites (祭亨) are performed, how could the cuckoo's sorrowful cries (啼血) under the empty mountain moon not pain Kojong's spirit (英靈)?

Mountain moon white, Shu spirit cries (蜀魄啾), Thinking longingly, Leaning on the tower head, Your voiceless suffering saddens my heart, Your voicelessness, my sorrow, A message to travelers separated in the human world, Be careful visiting graves in spring when the cuckoo cries thrice.

And also,

Since the wronged bird left the imperial palace, Alone, a solitary figure amidst green mountains. Faking sleep night after night, sleep hard to fake, Endless grudges pile up, grudges never-ending. Voice breaks at dawn ridge, waning moon white, Blood congeals in spring valley, fallen flowers red. Heaven's voice has yet to hear the sorrowful plea, How is it that only the ears of the grieving are sharp? <46>

Such old poems (古詩) come to mind. Closing my eyes and thinking quietly, endless emotions (感懷) stir within me. In the dense pine forest (松林), spring birds still sing busily.

After that, I had occasion to visit the tomb of Son Ŭi-am (Son Pyŏng-hŭi) in Uidong. That was also a spring day. Going by car, it was deserted, a quiet mountain village.

First, I passed by Ponghwanggak, where the deceased used to live, and went up to the tomb. Bowing before the large burial mound (墳上), I reflected on the deceased's life. He was said to have been born as an illegitimate son (庶子) to a humble family of local functionaries (吏屬) in Ch'ŏngju. When he, as part of the Tonghak Party (東學黨), along with Chŏn Pong-jun, turned guns and swords towards the yangban class, the feudal wall (封建城壁) of Chosŏn, he was a young man in his early twenties. As circumstances were unfavorable, he went into exile (亡명) and spent several years in Osaka, Japan, in gloomy idleness; it was during this time that he associated with Kim Ok-kyun's faction, famous as the Chosŏn Reform Party (改革黨). He agitated for the Kapchin (1904) reforms, but things did not go as planned, and upon finally setting foot on his native soil (故土) after a long time, seeing the general trend (大勢), he distanced himself from the political storms (政界 風雲) for some time, spending idle days, eventually becoming the central figure in the Kimi (March 1st) Incident.

Considering his entire life, one cannot but call him a hero of his time. It is said that when, oppressed by the times (時勢), he befriended the 'leisurely clouds and night cranes' (閑雲夜鶴), he would sometimes come to the Ponghwanggak within this tomb site, open wide his great eyes (巨眼), and stare at the changing state of affairs (時局). In spring, skylarks meaninglessly sing as they fly over his grave. Far off in the distance, the sound of a stream (溪聲) can be heard. It is said that when he was endlessly anxious about the situation in Chosŏn, he would wander up and down by that stream, sighing deeply. The spring colors have not changed, nor has the sound of the stream, but where has the deceased, who used to pace (徘徊) by that stream, gone?

The deceased person already rode the phoenix and left, This place is empty, only Ponghwanggak remains. Once the phoenix leaves, it never returns, White clouds for a thousand years drift aimlessly.

That's right! Hero or great man, before the vastness of time (悠久), it's all laughable. Only the white snow drifts aimlessly (悠悠) in the vast sky (蒼空). After lingering before the grave for a while, I came down to Ponghwanggak; spring grass grew thick in the courtyard of Ponghwanggak. The doors to the rooms where the deceased lived were tightly shut, and cobwebs were swept away.

After that, I once visited Kim Sang-ok's grave, but it is not suitable to write about it here. Last summer, by chance, I visited the cemetery for Westerners at Yanghwajin on the banks of the Han River (漢江畔). Having read in English a book about a certain "William James Hall" who came to Chosŏn over 50 years ago, endured various hardships, preached the gospel (傳道), and healed the sick with medicine (醫術), providing salvation in both spiritual and physical aspects (靈肉 兩 方面), I felt renewed respect for his clean, sacrificial (犧牲的) life. Discovering his grave here felt as delightful as meeting a dear friend. His burial place (墓地) lay comfortable and peaceful. Before it, the silent Han River flows on and on.

The river water flows. Time also flows.
Is not the end of life truly but a spring dream (春夢)?<47>

Alas, Mr. Pang Chŏng-hwan's Tomb
Pak Hŭi-do

Last summer—July 25th—it was a clearly cleared day. However, the heavy air pressure (氣壓) seemed to envelop my large body, and my filled heart felt like it would burst; it was the day my most loyal and sincere friend—Sop'a Pang Chŏng-hwan—his spirit and body (靈肉) together, departed this world forever.

Mr. Pang was my sincere friend and also the irreplaceable, trustworthy friend of Chosŏn's children.

After Mr. Pang's passing (別世), the footsteps of innocent child mourners (弔喪客) never ceased at Mr. Pang's house in Sogyeok-dong; one can understand how genuinely he loved children.

Mr. Pang's coffin (棺) was moved to Hongjewŏn—the crematorium—after noon, so it was extremely hot.

Thinking that in a few minutes his body would travel a road from which it could never return, my mind went blank.

When his body was sizzling and burning away in the fire, it felt so regrettable and heartbreaking that I wanted to jump in together with him.

Was it just me? The genuine weeping of over 200 children, the tragic tears (悲愴) of his wife sending off her beloved husband forever—the heart-wrenching (애끈허지게) scene of his pitiful and poor young children crying out "Father! Father!" in anguish seemed to tear my aching heart even further.

However, whether he knew or not, Mr. Pang just burned well in the fire. He couldn't even hear the cries of the children he had loved so much in life (生存). It was the day right before his passing. When I set foot in his sickroom (病室)—he was extremely swollen, his already stout body had become larger, making it impossible even to talk. Yet, he had wept with me, sharing my grief over his impending death, but Mr. Pang, burning in the fire, just gradually turned to ash and smoke, showing no reaction (反應) at all. Mr. Pang! It is too regrettable. You young man, didn't you have so much work to do in the future (압날)? Do you mean to abandon the children of Chosŏn, who are in a more pitiful state than the children of any other country?

However, I believe that during his lifetime, he fulfilled his mission (使命).

Mr. Pang! The time when your body turned into a wisp of smoke was on a very hot summer day when sweat poured down, but now—as I write this, reminiscing (追憶) about you—my hands are getting extremely cold like this, so I guess you can tell that the times have already changed. Do you mean you just left like that!!

Then do I just mourn your spirit (靈) forever? It is too heartbreaking!!(End)<48>
<46-48>

**Summary**

This article consists of two personal accounts of visiting graves by Yu Kwang-ryŏl and Pak Hŭi-do. Yu reflects on visits to the tombs of King Kojong, Ch'ŏndogyo leader Son Pyŏng-hŭi, and Western missionary William James Hall, contemplating their lives, the passage of time, the transience of heroism, and the enduring presence of nature against the backdrop of Korean history. Pak Hŭi-do provides a deeply personal and emotional account of the cremation of his close friend, the beloved children's writer Pang Chŏng-hwan (Sop'a), mourning his untimely death and the loss felt by Korea's children. Both pieces are elegiac reflections on mortality, memory, and loss, set against specific historical and personal contexts. For historians, these accounts offer glimpses into colonial-era Korean sentiment towards historical figures like Kojong and Son Pyŏng-hŭi, the reverence for figures associated with national movements or cultural contributions like Pang Chŏng-hwan, and personal reflections on death and remembrance during a period of significant national upheaval. Pak Hŭi-do's raw grief for Pang Chŏng-hwan particularly highlights the cultural impact of the children's literature movement founder.

**Named Entities**

柳光烈	유광렬	Yu Kwang-ryŏl
군왕의 릉에 여전히 春草는 푸르럿다. 한가로히 陵前에 올나가니 몃 개의 석물들이 말업시 군왕의 만년유궁을 護直하고 잇다. 나는 공순히 절하고 高宗의 일대를 회상하엿다. 등극 이래 丙寅洋擾, 丙子修好條規, 壬午軍變, 甲申政變, 甲午年 日淸戰爭, 甲辰年 日露戰爭, 이 모든 風雷世情은 高宗이 모다 親當하신 것이다. 國太公이신 일대 호걸 大院君과 明成后이신 일대 여걸 閔中殿과의 間에 생기인 幾多의 파란도 모다 親當하신 일이다.
그러나 시세는 변하엿다. 만년 德壽宮에 외로히 게압실 때에는 밝은 월광이 無人 궁궐을 비최고 시녀의 발자최도 끈어젓을 때에 일말의 적막이 그 胸中에 배회하압섯을 것이다. 그 幾多의 풍운을 지내시든 高宗께서는 이제 한가로히 또한 평화로히 金谷 萬年幽宮에 누으섯다.
춘추의 祭亨은 올리외다마는 空山夜月에 두견의 啼血이 어찌 高宗의 영령을 압흐게 하지 안으랴.
山月白, 蜀魄啾, 想思憶, 依樓頭, 無爾聲苦我心愁, 無爾聲無我愁, 寄語人間離別客, 愼墓登春三子規啼.
또
一自寃禽出帝宮, 孤身隻影碧山中. 假眠夜夜眠難假, 窮恨等等恨不窮. 聲斷曉嶺殘月白, 血凝春谷落花紅. 天聲尙未聞哀訴, 胡乃愁人耳獨聰. ＜46＞
등의 古詩가 생각난다. 눈을 감고 고요히 생각하니 끗업는 감회가 설레인다. 울창한 송림 중에서는 여전히 봄새가 부지럽시 운다.

그 후에 牛耳洞 孫義菴의 묘소를 차진 일이 잇섯다. 그것도 역시 봄날이엇다. 자동차로 가서 버리이니 한가한 산촌이다.
먼저 고인이 기거하든 鳳凰閣 압흘 지나 묘소로 올나갓다. 큰 분상 압헤 절하고서 고인의 일생을 생각하엿다. 그는 淸州 吏屬한 寒微한 집의 서자로 태어낫다 한다. 그가 東學黨으로서 全琫準과 함께 朝鮮의 봉건성벽인 양반계급을 향하야 총부리와 칼날을 드려대일 때에 그는 20 내외의 청년이엿다. 時不利로 그는 망명하야 일본 大阪에서 몃해 동안 悶悶한 閑日月을 보냇스니 당시 朝鮮改革黨으로 유명한 金玉均 일파와 상종하기도 그때의 일이다. 그는 甲辰의 개혁을 책동하다가 여의치 못하야 오래간만에 故土를 밟게 되자 그는 대세에 넘어가는 것을 보고 얼마동안 정계 풍운을 멀니하야 閑日月을 보내다가 필경 己未事件의 장본인까지 된 것이다.
그의 전생애에 대하야 통설할 때에 그는 역시 일대의 영웅아라 아니할 수 업다. 그가 시세에 눌려 閑雲夜鶴라 벗 삼을 때에 그는 때때로 이 묘소 안에 잇는 鳳凰閣에 와서 그 巨眼을 부릅뜨고 변하야가는 시국을 노려보앗다 한다. 봄날에 종달새가 부질업시 그의 墓上오로 울며 지나간다. 멀니 저편으로 溪聲이 들린다. 그가 朝鮮시국에 대하야 한이 업시 초조한 때이면 저 시내가로 오르며 내리며 길게 한숨지엿다 한다. 봄빗도 변치 안코 溪聲도 변치 안컷만 그 시냇가에 배회하던 고인은 어대로 갓느요.
故入己乘鳳凰去, 此地空餘鳳凰閣. 鳳凰一去不復返, 白雲千載空悠悠.
그러타! 영웅이니 호걸이니 하여야 유구한 시간 압헤는 다- 우순 소리이다. 白雪만이 부지럽시 창공에 悠悠할 뿐이나 얼마동안 墓前에 배회하다가 鳳凰閣으로 내려오니 鳳凰閣 뜰에는 春草가 욱어젓다. 고인이 기거하던 방문을 첩첩이 다 치고 거미줄을 쓸엇다.

그 후 金相玉 묘소를 한번 차진 일이 잇스나 그것을 여기에 쓰기에는 不適하다. 작년 夏에 우연히 나는 漢江畔 楊花津의 서양인의 묘지를 차진 일이 잇다. 「윌리암.쩨임쓰.홀-」이라는 이가 지금부터 50여년 전에 朝鮮에 와서 가진 고초를 격그며 전도를 하고 의술노 병을 고치어 靈肉 양 방면으로 구제하엿다는 책을 영문으로 읽은 나는 그의 깨긋한 희생적 생애에 대하야 다시 존경하엿섯다. 이곳에서 그의 묘소를 발견하니 마치 정든 친구나 만난드이 반가웟다. 그의 뭇은 편안하고 평화스럽게 누엇다. 압흐로는 말업는 한강이 길이길이 흘은다.
강물도 흐른다. 세월도 흐른다.
인생의 끗 시절은 실노 일장의 춘몽이 안닌가.＜47＞

嗚呼, 方定煥 군의 墓
朴熙道
지난 여름―7월 25일―맑게 개인 날이엿섯다. 그러나 묵어운 기압은 크다-란 내 몸덩이를 휩싸고 잇는 것 갓햇스며 가득찬 내 가삼은 터지는 듯 십헛스니 그것은 나의 친구 중에 가장 충성되고 진실햇든 친구―小波·方定煥 군의 靈肉이 아울너 이 세상을 영원히 떠나가는 날이엿슴이다.
方군은 나의 진실된 친구이며 또한 朝鮮의 어린이들의 둘도 업는 밋음성스러운 친구엿섯다.
方군의 별세 후 昭格洞 方군 댁에는 천진스러운 어린이 조상객들의 발자최가 끈일 줄 몰나섯스니 군이 얼마나 어린이들을 진정으로 사랑햇다는 것을 알 것이다.
方군의 관이 弘濟院―화장터로 옴겨지기는 정오도 지낸 때라 몹시 더웟다.
몃 분 후이면 군의 몸덩이가 영영 도라오지 못할 길을 걸는다고 생각하니 정신이 아득해젓섯다.
군의 몸덩어리가 불속에서 바질바질 타버릴 때는 너무도 앗갑고 안타가워서 함께 뛰여들어가고 십헛섯다.
나뿐이랴! 200여명의 어린이들의 거즛 업는 울음소리와 사랑하는 남편을 영원히 떠내 보내는 부인의 비창한 눈몰―「아버지! 아버지!」 하고 애끈허지게 소리치는 불상하고도 가엽슨 어린 자식들의 안타가워하는 情形은 압흔 가삼을 더 한층 찌저내는 듯 십헛다.
그러나 군은 아는지 몰으는지 불속에서 잘 타기만 한다. 생존의 그럿케도 사랑하든 어린이들의 울음소리 좃차 듯지 못하엿다. 군이 별세하기 전 바로 전날이다. 군의 병실의 발을 듸려노흔 때―군은 몹시 부어서 뚱뚱하든 몸이 더 커저서 이약이조차 할 수 업게 되엿섯다. 그러면서도 군의 죽엄을 앗가워하는 내 마음과 함께 울어주엇건만 불속에서 타고 잇는 군은 점점 재가 되고 연기가 되여버릴 뿐이엿고 아모 반응도 업섯다. 군이여! 너무나 앗갑다. 나 졂은 군은 압날에 할 일이 만치 안은가. 어느 나라 어린이보담 가장 불상한 처지에 잇는 朝鮮의 어린이를 버리고 간다는 말인가?
그러나 군은 살어 잇는 동안에 군으로서의 사명은 다―햇다고 생각한다.
군이여! 군의 몸덩이가 한줄기의 연기로 변해버리든 그때는 너무 더운 여름날 땀이 철철 흐르든 때엿스나 지금―군을 추억하면서 이 글을 쓰고 잇는 내 손은 이럿케 몹시 어러드러오니 임이 때가 밧귀엿슴을 짐작하겟다. 군은 그대로 가바렷단 말인가!!
그러면 나는 영영 군의 靈만 조상한단 말인가? 너무나 안타갑다!!(끗)＜48＞
＜46-48＞
