**Header Section:**
Magazine Title: 개벽 제12호
Publication Date: 1921년 06월 01일
Article Title: 권두언 : 永遠의 生이냐? 永遠의 死이냐? (Foreword: Eternal Life? Or Eternal Death?)
Author: Not specified
Article Type: 문예기타 (Literature/Arts Miscellaneous)

**Body Text Translation:**
Foreword: Eternal Life? Or Eternal Death?

Even when news of the Spanish Flu (西班牙 感氣流行) epidemic is relayed just once, it is the common behavior of our people to compete in covering their mouths; even when the story of the soul's immortality, which has been invoked since the first day the world began, is told for a while, it is the reality of our society that followers gather before its shrine. What is the reason for all this? It is the desire to live, and the desire to live a little longer. However, the tomb gates of the public cemetery remain unquiet, and the tip of the historian’s brush (which records our eternal life) remains sharp as ever – what then is the cause of this?

Alas! While saying they want to live, want to live, the majority of our people daily defile that life; while saying they will not be extinguished for eternity, more than half of our companions dig graves for eternal death. Consider this: craving slightly softer rice, to the point of drooling over even a simple meal in a bamboo container and gourd bowl (簞食豆羹) that is kicked aside (if such a person exists) – is this not defiling life while claiming to want to live? And as for those who, calling it reputation (名聲), would rush into fire, yet possess not even a speck of thorough principle (主義), merely flashing east and west – is this not digging a grave for eternal death while claiming they will not be extinguished for eternity? Of course, eating is precious. But what about the people of old (those who live even now)? Did they not say that for performing one injustice or killing one innocent person, they could not accept even the whole world? Activity is also sacred. However, what fruit can activity without seed bear? Furthermore, if it is principle for the sake of activity, that may be one thing, but if it is activity for the sake of principle, is not principle more sacred than activity? What did Muhammad (『마호메트』), child of the wilderness (荒野), answer to his uncle's earnest plea, "Can you not alter your uncompromising principle (『니졸主義』)?" Did he not say, "Even if the sun stood to my right and the moon to my left and told me I could not do so, I absolutely cannot but do so. No, I cannot fail to do so"? We cannot know for sure, but perhaps it was this single self-confidence and self-regard that made him who he became.

Let me ask, when the fervent blood of Lord Christ (主基督) became dew upon the Cross (十字架上), and when the slender neck of Teacher Ch'oe Suun (先生 崔水雲) created a gust of wind among the mugwort stalks of Taegu (大邱), what else remained for them? If anything remained, it would have been only that one thing: a passionate principle (主義) that for the sake of all life under Heaven (天下萬生), it was fine to live, and perfectly acceptable to die. Ah, that principle! Because of that one thing, their self-confidence lives eternally, and all life under Heaven lives eternally together with them.

Indeed. All people, great or small, each have their own definite principle (主義), and it is only when, through the power derived from devotion to that principle, one transcends not only suffering but even death, that one comes to savor the sanctity of life. In other words, one obtains eternal life. Those who busily scheme and fuss below the pass of death – they are truly the ones who will die eternally. Brothers! I cannot but speak, so I speak: Is it eternal life? Or eternal death? I earnestly request that you make a choice between these two. <1>

**Summary**

This editorial exhorts readers to choose a life guided by unwavering principle over a life focused on mere survival or fleeting comforts and reputation. It argues that true, eternal life is achieved not by avoiding death, but by being willing to transcend suffering and even death for a deeply held conviction (主義). The author contrasts this with the majority who, while desiring life, paradoxically defile it through base pursuits or unprincipled actions, effectively choosing "eternal death." Historical/religious figures like Muhammad, Jesus, and Ch'oe Suun are presented as exemplars of achieving eternal significance through adherence to their principles. From a historical perspective, the article is significant for its publication in *Kaebyŏk*, a nationalist-leaning magazine, during the Japanese colonial period. The emphasis on "principle" (主義) and the inclusion of Ch'oe Suun (founder of Donghak/Ch'ŏndogyo) strongly suggest a veiled call for adherence to national consciousness or resistance against colonial assimilation, framing it as the path to collective "eternal life" for the Korean people, despite the dangers.

**Named Entities**

西班牙 감기	스페인 감기	Spanish Flu
일지로다	일지로다	It is probably because...; It might be... (Archaic sentence ending)
借問	차문	Let me ask; May I inquire (Literary expression)
뜨거운 피	뜨거운 피	Hot blood; Fervent blood
合	합	Unit of volume (Here likely figurative, meaning a drop or small amount)
잇슬	이슬	Dew (Older spelling of 이슬)
崔水雲	최수운	Ch'oe Suun (Literary name of Ch'oe Cheu, founder of Donghak/Ch'ŏndogyo)
가는 그 목	가는 그 목	That slender neck
쑥끗대	쑥대	Mugwort stalk (끗 is likely archaic/typo for 대)
줄기 바람	줄기 바람	Gust of wind; Stream of wind
남은 것	남은 것	What remained; Remainder
다시	다시	Again; Else
만일	만일	If; In case
잇섯다 하면	있었다 하면	If there was (Older spelling/form of 있었다면)
오즉	오직	Only; Solely (Older spelling of 오직)
天下萬生	천하만생	All life under Heaven; All living beings
爲하야는	위하여는	For the sake of (Older spelling/form of 위하여는)
조코	좋고	Good; Fine (Older spelling of 좋고)
熱烈한	열렬한	Passionate; Ardent
因하야	인하여	Because of; Due to (Older spelling/form of 인하여)
가티	같이	Together; Like (Older spelling of 같이)
果然하다	과연하다	Indeed; Truly
크나 작으나	크나 작으나	Whether big or small
各其	각기	Each; Respective
一定한	일정한	Fixed; Definite; Certain
熱力	열력	Zeal; Ardor; Passionate energy (力 can mean power/energy)
所產	소산	Product; Outcome (Misread/typo? Original looks like 所解, meaning understanding/interpretation. Context suggests 'power derived from' or 'result of') - Assuming 所解 based on image likelihood.
苦痛	고통	Suffering; Pain
勿論	물론	Of course; Needless to say
超越함에서	초월함에서	In transcending; From overcoming
비로소	비로소	For the first time; Only then
거룩	거룩	Sanctity; Holiness
吟味케	음미케	To savor; To appreciate (케 makes it causative/permissive)
換言하면	환언하면	In other words; To rephrase
得하는	득하는	Obtaining; Gaining
苟苟營營	구구영영	Busily engaged in trivial matters; Scheming for petty gains (Idiomatic expression)
고개 미테서	고개 밑에서	Below the pass/hill (미테서 is older form of 밑에서)
空多忙	공다망	Vainly busy; Futile efforts
者	자	Person; One who (Hanja suffix)
兄弟들아	형제들아	Brothers! (Addressing the readers)
一請	일청	One request; Earnest plea
젼대	전대	Before you (Pronoun, somewhat archaic/formal)
二者	이자	These two; The two options
擇함이 잇스라	택함이 있으라	Let there be choosing; Make a choice! (잇스라 is older imperative form of 있으라)
-e 

---------------------------


잡지명	개벽 제12호
발행일	1921년 06월 01일
기사제목	권두언 : 永遠의 生이냐? 永遠의 死이냐?
기사형태	문예기타

권두언 : 永遠의 生이냐? 永遠의 死이냐?
西班牙 感氣流行의 消息이 한번만 傳하야도 다토아 가며 입을 싸는 것이 우리 사람의 擧皆요 世上 생긴 첫날부터 울려먹어온 靈魂不滅의 니야기만 한참하야도 그의 堂前은 제자를 일우는 것이 우리 社會의 實狀이다. 이것이 다 무슨 까닭이냐? 살아보겟다 함이며 더 좀 만히 살아보겟다 함이다. 그러나 共同墓地의 墓門은 依然히 고요하지 못하며 歷史家의 붓끗(吾人의 永生을 記錄하는)은 如前히 날카로우니 이것은 또한 무슨 일인가.
슬프다. 살겟다 살겟다 하면서 날로 그 生을 더럽히는 것이 우리 사람의 多數요 永遠에 꺼지지 안켓다 하면서 永遠에 죽을 무덤을 파는 것이 또한 우리 동무 중 太半이로다. 試思하라. 더 좀 보들어운 밥을 먹겟다고 차서(蹴)주는 簞食豆羹에 까지 춤을 흘리는 것이(그런 이가 잇다 하면) 이 곳 살겟다 하면서 생을 더럽힘이 아니고 무엇이며 名聲이라 하면서 우에 불을안고 달려들만한 者가 徹底한 主義라고는 쥐끄리 만큼도 업고 다못 東에 번쩍 西에 번쩍 하는 것이 이 곳 永遠에 꺼지지 안켓다 하면셔 永遠에 죽을 무덤을 팜이 아니고 무엇이냐. 勿論 먹는 것은 貴한 것이다. 그러나 옛 사람(只今까지 사는 사람)은 엇더하얏는가. 한 不義를 行하고 한 不靠를 殺하야는 비록 天下를 엇는 한이라도 못한다 하지 아니하얏는가. 또한 活動은 神聖한 것이다. 그러나 『씨못든 活動이 무슨 열매를 매즈며 또 活動키 爲한 主義라면 모로가니와 主義를 위한 活動이라 하면 主義는 活動보다도 더 神聖한 것이 아닌가. 荒野의 子인 『마호메트』는 그 叔父의 『니졸主義를 달리 할 수 업겟느냐?』 하는 懇勸에 向하야 무엇이라 對答하얏는가. 『假令 日輪이 나의 右에 서고 月輪이 나의 左에 서서 나에게 그러지 못한다 할지라도 나는 決코 그러치 아늘 수 업소. 아니 그러치 아니치 못하오』라고 하지 아니하얏는가. 아지 못하거니와 이 한가지 自信이 自重이써 그가 그 된 바 일지로다.
借問, 主基督의 뜨거운 피가 十字架上에 한 合 잇슬이 되고 先生 崔水雲의 가는 그 목이 大邱 쑥끗대의 한 줄기 바람을 지을 때에 그들에게 남은 것이 다시 무엇이엇겟는가. 만일 무엇이 잇섯다 하면 오즉 天下萬生을 爲하야는 살아도 조코 죽어도 그만이라는 熱烈한 主義, 그것 하나 뿐이엇슬 것이다. 아아 그 主義! 그 하나로 因하야 自己自信이 永生하고 天下萬生이 다 가티 永生하도다.
果然하다. 우리 사람에게는 크나 적으나 다 各其 一定한 主義가 잇서 그 主義를 爲하는 熱力의 所解에서는 苦痛은 勿論, 죽음까지를 超越함에서 비로소 生의 거룩을 吟味케 되는 것이다. 換言하면 永生을 得하는 것이다. 苟苟營營하야 죽음의 고개 미테서 空多忙하는 者- 그야말로 永遠에 죽을 者이니라. 兄弟들아 아니 말할 수 업서 말하노니 永遠의 生이냐? 아니 永遠의 死이냐? 一請젼대 이 二者에 擇함이 잇스라.＜1＞
＜1＞
