잡지명	삼천리 제6호
발행일	1930년 05월 01일
기사제목	夜巡探報臺 (Night Patrol Reporting Platform)
기사형태	잡저 (Miscellany)

**Night Patrol Reporting Platform**

**Li Hung-chang's Bribery**
After Germany seized Jiaozhou Bay from China, Russia followed suit just days later, occupying Lüshun (Port Arthur) and Dalian. At that time, Empress Dowager Cixi, along with the Guangxu Emperor, had retreated to the Summer Palace (萬壽山) in Peking and sternly refused Russia's demands. Realizing that negotiations would likely be fruitless, the Russian Finance Minister Witte (later the plenipotentiary at the Portsmouth Russo-Japanese Peace Conference) decided this approach wouldn't work. He had the Russian Minister to China, Pavlov, bribe Li Hung-chang (李鴻章) with 500,000 Yen and Chang Yin-huan (張蔭桓) with 250,000 Yen. Thus, Russia succeeded in securing a 99-year lease. A certain great scholar (碩儒某씨), upon learning of this fact, sighed deeply, saying, "如此江山坐付人" (Such rivers and mountains, seated and given to others).

**Peace Conference Venue**
The venue for the peace conference of the Russo-Japanese War became Portsmouth, USA, but there were such twists and turns before it was decided.<18>
Initially, US President Roosevelt intended to set the conference venue midway between Harbin and Fengtian (Mukden). However, with the Russian Commander-in-Chief Linevich commanding over 1.1 million troops in Harbin and the Japanese Commander Ōyama commanding 700,000 troops in Fengtian, Japan, fearing potential incidents, designated Zhifu (Chefoo), China instead. In response, Russia designated Paris, France, but this also failed to achieve agreement. President Roosevelt then recommended The Hague in Holland (和蘭) for the two countries to decide upon. Both countries rejected this and simultaneously expressed hope for Washington (葉盛頓). It was decided to hold it there, but as it was the height of summer (三伏) and too hot, it was moved to the "northern Portsmouth" naval port. The initial exchange between the plenipotentiaries when they first met there was interesting.
Japanese Plenipotentiary Komura said, "You speak as if you are the representative of a victorious nation, don't you?"
Russian Plenipotentiary Witte replied, "If there isn't yet a victorious nation, how could there possibly be a completely defeated nation?"
Komura: "Having suffered successive defeats on land and having your fleet annihilated at sea, do you still not consider yourselves a defeated nation?"<19>
Witte: "That is merely the victory or defeat of a portion of the expeditionary soldiers. The Japanese army has not set foot even one step inside Russian territory, have they?"
Komura: "Isn't Sakhalin (樺太) Russian territory?"
Witte: "When did Japanese and Russian forces fight against each other in Sakhalin? Japan's occupation of it is not the result of victory in battle."
Komura: "We surely didn't gather here to have such arguments."
Witte: "Right, right. That's true... Then let's move on to the main conference." And so on.

**Peerage and Cash**
At the time of the annexation (合邦), it is said that as payment for the so-called meritorious subjects (功臣), the Prime Minister received the title of Count (伯爵) and 150,000 Yen in cash, ordinary Ministers received the title of Viscount (子爵) and 100,000 Yen in cash, and other important figures received the title of Baron (男爵) plus 50,000 Yen each.

**Yi In-jik's Past**
Few people know the past of Kukch'o (菊初) Yi In-jik (李人稙), whose literary fame was so high with works like *Kwiŭi Sŏng* (Voice of the Ghost) and *Ch'iaksan* (Mt. Chiak) that he could be called the originator (鼻祖) of the modern Korean novel. According to investigation, in his youth, he went to Japan and entered a political school established by Itagaki Taisuke (板垣退助) and Hoshi Tōru (星亨) to study politics. Later, when the political situation was about to change,<20> he reportedly earnestly advised (懇勸) his close friend (親友), Prime Minister Yi Wan-yong (李完用), to leave for Shanghai.

**Cipher Loss Incident**
This is also a story from just before the outbreak of the Russo-Japanese War. For some reason, cipher telegrams (暗號電信) sent to the Japanese Minister in the Russian capital (露都) were already falling into the hands of the Russian government before reaching the Minister. In diplomacy, nothing is more important than the cipher telegrams used between the home government and envoys stationed abroad. Yet, there were signs that this secret cipher was being leaked and falling into the hands of the Russian government. Could there be anything more startling? It goes without saying that the Japanese Minister was greatly surprised and turned pale (大驚失色) with war imminent. During this time of panic (蒼慌), one day, a certain Russian man came to visit the Japanese Legation in Paris.
He saw the Minister and said,
"I am a Russian, and I possess a Japanese telegraph codebook. I wish to sell it for a suitable price... How about it? If such a secret code were to be scattered about the world, it would not be good for Japan."
The Minister couldn't believe his words and said Japan had no such secret telegraph codebook, but the man insisted he definitely had it.<21> When asked to see it, he said he couldn't show it right then but, to prove he certainly possessed it, if the Minister wrote down any message, he would come back with it encoded. The Japanese Minister agreed and wrote a long message in cipher, telling him to return the next morning with it deciphered into plain text. Indeed, the next day, the man returned with it perfectly deciphered. The Minister was greatly astonished. Next, he wrote out a message in plain text and asked him to take it and translate it into cipher. Again, the man returned with it perfectly encoded without a single error. Only then did the Minister agree to buy the cipher book for 5,000 francs and proceeded to hear from the man the story of how he had stolen the code. Hidden within was this truly strange, detective-novel-like (探偵小說) fact.
"I originally worked in the Foreign Telegraph Section of the International Detective Bureau (國際探偵局), and my job was to steal the telegraph codes of various countries. After the Anglo-Japanese Alliance (日英同盟) was formed, the Russian government became highly wary (警戒) and I received a special order (特命) to obtain Japan's telegraph code. The first place I targeted was the Japanese Legation in Holland (和蘭), which I assumed wouldn't use the telegraph code that much. As it happened, the Japanese Minister there was living alone <22> and seemed not to know foreign languages well, except for English. So, I secretly arranged for a Russian beauty who could speak some English to be sent in as a maidservant (下女). Before long, the maidservant discovered that the Japanese telegraph codebook was kept in a desk drawer (冊床설압) reserved for the Minister's exclusive use. Stealing it wouldn't have been that difficult, but then the Minister would immediately realize it, so I resolved to steal it without his knowledge. Thus, I had the maidservant first make a key identical to the one the Minister had. She melted Western wax (洋蠟) and made a mold (模型) of the key. Then, having had an identical key made at a hardware store (金物店), the maidservant used that key, waiting for the dead of night when the Minister was sound asleep, to steal the book. In a secret room (密室), she began photographing it page by page, and finally, within five days, she was able to completely copy the entire codebook of over 500 pages by photograph (寫眞)." he said.
Such bizarre (怪奇) international grand theft incidents (國際的 大盜難 事件) happened not only to Japan; the code of the British Embassy in Paris was also lost, and during the Portsmouth peace treaty (強化條約), America's cipher telegrams (暗號電報) were reportedly all leaked (漏洩) to Russia.<23>

**Sino-Japanese War Peace Negotiation Venue**
The mediator (中裁者) for the Sino-Japanese War was also the USA. The US initially proposed Shanghai as the venue for the peace conference, but Japan did not agree, so it was first set for Hiroshima (廣島) and later changed to Shimonoseki (下關).

**One Hundred Million Yen**
Song Pyŏng-jun (宋秉畯) went to Tokyo and met Japanese Prime Minister Katsura Tarō (桂太郞), passionately advocating for annexation (合邦). When Katsura Tarō asked how much money would be needed for annexation, Song reportedly said 100 million Yen would suffice. However, later, when the annexation actually took place, the expenses reportedly amounted to only around 30 million Yen, less than one-third of what Song had stated.

**Final Words**
Yi Chae-myŏng (李在明), who stabbed Yi Wan-yong (李完用) as he was returning from attending a memorial service (追悼會) for the Belgian King (白耳義 皇帝) held at the Myeongdong Catholic Cathedral (明洞 天主敎堂), shouted one phrase in English as he was being arrested (捕縛): "I die for my country!"<24>

**Summary**

This article is a collection of historical anecdotes, primarily focusing on diplomatic intrigue, bribery, and significant events related to Korea, Japan, Russia, and China around the turn of the 20th century. It covers the Russian acquisition of Port Arthur through bribery, the difficult negotiations for the Portsmouth Treaty venue, the alleged payments to Korean collaborators during the 1910 annexation, a biographical note on the novelist Yi In-jik, a detailed account of how Japan's diplomatic cipher was stolen by Russia before the Russo-Japanese War, the venue selection for the Sino-Japanese War peace talks, Song Pyŏng-jun's inflated estimate for annexation costs, and the final words of Yi Chae-myŏng after attacking Yi Wan-yong. From the perspective of Korean colonial history, the article is particularly revealing in its casual mention of the specific sums allegedly paid to Korean figures like Yi Wan-yong for their cooperation in the annexation, framing them as "meritorious subjects" receiving "allowances." It also highlights the anti-collaborationist sentiment through the story of Yi Chae-myŏng's attack and his final patriotic declaration. Historians might find the specific details on bribery, the cipher theft narrative (reflecting contemporary interest in espionage), and the figures associated with the annexation payments noteworthy, albeit presented as anecdotal reports in a popular magazine.

**Named Entities**

李鴻章	이홍장	Li Hung-chang
처음 미국 대통령 「루-즈벨트」씨는 會議處所를 哈爾賓과 奉天의 중간에 정하려 하엿다. 그러나 哈爾賓에는 百十餘萬의 대군을 거느린 「리뉴-잇지」 露軍총사령관이 잇고 奉天에는 70萬을 거느린 大山 日軍사령관이 잇슴으로 무슨 일이 날는지 몰라서 日本은 다시 中國芝罘를 지정하엿다. 이에 대하야 露西亞는 佛蘭西 巴里를 지정하여 그것도 일치를 보지 못하엿다. 그때 미국 대통령은 다시 和蘭의 海牙를 두 나라에서 정하기를 권고하엿다. 그것을 두 나라에서 모다 거절하고 葉盛頓으로 하기를 兩國이 동시에 희망하여 그곳으로 정하기로 하엿는데 마츰 三伏이 되어 너무 더움으로 「북방의 뽀-즈마스」軍港으로 옴긴 것이라 한다. 그래서 그곳에 가 兩國 全權이 처음 맛나서 한 대답이 자미잇섯다. 즉 小村 日全權은 「자네는 마치 전승국의 대표자나 된 듯한 말만 하지 안는가.」
윗떼 露金權 「아직 전승국이 업는데 더구나 전패국이 잇슬 리가 잇나.」
小村 「陸地에서 연전 연패하고 바다에서 함대가 전멸하여도 전패국이라고 생각지 안나?」＜19＞
윗떼 「그것은 일부 출정군인의 승패에 불과하다. 日本軍은 한 거름이라도 露國 영토 안에 발을 드려노치 못하고 잇지 안는가.」
小村 「樺太는 露領이 아니냐.」
윗떼 「樺太에서 언제 日露兩軍이 對戰하엿나. 日本이 이것을 점령한 것은 전승의 결과가 아니다」
小杜 「우리들은 그런 의논을 하기 위하여 여기 모힌 것이 아닐 터일세」
윗떼 「올치 올해. 그럿댓지...그러면 본회의로 너머 가세」 云云

爵과 현금
합방 당시 소위 공신의 수당으로 首相에는 伯爵에 현금 15만원 보통 大臣은 子爵에 현금 10만원 다른 중요 인물은 男爵에다가 5만원씩 주엇섯다고.

李人稙의 過去
조선 근대소설의 鼻祖라 하리만치 鬼의 聲 雉岳山 등으로 文名이 놉든 菊初 李人稙의 과거를 아는 사람이 별로 업는데 조사한 결과 그는 청년시대에 日本에 가서 板垣退助와 星亨 등이 세운 정치학교에 입학하여 정치를 연구하엿고 뒤에는 시세가 변하려 할 때에 親友이든＜20＞ 首相 李完用에게 上海를 가버리라고 懇勸하엿더란다.

暗號粉失事件
이것도 日俄전쟁이 이러나기 바로 前 이약이다. 露都에 잇는 日本公使에게 오는 暗號電信이 엇전 까닭인지 公使의 손에 드러 오기 전에 벌서 露國정부의 손에 알려 버리어진다. 외교를 함에 잇서서 본국정부와 駐外使臣 사이에 쓰는 암호전신가치 중요한 것이 업다. 그런데 그 비밀암호가 누설되어 露西亞정부 손의에 드러가는 形跡이 잇스니 이러케 놀라운 일이 어듸잇슬가. 전쟁을 압헤 두고 日本公使가 大驚失色한 것은 물론이엇다. 이러케 蒼慌하는 때에 하로는 엇든 露西亞 사람 한명이 巴里의 日本公使館를 차저왓다.
그는 公使를 보고
「나는 로서아 사람인데 일본의 전신부호 한 책을 가지고 잇노라. 상당한 갑이면 팔려고 하는데... 엇든가 이러한 비밀부호를 세상에 흐터 노흐면 일본 때문에 조치 못할 터인데.」
공사는 그 말을 밋을 수가 업서 日本에는 그런 비밀전신부호가 업다 하니까 아니 자긔는 확실히 가지고 잇다 한다.＜21＞ 보자고 하니 그는 지금은 보일 수 업스나 확실히 가지고 잇는 것을 알니기 위하여 무슨 말이든지 써 놓흐면 내가 부호로 곤치어 오마 하엿다. 일본공사는 그래라 하고서 암호로 길게 글을 써서 주면서 래일 아츰에 이것을 보통글로 곳처 오라 하엿다. 과연 그 이튼날 그 사내는 꼭 마처왓다. 公使는 크게 놀낫다. 그 다음 다시 한번 보통글을 써 주며 이것을 갓다가 암호로 번역하여 오라 하엿다. 역시 그는 한자 틀님이 업시 깨긋하게 암호로 하여 왓다. 그제야 그 암호책을 5천 푸란에 사기로 하고 그 사내에게서 부호를 도적하여 낸 경로를 듯기로 하엿다. 거기에는 이러케 정탐소설가튼 진긔한 사실이 숨어 잇섯다.
「자긔는 원래 國際探偵局의 外國電信係에 일을 보고 잇섯는데 그 일이란 각국의 전신부호들을 도적하여 내는 것이엇다. 그런데 日英同盟이 된 뒤부터 露西亞정부는 크게 警戒하기 시작하여 일본의 전신부호를 어더 달나는 特命을 밧게 되엇다. 그때 내가 가장 몬저 목표를 정한 곳은 전신부호를 그러케 만히 사용하지 안을 듯한 和蘭에 잇는 일본공사관이엇다. 마츰 그의 일본공사는 독신생활을 하고 잇섯고＜22＞ 또 영어밧게 외국어학을 잘 모르는 모양임으로 비밀히 손을 돌려서 영어를 다소 할 줄 아는 로서아 미인을 하나 下女로 드려보내엇다. 그래서 그 하녀는 얼마 잇지 아니하여 일본의 전신부호가 공사전용의 책상설압 속에 잇는 것을 알어 내엇다. 그것을 도적하여 내기에는 그러케 어려운 일이 아니나 그러면 공사가 즉시 깨다를 터임으로 공사가 몰느게 도적하여 내기로 결심하엿다. 그래서 그 하녀를 식혀 위선 공사가 가지고 잇는 것과 꼭가튼 열쇠를 만들기로 되어 洋蠟을 녹여 가지고 그 열쇠의 모형을 떳다. 그래서 金物店에서 그와 꼭가튼 열쇠 한나를 만들어가지게 되엇는데 그런 뒤는 하녀는 그 열쇠를 가지고 공사가 깁히 잠이 드는 밤중을 타서 책을 도젹하여다가 밀실에서 한장 한장씩 사진으로 박이기 시작하여 마츰내 500餘頁이나 되는 그 부호책을 닷새만에 완전히 사진으로 전부 복사할 수 잇섯다」 한다.
이와 가튼 怪奇한 국제적 대도난 사건은 일본 뿐아니고 巴里의 영국대사관부호도 일어진 일이 잇섯고 또 「뽀-스마스」에서 강화조약 당시에는 미국의 暗號電報가 露西亞로 전부 漏洩되엇더라＜23＞ 한다.

日淸戰爭의 媾和處所
日淸전쟁의 중재자는 역시 美國인데 美國은 처음 강화회의 장소를 上海로 정하였으나 日本이 듯지 안어서 처음 廣島로 정하엿다가 나종에 下關으로 정하엿다 한다.

一億圓
宋秉畯이 동경가서 日수상 桂太郞을 보고 합방을 열심히 주창하엿다. 桂太郞은 합방하자면 돈이 얼마나, 드느냐 하니까 宋은 일억 원만 잇스면 된다고 하엿다 한다. 그러나 뒷날 실사 합병을 할 때에 경비는 宋의 말보다 3분의 1밧게 아니 되는 3천만원 내외 드럿다고.

最後의 一言
明洞 천주교당에 열닌 白耳義 황제의 추도회에 참석하고 도라 오는 李完用을 찔는 李在明은 그때 포박을 당하면서 영어로 I die for my country! 라고 한 마듸 부르지젓다고.＜24＞
＜18-24＞
