Magazine Title:	삼천리 제6호
Publication Date:	1930년 05월 01일
Article Title:	英國, 女權擴張運動의 女壯士行進, 一萬女性이 倫敦市街로 示威行列 (Great Britain, Heroic Women's March of the Women's Rights Expansion Movement, Ten Thousand Women Parade in Demonstration Through London Streets)
Author:	倫敦에서 劍橋學人 (A Cambridge Scholar in London)
Article Type:	소식 (News Report)

Great Britain, Heroic Women's March of the Women's Rights Expansion Movement, Ten Thousand Women Parade in Demonstration Through London Streets
						By A Cambridge Scholar in London

1. A Magnificent Sight Near the Imperial Parliament Building

On the morning of June 18th, I hurried with about ten of my English friends, fellow Cambridge University students, towards the vicinity of K'ensin-t'on (Kensington), which could be called the southern part of the British capital. This was because it was said that under the alliance of the "British Women's Liberal Federation" (英國女子自由同盟) and the Women's Social and Political Union (女子社會政治團), over 10,000 women, young and old, were holding a large demonstration movement for the acquisition of suffrage for all English women, and we intended to see the spectacle of that procession.

Even the fog, London's famous specialty, did not particularly obscure the view that day, and the grand, solemn, and imposing city buildings, shining in the summer sunlight, gave a fresh feeling, as if promising the dawn of a new era.

Just as we arrived in front of the Prince Al-ba-dŭ (Albert) Memorial Stone, a crowd numbering in the tens of thousands had already gathered, packed so tightly that there wasn't even space to stick the tip of an awl, waiting expectantly for the procession to pass before them soon. I heard that the procession first gathered at Pikt'oria (Victoria) Square near the Imperial Parliament Building, arranged its ranks, and was set to depart at 6:30 AM, proceeding solemnly towards the aforementioned K'ensin-t'on (Kensington), marching continuously through the main streets of London. To think that not just a handful, but truly over 10,000 women, of an age seemingly shy even before the moon, would form a procession and march so boldly and bravely through the streets of London – is there any difference between Koreans and English people when it comes to loving a spectacle? Not only was the curiosity of London's over 6 million citizens extremely stimulated, but numerous spectators from faraway places like Ok'sŭp'o-dŭ (Oxford), P'ari (Paris), or Pperurin (Berlin) in other countries also flocked to the British Capital (英京), and the city's popularity and congestion that day were considerable. Truly, all the automobiles, omnibuses, buses, and trams within the capital of England were busy carrying passengers going to see the demonstration procession, and every street was filled with the figures of gentlemen, youths, students, and women moving towards the vicinity of the Parliament building.

We – among whom only one Indian, Mr. M, was included, the rest being all English university students – barely pushed through the dense crowd, passed by Haidŭppaek (Hyde) Park, and arrived at Ppagaderi- (Piccadilly), overlooking the hills of the famous Ku-rin (Green) Park. There, along both the left and right sides of the wide street, about 20 kan (間幅, approx. 36 meters) wide, was entirely people, people, people; wherever one looked, a vast wave of people was surging busily. It is truly a rare occurrence for the British people, known as conservatives, to come out in such numbers <12> for sightseeing. Could this have arisen solely from the curiosity that it was a women's procession? To my eyes, as a foreigner, it seemed they were well-wishers gathered to lay flowers upon the history of the women's movement, which has been fighting a desperate struggle (惡戰苦鬪) for over 100 years.

2. The Arduous Struggle of the Suffrage Association

Now, I should briefly touch upon the origins of today's women's procession here. The history of the movement to acquire suffrage for British women goes back far, over 100 years to before 1819. After experiencing many ups and downs (波瀾), a petition for the acceptance (容忍) of women's right to vote (婦人選擧權) was first submitted to the British Parliament in 1866. The submitter at that time was Ms. "Che, E-sŭ" (쩨,에스 여사 - J.S.?). Around this time, Women's Suffrage Associations (婦人參政權協會) were founded in five major cities including London and Manch'esŭt'ŏ- (Manchester), and gradually an organized movement had begun. During that time, 1,000 people were imprisoned for striving for this movement, and they entered Parliament and caused disturbances (攪亂) on the floor (議場) over 30 times, showing how fiercely they continued their efforts (로력) and produced many sacrifices (희생자). Then, in the summer of 1914, the suffrage bill was rejected in Parliament by a small margin. Not long after that, the World War broke out (發勃), and because the entire nation united (擧國一致) to face the war, this movement was also temporarily set back. Later, in February 1918, women's suffrage was recognized again, but it came with the restriction that it applied to women aged 30 and over, and women paying taxes of five pounds or more. Afterwards, the female fighters (여투사) of the suffrage movement continued their activities incessantly (不絶히), and as a result, in the spring of 1927, <13> they finally succeeded in lowering the voting and election eligibility age for women to 25. The demonstration scene I am recording now was a fact from several days before the final 25-year-old bill was passed, so one can understand what an important record-making assembly it was in the history of the liberation movement for all British women.

After a little while, the procession finally appeared. Leading it were three women on horseback (乘馬부인), all riding actively and boldly like men. One of them wore green attire (服色), a formal hat (禮帽), and held a short baton (短杖) in her hand. This was said to be the famous Mrs. Tora-mondŭ (Drummond), one of the leaders (領袖) of the British women's political group (여자정치단) and, one could tell at a glance (一見에), the general commander (총지휘자) of today's procession.
Around her were four or five mounted policemen (승마순사). Behind them came the tricolor flag (三色旗) with purple, green, and white colors. This was the flag (旗) of this organization. Next followed a women's band (부인악대) of about 100 members, wearing dazzling green attire and playing a march (행진곡) as they followed. Perhaps because the rhythm (長短) of the military band (軍樂隊) was played by women, the high, high sound gave a strange agitation (격동) to the hearts of the hundreds of thousands gathered there. Was it because it was a sight that we, in our respective countries, did not have the freedom to hear or see? The Indian Mr. M, standing beside me, gripped my palm tightly and trembled.

After that, about 1,000 British women dressed in white like snow (白雪가치) followed solemnly in single file (入縱列隊?), without a single word (기츰 한마듸업시). This must have continued for two or three Korean ri (리수, approx. 800-1200 meters). After that followed a large flag (旗발) on which was written '670'. According to the explanation of a self-proclaimed Conservative Party member (보수당원), an English gentleman standing beside me, that was the number (수효) of comrades currently imprisoned (감옥에 가처 잇는) because of this movement.

3. The Long Serpent of the Women's Procession

Behind the flag, about 500 women holding spear tips (창끗) coated with silver paper (銀紙) stood in a long line (쪽 느러섯다). The glittering of the silver paper in the sunlight gave a sorrowful (凄愴한) feeling (긔분) to the entire crowd.

After that, another military band stood, and behind the military band stood the procession, and behind the procession stood another military band, and behind the military band stood another procession, and flags stood... Thus, mingling (어울너) with the sound of the footsteps of over 10,000 women... the loud (유랑한 - likely 요란한) sound of the military band music, like 'deura-danda... da... deuradandanda' (듸라단다... 다... 듸라단단다), was greatly shaking the entire city of London.

Then, arriving at the latter part (후반부) of the procession, a contingent (일대) of female university students (여자대학생) wearing red clothes and square hats (사각형의 모자 - mortarboards?) particularly drew the eye (눈을 끄을엇다). This female student contingent (여학생대) were members of the "Cambridge University Women's Suffrage League" (켐부릿지대학 여자선거동맹), and the crowd once again, all together (일제히), thunderously, thunderously shouted 'Hurrah!' (만세).

Behind them followed a group (一群) of female artists (미술가) holding palettes (빠렛트) - behind them, a hospital nurse corps (병원간호부대) - behind them, a female officials contingent (女子官吏隊) - behind them, a group of female writers (女流文士群), typists (타이피스트), female shop assistants (여점원), nannies (보모), etc., in a contingent (一隊). And at the very end (최후미) of the procession, a contingent of young girls (소녀), seemingly thirteen or fourteen to seventeen or eighteen years old, walked holding flags (긔). On those flags were written phrases such as:
"Where there's a will, there's a way." (이하 第5頁에 續) <14> (From page 13)
"Fate makes the brave victorious."

In this way, with 40 military bands, 70 flags, over 10,000 participating women, the great march (大行進) spanning over 2 ri (里, approx. 800 meters) passed before us. As it reached the vicinity of the destination, Al-ba-rŭ Hol (Albert Hall), the sun had already begun to set. The general commander, Ms. T'ŭra-mondŭ (Drummond), wielding (두르면서) her command baton (지휘봉) from horseback, directed the crowd, the procession, and the police squad (警官隊). As they gathered (모흐자 - likely 모이자) in the square, the many bands stood around in a circle (원형으로) and sounded a magnificent (성수나게 - likely 성대하게) march once, the participating women shouted 'Hurrah!' in unison, and the gathered hundreds of thousands in the crowd, deeply moved (감격하여), threw their hats into the air and joined in shouting 'Hurrah!' (和唱하엿다). Listening to their speeches, I was too excited and just stood there blankly (멀거니), watching the magnificent (장엄한) spectacle shining in the setting sun (夕日). Just like a stone statue (石身像가치). (End) <5>

**Summary**

This article, written by a Korean scholar studying in London, vividly describes a large women's suffrage parade in London purportedly taking place on June 18th, shortly before the final legislative victory lowering the voting age (incorrectly cited as 25 in Spring 1927). The author details the procession's organization, the diverse groups of women participating (from students and professionals to activists commemorating imprisoned colleagues), the scale (10,000 participants, numerous bands and flags), the route through London landmarks, the large crowds, and the emotional impact on spectators, including the author and an Indian friend. The march culminated in a rally near Albert Hall as the sun set.

From a Korean colonial history perspective, the article is interesting as it reflects a Korean intellectual's direct observation of and keen interest in Western political movements, specifically women's rights and democratic processes, during a period when Koreans lacked such rights under Japanese rule. The author's empathy with the movement ("a sight that we, in our respective countries, did not have the freedom to hear or see") and the comparison of crowd enthusiasm across cultures highlight a consciousness of Korea's own political situation. The detailed reporting suggests a desire to inform the Korean readership about international struggles for rights and potentially inspire similar sentiments or awareness back home. Historians might find the perspective of a colonial subject witnessing a metropolitan power's internal struggles for democracy, the specific (though potentially inaccurate) details reported, and the underlying comparison with the situation in Korea valuable.

**Named Entities**

英國	영국	Great Britain / England
倫敦의 명물이라고 할 안개도 이날만은 별로 가리지 안어서 여름 해볏에 비초이는 壯嚴重厚한 그 시가의 건물들은 마치 새 시대의 여명을 약속하는 듯한 청신한 기분을 주엇다.
마츰 「알-바드」親王 紀念碑石 압까지 오니 거기에는 수만 명이라 할 군중들이 벌서 그야말로 송곳 끗 하나 드러보낼 자리 업시 빡빡히 모여 서서 그 압흐로 어서 행열이 지나기를 기대리고 잇섯다. 드른즉 처음 행열은 帝國議事堂부근에 잇는 「빅토리아」 광장에 집합하야 대오를 정제한 뒤에 오전 6点 30分을 期하야 출발을 지어서 肅肅然하게 前記 「켄신톤」으로 향하여 주요한 倫敦시가를 續續 행진하기로 된 터이라 달을 보아도 붓그러워 할 듯한 妙齡의 여성들이 한낫도 아니고 실로 10,000여명이나 행렬을 지어서 대담하게도 또 용감하게도 론돈 시가를 행진한다 하니 구경 조와하는 점에야 조선사람이나 영국사람이나 구별이 잇스랴. 600餘萬의 倫敦시민의 호기심은 극도로 자극이 되엿슬 뿐더러 멀니 「옥스포-드」나 「파리」, 「뻬루린」가튼 남의 나라에서도 다수한 구경군이 英京에 모어들어 이날 시가의 인기와 雜踏은 여간이 아니엇다. 실로 영국 서울 안에 잇는 자동차 승합마차 뻐스 전차는 모다 시위행열 구경가는 손님을 태우기에 분주하엿고 거리 거리에는 의사당 부근을 향하여 거름을 옴기는 신사청년, 학생, 여성들의 그림자로 가득하엿다.
우리는-그 중에 인도의 M군이 끼엇슬 뿐으로 모다 영국인 대학생들이다. - 밀집한 군중 속을 간신히 헤치고 「하이드빽, 공원」 겻흘 스처 유명한 「구-린」공원의 산을 내려다 보는 「빠가데리-」에 온 즉 약 20間幅 되는 그 너른 길가 좌우 량쪽에는 전부 사람, 사람, 사람, 어듸를 보다도 망망한 사람의 물결이 분주히 치고 잇섯다. 보수주의자들이라고 들니는 영국 국민들이 이러케도 만히 ＜12＞ 구경차로 나온 일은 실로 드문 일이니 이것이 여자들의 행열이라 하는 호기심뿐에서만 나왓슬 것인가. 이국인인 내가 보기에는 100餘年來로 惡戰苦鬪하여 오는 여성운동사상에 꼿을 노키 위하야 모여든 有志者들인 듯 십헛다.

2. 參政權協會의 苦鬪
그런데 오늘 여자 행열의 유래를 여기서 잠시 비치고 지나야 하겟다. 영국 여성의 참정권획득운동사는 멀니 100여년 전 즉 1819년 전으로 올나가는 것인데 그 뒤 만흔 波瀾을 격다가 1866년에 婦人選擧權 容忍에 대한 청원서가 비로소 처음 영국의회에 제출되엇다. 그때 제출자는 「쩨,에스」여사엿는데 이 일과 전후하야 倫敦과 「만체스터-」 등 다섯 개의 중요 도시에 婦人參政權協會가 창립되어 점차로 조직적 운동이 開始되엇든 터이다. 그 동안에 이 운동을 위하여 애쓰다가 옥에 가친 이가 1,000명 의회 안에 드러가서 議場을 攪亂한 일이 30餘次 라하니 엇더케나 맹렬한 로력을 계속하여 왓고 또 희생자를 만히 내엇슴을 알니라. 그러다가 1914년 녀름 참정권법안은 의회에서 소수의 차로 부결되엿다. 그 뒤 얼마 아니 잇서 세계 대전란이 發勃하엿슴으로 擧國一致로 전쟁에 당하는 때문에 이 운동도 일시 좌절이 되엇다가 1918년 2월에 다시 부인참정권이 인정되엇는데 그것은 즉 30세 이상의 부인과 五磅 이상 납세하는 여자라는 제한이 부텃섯든 것이다. 그 뒤에는 참정권운동의 여투사들은 不絶히 활약을 계속하여 온 결과 1927년 봄에는＜13＞ 끗끗내 여자의 선거권과 피선거권을 25세까지 내리우게 되어서 성공을 엇고 말엇다. 지금 내가 기록하는 이 시위운동 광경은 최후의 25세안이 통과되기 수일전의 사실이엇스니 전 영국여성의 해방운동사상에 얼마나 중요한 기록을 지은 집합임을 알 수 잇스리라.

조곰 잇다가 행열은 마츰내 보이엇다. 선두에 선 것은 세 사람의 乘馬부인인데 모다 남자들 모양을 활발하고 대담하게 말타고 잇섯는데 그 중 한 여자가 초록빗 服色을 하고 禮帽를 쓰고 손에는 短杖을 들엇다. 이것이 유명한 「도라몬드」부인이라 하야 영국 여자정치단의 領袖의 한 사람이요 또 오늘 이 행열의 총지휘자임을 一見에 알 수 잇겟다.
그 주위에는 승마순사가 四五名부터 잇다. 그 뒤에는 자주빗과 초록빗과 힌 바탕을 한 三色旗가 온다. 이것이 이 단체의 旗이엇다. 그 다음에는 약 100명 되는 부인악대가 초록빗으로 눈을 부싀는 服色을 입고 행진곡을 吹奏하면서 따라섯다. 그 軍樂隊 長短이 여성들이 치는 까닭인지 놉흐고 놉흔 소리가 거기 모엿든 수십만 군중의 가슴에 이상한 격동을 주엇다. 피차 제 나라에서는 들어볼 자유가 업는 광경이 되어 그러함인가. 가치 섯든 인도 M군은 그때 나의 손바닥을 꼭 쥐고 바르르 떨더라.
그런 뒤에 또 白雪가치 힌 服色을 한 영국여자 약 1,000명이 入縱列隊가 되어 기츰 한마듸업시 숙연히 따라간다. 이것이 아마 조선 리수로 이삼리는 계속되엇스리라. 그런 뒤는 670명이라고 쓴 크다란 旗발이 따라간다. 내 겻헤 섯든 보수당원이라고 자칭하는 영국신사의 설명을 드르면 그것이 현재 이 운동 때문에 감옥에 가처 잇는 동무의 수효라고 한다.

3. 長蛇의 女性行列
旗발 뒤에는 銀紙로 발는 창끗을 든 500여명의 부인이 쪽 느러섯다. 햇빗에 銀紙가 반득반득이는 것이 모든 군중에게 凄愴한 긔분을 주더라.
그런 뒤는 또 군악대가 서고 군악대 뒤에는 행열이 서고 또 행열 뒤에는 군악대가 서고 군악대 뒤에는 또 행열이 서고 旗가 서고...이리하야 10,000여명 女流의 발자최 소리에 어울너 듸라단다... 다... 듸라단단다하는 유랑한 군악소리가 倫敦 전시가를 몹시 흔들고 잇섯다.
그러다가 행열의 후반부에 이르러 빨간 옷을 입고 사각형의 모자를 쓴 여자대학생의 일대가 선 것이 더욱 눈을 끄을엇다. 이 여학생대는 「켐부릿지대학 여자선거동맹」員들이라 군중들은 또 다시 일제히 우렁차게 우렁차게 만세를 불엇다.
그 뒤에는 빠렛트를 든 여자 미술가의 一群 - 그 뒤에는 병원간호부대 - 그 뒤에는 女子官吏隊 - 그 뒤에는 女流文士群 타이피스트, 여점원 보모 등의 一隊가 따르고 잇섯다. 그러고 행열의 최후미에는 열서넛부터 열칠팔세나 되엇슬 뜻한 소녀의 일대가 긔를 들고 거러가섯다. 그 기에는
「의지잇는 곳에 수단이 잇다.」(이하 第5頁에 續) ＜14＞ (제13頁에서)
「운명은 용감한 자를 승리케 한다」
등의 문자를 기록하엿섯다. 이리하야 군악대만 40隊 旗가 70개 行列 參加女子가 1만여명, 전 行列 2里 이상의 大行進이 우리 압흘 스처 목적지인 「알바-르, 홀」 부근에 이르자 해는 이미 지기 시작하엿다. 총지휘관 트라몬드」양은 馬上에서 지휘봉을 두르면서 군중과 행렬과 警官隊를 지휘하면서 광장에 모흐자 그 만흔 악대들이 원형으로 들너서서 일단 성수나게 행진곡을 울렷고 행렬참가여성은 일제히 만셰를 불넛고 모엿든 수십만 군중도 감격하여 모자를 공중에 던지면서 만세를 和唱하엿다. 나는 그네의 연설을 드르면서 너무 흥분되어 멀거니 夕日에 빗나는 장엄한 그 광경을 보고만 잇섯다. 마치 石身像가치 (끗) ＜5＞
＜12-14, 5＞
