**Header Section:**
Magazine Title: 三千里 제6호
Publication Date: 1930년 05월 01일
Article Title: 名文의 香味, 新興文藝의 構圖에 對하야 (The Aroma of Fine Writing, Regarding the Composition of Newly Emerging Literature)
Author: 八峯 金基鎭
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
The Aroma of Fine Writing, Regarding the Composition of Newly Emerging Literature
						P'albong Kim Kijin

It is a historical fact that the literature and arts of a society reflect its era. The reflection of contemporary Chosŏn society can properly be seen by looking at the contemporary literature and arts of Chosŏn. To enrich my argument, I will generally discuss the fundamental origins of our current literature and arts, then dissect the causes of the so-called stagnation of the literary world, as implied by the title, discovering its social significance. Taking a step further, I intend to complete my original plan by sketching the newly emerging literature that will sweep away this stagnation and take its place. However, my tired brain is considerably daunted by this excessive task, wondering if I can truly accomplish all this.

Let's look back at the Pyŏngin literary scene of the past year. No, let's look back even further at the path walked by what is called the literary world over the past 10 years. Let's roughly skim through the past decade since Yuktang Ch'unwŏn raised the banner of constructing Chosŏn literature and began energetically pioneering this endeavor in the literary and intellectual circles of Chosŏn, which were like a wasteland. We can divide our past literary world into two periods: the Ch'unwŏn period, and the period represented essentially by Sangsŏp alone – Sangsŏp, Pinghŏ, Tongin, Tohyang. The Ch'unwŏn period, when the literary world was carried on his individual back, refers to the nearly 10 years from 1910 to 1920. The Sangsŏp period, centered around Sangsŏp, refers to the nearly 5 years from 1920 until recently. Furthermore, these two divisions are not periodizations based solely on observing individuals; we can point out the distinct characteristics of each of the two periods represented by Ch'unwŏn and Sangsŏp.

The pioneering Chosŏn literature represented by Ch'unwŏn was, needless to say, entirely represented by Ch'unwŏn's personal literary tendencies or thoughts. Why? Because at that time, Ch'unwŏn was the sole figure in the literary world (?). Thus, Ch'unwŏn preached humanism, taught ideals, and sang the praises of God's love. It was, to whatever extent, self-consoling and sentimental, but it is an undeniable fact that it was idealistic. Look, for instance, at Ch'unwŏn's first full-length work, "Mujŏng" (Heartlessness). And look at "Kaech'ŏkcha" (The Pioneer). Look at the recent "Chaesaeng" (Rebirth). Or look at his essays from that time. Is there anything among them that is not idealistic? This was the characteristic of the first period of the literary world, represented by Ch'unwŏn.

The characteristic of the second period of the literary world, represented by Sangsŏp, was its realism, in contrast to the idealism of the Ch'unwŏn period. Ch'unwŏn preached humanism. He inspired ideals. However, in the second period's literary world represented by Sangsŏp, there was no preaching of humanism or inspiring of ideals. They gazed intently at reality. At the same time, they could not help but be skeptical. Instead of preaching humanism, they pointed out reality. Instead of inspiring ideals, they sought to dissect and critique social evils and human evils. Truly, the central issue in their creative work was this social evil, human evil. It was their duty to dissect and point out these social and human evils with their small subjectivity. Look, for instance, at the short stories of Messrs. Sangsŏp, Pinghŏ, Tongin, Tohyang, etc. Compared to the first period, although it was similarly sentimental, it is an undeniable <70> fact that it was realistic.

Then why did such distinctions arise in the literary world? In a word, I brought up Ch'unwŏn and Sangsŏp to explain this. That is, the first period of our literary world – the Ch'unwŏn period – was born amidst an atmosphere where society boiled with aspiration and ideals around the time of the Chosŏn people's XXXXXXXXXXXXXXXX movement, and Ch'unwŏn's literature came into being within this atmosphere. In other words, it was because Chosŏn society before and after March 1st demanded such literature. (However, when the dream of XX, which was the sole aspiration and ideal of the Chosŏn people, was shattered by harsh reality, humanism disappeared, and ideals could not help but turn into skepticism.) The fundamental essence of literature and art's origin as a social phenomenon, or the essence of its social establishment, is determined by the question of whether it is suited to the lives of the general populace or not. The question of whether literature of romantic aspiration and humanistic ideals was suited or unsuited to the Chosŏn people, who had fallen into the dark cave of lamentation and despair due to the failure of XXXX, was eloquently answered by the activities of Sangsŏp, Pinghŏ, Tongin, and others. In short, it suffices for me to say this here: the development and innovation of literature and arts are determined less by the spirit of the literary artists themselves, and more by the demands arising from the life realities of the general society and populace. The decline of classical literature, the decline of romantic literature, and the decline of liberal literature are all not due to changes in the specialized artistic value of the literary works themselves, but merely because the realities of the lives of the general populace in each era changed. (Omitted - original text)<71>

**Summary**

Kim Kijin argues that Korean literature evolved in distinct phases reflecting societal changes. The first phase (c. 1910-1920), dominated by Yi Kwangsu (Ch'unwŏn), was idealistic and humanist, born from the aspirations surrounding the March 1st Movement era. The second phase (c. 1920-1930), represented by figures like Yŏm Sangsŏp (Sangsŏp), turned towards realism and skepticism, focusing on dissecting social and human evils after the disillusionment following the failure of national aspirations. Kim posits that literary trends are dictated not by artistic merit alone, but by their resonance with the lived reality and demands of the general populace in a given period. For historians, this article provides insight into contemporary perceptions of Korean literary history, the profound impact of the March 1st Movement (even when censored, its influence is central), and the critical discourse attempting to understand and direct cultural production under Japanese colonial rule. The explicit link drawn between political disappointment and the shift towards realism is particularly revealing.

**Named Entities**

八峯 金基鎭	팔봉 김기진	Kim Kijin (P'albong)
기사제목	名文의 香味, 新興文藝의 構圖에 對하야
필자	八峯 金基鎭
기사형태	문예평론

名文의 香味, 新興文藝의 構圖에 對하야
						八峯 金基鎭
한 사회의 그 시대의 반영이 문예인 것은 역사적으로 사실이다. 현대 조선의 사회의 반영은 현대의 조선의 문예에 就하야 보는 것이 可하다. 나는 나의 논증을 풍부히 하기 위하야 일반적으로 현재의 우리 문예의 발생적 본질을 논하고서 표제가 의미하는 바와 가튼 소위 문단의 침체에 대한 원인의 해부에서 사회적 의의를 발견하고 한걸음을 더 나아가 그 침체를 쓸허버리고 대신할 신흥문예의 소묘로써 본래의 企圖의 전부를 마치려 한다. 그러나 과연 이것을 다 할는지 나의 피로한 두뇌는 과분한 소임에 당황함이 적지 안타.
丙寅문단 1년을 돌아다보자. 아니다, 그보다도 과거10년간의 문단이라는 것의 걸어온 발자취를 돌아다보자. 적어도 六堂
春園이 조선문학건설의 旗幟를 들고 황무지와 갓든 조선의 문예사상계에 나타나셔 정열적으로 그 사업을 개척하기 비롯한 이래 근 10년간의 과거을 대강만 훌터보자. 우리들은 과거의 우리의 문예계를 문단적으로 말하야 春園時期 想涉, 憑虛, 東仁, 稻香-결국 말하면 想涉1人으로 대표할 수 잇는 시기- 이 두 시기를 나누허 볼 수 잇다. 문단을 자기 1個人의 등에 질머지고 잇든 春園시기는 1910년 이후로부터 20년까지의 근10개년간을 가라처 말함이요. 想涉을 중심으로 한 想涉時期는 1920년 이후로부터 昨今까지의 근 5개년간을 가라처 말하는 것이다. 그리고 이 두 개의 구분이 인물을 본위로 한 관찰에서 나온 시대적 구분이 아니니 春園과 想涉을 대표로 한두개의 시기에서 우리들은 각각 그 특색을 지적할 수 잇다.
春園이 대표된 개척기 조선문예는 말할 것도 업시 그것은 春園 1人의 문예상 경향 내지 사상으로 그 전부를 대표한 것이다. 웨 그러냐하면 당시의 문단(?)에는 春園이 唯一人者이엇든 까닭이다. 그리하야 春園은 人道를 說하고 理想을 가라치고 신의 愛를 찬송하얏다. 그것은 어대까지든지 自慰적이엇스며 俗情的이엇스나 그러나 理想的이엇든 것은 부인할 수 업는 사실이다. 시험삼아 春園의 최초의 장편작인 「無情」을 보라. 그리고 「開拓者」를 보라. 최근의 「再生」을 보라. 혹은 그의 그 당시의 논문 등을 보라. 그 어느 것이 이상적 아인 것이 잇는가. 이것이 春園으로 대표된 문단의 第1期의 특색이엇다.
想涉으로 대표된 문단의 제2기의 특색은 春園시기의 이상적이엇슴에 반하야 이것은 현실적이엇다. 春園은 人道를 說하얏다. 이상을 고취하얏다. 그러나 想涉으로 대표된 제2기의 문단에는 人道를 說하고 이상을 고취함이 업섯다. 그들은 현실을 응시하얏다. 동시에 그들은 회의적이 안되지 못하얏다. 人道를 說하는 대신에 현실을 지적하얏다. 이상을 고취하는 대신에 社惡會人間惡을 해부 비판하려 하얏다. 참말로 그들의 창작상 중심문제는 이 사회악, 인간악이엇다. 이 사회악, 인간악을 그의 족으만 주관을 가지고써 해부지적하는 것이 그들의 직분이엇다. 시험삼아 想涉, 憑虛, 東仁, 稻香 등 諸氏의 단편들을 보라. 이것이 제1기에 비하야 비록 俗情적인 것은 마찬가지라 하드라도 현실적인 것만은 싸울＜70＞ 수 업는 사실이다.
그러면 어찌하야서 문단적으로 이와가튼 구별이 생기엇느냐. 한말로 나는 이것을 말하기 위하야서 春園, 想涉을 끌어내엇다. 즉 우리 문예계의 제1기- 春園시기는 조선민족XXXXXXXXXXXXXXXXXXXX 發하기 전후하야 사회가 동경과 이상에 끌엇든 까닭으로 인하야 이 분위기 가운대서 春園의 문학은 탄생되엇든 것이다. 거듭 말하면 3·1전후의 조선사회가 그러한 문학을 요구하얏든 까닭이다. (그러나 조선민족의 유일한 동경이요 이상이엇든 XX의 꿈이 참혹한 현실에서 깨어저 버릴 때 거긔에는 人道도 업는 동시에 이상은 회의로 변하지 안흘 수 업섯다.) 문예의 사회현상으로서의 발생적 본질 혹은 사회적 성립의 본질은 일반 민중생활에 적합하냐 적합하지 못하냐 하는 문제에서 결정되는 것이다. 낭만적 동경과 人道적 이상의 문학이 XXXX의 불성취로 말미암아 비탄절망의 暗窟 속에 떨이지게 된 조선민족에게 적합하냐 하지안흐냐 하는 질문은 想涉, 憑虛, 東仁 등의 활약이 웅변으로 대답하얏다. 요컨대 나는 이곳에서 이러한 말만 하면 족하다. 즉 문예의 발달 문예의 혁신은 문예가 자신의 정신으로 결정된다는 것보다도 일반 사회민중의 생활현실의 요구가 결정하야주는 것이라고. 고전주의 문예가 몰락한 것도 낭만주의 문예가 몰락한 것도 自由주의 문학이 沈衰하야가는 것도 모두가 그 문예작품 그것의 전문적 예술가치의 변동으로 인함이 아니라 그 시대시대의 사회민중생활현실이 변동된 까닭일 뿐이다.(略-원문)＜71＞
＜70-71＞
