Magazine Title: 大東亞 第14권 제5호
Publication Date: 1942년 07월 01일
Article Title: 文壇 (Literary World)
Author: Not specified
Article Type: 소식 (News)

Literary World

The Passing of Mr. Yi Hyosŏk
Mr. Yi Hyosŏk, the writer who wielded his talented pen through long and short stories such as 'When the Buckwheat Flowers Bloom,' 'Pollen,' and 'Pig,' sadly passed away on May 25th at the age of 36 after suffering from an illness for about 20 days. The entire literary world cannot cease its sorrow and condolences.

The Return of Mr. Yi Ŭnsang
Nosan Yi Ŭnsang, known for his elegant and beautiful poetry and prose, had hidden his traces from the literary scene for various reasons, reaching ten years of contemplation, but recently published a collection of poetry and prose, the 'Nosan Collection (鷺山文集)'.

Recent Publications
P'albong Kim Kijin is said to be publishing a new work titled 'Random Thoughts (隨想錄),' a collection of criticism, essays, and poetry, soon from a certain bookstore.
Wŏlt'an Pak Chonghwa published the essay collection 'Blue Moss Collection (靑苔集)' in late April and subsequently published the new novel 'The Eve (前夜)' recently.
Mr. Pak Kyeju is currently back in his hometown of Sŏnch'ŏn, North P'yŏngan Province (平北 宣川), to write the sequel to his full-length novel 'Record of Martyred Love (殉愛譜).'
It is said that Inmunsa (人文社) is preparing to publish collections of vernacular creative works several times a year.
P'ain Kim Tonghwan's poetry collection 'Rugosa Rose (海棠花)' was published in early May.

Writers' Recent Activities
Messrs. Chang Hyŏkchu, Yu Ch'ijin, and Chŏng Int'aek departed Kyŏngsŏng (京城) the other day as special dispatches of the Development Section (拓務課) for a cultural inspection tour concerning Manchurian (滿洲) settlers, returning in mid-June.
The novelist Ms. Ch'oe Chŏnghŭi has been working at the Kyŏngsŏng Broadcasting Station since early May.

Recommended Book Committee Members
In Tokyo (東京), the names of the Recommended Book Committee members for the literature, art, and film sections of the Japan Publishing Culture Association (日本出判文化協會), which is playing a great role in the advancement of publishing culture under the new system, are as follows:

Section 6 (Literature)
Imperial Rule Assistance Association (大政翼贊會) Cultural Director Kishida Kunio
Editor's Association President Saitō Ryūtarō
Writer Yoshikawa Eiji
Writer Osaragi Jirō
Tokyo Imperial University Honorary Professor, Doctor of Letters (文博) Anesaki Masaharu
First Higher School Professor Katayama Toshihiko
Tokyo Imperial University Professor, Doctor of Letters (文博) Tatsuno Yutaka
Doctor of Medicine (醫學博士) Saitō Mokichi
Tokyo Imperial University Professor, Doctor of Letters (文博) Hisamatsu Sen'ichi
Doctor of Medicine (醫學博士) Ōta Masao
Hosei University Professor Tanikawa Tetsuzō
Poet Toki Zenmaro

Section 8 (Art, Theater, Film)
Hosei University Professor Tanikawa Tetsuzō
Imperial Rule Assistance Association Cultural Department (大政翼贊會文化部) Deputy Director Kamiizumi Hidenobu
Tokyo Imperial University Professor, Doctor of Engineering (工博) Fujishima Gaijirō
Tokyo School of Fine Arts Assistant Professor Ihara Usaburō <68>

**Summary**

This article provides news from the Korean literary world in mid-1942. It reports the death of Yi Hyosŏk, the publication comeback of Yi Ŭnsang, new works by Kim Kijin, Pak Chonghwa, Pak Kyeju, and Kim Tonghwan, and the activities of other writers, including a government-sponsored trip to Manchuria and Ch'oe Chŏnghŭi joining the Kyŏngsŏng Broadcasting Station. It concludes by listing prominent Japanese cultural figures serving on the Japan Publishing Culture Association's Recommended Book Committee, overseeing literature, art, and film under the wartime "new system."
For historians, the article offers insights into the state of Korean literature during a peak period of Japanese colonial control and wartime mobilization. The mention of writers participating in activities sponsored by colonial entities (the Manchuria trip by the 拓務課, Ch'oe Chŏnghŭi at the broadcasting station) illustrates the complex interactions between Korean cultural figures and the colonial regime. The list of Japanese committee members highlights the mechanisms of cultural control Japan implemented to guide publishing and arts according to its national policies.

**Named Entities**

李孝石	이효석	Yi Hyosŏk
속편	속편	Sequel
집필	집필	Writing (a work)
故卿	고향	Hometown (Archaic/Literary term, possibly typo for 故鄕)
귀향중	귀향중	In the middle of returning home
언문	언문	Vernacular script (Hangul), Korean language text
창작집	창작집	Collection of creative works
년 수차	연 수차	Several times a year
간행코저	간행하고자	Intending to publish (Older form of 간행하고자)
近況	근황	Recent situation, current status
개척민	개척민	Pioneer settlers
시찰	시찰	Inspection tour, observation visit
특파	특파	Special dispatch
전일	전일	The other day, previously
귀향	귀향	Returning home
근무	근무	Work, service, duty
추천도서	추천도서	Recommended book
위원	위원	Committee member
신체제	신체제	New system, new order (Refers to wartime structure)
진전	진전	Progress, advancement
역할	역할	Role, part
氏名	씨명/성명	Name
如左	여좌	As follows


---------------------------


잡지명	대동아 제14권 제5호
발행일	1942년 07월 01일
기사제목	文壇
기사형태	소식

文壇
李孝石氏의 長逝
「모밀꽃 필 무럽」 「花粉」 「豚」 등 장단편의 작가로써 그 才筆을 날니든 李孝石씨는 20여일의 병환에 신음타가 5월 25일, 그만 36세를 일기로 별세하고 말었는데 全文壇은 애석과 추도를 마지 않는다.

李殷相氏의 複活
流雅, 艶麗한 詩文으로 알니우든 鷺山 李殷相씨는 그간 여러가지 사정으로 문단의 外表에서 자최를 감처 사색 10년에 미첬더러니 최근에 詩文集 「鷺山文集」을 발간하엿다.

近刊諸書
八峰 金基鎭씨는 평론, 수필, 시문을 모아 「隨想錄」이란 題로 新著를 某 書肆로부터 近刊하리라한다.
月灘 朴鍾和씨는 수필집 「靑苔集」을 4월 하순에 간행하였는데 계속하여 근일 소설 「前夜」를 신간하였다.
朴啓周씨는 장편 「殉愛譜」의 속편을 집필차로 故卿인 平北 宣川에 귀향중
人文社에서는 언문창작집을 년 수차 간행코저 준비중이라고
파인 金東煥씨의 詩集 「海棠花」는 5월 초순에 발행되었다.

文人近況
張赫宙, 柳致眞, 鄭人澤의 3씨는 滿洲 개척민 문화시찰차로 拓務課 특파가 되어 전일 京城 출발, 6월 중순 귀향.
소설가 崔貞熙여사는 5월 초부터 京城 방송국에 근무

推薦圖書委員
東京에 있어 신체제하의 출판문화의 진전에 위대한 역할을 하고 있는 日本出判文化協會의 추천도서위원중 문학과 미술 영화 부문 위원 氏名은 如左
第6部(文學)
大政翼贊會 文化部長  岸田國士
編輯者協會長  齋藤龍太郞
作家  家吉川英治
作家  大佛次郞
東大名譽敎授 文博  姉崎正治
一高敎授  片山敏彦
東大敎授 文博  辰野隆
醫學博士  齋藤茂吉
東大敎授 文博  久松潛一
醫學博士  太田正雄
法大敎授  谷川徹三
歌人  土岐善麿

第8部(美術, 演劇, 映畵)
法大敎授  谷川徹三
大政翼贊會文化部 副部長  上泉秀信
東大敎授 工博  藤島亥治郞
東京美校助敎授  伊原宇三郞 ＜68＞
＜68＞
