Magazine Title: 大東亞 제14권 제5호
Publication Date: 1942년 07월 01일
Article Title: 映畵 (Movies)
Author: None listed
Article Type: 소식 (News/Short report)

Movies

What Japanese names (*ch'angssi*) have various actresses like Mun Yebong and Kim Sinjae adopted, and what Japanese names have male actors like Sim Yŏng and Kim Ilhae adopted? Furthermore, the Japanese names (*ch'angssi*) of all the directors, cameramen, etc., are recorded as follows:

Female Actresses
Im Chŏngwŏn (林丁元) (Mun Yebong 文藝峰)
Kim Hyedŭk (金惠得) (Kim Soyŏng 金素英)
Sŏng Sinjae (星信哉) (Kim Sinjae 金信哉)
Puch'ŏn Mari (富川馬利) (Pok Hyesuk 卜惠淑)
Ch'ŏngsan Ŭnjin (淸山銀珍) (Han Ŭnjin 韓銀珍)
Majang Pogun (馬場福云) (Kang Chŏngae 姜貞愛)
Chibon Kyŏngsun (池本京順) (Chi Kyŏngsun 池京順)
No Kapsun (盧甲順) (No Chaesin 盧載信)
Kŭmjŏng Yŏngsun (金井永順) (Kim Yŏngsun 金永順)
Changjŏn Sejŏng (張田世貞) (Chang Sejŏng 張世貞)
Kobayasi Oksun (小林玉順) (Yi Nanyŏng 李蘭影)
Matsubara Reiko (松原禮子) (Chŏn Ok 全玉)
Kŭmjŏng Silch'iyo (金井實千代) (Kim Yŏnsil 金蓮實)

Male Actors
Sŏngch'on Yang (星村洋) (Kim Han 金漢)
Hyangsan Changch'un (香山長春) (Yi Kŭmnyong 李錦龍)
Kim Yongjŏngsŏk (金用正錫) (Kim Ilhae 金一海)
Kwangsŏng Kŏn (光成健) (Tok Ŭn'gi 獨銀麒)
Songsan Chŏngung (松山正雄) (Yi Wŏnyong 李源容)
Kobong Sŭng (高峰昇) (Ch'oe Unbong 崔雲峰)
Kungjŏn T'aejang (宮田泰彰) (Chŏn T'aegi 田澤二)
Arai Pumio (新井文雄) (Pak Ch'angwŏn 朴昌遠)
Arai Saehaeng (新井齊行) (Pak Chehaeng 朴齊行)
Pokch'ŏn Wŏn (福川元) (Cho T'aegwŏn 趙澤元)
Ch'ŏngmok Simyŏng (靑木沈影) (Sim Yŏng 沈影)
Nasan Chunbu (羅山俊夫) (Na Ung 羅雄)
Anch'ŏn Munch'i (安川文治) (Chu In'gyu 朱仁奎)
Pakch'on Chungbaek (朴村重伯) (Pak Ch'anghyŏk 朴昌爀)
Ihara Tongnyong (伊原東龍) (Son Ilp'yŏng 孫一平)
P'ungwŏn Kyŏnggi (豊原敬基) (Nam Hongil 南弘一)
Kŭmwŏn Yongjun (金原龍俊) (Yu Hyŏn 柳玄)
Okamoto Pup'yŏng (岡本富平) (Ch'oe Namyong 崔南鏞)
Samgye Ch'ŏng (三溪淸) (Chin Hun 秦勳)
Kobayasi Kusao (小林久男) (Kim Haesong 金海松)

Directors
Yasuda Tatsuo (安田辰雄) (An Chonghwa 安鍾和)
Yasuda Sakae (安田榮) (An Sŏgyŏng 安夕影)
Iwamoto Keikan (岩本圭煥) (Yi Kyuhwan 李圭煥)
Hoshi Inkyu (星寅奎) (Ch'oe In'gyu 崔寅奎)
Tatsusŏng Kwangje (達成光霽) (Sŏ Kwangje 徐光霽)
Tokuyama Kō (德山高) (Hong Kaemyŏng 洪開明)
Izumi Shōkon (泉昌根) (Chŏn Ch'ang'gŭn 全昌根)
Hoshino Masashi (星野正史) (Yi Ik 李翼)
Im Sŭngbok (林勝福) (Im Sŏn'gyu 林仙圭)
Matsumura Eisetsu (松村永涉) (Chu Yŏngsŏp 朱永涉)

Cinematographers
Seto Mei (瀨戶明) (Yi Myŏngu 李明雨)
Mihara Seio (三原世雄) (Yang Se'ung 梁世雄)
Kyŏngson Pakhaeng (慶孫博行) (Son Yongjin 孫勇進)
Yi Sin (李信) (Yi Sinung 李信雄)
Seto Takeo (瀨戶武雄) (Yi P'iru 李弼雨)
Sinbon Ilho (新本一浩) (Pak P'ilho 朴弼浩)<69>

**Summary**

This short news piece from the July 1942 issue of *Taitōa* (大東亞 - Greater East Asia) magazine lists prominent Korean film figures—actresses, actors, directors, and cinematographers—along with the Japanese names they adopted under the *sōshi-kaimei* (창씨개명 - *ch'angssigaemyŏng*) policy enforced by the Japanese colonial government. The article simply presents these names without commentary. For historians, this list is a stark record of the cultural assimilation policies during the late colonial period in Korea, documenting the specific Japanese names adopted by well-known personalities in the Korean film industry. It provides concrete evidence of the reach and impact of the *sōshi-kaimei* policy on individuals in the public eye.

**Named Entities**

文藝峰	문예봉	Mun Yebong
慶孫博行	경손박행	Kyŏngson Pakhaeng
李信雄	이신웅	Yi Sinung
李信	이신	Yi Sin
李弼雨	이필우	Yi P'iru
瀨戶武雄	뢰호무웅	Noeho Muung (Seto Takeo)
朴弼浩	박필호	Pak P'ilho
新本一浩	신본일호	Sinbon Ilho (Arimoto Kazuhiro / Niimoto Kazuhiro)

**Glossary**

창씨	창씨	Name change (referring to the forced adoption of Japanese-style names, *sōshi-kaimei*)
배우	배우	Actor/Actress
여배우	여배우	Actress
남배우	남배우	Actor
감독	감독	Director (film)
카메라맨	카메라맨	Cameraman (loanword, likely used alongside 撮影技師)
인명	인명	Person's name
이러하다	이러하다	To be like this; as follows
촬영기사	촬영기사	Cinematographer; Cameraman (Sino-Korean term)
기사	기사	Article; Record (in this context); Technician (in 撮影技師)
소식	소식	News; Tidings


---------------------------


잡지명	대동아 제14권 제5호
발행일	1942년 07월 01일
기사제목	映畵
기사형태	소식

映畵
남녀배우의 창씨
文藝峰이요, 金信哉요 하는 여러 여배우들은 무어라고 창씨하였으며 또 沈影이요 金一海요 하는 남배우들은 또 무엇이라고 창씨하였는가, 그밖에 감독, 카메라맨, 등의 모든 창씨 인명을 記하면 이러하다.

女俳優
林丁元(文藝峰)
金惠得(金素英)
星信哉(金信哉)
富川馬利(卜惠淑)
淸山銀珍(韓銀珍)
馬場福云(姜貞愛)
池本京順(池京順)
盧甲順(盧載信)
金井永順(金永順)
張田世貞(張世貞)
小林玉順(李蘭影)
松原禮子(全玉)
金井實千代(金蓮實)

男俳優
星村洋(金漢)
香山長春(李錦龍)
金用正錫(金一海)
光成健(獨銀麒)
松山正雄(李源容)
高峰昇(崔雲峰)
宮田泰彰(田澤二)
新井文雄(朴昌遠)
新井齊行(朴齊行)
福川元(趙澤元)
靑木沈影(沈影)
羅山俊夫(羅雄)
安川文治(朱仁奎)
朴村重伯(朴昌爀)
伊原東龍(孫一平)
豊原敬基(南弘一)
金原龍俊(柳玄)
岡本富平(崔南鏞)
三溪淸(秦勳)
小林久男(金海松)

監督
安田辰雄(安鍾和)
安田榮(安夕影)
岩本圭煥(李圭煥)
星寅奎(崔寅奎)
達成光霽(徐光霽)
德山高(洪開明)
泉昌根(全昌根)
星野正史(李翼)
林勝福(林仙圭)
松村永涉(朱永涉)

撮影技師
瀨戶明(李明雨)
三原世雄(梁世雄)
慶孫博行(孫勇進)
李信(李信雄)
瀨戶武雄(李弼雨)
新本一浩(朴弼浩)＜69＞
＜69＞
