잡지명	삼천리 제4권 제7호
발행일	1932년 06월 15일
기사제목	伊太利 公園의 하루밤 (A Night at the Italian Park)
필자	尹亨植
기사형태	회고·수기 (Reminiscence/Memoir)

伊太利 公園의 하루밤
						尹亨植

When one hears "Italian Park," anyone would likely imagine the parks of Rome, the bars of Venice, or the gardens of Florence. However, the Italian Park mentioned here is not that of Southern Europe's Italy; it refers to a small island at the edge of the Sea of Okhotsk, which might seem underwhelming once you know.

The Italian Park I want to talk about is a small island across from Vladivostok (海蔘威). I don't know why this island is called Italian Park, but anyway, those living in Vladivostok call this island Italian Park. That's why, to write about a night there, I titled this piece "A Night at the Italian Park (伊太利 公園의 하로밤)." Setting that aside, the night at that park was like this.

Even on the desolate Siberian plains, said to lack flowers and beauties, the endlessly bright moon illuminated the entire land. On this moonlit summer night, I went to meet Syura. It seemed Syura had also been waiting anxiously for me that day. As soon as I reached her door and knocked, Syura called out, asking, "Kislova (끼슬로바냐)?" and ran out. I quickly took her hand outside the door and said,

"Yes—it's me. Let's go hang out at the Italian Park. The moon is bright!"

"Oh! Moya Kislova! Khorosho! (오! 모야 끼슬로바! 호로소!)" she exclaimed. Syura always called me "My Kislova" back then. The name Kislova was the name Syura used for me.

So, that night! We went to the pier (馬頭崖) and Syura and I rowed a boat (뽀토), searching for the island called Italian Park. On that island, Syura's father had built a hut and was spending the night with fishermen, catching fish.

Syura used this as a pretext to leave for the island with me.

On the quiet night, the sporadically dipping oars shattered the moon reflected on the water into countless pieces as we silently rowed the boat towards the dimly visible island far away. After rowing along with the boat's momentum for a while, intoxicated by the moonlight, I gazed at Syura's face, shining like a pearl.

"Syura, I wish we could always row like this..."

"What?" Syura looked at me as if startled, then lowered her head and fell silent. Syura, who usually chattered like a sparrow, lowered her head as if embarrassed when I said this. She and I were friends, students in the same class. So, Syura and I used to hang out as friends without regard to gender distinction, but these words I spoke to her tonight seemed to make her delicate heart tremble.

It wasn't just Syura whose heart trembled. My head lowered just like Syura's. And so, holding the oars I had been rowing weakly, we drifted along, carried by the moon and the water. After drifting on the waves for some time, I suddenly exclaimed in surprise,

"Hey, hey! Syura!"

"Huh?" Syura looked around startled, then said,

"Hey! Kislova! Row, row."

I started rowing again.

"Syura, like this?"

"Yes!"

And Syura smiled brightly. I read this as a sign that she granted everything to me. Rowing the boat to the shore of the Italian Park island, I quickly jumped off, took Syura's hand, and pulled her onto the land (뭇). While helping Syura down like this, I too began to burn with passion. So, I couldn't just leave her be.

I embraced her tightly. And I gave her thin lips a powerful kiss. Then I said to Syura,

"I am not as innocent a young man as you might think."

Hearing these words, Syura suddenly began to sob, "heuk-heuk." Leaning her body against mine, forgetting herself, she cried as if disappointed in everything. Endlessly! Boundlessly! Then she pushed me away and ran off, weaving through the wave-splashed rocks.

Startled, I watched Syura disappear with the moon's shadow, shouting,

"Syura! Syura! Hey! Syura! Syura!" I ran after her. But Syura's shadow never appeared before my eyes again.

Later, when I met her at the Solodoiji Adŭl Theater (솔로도이지 아뜰 극장) in Leninskaya (레닌스카야), she didn't even greet me.

This was the romance in a foreign land (異域) left to me 10 years ago.<27>

**Summary**

The author, Yun Hyŏngsik, recounts a youthful memory from ten years prior in Vladivostok. On a moonlit night, he takes a boat trip with a Russian friend, Syura, to a small island they call "Italian Park." Initial romantic tension builds, but after they land and he kisses her, confessing he isn't entirely naive, she reacts with tears and runs away, ending their closeness. This memoir captures a poignant moment of cross-cultural youthful romance and misunderstanding. From a historical perspective, the article offers a valuable personal glimpse into the social interactions between Koreans and Russians in Vladivostok during the Japanese colonial period, shortly before the forced deportations of Koreans from the Soviet Far East in 1937. It documents the use of the Sino-Korean name for Vladivostok (Haesamwi), mentions specific locations, and reveals a level of integration and personal relationships that complicates simpler narratives of the era.

**Named Entities**

伊太利 公園	이태리 공원	It'aeri Kongwŏn
입설에	입술에	On the lips (older spelling of 입술에)
주엇다	주었다	Gave (older spelling of 주었다)
그러케	그렇게	Like that, so (older spelling of 그렇게)
남기엿다	남겼다	Left (behind) (older spelling of 남겼다)
늣겨가며	흐느껴가며	Sobbing (likely older form/spelling of 흐느껴가며)
이저바리고	잊어버리고	Forgetting (older spelling of 잊어버리고)
끗업시	끝없이	Endlessly (older spelling of 끝없이)
한업시	한없이	Boundlessly (older spelling of 한없이)
달어나 바린다	달아나 버린다	Runs away (older form/spelling of 달아나 버린다)
놀나서	놀라서	Startled, surprised (older spelling of 놀라서)
함게	함께	Together (older spelling of 함께)
살어지는	사라지는	Disappearing (older spelling of 사라지는)
딸어서 달리엿다	따라서 달렸다	Ran following (older spelling of 따라서 달렸다)
안엇다	않았다	Did not (older spelling of 않았다)
맛낫슬 때	만났을 때	When (I) met (older spelling of 만났을 때)
남기여 준	남겨 준	Left for (me) (older spelling of 남겨준)
異域	이역	Foreign land, alien territory


---------------------------


잡지명	삼천리 제4권 제7호
발행일	1932년 06월 15일
기사제목	伊太利 公園의 하루밤
필자	尹亨植
기사형태	회고·수기

伊太利 公園의 하루밤
						尹亨植
이태리 공원이라면 로마의 빠르크나 베니-스의 酒場이나 풀로렌스의 화원을 누구나 연상할 것이다. 그러나 여기의 이태리 공원은 南歐의 이태리의 그것이 안이오 오호쓰크海 끗헤 적음 섬을 가르처 이태리 공원이라고 하는 것이니 알고 보면 싱거울 것이다.
내가 말하자는 이태리 공원은 海蔘威 건너편의 적은 섬이다. 나는 이 섬을 왜 이태리 공원이라는지 그것은 몰으지만은 엇젯든 해삼위에서 사는 그들은 이 섬을 가르처 이태리 공원이라고 말한다. 그래서 나도 이곳의 하로밤을 여기에 쓰기 위하야 제목을 『伊太利 公園의 하로밤』이라고 부치엿다. 이것은 별 문제로 하고 그 공원의 하로밤은 이러하엿다.
꼿업고 미인엄다는 쓸쓸한 스베리아 벌판에도 자최업시 밝은 달은 온-대지를 빗치워주는 것이엿다. 이 달 밝은 여름밤에 나는 슈라를 맛나려 갓다. 슈라도 그날은 나를 안타갑게 기다리엿든 모양이다. 내가 그 집 문에 들어서서 녹크를 하자마자 슈라는 나다려 『끼슬로바냐?』
하고 불으며 달려나오는 것이엿다. 나는 선듯 문박게서 그의 손을 잇글어 다니면서
『그래-나다. 우리 이태리 공원으로 놀러 가자. 달도 밝고 한데!』
『오! 모야 끼슬로바! 호로소!』
하고 외오치는 것이엿다. 그때 슈라는 언제든지 나를 「나의 끼슬로바」 라고 부르는 것이엿다. 끼슬로바라는 일홈은 슈라가 나를 부러주는 일홈이다.

그래서 그날 밤! 馬頭崖로 가서 슈라와 나는 뽀토를 저어가며 이태리 공원이란 섬을 찻저가는 것이엿다. 그 섬에는 슈라의 압빠가 고기를 잠느라고 초막을 지어놋코 어부들과 가티 밤을 새이고 잇는 것이엿다.
슈라는 이것을 핑게 삼어서 이 섬은 나와 가티 떠낫든 것이다.
고요-한 밤 드문드문 젓는 노는 물 우에 뜬 달을 천만 조각에나 깨트러 바리면서 소리 업시 멀-니 컴컴히 보이는 섬을 향하야 배를 저어 달니엿다. 얼마 동안 배 가는 대로 노를 젓다가 나는 달빗에 취하야 진주가티 빗나는 슈라의 얼골을 바리보다.
『슈라야 나는 너하고 언제든 이러케 저어갓스면...』
『무어?』
하며 슈라는 놀래는 듯이 나를 바라보다가 고개를 숙이고 말엇다. 참새가티 재재거리든 슈라도 내가 이 말을 하엿슬 때는 무엇이 붓그럽든지 고개를 숙여 바리고 말엇다. 그와 나는 동무요 한 꿀스의 학생이엿다. 그래서 슈라와 나는 性的 구별이 업시 동무로 눌러 다니엿지만은 오늘 밤에 내가 그의게 한 이 말은 그의 열분 가슴을 떨니게 하엿든 모양이다.
슈라만 가슴이 떨니엿든 것이 아니다. 나도 슈라와 가티 고개가 숙으러젓다. 그래서 젓든 노를 힘업시 쥔 채 달과 물에 씰니는 대로 흘너 나러가는 것이엿다. 얼마 동안이나 물결에 떠흘너 갓다가 나는 깜작 놀라서.
『야 야! 슈라야!』
『응?』
하고 슈라는 놀래서 사면을 살피다가.
『야! 끼슬로바야! 노 저어 노 저어.』
한다. 나는 다시 노를 저으면서.
『슈라야 이러케?』
『그래!』
그리고 슈라는 방끗 웃는다. 이것은 나의게 모-든 것을 허락한다는 암시인 것을 나는 일엇다. 배를 저어서 이태리 공원 섬에다가 대이고 나는 선듯 뛰여 나려서 슈라를 잇글어 잡어 다녀 뭇(육지)흐로 끌어 나리케 하엿다. 이러케 슈라를 안어 나리는 동안에 나도 정열에 타 오르기 시작햇다. 그래서 그를 그대로 둘 수는 업섯다.
나는 그를 끼여 안엇다. 그리고 그의 열분 입설에 힘잇는 키-스를 주엇다. 다음에 나는 슈라다려.
『나는 네가 생각하는 것과 가티 그러케 순진한 총각은 아니다.』하는 말 남기엿다.
이 말을 들은 슈라는 별안간에 흙흙 늣겨가며 우는 것이엿다. 그는 그의 몸을 나의게 실리우고 자기를 이저바리고 모든 것에 실망한 듯이 울엇다. 끗업시! 한업시! 그리고 그는 나를 뿌리치고 물결 치는 바위 사이를 굽이굽이 돌아 달어나 바린다.
나는 놀나서 달 그림자와 함게 살어지는 슈라를 바라보며
『슈라야! 슈라야! 야! 슈라야! 슈라!』하고 딸어서 달리엿다. 그러나 영영 슈라의 그림자는 두 번 다시 나의 눈에 보이지 안엇다.
그 후 레닌스카야에서 솔로도이지 아뜰 극장에서 그를 맛낫슬 때는 그는 나의게 인사조차 업섯다.
이것이 10년 전에 나의게  남기여 준 異域에서의 로맨스이엿다.<27>
