**Header Section**
Magazine Title: 삼천리 제5권 제1호
Publication Date: 1933년 01월 01일
Article Title: 映畵巡禮, 파社 特作 金髮의 女神 (Film Pilgrimage, Paramount Pictures Special Production: Blonde Goddess)
Article Type: 문예평론 (Literary Criticism/Review)

**Body Text Translation**
Film Pilgrimage, Paramount Pictures Special Production: Blonde Goddess (金髮의 女神)
Original Title: Blonde Venus (뿔론드·비―너스)
Director: Josef von Sternberg (죠세프·폰스탄벅)
Cast
Helen Faraday: Marlene Dietrich (마르레―네·디―트릿히)
Edward Faraday: Herbert Marshall (하―버―드·마―살)
Nick Townsend: Cary Grant (케리·크란트)
Johnny Faraday: Dickie Moore (닥키·무어)

Synopsis (梗槪)
The woman who blooms at night in the "Harem" cabaret! The woman nicknamed the Blonde Goddess sings cheerful songs amidst the blue and red waves of the cabaret's neon signs at night, but when she returns home, she is a wife and mother who must nurse her bedridden husband Edward (에드와-드) and soothe her young son Johnny (쪼니), who searches for his mother asking for milk. Her real name is Helen Faraday (헬렌 파라디).

Because of her livelihood, truly because of her livelihood, she must leave behind her husband, who watches her departure resentfully, and her beloved baby, who clings to her skirt, to sing jazz (쟈즈) on the cabaret stage (스텐드).

Gold causes mischief everywhere. A wealthy young man who appears at this cabaret hears Helen's difficult story and feels great sympathy for her situation. Helen looked up to Nick's (닉크) warm heart as if it were the sun appearing in the dark night of her fate (運命). Nick decided to arrange for a sanatorium (療養所) for Helen's husband, Edward. "Is it true?" Helen's eyes filled with tears of gratitude.

Time passed, and Edward, having recovered from his illness during that time, suddenly returned home from the sanatorium. When he returned, the situation at home appeared very changed to his eyes. When he felt that he was already someone whose connection to that house had been severed, being a man, he instead chased Helen out of the house. And he even takes Johnny away.

Helen, misunderstood by her husband, realized that no matter how much she tried to explain, it was useless, and simply left as she was chased out.

Once again, Nick appeared before Helen, who was wandering lost on the path of fate. Through Nick's introduction, Helen got to appear in a large theater (劇場) in Paris (파리/巴里). Unexpectedly, she achieved great success. Her reputation spread not only throughout Europe (구라파) but also across the Atlantic Ocean (大西洋) to America (아메리카).

Helen was eventually invited to a major theater in New York (뉴욕) and inevitably wanted to go to New York, where her husband and Johnny (쪼다 - *likely a typo for 쪼니*) were. Under Nick's protection, she set foot on the longed-for, resentment-filled land of New York. <88>

Johnny - the motherless baby - became ragged, thin, insignificant, and fretful. The appearance of the husband, too, holding the young baby in his arms and wandering from street to street, is endlessly shabby.

Helen's eyes, looking down upon her husband and Johnny wandering in the depths of misfortune, felt like her tear ducts were bursting.

Helen forgets everything and recklessly pulls Johnny into her arms and caresses him. Only then does the husband understand his wife's true heart and apologizes to her.

Thus, peace returned upon the heads of the three loved ones.

Song from "Blonde Venus" (「뿔론드·뷔―너쓰」의 노래)
Flowing silently through the depths of my heart
Giving beautiful sounds
Sing this lovely song of spring
Sing it over there too
Beyond the houses
Where the violets bloom
If you see the rose blossoms
Please tell them
"Be well" (『안령이 게십사』고 - *Formal closing*)

Mr. Sternberg's (「스탄박」氏) Conscience
This film is a Paramount (파社) special (스페씨알). The director is Mr. Josef von Sternberg (쬬깁폰·스탄박 - *alternate transliteration*), who rose to fame after making the acclaimed film "Those Who Seek Salvation" (救援을 엇으려는 사람들) and has since held the megaphone (메카폰) for superior films such as "Underworld" (暗黑街), "The Blue Angel" (歎息하는 天使), "An American Tragedy" (아메리카의 悲劇), "Morocco" (모롯코), "Dishonored" (間蝶X27), "Shanghai Express" (上海特急), occupying the top (톱푸) spot among world film directors. The lead actress is Miss Marlene Dietrich (마르레네 딧트릿희), who became a world-famous actress overnight in Germany (獨逸) through Sternberg's efforts in "The Blue Angel" and has since shown a series of fine performances in combination (콘비네손) with Mr. Sternberg, monopolizing popularity in '32.

However, there is an interesting episode (에피소-드) here. It is said that the thread of love became entangled between Mr. Sternberg and Miss Dietrich (?), who even has a husband and a precious child.

Mr. Sternberg, being an artist with self-respect who escaped the mentality of a hired director, intended to film after altering the movie introduced here, "Blonde Venus" (뿌론드 븨너-쓰), according to his own wishes.

At this time, the head of the cinematography department cautioning Mr. Sternberg became the fuse (도화선), leading to a clash, and when Mr. Sternberg ultimately resigned, Miss Dietrich also followed him out.

A huge sensation (셋세이슌) arose in the film world, and the employees of the Paramount (파社) studio, having respected Mr. Sternberg, tried to even start a strike (스트라익) to reinstate him.

Mr. Sternberg's influence was great. Eventually, the head of the cinematography department was dismissed, and the famous director and famous actress finally completed "Blonde Venus" (뿌론드 뷔너-쓰). <89>
<88-89>

**Summary**

This 1933 article from the Korean magazine *Samch'ŏlli* reviews the Paramount film "Blonde Venus," directed by Josef von Sternberg and starring Marlene Dietrich. It details the plot, where a cabaret singer (Dietrich) sacrifices her reputation to pay for her husband's medical treatment, leading to estrangement and her rise to fame in Europe before reuniting with her family in New York. The article includes lyrics from a song in the film and recounts a behind-the-scenes scandal involving Sternberg and Dietrich, their conflict with Paramount executives over creative control, and their eventual success in completing the film after studio employees threatened to strike in support of Sternberg. From a historical perspective, the article shows the keen interest Korean audiences had in Western, particularly Hollywood, cinema during the colonial period. It reflects the global reach of stars like Dietrich and directors like Sternberg, and the reporting on the production scandal indicates an awareness of off-screen Hollywood dynamics, presenting Sternberg as an uncompromising artist. The use of Japanese-derived loanwords like "sensation" (셋세이슌) and "strike" (스트라익) is also notable for the period.

**Named Entities**

파社	파사	Paramount Pictures (Pa Sa)
황금은 어대서든지 작난이 심하다. 이 「캬발레」에 나타나는 부자 청년 한 사람「헬렌」의 가진 고생스러운 이야기를 듯고 난 그는 「헬렌」의 신상에 몹시 동정한다. 「헬렌」은 그의 운명(運命)의 암야(暗夜)에 나타난 태양(太陽)처럼 「닉크」의 따스한 마음을 처다보앗다. 「닉크」는 「헬렌」의 남편 「에드와-드」의 료양소(療養所)를 어더 주기로 하엿다. 「참말임니까」 감사에 넘치는 「헬렌」의 눈에는 눈물까지 고엿다.
세월은 흘러서 「에드-와-드」는 그동안 병이 달러나서 료양소로서 갑작이 집으로 도라왓다.  도라와 보니 그의 눈에 비최는 집안의 사정은 매우 변하엿다. 그는 벌서 그 집에는 관게가 끈어진 자기인 것을 늣길 때에 그는 사나히라 오히려 「헬렌」을 집에서 쪼처낸다. 그리고 「쪼니」까지 빼서 둔다.
남편에게 오해를 산 「헬렌」은 아모리 변명하여도 소용이 없음으를 그만 쫏기는 대로 나와 버렷다.
또 다시 운명의 길에서 갈 줄 모르고 헤메는 「헬렌」의 아페는 「닉크」가 나타낫다. 「헬렌」은 「닉크」의 소개로 「파리」(巴里)의 어떤 큰 극장(劇場)에 출연하게 되엿다. 뜻밧게도 크게 성공하엿다. 그의 소문은 전 「구라파」뿐 아니라 대서양(大西洋)을 건너서 「아메리카」에까지 퍼젓다.
「헬렌」은 필경 「뉴욕」의 대극장에 초빙은 밧고서 불가치 남편과 「쪼다」가 잇는 「뉴욕」으로 가고 싶엇다. 그는 「닉크」의 보호를 바드면서 원한 만코 그립던 「뉴욕」의 땅을 밟엇다.  ＜88＞
「쪼니」- 어머니 없는 아기는 헐벗고 여위고 보잘것없이 초조해젓다. 어린 아기를 품에 안고 거에서 거리로 흘러 댕기는 그 남편의 모양도 한없이 초라하다.
불행의 저층에서 헤매는 남편과 「쪼니」를 구버보는 「헬렌」의 눈은 눈뿌리가 쏘다지는 것 갓다.
「헬렌」은 모-든 것을 이저버리고 함부로 「쪼니」를 끄러안고 애무해 준다. 남편도 그제야 안해의 진정을 알고 안해에게 사과한다.
이리하야 세 사랑의 머리 우에는 평화가 도라왓다.

「뿔론드·뷔―너쓰」의 노래
소리도 없이 나의 마음속 기푼 곳을 흘러가는
아름다운 소리를 주면서
불러라 사랑스러운 이 봄의 노래를
저곳에서도 불러다고
집들의 저 너머
『바이올렛』꽃피는 그곳에서도
『로-쓰』꽃을 보시거던
일러주세요
『안령이 게십사』고

「스탄박」氏의 良心
이 영화는 「파」社에 「스페씨알」이다.  감독은 명화 「救援을 엇으려는 사람들」을 만드러서 출세한 후 「暗黑街」 「歎息하는 天使」 「아메리카의 悲劇」 「모롯코」 「間蝶X27」 「上海特急」 등 우수영화의 「메카폰」을 드러서 세계 영화감독 중 「톱푸」를 점령하고 잇는 「쬬깁폰·스탄박」씨이며 주연은 獨逸서 「스탄박」씨의 힘으로 「歎息하는 天使」에서 일약 세계적 名女優가되어 그 후부터는 「스탄박」씨와의 「콘비네손」으로 조흔 연기를 연발해 보면서 32년의 인기를 독점한 「마르레네 딧트릿희」양이다.
그런데 여기예 자미잇는 「에피소-드」가 잇다. 스탄박씨의 夫君과 옥동자까지 가진 데드릿희 양(?)과는 사랑의 실마리가 얼키엿다 한다.
「스탄박」씨는 御用監督의 심리를 버서난 예술가로서 자존심이 잇기 때문에 여기에 소개하는 영화 「뿌론드 븨너-쓰」는 자기의 마음대로 개작한 후 촬영하려고 하엿다.
이때에 촬영부장이 「스탄박」씨를 주의식힌 것이 도화선이 되여 충돌이 생기여 「스탄박」씨가 결국 퇴사하자 「데드릿히」양도 氏를 따러나왓다.
영화계에서는 大大 셋세이슌이 이러나고 「파」社 촬영소 종업원은 「스탄박」씨를 존경하여 왓기 때문에 그를 복귀식히려고 「스트라익」까지 이르키려고 하엿다.
스탄박씨의 힘은 컷다. 필경 촬영부장이 면직당하고 명감독 명여우는 「뿌론드 뷔너-쓰를」 드듸여 완성하엿다. ＜89＞
＜88-89＞
