**Header Section:**
Magazine Title: 삼천리 (三千里) 제5권 제1호
Publication Date: 1933년 01월 01일
Article Title: 英國에 건너가 『파시즘』, 世界의 話題를 차저서 (Fascism Crosses Over to Britain, Seeking a Global Topic)
Author: 編輯局 (Editorial Department)
Article Type: 논설 (Editorial/Opinion Piece)

**Body Text Translation:**
It must be that there are many such places, but it was very recently that the Austrian authorities revealed that the headquarters of the Fourth International is in Vienna, the city of social democracy, the city of the Second International, surprising the eyes and ears of Europe. This fact itself is an irony. Mussolini himself declared, "In Italy, there is only one brain. And that is me," so it is a fact that Mussolini's thought will pass as the most correct thought within Italy. In any era, the ideology of the one who holds the power that dominates that era possesses the most legitimacy and currency. The majority of the populace takes off their hats before it. The form of thought is uniformly forced upon them.

However, despite Mussolini saying that Fascism is purely an Italian product and seemingly his exclusive patent, considering together the fact that the plan for the organization of the Fourth International, meaning the global formation of Fascists, that is, the "Fascist International," has finally surfaced, and the fact that according to the statements of the leaders of the aforementioned "Fascist International," Widemann and Artmann, they received guidance from "Comrades from the South," we believe our statement that "Fascism has crossed over to Britain" was not mistaken in its terminology.

Recently, we also encountered reports that the British Union of Fascists has clarified its banner under the leadership of Sir Oswald Mosley and begun to advance into the masses.
When Mosley broadcast Fascism to a crowd of thousands in Trafalgar Square, a part of the British populace enthusiastically applauded, while on the other hand, voices of criticism and attack were also loud. It is said that there was eventually even a direct clash between Fascists and members of the XX Party.

In recent Britain, there have been two golden opportunities for Fascism to rise. <100>
Years ago, when facing the difficulties of external troubles and internal worries, disputes within the Labour Party cabinet finally surfaced, and the situation became so complicated that it could not be resolved merely by a simple majority party cabinet, that is, by the normal course of parliamentary politics, Fascism emerged, claiming itself as the only suitable candidate to handle the national crisis.
At that time, Britain harbored 3 million unemployed and burdened the nation's head with the heavy load of an unemployment fund close to 1 billion won, so the people desperately hoped for some kind of breakthrough. However, when the cabinet of the majority Labour Party could only expose its meaninglessness, lack of control, and powerlessness, it goes without saying that the public's expectations did not turn towards the Conservative Party or the Liberal Party either.
At that time, parliamentary politics had already completely lost the trust of the populace. Oswald Mosley, noticing this and himself thoroughly disgusted with the useless complexity, procrastination, and powerlessness of parliamentary politics, kicked away the prestigious position of Chancellor of the Duchy of Lancaster like an old shoe, parted ways with Prime Minister MacDonald, and jumped out of the Cabinet. Not only that, but along with 17 comrades, he even seceded from the Labour Party to which he belonged and immediately issued a declaration, boldly asserting that the only way to save the economic crisis Britain faced at the time was the establishment of a dictatorship.
He says, "If we adhere to the tedious parliamentary politics handed down from the old era, it is undoubtedly almost impossible to cope with the economic crisis that Britain currently faces and resolve these difficult times."
It is not difficult to imagine the consternation and panic of the politicians of the Great British Empire when they sensed the alarming earthquake of a politician attempting to dig a tunnel under the very fortress of democracy, in the great headquarters of parliamentary politics, long admired like Mecca and Jerusalem by the believers of democracy.
Although there was no inclusion of Fascists in the cabinet, the rapid formation of the National Coalition Government led by MacDonald was, in fact, a compromise with Fascism in its <101> spiritual foundation. Why? Because a national cabinet is a somewhat weaker form of Fascist politics.
However, Mosley's ideology of dictatorship at that time had not yet completely shed the influence of parliamentarism. He said:
"First, fundamental revisions should be made to the organization of the government, and an emergency cabinet with a wide range of discretionary powers, limited to a certain period, should be established. I hope that five cabinet members, acting in perfect unity under a Prime Minister with practical power equivalent to a Dictator, will be appointed, and Parliament's role will be simply to concern itself only with the general direction of policy."
Since then, two years have already passed, the coalition cabinet again faced a crisis, saw the withdrawal of Philip Snowden, Herbert Samuel, Archibald Sinclair, and Isaac Foot from the cabinet last September, and although it temporarily recovered afterwards, it has not yet returned to the normal course of parliamentary politics.
This is the second chance for the rise of Fascism in Britain.
At this point, Mosley abandoned the conventional, compromising British-style Fascism, clarified his colours further, and advanced onto the forefront of the political scene.
He is the son-in-law of the famous Lord Curzon, a distinguished politician of aristocratic origin.
The British-made Hitler – his future will draw our attention for some time.
Throughout the world, parliamentary democracy cannot be a good organizer for the chaotic and disorderly capitalist mechanism. Even the capitalist magnates look forward to "whatever comes after it." Therefore, Fascism is being considered the best hygiene (衛生學) for reorganizing the XXist economy facing bankruptcy. They consider the other extreme political form dangerous, so they pay it no heed. That is indeed because it is not "what comes after" parliamentary politics, but "what comes after" XXism itself.
Insofar as Fascism, on one side, bases itself on nationalism, this will be a contradiction for Fascism's success.
This is because, amid the worldwide waves of the economic depression, arranging a national economic structure is hopeless. Italy's success is merely temporary and partial.
In this sense, the trend of the "Fascist International" on the one hand draws attention. <102>
<100-102>

**Summary**

This 1933 editorial from the Korean magazine *Samch'ŏlli* discusses the rise of Fascism beyond its origins in Mussolini's Italy, focusing specifically on its emergence in Great Britain under Sir Oswald Mosley. The author argues that the perceived failures and inefficiencies of parliamentary democracy, particularly in handling the economic crisis (Great Depression), created fertile ground for Fascist movements. Mosley's break from the Labour Party and call for dictatorial powers are presented as evidence of this trend. The article views the British National Coalition Government as a weak form of Fascism and sees Mosley's renewed, more radical push as Fascism's "second chance" in Britain. It concludes by noting the inherent contradiction in Fascism's nationalist basis during a global economic crisis and mentions the nascent "Fascist International" as a development to watch, while dismissing the "other extreme political form" (likely Communism) as a successor to capitalism itself, not just parliamentary democracy.

From the perspective of Korean colonial history, this article is interesting as it shows Korean intellectuals under Japanese rule actively observing and analyzing complex global political ideologies and shifts in major Western powers like Britain. It reflects an engagement with international affairs and debates about democracy versus authoritarianism, even from a colonized position. The discussion of Fascism as a potential successor to struggling capitalist democracies, and the implicit comparison with Communism (referred to vaguely as XXism or the "other extreme"), indicates the global ideological ferment of the era was keenly felt and interpreted in colonial Korea.

**Named Entities**

英國	영국	Yeongguk (Britain)
잇서서는	있어서는	In terms of, regarding (older spelling)
기조	기조	Keynote, underlying tone, basis
타협한	타협한	Compromised
미약한	미약한	Weak, feeble
팟쇼	파쇼	Fascio; Fascist (shortened form)
까닭이다	까닭이다	Is the reason
탈락하지는 못하엿다	탈락하지는 못하였다	Could not completely shed/escape (older spelling)
위선	우선	First, firstly
조직	조직	Organization
근본적	근본적	Fundamental
개정	개정	Revision, amendment
일정의	일정의	Certain, fixed
기한	기한	Period, term
한하야	한하여	Limited to (older spelling/form of 하여)
자유재량	자유재량	Discretionary power
비상시	비상시	Emergency time
독재보정관	독재보정관	Dictator (possibly 'Dictatorial Regent' or similar construction)
동등의	동등의	Equivalent, equal
실력	실력	Real power, actual capability
혼연일체	혼연일체	Perfect unity, one body
배치하고	배치하고	Arranging, positioning
임무	임무	Duty, task
방침	방침	Policy, direction
관여하게	관여하게	To be concerned with, to be involved in
햇스면 한다	했으면 한다	Hope/wish it would be done (older spelling)
이래	이래	Since then
세월	세월	Time, years
지낫고	지났고	Passed (older spelling)
빈하야	빈하여	Facing, being on the verge of (older form)
탈퇴	탈퇴	Withdrawal, secession
이르지 못하고	이르지 못하고	Has not reached, has not arrived at
종래의	종래의	Conventional, traditional
버리고	버리고	Discarding, abandoning
정계	정계	Political world, political scene
표면	표면	Surface, forefront
서식	서식	Son-in-law
귀족	귀족	Aristocrat, noble
출신	출신	Origin, birth
당당한	당당한	Distinguished, imposing
압날	앞날	Future
시선	시선	Gaze, attention
혼란무질서한	혼란무질서한	Chaotic and disorderly
자본주의	자본주의	Capitalism
기구	기구	Mechanism, structure
정리자	정리자	Organizer, arranger
업다	없다	There is not, cannot be (older spelling)
재벌	재벌	Chaebol, large financial conglomerate
고대한다	고대한다	Look forward to, anticipate
파탄	파탄	Bankruptcy, collapse, ruin
재편성	재편성	Reorganization
위생학	위생학	Hygiene (used figuratively here)
극단	극단	Extreme
위험시하고	위험시하고	Considering dangerous
잇스닛까	있으니까	Because there is (older spelling)
돌보지도 안는다	돌보지도 않는다	Doesn't even pay attention to (older spelling)
국민주의	국민주의	Nationalism
토대	토대	Foundation, basis
성공	성공	Success
모순	모순	Contradiction
공황	공황	(Economic) depression, panic
노도	노도	Angry waves, raging billows
일국적	일국적	National, pertaining to one country
정돈	정돈	Arrangement, ordering
가망	가망	Prospect, hope
업는	없는	Without, lacking (older spelling)
불과하다	불과하다	Is merely, is only
동향	동향	Trend, movement
주목된다	주목된다	Draws attention, is noted


---------------------------


잡지명	삼천리 제5권 제1호
발행일	1933년 01월 01일
기사제목	英國에 건너가 『파시즘』, 世界의 話題를 차저서
필자	編輯局
기사형태	논설

英國에 건너가 『파시즘』, 世界의 話題를 차저서
						編輯局
곳도 만을 터인데 사회민주주의의 도시 제2「인테내슈날」의 도시「뷘나」에 제4「인테내슈날」의 본부가 잇다는 것이 墺地利의 관헌의 손오로 판명되여서 歐洲의 이목을 놀내인 것이 극히 최근의 일이다. 이 사실 자체가 한 개의 「아이로니」다. 「뭇솔리니」는 그 자신이 「伊太利에는 두뇌는 하나 뿐이다. 그러고 그것은 나다.」라고 선언하엿슨 즉 「뭇소리니」의 생각은 伊太利안에 잇서서는 가장 정당한 생각으로 통용될 것은 사실이다. 엇더한 시대에도 그 시대를 지배하는 권력을 가진 자의 사상이 가장 정당성과 통용성을 가진다. 민중의 대부분은 그 아페서 모자를 벗는다. 사유형식은 일률적으로 강요되고 잇는 것이다.
그런데 「뭇솔리니」는 「파시즘」은 순수한 伊太利産이고 그의 전매특허인 것처럼 말하엿슴에도 불구하고 「파시스트」의 세계적 결성을 의미하는 제4「인터내슈날」 즉 「파시스트·인터내슈날」 조직의 계획이 필경 지표에 나타나고 마럿다고 하는 사실과 전기 「파시스트·인터내슈날」의 首腦者 「위다만」 밋 「아르트만」의 진술에 의하면 그들은 「南邦의 同志」로부터 지도바덧다고 한 사실을 한께 고려할 때 우리는 「팟시즘」이 英國으로 건너갓다고한 우리의 말이 용어상 착오가 없엇슴을 밋는다.

최근 또한 우리는 英國「팟시스트」同盟(British Union of Fascisxs)이 「써-오스왈드·모츨례이」의 지도 아래서 기치를 선명이 하고 대중 속에 진출하기 시작하엿다는 보도에 접하엿다.
「트라팔-가-」의 광장에서 「모즐레이」가 수천의 군중에게 향하야 「팟시즘」을 방송할 때 英國 민중의 일부는 열광하야 박수를 보냇고 한편에서는 또한 비난 공격의 소리도 노펏다. 필경 「팟시스트」와 XX黨員사이에는 직접 충돌까지 잇엇다고 한다.
최근의 英國에는 「팟시즘」이 대두할 두 번의 절호의 기회가 잇엇다. ＜100＞
年前 外憂內患의 난관에 부대처서 勞働黨 내각의 내부에 분쟁이 필경 표면화하야 단순한 多數黨의 내각에 의하여서만 다시 말하면 의회정치의 常道에 의하여 만은 수습할 수 없을 만치 사태가 복잡해젓슬 때 「파시즘」은 난국에 처할 유일한 적임자로 자신하면서 등장하엿다.
당시의 영국은 3백만의 실업자를 품고 잇으면서 국민의 머리 우에는 10억 만원에 갓가운 실업기금의 重荷를 부담시키고 잇는 터이라 국민 무슨 종류던지의 타개를 바라 마지 안엇다. 그러치만 다수당인 勞働黨의 내각이 의미 무통제와 무력을 폭로활 수 밧게 없을 때에 그박게 保守黨과 自由黨에 민중의 기대가 향하지 안엇슬 것은 물론이다.
그때 벌서 의회정치는 민중의 신임을 아주 일허버린 것이다. 여거에 눈치챈 그러고 그 자신이 의회정치의 쓸데없는 복잡과 遷延과 무력에 壓症이 날대로 난 「오스왈드 모즐레이」는 「란카스터-」公領尙書의 榮職을 헌신작처럼 차 버리고 수상 「맥도날드」와 손을 나누고 閣外로 뛰여나왓다. 그 뿐 아니라 동지 17명과 함께 그가 소속한 勞働黨에서까지 탈당하고 곳 선언서를 발표하여서 당시 英國이 직면한 경제적 위기를 구원하는 길은 獨裁制의 수립 이외에는 없다고 대담하게 주장하엿다.
그는 말한다 「낡은 시대로부터 전래하는 지리한 의회정치를 墨守하고 잇어서는 현재 英國이 봉착한 경제적 위기에 당하야 그 인난한 시국을 수습한 수는 거의 불가능함에 틀림없다.」고
오래동안 「데모크라시」의 신자들의 「멕카」오 「예루살롐」처럼 흠모밧고 잇던 의회정치의 大本山에서 「데모크라시」 그것의 城壘미테 坑道를 파려고 하는 놀라운 지진을 大英帝國의 정치가가 感震햇술 때의 그들의 蒼皇狼狽는 가히 상상하기에 어렵지 안타.
「맥도날드」를 수반으로 한 국민협력내각이 급속히도 조직된 것은 비록 「파시스트」의 입각은 없엇슬지언정 同내각의 정신적 기조에 ＜101＞ 잇어서는 「팟시즘」에 타협한 것이 사실이다. 웨 그러냐 하면 국민내각이라 함은 좀 더 미약한 「팟쇼」적 정치형태인 까닭이다.
그런데 당시의 「모즐레이」의 獨裁制制思想은 아직도 의회주의의 영향을 완전이 탈락하지는 못하엿다. 그는 말하엿다.
「위선 정부의 조직에 대하야 근본적 개정을 행하고 일정의 기한에 한하야 넓은 범위의 자유재량의 權을 가진 비상시 내각을 수립할 것이다. 사실상 獨裁報政官과 동등의 실력을 가진 수상아래 혼연일체를 이루어 활동하는 5명의 閣員을 배치하고 의회의 임무로는 단순이 정책의 일반 방침에 대하여서만 관여하게 햇스면 한다.」
이래 그 후 벌서 2개년의 세월이 지낫고 협력내각은 다시 위기에 瀕하야 지난 9월에는 「필립스노-덴」 「하-버-트사뮤엘」 「아-취볼드 씽클레아」 「아이작 후-트」 등의 내각탈퇴를 보앗고 그 후 일시는 수습하엿스나 의회정치의 常道에 회복하기에는 이르지 못하고 잇다.
이것은 英國에 잇어서의 「팟시즘」 대두의 제2의 「촨쓰」라.
이에 「모즐레이」는 종래의 타협적인 英國식의 「팟시즘」을 버리고 더 한층 색채를 선명이 하고 정계의 표면에 진출하엿다.
그는 유명한 「카-존」卿의 婿息이오. 귀족 출신의 당당한 정치가다.
英國製 「힛틀러」- 그의 압날은 얼마 동안 우리들의 시선을 끌 것이다.
세계를 드러서 의회주의 「데모크라시」는 혼란무질서한 자본주의 기구의 조흔 정리자일 수는 업다. 「그 뒤에 올 무엇」을 자본가 재벌까지 고대한다. 그래서 「팟시즘」이 파탄에 직면한 XX주의 경제의 재편성을 위한 가장 조흔 衛生學으로서 생각되고 잇다. 또 다른 극단의 정치형태는 그들은 위험시하고 잇스닛까 돌보지도 안는다. 그것은 실로 의회정치의 「그 뒤에 오는 것」이 아니고 XX주의 「그것의 뒤에 오는 것이」기 때문이다.
「팟시즘」이 그 일면에 잇서서 국민주의를 그 토대로 하고 잇는 이상 그것은 팟시즘의 성공 잇서서 한 개의 모순이 될 것이다.
경제공황의 세계적 노도 속에서 一國的인 경제기구의 정돈은 가망이 업는 까닭이다. 伊太利의 성공은 일시적 부분적인 것에 불과하다.
이런 의미에서 일방에 잇서서 「팟시스트 인터내슈낼」의 동향이 주목된다. ＜102＞
＜100-102＞
