Magazine Title: 삼천리 第五卷 第一號
Publication Date: 1933년 01월 01일
Article Title: 印度雜感 (Miscellaneous Thoughts on India)
Author: 李如星
Article Type: 세태비평 (Social Commentary/Critique of the Times)

印度雜感
						李如星

The Indian movement grows strong in 'numbers' (衆) and weak in 'diversity' (多).

India is unified in 'divinity' (神性) but divided by religion.

Britain lives off India's land, profits, and 'division' (分裂).

India's bones grew strong with religion, but its blood runs dry because of religion.

However, India's anti-religion movement is like a water sprinkling truck (撒水車) in a tropical city.

The boycott movement of Indians is a way to gather the loyalty of Indian capitalists.

The picketing (人造障碍 - man-made obstacle) movement of Indians is the new fortress-building technique (新築城術) of non-violent Indians.

'Gandhi' (간디) lacks physical power (力) but has spirit (氣); he has light (光) but lacks heat (熱).

'Nehru' (네루) says, "India is 'more than Gandhi' (깐듸 以上)."

'MacDonald' (맥도날드) says, "India is 'less than Willingdon' (윌링톤 以下)."

Sparks fly as things move 'upwards' (以上) and 'downwards' (以下).

Hindu (印度敎徒) vs. Muslim (回回敎徒)

'Brahman' (뿌라만) vs. 'Untouchable' (언텃취에불) <42>

British India (英領印度) vs. Princely States (王候領)

These are India's endemic diseases (土疾).

'Gandhi' (깐듸) is a straight line. But sometimes, when passing through a prism (三菱鏡), he is a curve.

The enemy 'Irwin' (어-윈) is discount sales (割引賣),

The enemy 'Willingdon' (윌링톤) is fixed-price sales (正札賣),

Who will profit more?

Since India's purchasing power is gone, both are 'in recession' (不景氣).

The National Congress resolved for the third time to implement the non-cooperation movement.

'Gandhi' (깐듸) was imprisoned for the third time.

The National Congress and 'Gandhi' (깐듸) are in step (발이 맛는다).

Founding Congress of the Communist Party of India (印度共産黨結黨大會) held in 'Cawnpore' (콘포-레) (1924), Provisional Government of India (印度假政府) established in 'Peshawar' (페샤와르) (1931), between left and right (左右間).

The First Round Table Conference (第 1 圓卓會議) was a speech contest for the pro-British faction (親英派).

The Second Round Table Conference (第 2 圓卓會議) was an exhibition of eccentrics (奇人).

Are hosted spectacles (主體物) popular in Britain? Is it a cultural movement?

Even the British called 'Gandhi' (깐듸) a sacred hero (聖雄). To feed a saint prison food (콩밥 - lit. beans and rice) three times! Can the bells of London's (倫敦) St. Thomas's Temple (센트토마쓰寺) still be heard?

India has the 'colors' (彩色) of 'Sapru' (사풀), 'Jinnah' (진나), 'Gandhi' (깐듸), 'Bose' (뽀-쓰), 'Nehru' (네루), 'Patel' (까파), 'Roy' (로이). If you apply them in order, from white to yellow, yellow to orange, orange to red, the colors gradually intensify (緊하여 진다).

'Willingdon' (윌링톤) banned the fundraising for the National Movement, prohibited the customary convening of the National Congress, and issued unprecedented new suppression orders (彈壓令). But elephants live for three centuries (三世紀); if the ban doesn't add a note (註) specifying three centuries, it's invalid (無效).

After 'Gandhi's' (깐듸) imprisonment, a resistant non-cooperation movement arises.

After 'Gandhi's' (깐듸) release, a non-resistant non-cooperation movement arises. Better to release him. <43>

**Summary**

This article by Yi Yŏsŏng offers a critical Korean perspective on the Indian independence movement in the early 1930s. It highlights the internal divisions within India (religious, caste, political factions) and characterizes British rule as exploitative, feeding on these divisions. The author analyzes key figures like Gandhi and Nehru, portraying Gandhi as spiritually powerful but lacking practical heat, and contrasts British administrators Irwin and Willingdon. The piece comments on the cyclical nature of non-cooperation movements and Gandhi's imprisonments, sceptically viewing events like the Round Table Conferences. For historians studying Korean colonial history, this article is interesting as it shows a contemporary Korean intellectual analyzing another anti-colonial struggle. It reveals how Koreans under Japanese rule might have viewed other independence movements, drawing parallels or contrasts, and reflects a sophisticated, albeit critical, engagement with international anti-imperialist politics from a colonized perspective. The commentary on divisions and British exploitation likely resonated with the Korean experience.

**Named Entities**

印度	인도	Indo
印度人의 『보이콧』운동은 인도인 자본가의 충성을 거더 드리는 방법이다.
印度人의 『피켓』(人造障碍)운동은 無抵抗 인도인의 新築城術이다.
『간디』는 힘(力)이 업스나 기운(氣)이 잇고 빗(光)이 잇스나 熱이 업다.
『네루』 曰 『印度는 「깐듸」 以上』
『맥도날드』 曰 『印度는 「윌링톤」 以下』
以上으로 오르고 以下로 나리는 통에 火花가 뛴다.
印度敎徒 對 回回敎徒
『뿌라만』 對 『언텃취에불』 ＜42＞
英領印度對王候領
이것은 印度의 土疾이다.
『깐듸』는 1개의 직선이다. 그러나 각금 三菱鏡을 통과할 때는 곡선이다.
敵人 『어-윈』은 割引賣,
敵人 『윌링톤』은 正札賣,
이익은 누가 만히 볼 것인가
印度의 구매력이 업스니 이도저도 『不景氣』
국민회의는 제3차로 非協同運動實行決議.
『깐듸』는 제3차로 入獄
국민회의와 『깐듸』는 발이 맛는다.
『콘포-레』에 印度共産黨結黨大會(1924년)개최, 『페샤와르』에 印度假政府설립, (1931      년)左右間
第 1 圓卓會議는 親英派의 웅변대회,
第 2 圓卓會議는 奇人의 觀賞대회,
英國에 주최물이 성행하니 文化運動인가.
英人도 『깐듸』를 聖雄이라 하엿다. 聖者를 세 번이나 콩밥을 먹이다니 倫敦 『센트토     마쓰』寺의 종소리는 아즉 들니는가.
印度에는 『사풀』, 『진나』, 『깐듸』, 『뽀-쓰』, 『네루』, 『까파』, 『로이』라는 彩色이 잇     다. 그것을 순서로 칠하면 백색에서 황색으로, 황색에서 주황색으로, 주황색에서 적색으     로 색채는 漸次로 緊하여 진다.
『윌링톤』은 國民運動의 자금조달금지, 恒例의 국민회의소집 금지, 전례업는 新 탄압령을     나렷다. 그러나 象은 3세기를 壽하나니 금지에도 3세기란 註를 달지 안흐면 無效다.
『깐듸』의 入獄後는 저항적 비협동 운동이 일어나고,
『깐듸』의 出獄後는 무저항적 비협동 운동이 일어난다  차라리 出獄시킬 일. ＜43＞
＜42-43＞
