Magazine Title:	삼천리 제13권 제11호
Publication Date:	1941년 11월 01일
Article Title:	臨戰愛國者의 大獅子吼!!, 太平洋風雲의 展望 (Great Lion's Roar of a Wartime Patriot!!, Outlook on the Turbulent Situation in the Pacific)
Author:	申興雨(高靈興雨) (Shin Hŭng-u (Koryŏng Hŭng-u))
Article Type:	논설 (Editorial/Opinion Piece)

Great Lion's Roar of a Wartime Patriot!!, Outlook on the Turbulent Situation in the Pacific
						Shin Hŭng-u (Koryŏng Hŭng-u)

To foresee the present and the future, it is necessary to reflect on the past.
Although it is generally known that the first crossing of the Pacific Ocean (太平洋) was by Spain's Magellan around the 16th century, in truth, a thousand years before that, in the 5th century, a yellow race Chinese (支那人) Buddhist monk crossed first and went to Mexico (墨西哥). And only in 1521 did Magellan finally round the southern tip of the South American continent, reach the South Pacific, cross from there, and come as far as the Philippines (比律賓). He engaged in unreasonable actions with the islanders and ended up being killed.

In any case, from this time, the various islands (諸島嶼) of the Pacific Ocean turned into hunting grounds for Europeans to acquire colonies, and among them, Britain's harvest was large due to the activities of Britain's Captain Cook. To list the colonies of the European white people roughly: first, in 1508, the Portuguese occupied a part of Sumatra, which reverted to the Netherlands (和蘭國) in 1819. Java was occupied by the Portuguese in 1511 and reverted to the Netherlands in 1705. New Guinea was discovered by white people in 1511, mostly reverted to the Netherlands in 1545, the remainder belonging to Britain in 1828, and another part was occupied by Germany (獨逸), later placed under Australian (澳太利) administration after the European Great War. Celebes (쎌레베스) was discovered in 1512 and reverted to the Netherlands in 1607. Borneo (뽀-니오) was discovered in 1521, reverted to the Netherlands in 1607, and a part became British possession in the early 19th century. The islands mentioned above are what is called the Dutch East Indies (蘭領印度) today, said to be number one in the world in terms of resources. <26> And the Australian continent (澳太利洲) was discovered in 1521 and became a British colony in 1770. New Zealand (新西蘭) was discovered by the Englishman Tasman in 1642, rediscovered by Captain Cook in 1773, and has belonged to Britain since 1839.

Hawaii was discovered in 1527, rediscovered by Captain Cook in 1778, remained an independent nation, but was annexed by the United States (米國) in 1900. The Alaska (알라스카) Peninsula at the northwest tip of the North American continent and the Aleutian Islands (알루시안諸島) extending from there towards the Asian continent were discovered by the Dane Bering, employed by the Russian (露西亞) government. Later, in 1867, the United States bought them for 7.02 million dollars, and in 1900, established civil administration and judicial districts there, confirming them as US territory. The Philippines, as mentioned above, were discovered in 1521, became Spanish territory from 1571, and then in 1898, taking the opportunity of a Filipino rebellion, after the US-Spanish naval battle in Manila harbor, the US gave Spain 20 million dollars as compensation and made it its own territory. The movement of the Filipino Aguinaldo, resisting the US, ultimately ended in failure.

Following this, the United States occupied Wake Island (웨잌島) and Guam Island (꾸암島), linking the US mainland and the Philippines, and also utilized Midway Island (믿웨이島) five years later, and acquired Yap Island (얍島) after the European Great War.
Thus, the US naval bases we see today connect the US mainland, Hawaii, Guam, and Manila. The first line of operations forms a triangle connecting Alaska, Hawaii, and important zones in Southern California (南加州). Currently, the air route involves seaplanes flying via Oakland or Los Angeles in California (加洲) to Manila as the final destination, and passing Alaska to the Aleutian Islands as the terminus, simultaneously posing a military threat to Asia (亞細亞).

So, whose sphere of activity will the Pacific become in the future? Will today's yellow race become the pioneers, just as the yellow race did 1500 years ago? Or will we entrust all this to the Europeans and Americans (歐米人) and give up? Absolutely not! We must never yield. Look at the culture, religion, geography, history, and population of the yellow race. It is superior to anyone else's. <27> Not only that, but the time has now come for a new, even greater resurgence (發興). Asia's religions dominate all of humanity worldwide. East Asia's Hanja (漢字) are a vast treasure trove of human culture. The military power of the Mongols conquered as far west as Europe (歐羅巴). The current population exceeds 500 million, and furthermore, other races surrounding us, looking up to and expecting our movements, amount to 450 million. If from 100 million to 500 million, and from 500 million to 1 billion, unite and strive together step by step, there will be nothing impossible on this earth.

Who is the pioneer of this resurgence movement now? This needs no explanation: it is the Empire of Japan (日本帝國). It is the vanguard and harvester of the East (東洋). It cleared away and forced the retreat of the power coming from Europe in Manchuria (滿洲) 36 years ago, and in Shandong (山東) 26 years ago. Now it is in the midst of clearing away the power of Europe and America (歐米) from all of China (支那).

Let us examine the position of the Empire of Japan. In past eras, humanity considered continents advantageous. However, now that navigation and aviation skills have developed and are developing further, it is well understood that nations possessing extensive coastlines rather than continents are most advantageous. Japan faces the world's number one ocean, the Pacific, to its front, and has the number one continent, Asia, behind it. Furthermore, after the Paris Peace Conference (巴里講和), it governs the Caroline Islands (가로리나群島), Mariana Islands (마리아나群島), and Marshall Islands (마-쇌群島) scattered in the middle of the Pacific, which have become our very own advance *area, so geographically speaking, it holds a divinely bestowed advantage for dominating the Pacific. From now on, it must exert all its strength not only for East Asia (東亞) but also for the happiness of the various peoples living in Oceania (大洋洲). This is the mission of our yellow race and the Holy Task (聖業) of the Empire of Japan. The various peoples of Asia, together with the Empire of Japan which has stepped forward to the front lines (陳頭), must achieve this supreme objective; this is the great duty of all. In this situation, if there were a true hero in the Chongqing Government (支那 重慶政府) of China, they would forget local, minor issues and, without the slightest shame, henceforth shake hands with the Empire of Japan and cooperate and strive forward in this great enterprise.

Only by doing so will the qualifications and value of a great people emerge. What role does our Peninsula (半島) have?
I want to say this without hesitation. We must lay down our lives and property to ensure this is achieved. What is done out of duty will become voluntary, and what is done voluntarily will become joyful self-sacrifice (自樂的). <28> The fate and happiness of countless future generations depend on this.
Therefore, first, we must comply with national policy (國策) and offer our labor (勞務) without hesitation, and exert ourselves in all other aspects, wherever and whenever.

For example, if there are student youths among the audience here, they must offer both their physical effort (努力) and mental effort (腦力) in service (奉公). Why? Because although tactics are necessary in war now, economic, governmental, population, industrial, and general heavy industry science are absolutely essential.
Confronted with those people's large aircraft carrying 40-50 passengers across the Pacific, we must quickly conceive plans to attach wings to large ships like the Asama Maru (淺間丸), carrying 2,000-3,000 people across the Pacific, to achieve the great task. Faced with what those people boast of now – being able to cross the Atlantic carrying cannons and machine guns and return without landing – you here must quickly formulate plans to attach wings to Imperial warships like the Kongō (金剛) or Nagato (長門), enabling them to cross the Pacific and return with capacity to spare.

Who will be the final victor in the turbulent Pacific situation? It will be those who exert their physical and mental efforts joyfully (自樂的) in all the various fields of human activity mentioned above, are loyal to the Sovereign and the Nation (君國) and filial to their parents, and based on the fundamental psychological principle of this loyalty and filial piety, make 100 million become of one mind (一心) and 500 million become of one mind. (Applause) <29>

**Summary**

The article, written by Shin Hŭng-u in 1941, presents a historical overview of Western colonization in the Pacific, arguing it was a predatory act against Asia. It posits that the time has come for the "yellow race," led by the Empire of Japan, to reclaim its rightful place and dominance in the Pacific and Asia, freeing it from Western influence. Shin calls upon Koreans ("our Peninsula") to wholeheartedly support Japan's "Holy Task" by sacrificing lives, property, and labor ("joyful self-sacrifice") for the war effort, aligning completely with Japanese national policy and contributing intellectually and physically to achieve victory and build a future where Asians, united under Japan, control their destiny. This piece is highly significant for historians as a clear example of pro-Japanese collaborationist ideology articulated by a prominent Korean intellectual during the height of wartime mobilization. It reveals the arguments used to justify sacrificing Korean interests for the Japanese imperial cause, framing collaboration as a patriotic act for a larger Asian resurgence and appealing to concepts of racial unity, historical destiny, and traditional values like loyalty and filial piety redirected towards the Japanese Emperor and state.

**Named Entities**

申興雨	신흥우	Shin Hŭng-u
공출하다	공출하다	To provide; supply (often forced contribution during wartime)
기타	기타	Others; the rest
방면	방면	Field; aspect; direction
진력하다	진력하다	To exert oneself; strive
예컨대	예컨대	For example; for instance
청중	청중	Audience
청소년	청소년	Youth; young people
노력	노력	Effort; exertion (physical)
뇌력	뇌력	Mental effort; brainpower
아울러	아울러	Together; concurrently
봉공하다	봉공하다	To serve (the public/nation/emperor)
웨그러냐 하면	왜 그러냐 하면	Because; The reason is (older spelling/form)
전술	전술	Tactics
경제적	경제적	Economic
정부적	정부적	Governmental (less common term)
산업	산업	Industry
중경공업	중경공업	Heavy and chemical industries (abbreviation)
과학일반	과학일반	General science
대형	대형	Large size; large scale
비행기	비행기	Airplane
기선	기선	Steamship
날개	날개	Wing
설계	설계	Plan; design
급속히	급속히	Rapidly; quickly
자랑하다	자랑하다	To boast; be proud of
대포	대포	Cannon; artillery
기관총	기관총	Machine gun
불착륙	불착륙	Without landing; non-stop flight
군함	군함	Warship
여유	여유	Room; leeway; surplus capacity
만치	만큼	As much as; to the extent that (older spelling of 만큼)
최후	최후	The last; final
승리자	승리자	Victor
각방면	각방면	Each field; every aspect
충실하다	충실하다	To be loyal; faithful
효하다	효하다	To be filial; practice filial piety
토대적	토대적	Fundamental; basic
원리	원리	Principle
심리	심리	Psychology; mentality
일심	일심	One mind; unity of heart/purpose


---------------------------


잡지명	삼천리 제13권 제11호
발행일	1941년 11월 01일
기사제목	臨戰愛國者의 大獅子吼!!, 太平洋風雲의 展望
필자	申興雨(高靈興雨)
기사형태	논설

臨戰愛國者의 大獅子吼!!, 太平洋風雲의 展望
						申興雨(高靈興雨)
현재와 미래를 전망함에는 과거를 회고할 필요가 있습니다.
太平洋 처음횡단은 대개 16세기에 西班牙 마젤렌이 한 줄로 알지만 사실은 그 보다 천년 전에 즉 5세기에 황인종 支那人 불교승려가 먼저 횡단하여 墨西哥에 간 일이 있습니다. 그리고 1521년에 비로소 마젤렌이 南亞米利加 大陸의 남단을 회항하여 南太平洋에 이르러서 거기서 횡단하여 比律賓까지에 왔든 것이오. 그는 島民들과 無理한 행동을 하다가 살해를 당하고 말었든 것입니다.
하여간 이때로부터 太平洋의 諸島嶼는 歐羅巴人의 식민지 획득하는 수렵장으로 化하였으며그 중에도 英國人 쿡大佐의 활동에 의하여 英國의 수확이 큰 것입니다. 歐羅巴백인의 식민지를 大槪 열거하자면 첫째로 1508년에 葡萄牙人이 스마츄라의 일부를 점령하였다가 1819년에 和蘭國에 귀속하고 쟈바는 1511년에 葡萄牙人이 점령하였다가 1705년에 和蘭에 귀속되고 新끼니아는 1511년에 백인에게 발견되어 1545년에 대부분이 和蘭에 귀속되고 나머지는 1828년에 英國에 속하였으며 또 일부분은 獨逸에게 점령되였다가 歐洲大戰亂 후에 澳太利의 통치하에 置하게스리 되었으며 쎌레베스는 1512년에 발견되어 1607년에 和蘭에 귀속되었으며 뽀-니오는 1521년에 발견되어서 1607년에 和蘭에 귀속되었다가 일부분은 19세기초에 英國의 소유가 되었으니 이상에 말한바 諸島는 今日의 소위 蘭領印度라 하는 것인데 富源으로 말하면 세계의 일이라고 합니다.＜26＞ 그리고 澳太利洲는 1521년에 발견되어 1770년에 英國의 식민지로 돠었으며 新西蘭은 1642년에 英國人 타스만에게 발견되었다가 1773년에 쿡大佐에게 재발견되었으며 1839년부터 英國에 귀속된 것입니다.
하와이는 1527년에 발견되어서 1778년에 쿡大佐에게 재발견되었으나 독립국으로 있다가 1900년에 米國에 합방되었으며 北亞米利加大陸의 서북단에 있는 알라스카半島와 그리로 부터 亞細亞大陸을 향하여 뻐처있는 알루시안諸島는 露西亞정부에서 고용한 丁抹人 빼-링이 발견하여서 그후 1867년에 米國에서 702만불을 주고 매수하고 1900년에 거기에다가 民政 及 司法區域을 설정하여 米國의 국토로 확실케 하였으며 比律賓은 이상에 말한바와 같이 1521년에 발견되어 1571년부터 西班牙의 영지로 되었다가 1898년에 比律賓人의 반란을 기회로 하여 마닐라항 내에서 米西海戰이 있은 후에 米國서 2천만불을 대가로 西班牙에 주고 자국영지로 만드러서 比律賓人 아귀날도의 운동은 米國을 반항하다가 畢竟 실패에 도라가고만 것입니다.
이 뒤를 이어서 米國에서는 米國本洲와 比律賓을 연쇄시키는 웨잌島 꾸암島를 점령하였으며 또는 믿웨이島를 그후 5년에 이용하였고 歐洲大戰亂 후에 얍島를 소유로 한 것입니다.
그리하여 今日 우리가 보는 米國의 해군근거지는 米國本洲로부터 시작하여 하와이, 꾸암, 마닐라를 연결시켜 있으며 작전 제1선은 알라스카, 하와이, 南加州의 중요지대를 삼각형으로 만드러 가지고 있으며 현재 항공로로는 加洲, 옥클랜드나, 로스앤즐을 경유하여 마닐라를 종점으로 하여 수상비행이 알라스카를 지나 알루시안島를 종점으로 하는 동시에 이는 군사상으로 亞細亞에 대한 위협이 되는 것입니다.
그러면 장래에 太平洋은 누구의 활동지대가 될 것인가? 1500년전에 황인종이 한 것과 같이 오늘의 황인종이 선구자가 될 것인가. 그렇지 못하면 우리는 저 歐米人에게 이 모든 것을 맡겨버리고 마는 것인가? 결코 단 아닙니다! 우리는 절대로 양보하여서는 안됩니다. 황인종의 문화, 종교, 지리, 역사, 인구를 보십시오. 누구의 것보담도 優勝한 것입니다.＜27＞ 뿐만 아니라 이제는 새롭게 더욱 위대하게 發興할 機運이 도라왔습니다. 亞細亞의 종교는 전세계인류를 지배하고 있는 것입니다. 東洋의 한자는 인류문화의 막대한 보고입니다. 蒙古人의 무력은 西으로 歐羅巴까지 정복하였습니다. 현재의 인구는 5억에 넘치며 뿐만 아니라 인근에 둘러있어 우리의 動向을 촉망 기대하는 타인종들이 4억 5천만에 달합니다. 1억으로부터 5억, 5억으로부터 10억까지가 계단적으로 合致奮發한다면 이 지구상에 능치 못할 것이 없을 것입니다.
지금 이 發興運動의 선구자는 누구일까? 이는 설명할 것이 없이 日本帝國입니다. 東洋의 선각자요 수확자입니다. 歐羅巴에서 불려오는 세력을 滿洲에서 36년 전에. 山東에서 26년 전에  청산 후퇴시켰고 지금은 歐米의 세력을 支那전부에서 청산시키는 중입니다.
日本帝國의 지위를 살펴보기로 합시다. 과거시대에는 인류가 대륙을 유리하게 여겼습니다. 그러나 지금 항해술과 항공술이 발달되였고 더욱 발달되어 가는 데에서 대륙보다 해안을 많이 가진 국가가 가장 유리한 것을 熟知하는 바입니다. 日本은 세계에 제일 되는 大洋을 즉  太平洋을 앞여 두고 또는 제일되는 대륙을 즉 亞細亞를 뒤에 두고 있으며 또는 巴里講和후에 太平洋가운데에 흩어저있는 가로리나群島와 마리아나群島와 마-쇌群島를 통치하고 있어서 곧 우리의 전*지역이 되어있으니 위치로 보아 太平洋을 제패하는데 천부적 有利라고 하겠습니다. 이제로부터 東亞는 물론이고 大洋洲에 생활하는 諸民族의 행복까지를 위하여 전력하지 안으면 안될 것입니다. 이것이 우리 황인종의 사명이오 日本帝國의 聖業입니다. 陳頭에 나선 日本帝國과 더부러 亞細亞諸民族은 이 최고 목적에 달케 하여야할 것이 전체의 지대한 의무입니다. 여기에 있어서 支那 重慶政府에 참다운 영웅이 있다면 局部的 소문제를 망각하고 조금도 부끄럼이 없이 이제부터 日本帝國과 악수하여 가지고 이 대업에 협력 매진할 것입니다.
이렇게 하는 데에서 비로소 대국민의 자격과 가치가 나타나는 것입니다. 우리 半島에는 어떠한 역할이 있는가?
나는 서슴지 않고 이렇게 말하고 싶습니다. 우리는 생명과 재산을 내여놓아 가지고 이것이 성취되도록 하여야 할 것입니다. 의무적으로 하는데서 자발적으로 자발적으로 하는 데에서 自樂적으로 하게될 것입니다.＜28＞ 여기에는 今後 천만대의 운명 행복이 달린 것입니다.
그런다면 첫재로 우리가 국책에 순응하여 勞務를 주저없이 供出할 것이며 기타 모든 방면으로 어디서나 언제거나 盡力할 것입니다.
예컨대 여기 청중 가운데에 학생청소년이 있다면 그들은 노력과 뇌력을 아울러 奉公하여야 할 것이니 웨그러냐 하면 지금 전쟁은 물론 전술도 필요란 것이지만 경제적, 정부적, 인구, 산업, 중경공업과학일반이 절대로 필요한 것입니다.
현재 저 사람들이 4,50명의 승객을 실고 太平洋을 횡단하는 대형비행기를 대하여서 우리로서는 淺間丸같은 대형기선에다가 날개를 달어 2,3천명을 실고 太平洋을 횡단할 설계를 급속히 가저야 대업을 성취할 것이며 저 사람들이 지금 자랑하는바 대포 기관총을 실고 大西洋을 건너갔다가 불착륙으로 다시 도라올 수 있는 데에는 여기 여러분은 帝國軍艦 金剛이나 長門에다가 날개를 달어 太平洋을 건너갔다가 도라오고도 여유가 있을 만치 할 설계가 속히 서야만 할 것입니다.
太平洋風雲의 최후승리자는 즉 누구일까? 이 위에 말한 인간활동 각방면에 自樂的으로 노력과 뇌력을 다하여 君國에 충실하고 부모에 효하여 이 충효의 토대적 원리되는 심리에서 1억이 一心되고 5억이 一心되게 하는 자들이 곧 그 사람인 것입니다. (박수)＜29＞
＜26-29＞
