Magazine Title: 동광 제28호
Publication Date: 1931년 12월 01일
Article Title: 一九三一年의 總決算, 過去 一年間의 朝鮮女性運動 (A Final Reckoning for 1931, The Korean Women's Movement Over the Past Year)
Author: 禹鳳雲
Article Type: 논설 (Editorial/Argumentative Essay)

The Final Reckoning for 1931, The Korean Women's Movement Over the Past Year
						By U Pongun (禹鳳雲)

The women's movement is one sectional movement. Therefore, the direction of its growth and development is always determined depending on the general situation of the entire movement.
In reviewing the women's movement of 1931, we cannot depart from this basic premise. The main focus of this article will be to examine the extent to which the program of the Korean proletarian movement in 1931—which comprised almost the entirety of its content with the "expansion and strengthening of the class camp, and the reorganization of the cooperative front"—was achieved within the realm of the <12> women's movement.

"The women's movement of 1931 is stagnation. It is quietude." - This is the majority of the common view regarding this year's women's movement. However, being common, it has failed to grasp the true essence of things.
"A cooperative front of the grand unity style, which forgets class distinctiveness and rejects proletarian hegemony, becomes fetters and obstacles to the class movement."
This is the correct theory that already began to move the entire field of our movement with immense pressure from the end of the latter half of 1930. Simply put, the struggle for the dissolution of the Sin'ganhoe (新幹會) is part of the practical implementation of that theory.
And it was exposed beyond doubt that the Kŭnuhwoe (槿友會), which until now we had thought of as the one and only general headquarters of the Korean women's movement, also lacked the capability to swim against this inevitable great tide. Thus, currently, the memory of the Kŭnuhwoe's existence is merely fading daily from the minds of the masses.
However, while the Kŭnuhwoe thus merged into the trend of dissolution, irrespective of the intentions of its executive level (almost entirely), the form of its progression was quite different from that of the Sin'ganhoe. Whereas the Sin'ganhoe, in its manifested situation, saw the theory first arise from one limb of its internal organizational body and then decided on dissolution also through a resolution of an internal body, the Kŭnuhwoe followed a completely different path.
Not only that, but although the Kŭnuhwoe headquarters, passively driven by external pressure, sent notices for convening a general meeting three times to all branches nationwide to discuss this issue of decisive importance to its own existence, there was decidedly no hope of forming the meeting. The Kyŏngsŏng (京城) branch meeting, considered the representative branch among the branches, also fell asleep in eternal adjournment in the same manner.
Here too, we can fully see the non-combative and passive nature of the petit bourgeois stratum. They obstructed the formation of the meeting, either through desperate curses or conscious sabotage. They disliked replicating in the Kŭnuhwoe the miserable defeat of their own class at the Sin'ganhoe general meeting (May 15th, 16th).
Nevertheless, despite this, the courageous working women throughout the country showed no hesitation whatsoever in carrying out the historical tasks imposed upon them. Thus, the Kŭnuhwoe was left with only an empty outer shell, and the XX elements (XX的 分子們) of the packaged masses did not stray from the path they were meant to take.

Since the state of the Kŭnuhwoe had already become like this, it is rather natural that in the eyes of those who considered the Kŭnu movement as the entirety of the women's movement, the 1931 women's movement appeared to have fallen into the depths of stagnation. At the same time, this inevitably provided potent self-justification material for the petit bourgeois forces opposing the Kŭnuhwoe's dissolution.
They lament, joining voices with all anti-dissolution parties, in an indignant yet powerless tone – "Look! You who ruin the movement in Korea! You insisted so much on dissolution, yet isn't there only such silence in Korea after the dissolution was approved?"
However, we reply – "To those who deliberately close their ears to the solemn reality, even the roar of Mount T'aesan will not be heard. And to those who hide themselves in a cave (窟), all phenomena of the outside world appear entirely as darkness. Pitiful ladies and gentlemen! Your joys and sorrows objectively cannot become the joys and sorrows of Korea."

Let's summarize the above again. <13>

History always rushes towards its proper course. The Korean women's movement has completely shifted its direction away from Kŭnuhwoe centralism. The general situation of the Third Period no longer permits the center of the movement to remain dormant under the command of petit bourgeois women.
As evidence for this, it suffices to recall the heroic struggle of women workers during the P'yŏngyang rubber strike last summer. Besides this, despite the unspeakable severe oppression by the ruling power, we are seeing the beginnings of the sound foundation for new organizations such as the expansion and strengthening of labor unions and peasant unions, and the establishment of women's departments within unions, taking root everywhere.
Therefore, to speak of the stagnation of the women's movement immediately upon seeing the hibernation or demise of the Kŭnuhwoe is the same folly as concluding that a tree has died upon seeing the falling leaves in autumn. The falling of leaves is simultaneously the starting point for new 'luxuriance'.
In essence, the Korean women's movement, constrained by its class totality, has inevitably begun to tread a new scene of history, and 1931 became a temporal starting point for this new axis. In this respect, we hold a view diametrically opposed to how the forces, who attempted reactionary resistance against the dissolution struggle either through counterattacks or sabotage, see this year's women's movement. And our view is scientific in that it aligns with reality.
- 1931.11.6 - <14>

**Summary**

The author, U Pongun, argues against the common perception that the Korean women's movement stagnated in 1931 following the effective collapse of the Kŭnuhwoe (槿友會). Instead, U frames this period as a necessary and positive transition, aligning with the broader shift in the Korean proletarian movement towards class Purity and rejecting the "grand unity" model represented by the dissolving Sin'ganhoe and Kŭnuhwoe. The author contends that the decline of the Kŭnuhwoe, dominated by petit-bourgeois interests, signifies not an end but a beginning, allowing the movement's center to shift towards genuinely proletarian women workers, as evidenced by labor actions like the P'yŏngyang rubber strike and the formation of women's sections in unions. The apparent quietude is seen merely as the shedding of an old shell before new, class-conscious growth. Historians might find this article particularly interesting for its explicit articulation of the Marxist critique within the Korean women's movement during the colonial period, showcasing the internal ideological conflicts between nationalist unity approaches (represented by Sin'ganhoe/Kŭnuhwoe) and class-based revolutionary strategies. It highlights the tension between bourgeois/petit-bourgeois leadership and the emerging focus on mobilizing working-class women.

**Named Entities**

禹鳳雲	우봉운	U Pongun
1931年의 女性運動을 回顧함에도 우리는 이러한 基本前提를 벗어나지 못할 것이니 『階級陣營의 擴大, 强化, 協同戰線의 再編成』으로써 거이 그 內容의 全幅을 이루엇든 1931年의 朝鮮푸로레타리아 運動이 ＜12＞ 女性運動의 領域에서는 그 푸로그람의 實現化를 어느 程度까지 成就시켯는가를 살펴보는 것이 이 글의 主眼이 될 것이다.

『1931年의 女性運動은 沈滯다. 靜淑이다』- 이것이 이해의 女性運動에 對한 凡俗한 見解의 大部分이다. 그러나 그것은 凡俗한 까닭으로 事物의 正鵠을 捕捉하지 못하엿다.
『階級的 獨自性을 忘却하고 푸로레타리아의 헤게모니를 拒否하는 大同團結式 協同戰線은 階級運動의 桎梏이 되며 障碍物이 된다』
이것은 이미 1930年 下半期 末로부터 巨大한 壓力으로 우리 運動의 全戰野를 움즉이기 始作한 正當한 理論이엇으니 쉽게 말하자면 新幹會解消鬪爭은 그 理論의 實踐化의 一部인 것이다.
그리고 지금까지에 우리가 朝鮮女性運動의 唯一無二한 總本營인 것처럼 생각해 오든 槿友會도 이 必然的인 大潮流에 逆行할 만한 能力을 가지지 못햇슴이 餘地업이 暴露되엇섯다. 그리하야 現在에 와서는 槿友會는 그 存在에 對한 記憶이 날마다 大衆의 머리 속으로부터 살아지면서 잇을 뿐이다.
그런대  槿友會는 이와 같이 그 幹部級(거의 全部)의 意思如何를 헤아리지 않고 解消의 大勢에 合流되엇으나 그 進展의 形態가 新幹會의 그것과는 자못 同一하지 않엇으니 新幹會가 나타난 現狀으로서는 理論이 먼저 그 組織의 內部機關의 一肢體에서 생기엇다가 亦是 內部機關의 決議로서 解消를 決定하게 되엇음에 對하야  槿友會는 이와 經路를 全然 달리하엿섯다.
그 뿐 아니라 外的壓力에 被動된  槿友會本部에서 自體의 存在에 決定的 重大性을 가지는 이 問題를 討議하기 爲하야 前後 三次의 大會召集通知를 全國 各 支會에 發送하엿으나 大會는 構成될 希望이 단연 없엇고 支會 中의 代表的 支會格인 京城支會大會도 또한 同一한 모양으로 永遠의 流會속에 잠들어 버리엇다.
우리는 여기서도 小부루주아層의 非戰鬪性, 消極性을 남김없이 볼 것이니 그들은 或은 絶望的 咀呪로 或은 意識的 사보타지로 大會의 成立을 阻碍하엿든 것이다. 그들은 新幹會 全體大會(5月 15日 16日)에서의 自己階級의 慘敗를  槿友會에서까지 複製하기를 싫어한 것이다.
그러나 그러함에도 不拘하고 全國의 果敢한 勞働婦女들은 그들에게 課賦된 歷史的任務遂行에 조금도 跼蹙함이 없엇섯다. 그리하야  槿友會는 空虛한 外殼만을 남기엇고 포장된 大衆의 XX的 分子들은 그들의 갈 길을 그르치지 않은 것이다.

槿友會의 面目이 이미 이러케 되어 버린지라 槿友運動으로써 女性運動의 全體를 삼든 이들의 眼目에 1931年의 女性運動이 沈滯의 絶頂에 빠진 것으로 보이는 것이 오이려 當然하며 同時에 그것이 槿友會解消를 反對하는 小부루주아 部隊에게 有力한 自辯材料가 되지 아니치 못하엿든 것이다.
그들은 悲憤慷慨, 그러나 無氣力한 語調로 모든 反解消黨과 목을 맞추어 부른짓는다. - 『보라! 朝鮮의 運動을 망치는 者들아! 너이가 그러케도 解消를 主張하더니 解消可決 以後의 朝鮮에는 이러케 靜寂이 잇을 뿐이 아니냐고』
그러나 우리는 對答한다. - 『儼然한 現實에 對하야 일부러 귀를 막는 者에게는 泰山의 鳴動도 오이려 들리지 안는 것이며 自身을 굴(窟)속에 감추어 두는 者에게는 外界의 萬象이 모조리 暗黑으로만 보이는 것이니 가엾은 紳士淑女여! 君들의 기쁨과 슬품은 客觀的으로 朝鮮의 기뿜과 슬픔이 되지 못하는 것이다」라고.

上述한 것을 다시 要約하여 보자.＜13＞

歷史는 恒常 그 正軌를 向하야 다름질 한다. 朝鮮의 女性運動은 槿友會 中心主義로부터 完全히 그 方向을 轉換하엿으니 第3期의 一般的 情勢는 運動의 重心이 이 以上더 小부루 女性의 麾下에 蟄伏하기를 容許하지 않은 것이다.
우리는 그 證左로서 지난 여름 平壤고무 爭議때의 婦人 勞働者의 英雄的 鬪爭을 回想하면 足한 것이며 以外에도 우리는 支配權力의 言語道斷한 强壓에도 불구」하고 이르는 곳마다 勞働組合, 農民組合의 擴大强化. 組合婦人部의 確立 等의 새 組織이 이미 그 健全한 築成의 土臺가 자리 잡히기 始作한 것을 보고 잇다.
그럼으로 槿友會의 冬眼이나 死滅을 보고 곳 女性運動의 沈滯를 말하는 것은 가을 날의 落葉을 보고 樹木이 枯死한 것으로 斷定하는 것과 같은 愚見이다. 葉의 凋落은 同時에 새롭은 『茂盛』의 出發點인 것이다.
要컨대 朝鮮의 女性運動은 그 階級的 全體性에 制約되어 必然的인 歷史의 새장면을 거름것이 비롯한 것이고 1931년은 이 새 機軸의 한 時間的 起點이 된것이니 이 點에서 우리는 解消鬪爭에 或은 逆襲으로 或은 싸보타지쥬로 反動的抗爭을 試하든 部隊들이 이해의 女性運動을 보는 것과는 正反對의 見解를 가지게 되며 우리의 이 見解는 그것이 實在와 合致되는 點에서 科學的인 것이다.
- 1931.11.6 - ＜14＞
＜13-14＞
