Magazine Title:	삼천리 제12권 제8호
Publication Date:	1940년 09월 01일
Article Title:	事變後의 現地朝鮮民衆, 靑島 濟南의 活·氣, 北支一帶에 朝鮮人 增加率 激甚 (The Korean Populace on Site After the Incident, the Vitality of Ch'ingtao and Chinan, Drastic Increase Rate of Koreans Throughout North China)
Author:	韓相龍 (Han Sangnyong)
Article Type:	기행문 (Travelogue)

The Korean Populace on Site After the Incident, the Vitality of Ch'ingtao and Chinan, Drastic Increase Rate of Koreans Throughout North China
						Han Sangnyong

I recently traveled through Tientsin, Peking, Ch'ingtao, and other places, and during that time, the development of Koreans throughout the North China (北支) area was astonishing. Here are a few impressions from my journey.

The Korean Volunteer Corps of Tientsin
Tientsin's population, which was 1.6 million before the Incident (事變), is currently 1.42 million; this is because a number of evacuated Chinese have not yet returned. The number of Mainland Japanese (內地人) is 50,000, an increase of 40,000 compared to before the war, and there are 8,000 Koreans, an increase of 4,000 from before the war. What is particularly noteworthy here is the Korean Volunteer Corps (朝鮮人義勇隊), which was organized immediately after the Incident. When the Japanese and Chinese forces first clashed at Tientsin Station, the Volunteer Corps Special Unit, composed solely of Korean youths, is said to have been considerably active on the front lines. At that time, a man named Paek Kwangch'ŏl (白光哲) died a heroic death. Afterwards, the military and other sectors were very concerned about the trends among Koreans, but among the Korean youth, even more applied to join this Volunteer Corps, increasing its numbers. Thus, it has now become a Volunteer Corps of 300 members. Initially, 20 of them were enlisted into the army for a short period of military training, followed by another 60 who received the same training. <70> This Volunteer Corps Special Unit played a very necessary role during the blockade of the concessions. They assisted by participating in inspections or serving as guards. Therefore, the military intended to pay them a daily wage for their labor, but they firmly refused; when forced to accept it, they reportedly collected it and contributed it as a National Defense Donation (國防獻金). They are youths burning with such patriotic devotion (愛國의 赤誠).
Also, during the Tientsin flood, this Volunteer Corps engaged in desperate activities, launching boats in the city to evacuate Mainland Japanese and Korean (內鮮) women and children to safe zones, rescuing those nearly drowned, and performing splendid lifesaving work for other Mainland Japanese and Koreans, achieving extraordinary and admirable results.
There is also a Korean National Defense Women's Association (朝鮮人國防婦人會), and regarding the actions of this National Defense Women's Association, I heard high praise when I met with Division Commander Honma (本間師團長).

Lutai Farm
This is a place where the Government-General (總督府), through the Oriental Development Company (東拓), purchased approximately 2,900 chōbo (町步) [approx. 2,876 hectares] of land in Lutai (盧臺) and is relocating Korean farmers (鮮農). Of this, 2,400 chōbo have been allocated to Korean farmers, and another 500 chōbo have been allocated to Chinese farmers. When the entire plan is completed, water conservancy will be abundant, and it appears harvests will yield four koku (石) [approx. 0.72 cubic meters] of unhulled rice per tanbo (反步) [approx. 0.1 hectare]. The capital for this project is 1.8 million yen, and it is now steadily nearing completion. Each household is given 2 chōbo of paddy field and 4 chōbo of dry field, and furthermore, for the Korean farmers, the land will become the cultivator's property after 25 years. The results of these relocated farmers seem generally best among those coming from the P'yŏngan North Province (平北) area. Therefore, the Government-General provides mediation, loans for farming tools, provisions, and other supplies, as well as low-interest funds.

Peking
Peking's population is calculated at 1.7 million people, among whom 50,000 are Mainland Japanese (內地人) and 20,000 are Koreans, both increasing compared to before the Incident.
In Peking, a new city plan is still being drafted. Outside Sŏjikmun (西直門), a city plan is being implemented on approximately 250,000 p'yŏng [approx. 82.6 hectares], with a policy decided to relocate government offices and various shops there, and it is currently progressing steadily. Furthermore, once that is completed, they intend to lay out road plans outside Tongjikmun (東直門). <71>

Public Order in North China
Currently, the number of Mainland Japanese residing in North China is estimated at 300,000, and Koreans at 50,000. Among them, quite a few have previously received censure from the authorities, but now, control in that area is very strict, and due to the populace's self-awareness, they are rapidly taking up legitimate occupations. This is truly a pleasing phenomenon.
The population density in North China is very high, so in my opinion, there seems to be little room left for immigration. Even in normal years, food supplies like 16 million bags of wheat, 3 million koku (石) of rice, and 400,000 tons of miscellaneous grains were insufficient, and last year's drought and floods caused severe shortages. Cotton production, normally 5 million tan (擔) [1 tan ≈ 60kg], was also very poor last year, yielding only about 900,000 tan.
Currently, one can distinguish between areas where public order is maintained and areas where bandits (匪賊) appear, but I believe it will take a considerable amount of time to maintain order even in these bandit-infested regions. In this regard, while expressing gratitude for the past labors of the Imperial Army (皇軍), I also place my hopes in their future efforts. The Communist forces (共産軍) too, following what might be called the "Three Norths Doctrine" (三北主義), are eyeing only the north of Suiyuan Province (綏遠省), the north of Hopeh Province (河北省), and the north of Shansi Province (山西省) and causing trouble. They are truly like flies; when the Imperial Army advances, they quickly flee and scatter, but when the Imperial Army returns, they gather again, making the situation very troublesome.
I also heard talk that if you go a little north from Peking, there are bandits and Communist forces.

Chinan
Chinan (濟南), the capital of Shantung Province (山東省), is situated midway along the Tsinpu Line (津浦線), built in Meiji 41 (1908) with German capital, and is now a center of activity for important military organizations. I inspected this place in Taishō 6 (1917), and the difference between then and now is like that between heaven and earth. Businesses run by Mainland Japanese are prosperous, and consequently, many Peninsular people (半島人 - Koreans) have also gone there. Among them, there are 15,000 Mainland Japanese and 3,000 Koreans.
This place has the best and most abundant water quality in North China. There are many underground water veins, and clear water emerges anywhere if you dig just 2 or 3 ch'ŏk (尺) [1 ch'ŏk ≈ 30.3 cm]. Traveling through North China, where water is bad, <72> coming to Chinan truly gives one a refreshed, clear feeling, as if revived. The water sources are indeed abundant in volume, and places like P'ao-t'u Spring (王突泉 - Baotu Spring) are splendid ponds where water springs forth everywhere.

Ch'ingtao
Ch'ingtao (靑島) came into being through German occupation in 1897; previously, it was a remote village. Although it has had a varied history, on January 10, Shōwa 13 (1938), after driving out Han Fuju (韓復渠) from Chinan, the Imperial Army occupied it, leading to the present day. The city features German-style red-tiled roofs, with small hills covered in green trees behind it, built along a beautiful coastline. The mountains are green, the water is blue, and the entire city is paved with asphalt, making it the cleanest city in North China. The wharves are divided into 1, 2, and 3, capable of accommodating ships of 10,000 tons.
The annual trade volume is 280 million yen, with an import surplus of about 50 million yen. For trade from Korea to North China, Ch'ingtao is the closest distance; recently, one can reach Kyŏngsŏng (京城 - Seoul) by airplane in two and a half hours.
Ch'ingtao's population is roughly 250,000, with about 20,000 Mainland Japanese and 3,000 Koreans living there. There are spinning mills located in various places.
Besides these, coal is produced, and salt production and agriculture are also prosperous.
Regarding transportation, there are regular ship lines from Shanghai, Dairen (大連), and Inch'ŏn (仁川), and it is connected by rail to Shanghai, Chinan, Tientsin, and Peking. It is cool in summer and warm in winter, truly a hygienic and healthy place. An interesting thing is that every year from June to early September, about 50 British and American warships come here to escape the heat (避暑). They conduct drills in the morning and rest in the afternoon. Merchant ships invariably follow the warships, carrying the families of the servicemen. Therefore, the amount of money spent by British and American military personnel in Ch'ingtao during these few months is said to reach about 10 million dollars. These sailors are very rough with their spending, tossing 4 or 5 yuan for a single ride in a Chinese rickshaw (人力車). Then, in late September, these warships return to warmer regions, namely Hong Kong and Singapore.

Mr. Lin Hun's Tobacco Business
Mr. Lin (林薰氏), a native of Chinnamp'o (鎭南浦), studied abroad in Germany early on. Spurred by his father's <73> business failure, he went to Ch'ingtao in Shōwa 10 (1935) and obtained a tobacco manufacturing permit from the consulate. He now has two factories there, equipped with 30 machines, producing about 5 billion sticks of double-cut cigarettes annually. Previously, the Anglo-American trust (英米토라스트) held significant influence in the North China region, but currently, due to Mr. Lin's tobacco industry, the Anglo-American trust retains only 30%. About 70% of the tobacco sold is Mr. Lin's, and it seems the Anglo-American influence has been driven out. This business is very promising, and with the second phase plan, it will be possible to produce 10 billion sticks. Currently, he has entrusted sole distribution rights to Mitsui Bussan (三井物産), and the annual commission paid is nearing one million yen.
Although the company is currently called a stock company (주식회사), it is entirely under Mr. Lin's ownership. He is currently applying for permission for a plan with 5 million yen fully paid-in capital. Furthermore, as British relations in China are not thriving much now, and Chinese authorities also tend to obstruct the sale of Anglo-American trust tobacco in shops, the products of Mr. Lin's company are becoming even more advantageous. The Government-General has also provided considerable assistance, both human and material, to this company, making it truly promising.

Conclusion
Overall, I was very pleased with my inspection tour of North China this time, and I have high hopes for the future. My only wish is that I keenly feel the need for Japanese and Chinese people (日支人) in the North China region to further recognize Korea anew. I also hope that considerable capital from both Mainland Japanese and Koreans (內鮮人) from the Peninsula will be sent in to conduct business. And in terms of personnel, I hope for significant contributions from the Peninsula. -End- <74>

**Summary**

This 1940 travelogue by Han Sangnyong describes his observations of Korean communities and activities in Japanese-occupied North China (Tientsin, Peking, Chinan, Ch'ingtao) following the outbreak of the Second Sino-Japanese War ("the Incident"). He highlights the significant increase in the Korean population, their active participation in pro-Japanese activities like the Tientsin Volunteer Corps and National Defense Women's Association, the Government-General sponsored agricultural settlement project at Lutai, and the success of Korean entrepreneurs like Lin Hun in Ch'ingtao's tobacco industry, displacing Western competitors. Han expresses satisfaction with these developments and calls for greater Japanese/Chinese recognition of Korea's role and further investment and personnel contribution from Korea to the region. From a historical perspective, the article is revealing as it provides a contemporary, pro-Japanese Korean elite viewpoint on Korean migration and integration into Japan's wartime expansion in China. Historians might find the specific details on the Korean Volunteer Corps, the Lutai settlement project, Lin Hun's business displacing Anglo-American interests, and the author's explicit framing of these activities as positive contributions to the Japanese empire particularly interesting for studying collaboration, colonial migration, and economic dynamics during the period.

**Named Entities**

韓相龍	한상룡	Han Sangnyong
靑島는 1897년 獨逸의 점령에 의해서 된 것이며 종래는 一僻村이었습니다. 그間 여러가지 역사가 있으나, 昭和13년 1월 10일, 濟南에서 韓復渠를 驅逐하고 皇軍이 이를 점령해서 금일에 이르렀으며, 시가는 獨逸風의 赤瓦의 지붕과, 푸른 수목이 서있는 적은 산을 뒤에 두고 아름다운 海岸線에 沿하여 시가를 만들었습니다. 소위 산이 푸르고, 물이 푸르고, 시가는 전부 아스팔트로 포장했고, 北支의 제일 깨끗한 시가인 것입니다. 埠頭는 1,2,3으로 나누여 있어서 1만噸의 배가 들어오게 되었습니다.
1년의 무역은 2억8천만원인데 약 5천만원의 入超입니다. 朝鮮에서 北支에 대한 무역은 靑島가 제일 가장 가까운 거리요, 近者에는 비행기로 두시간반에 京城에 달하게 됩니다.
靑島의 인구는 대체로 25만人인데, 內地人이 2만, 朝鮮人이 3천人가량 살고 있으며, 방적공장이 각처에 있습니다.
그他 石炭도 되고, 鹽業도 농업도 盛합니다.
교통은 上海, 大連, 仁川으로부터 정기선이 있고, 또 上海, 濟南, 天津, 北京에는 철도로 연락합니다. 여름에는 서늘하고, 겨을에는 따스해서 실로 위생적인 健康地입니다. 재미있는 것은 여름 6월부터 9월초까지는 매년 英米의 군함 약 50艘가량 來汨하여 避暑하고 있습니다. 그리고 오전 중에는 연습을 하고, 오후는 쉽니다. 그리고 군함 뒤에는 반드시 商船이 달려오며, 그 상선에는 군인의 가족들이 따라옵니다. 故로 이 數箇月間에 英米군인이 靑島에 떨어트리는 돈은 약 1천만弗에 달한다고 합니다. 이들 水兵이 돈 쓰는 것은 매우 거치러서 支那人의 人力車를 한벌 타는데도 4,5원을 내여 던집니다. 그로부터 9월하순이 되면 이 군함은 다시 따뜻한 지방, 즉 香港, 싱가폴 방면으로 돌아갑니다.

林薰氏의 煙草事業
林씨는 鎭南浦人으로, 일찌기 獨逸에 유학했으며, 부친의＜73＞사업 실패에 奮起하여 昭和10년에 靑島에 건너가서 영사관으로부터 연초제조 허가를 얻었습니다. 그리고 同地에 지금 공장을 두 개나 가젔으며, 기계를 30대를 가추어서 兩切연초를 1년에 약 50억本을 만든다고 합니다. 종래는 北支방면에도 英米토라스트가 매우 세력을 가지고 있었지만, 현재는 이 林氏에 연초공업 때문에 英米토라스트는 3割밖에 남지 않았습니다. 7割은 거의 林氏의 연초가 판매되고 있으며, 英米의 세력은 驅逐된 모양입니다. 이 사업은 매우 유망하면, 제2계획을 하며는 백억本을 만들 수 있게 되었습니다. 目下 三井物産에 一手판매를 의뢰했으며, 1년에 지불되는 수수료만도 백만에 가깝게 오르고 있습니다.
同會社는 目下 주식회사라고 하지만 전부 林氏의 소유 하에 있으며, 目下 5백만원의 전액佛込의 계획을 세우고 許可願을 드리고 있습니다. 더욱 지금은 英國관계가 支那에서 별로 振興되지 못하며, 支那당국도 英米토라스트의 연초를 상점에서 파는 것을 阻止하는 경향이기 때문에 林氏회사의 제품은 더욱 유리하게 되고 있습니다. 또 同회사에는 總督府에서도 人的, 物的으로 상당히 원조하여서 실로 유망합니다.

결론
이상 나는 今回 北支를 시찰하고 매우 愉快하였으며, 또한 장래를 囑望하고 있습니다. 단지 나의 희망으로 하는 바는 北支방면에 있는 日支人에 대하여 일층 더 朝鮮의 재인식을 切望하는 것이 필요하다고 생각합니다. 또 半島로부터 內鮮人의 자본도 상당히 들여보내여서 사업을 하게 하도록 했으면 하고 생각합니다. 그리고 人的에 있어서도 半島로부터 상당히 寄與되어지기를 희망합니다.-끝-＜74＞
＜70-74＞
