**Header Section:**
Magazine Title: 三千里 第12卷 第8號
Publication Date: 1940년 09월 01일 (September 1, 1940)
Article Title: 我觀『히틀러總統』 (My View of 'President Hitler')
Author: [Multiple contributors listed below]
Article Type: 설문 (Survey)

**Body Text Translation:**
My View of 'President Hitler'

Pak Sŏk-yun, Former Manchukuo Consul General stationed in Poland

A hero of singular genius.

Pak Ch'ang-hun, Doctor of Medicine

Judging by Lombroso's book "Genius and Insanity," he seems half-mad, half-genius, but the conclusion is that he is an outstanding person.

Sakong Hwan

President Hitler is a genius hero who is now conquering the European world and attempting to renew the hearts and minds of the world. Seeing his consistent pursuit of hegemony (覇道一貫) and exaggeration of bold spirit, it would not be an overstatement to say he surpasses the great Napoleon.

Yi Chong-man, Founder of Taedong Mining College

President Hitler is the hero of today. However, the existence of today's Hitler is a gift of the great unity of the German people. As long as progress can be expected from the world being in flux, Germany's victory will surely spur a transition to a new order. <39>

Yi Chŏng-sŏp, Kyŏngsŏng Central Broadcasting Station

I don't know if he can be called a hero, but whether he is a politician or not is difficult to assert without seeing the progress of the future European new order construction movement. Things like visiting Napoleon's tomb to pay respects after capturing Paris can be seen as a masterpiece from a human perspective.

Yi Chŏng-jae, Director at Yŏngbo Hapmyŏng Hoesa

President Hitler is a hero and a man of spirit born of the 20th century. When he conducted the signing ceremony for the subjugation of France in the sleeping car, the long-cherished desire of the Germanic people, displayed in the Forest of Compiegne, not only we of the friendly nation Japan, but surely everyone must have felt exhilaration. He will certainly achieve final victory, and I pray it will be so.

Yi Kŭk-ro, Chosŏn Language Society (Doctor of German Philosophy)

A forceful person.

Sin T'ae-ok, Lawyer

Although I think there might be room for various criticisms regarding his character as a human being, he is an unprecedented hero produced by the German nation; furthermore, he is truly a god-like man of genius who creates his own foundation, base, and even stirs the winds and clouds. Thinking about it, his future will be eventful.

Kim Tong-jin, Counsellor at Sŏnman Colonization Company

Until the "Hitler Jugend" becomes the backbone of Germany, it might be premature to speak of the stability of "Hitler's Germany." What does his pilgrimage to Napoleon's tomb right after entering Paris suggest? It is difficult for an ordinary person to guess what lies behind that gate. <40>

Hong Yang-myŏng, Editor-in-Chief at Mansŏn Ilbo

The fact that figures who followed conventional paths, gaining seniority and climbing the ladder step-by-step, cannot accomplish great things is a practical lesson given by the epoch-making success today of Mr. Hitler, who was a corporal 21 years ago—a truly thrilling event! Moreover, his fanatical passion and speedy drive speak to him being a genius among geniuses.

Chŏng Sŏk-t'ae, Doctor of German Medicine

One. To the German people, rather than President Hitler, he will be recognized as a savior who resurrected the German nation from the land of the dead.
Two. He becomes a leader providing the motive for self-awareness to find a way forward for the world's poor nations (Japan, Germany, Italy) and oppressed countries (India, China, South America, etc.), allowing us to see a bright world reformation, and making Britain, France, the US, etc., receive punishment for the sins they committed—he seems to be a rare, exhilarating great man of modern history.

Chŏng Kyo-wŏn, Managing Director of the National Spiritual Mobilization Chosŏn League

Based on his actions up to today, I do not hesitate to call Mr. Hitler one of the great men of the modern era. Whether looking at his spirit of sacrifice or his executive ability... However, whether he will truly become a great man in history or not remains to be seen in the future. If he merely ends with a vain, hegemonic victory, he will be nothing more than a prominent figure of his time; if he can capably complete his proclaimed thousand-year project with justice, he will truly become Europe's foremost great man in history.

Yi Kwang-su, Former Chairman of the Chosŏn Literary Association

Around Shōwa 5 (1930), I translated and published a part of Hitler's "Mein Kampf" (in the Tōkō Sōsho series). And I pointed out that this totalitarianism (全體主義) would surely sweep the world of the future. The word 全體主義 in Chinese characters <41> was first used by me in "Tōkō" (東光). At that time, the word "Fascio" existed, but the word 全體主義 did not.
In the movie "Festival of the Nations" (民族의 祭典), there were several snaps of President Hitler watching the Olympic Games. There were scenes of him clenching both fists and fretting when German athletes were in tight spots, and rejoicing when German athletes won. Seeing his demeanor as a human being like that made me happy.
He is a person who has no family, no pleasures, and makes patriotism his life.

Ham Sang-hun, Editor-in-Chief at Chosŏn Ilbo

Having risen from a corporal through struggle to attain his current position, there is no doubt he is a hero. The mission of the Führer, who has emerged bearing the thousand-year destiny of the German nation, is heavy and great. I look forward to the day he succeeds in breaking the world dominance of the Anglo-Saxon race. However, if, in dealing with the Anglo-Saxons, he uses Germanness, and instead of capital, uses violence to oppress numerous weak and small nations, the people of the world will once again be unable to live in peace.

Ch'oe Ch'ang-hak, President of Taech'ang Mining Company

Hoping he doesn't become a second Napoleon?

Yi Chong-nin, Leader of T'iandoism (天道敎)

A hero with two sides, wisdom and foolishness.

Yi Sŏng-hwan, Director at Taedong Mining Company

An energetic man of the emergency type; once the Great War ends and perhaps a European federation is formed, he will be an unnecessary figure for the German populace.

Kim Tong-hwan, President of Samch'ŏlli Company <42>
(Continued on page 141)
More than anything, he knows how to write with his own hand, speaks his mind without a secretary's draft; whereas the path to becoming a hero often involves deification by hiding one's rather unattractive face from the crowd as much as possible, he enjoys appearing before the crowd too much; he doesn't wear a bulletproof vest out of fear of the people, nor does he sit in a car fitted with bulletproof glass windows; he has served time in prison; before becoming Commander-in-Chief, he carried a rifle as a corporal and went to the battlefield; he has not married for the sake of the country; I have not heard of beautiful women and fine wine in his residence—thus, he gives the impression of a great man, a truthful man.—(End)— <141>
<39-42, 141>

**Summary**

This 1940 article from the Korean magazine *Samch'ŏlli* compiles opinions from various prominent Korean figures on Adolf Hitler. The views are diverse, ranging from admiration for Hitler as a "genius," "hero," and "savior" of Germany who challenges the existing world order dominated by Britain and France, to more cautious or critical assessments questioning his methods, long-term impact, and comparing him (sometimes unfavorably) to Napoleon. Several commentators express exhilaration at Germany's victories, seeing them as paving the way for a "new order," while others worry about replacing one form of dominance (Anglo-Saxon) with another (German). For historians of colonial Korea, this article is revealing as it shows a spectrum of elite Korean opinion during the height of Japanese imperialism and the early stages of WWII. It demonstrates how some Koreans aligned themselves ideologically with the Axis powers, viewing Hitler's rise as a positive force against Western imperialism, while others, even amidst praise, expressed reservations about the nature of his power and the potential consequences for weaker nations, reflecting the complex political positioning of Koreans under colonial rule. Yi Kwang-su's claim to have coined the Korean term for "totalitarianism" (全體主義) is also noteworthy.

**Named Entities**

히틀러總統	히틀러 총통	President Hitler
능히	능히	Capably, ably
完成	완성	Completion, accomplishment
번역출판	번역출판	Translation and publication
全體主義	전체주의	Totalitarianism
風靡	풍미	To sweep over, dominate (as a trend)
明白	명백	Clear, obvious (here context suggests 'future')
한자	한자	Chinese characters (Hanja)
파쇼	파쇼	Fascio / Fascism
享樂	향락	Pleasure, enjoyment
애국	애국	Patriotism
생활	생활	Life, living
軍曺	군조	Sergeant/Corporal (older military rank)
투쟁	투쟁	Struggle, fight
地位	지위	Position, status
걸머지고	짊어지고	Shouldering, bearing (a burden)
總統	총통	Führer/President
사명	사명	Mission, calling
重且大	중차대	Heavy and great, momentous
제패	제패	Supremacy, domination
꺽구러트림	꺾어뜨림	Breaking, overthrowing (Older spelling of 꺾어뜨림)
폭력	폭력	Violence
다수약소민족	다수 약소민족	Numerous weak and small nations
억압	억압	Oppression, suppression
智愚兩面	지우양면	Two sides of wisdom and foolishness
非常時型	비상시형	Emergency type
精力家	정력가	Energetic person
大戰	대전	Great War (referring to WWI or WWII)
종료후	종료 후	After the end
聯盟	연맹	Federation, league
민중	민중	Populace, masses
불필요	불필요	Unnecessary
秘書	비서	Secretary
초안	초안	Draft
연설	연설	Speech, address
될 수룩	될수록	As much as possible (Older form of 될수록)
못난	못난	Unattractive, homely, inferior
얼골	얼굴	Face (Older spelling of 얼굴)
군중	군중	Crowd, multitude
신격화	신격화	Deification
防彈쪽기	방탄조끼	Bulletproof vest (쪽기 is older spelling of 조끼)
防彈유리창	방탄유리창	Bulletproof glass window
감옥서	감옥서	Prison (Older form, -서 suffix)
중역	징역	Imprisonment, penal servitude (Here context implies serving time)
總大將	총대장	Commander-in-Chief
娶妻	취처	To take a wife, marry
居宅	거택	Residence, house
美姬美酒	미희미주	Beautiful women and fine wine
드럿고	들었고	Heard (Older spelling of 들었고)
진실된	진실된	Truthful, sincere


---------------------------


잡지명	삼천리 제12권 제8호
발행일	1940년 09월 01일
기사제목	我觀『히틀러總統』
기사형태	설문

我觀『히틀러總統』
前波蘭駐在滿洲國總領事 朴錫胤

一天才的 英雄.

醫學搏士 朴昌薰

롬부로소의 「天才와 狂人」이란 저서에 빗추면 半狂人 半天才같으나 결론은 뛰여난 사람이지오.

司空桓

힛틀러總統은 지금 歐洲天地를 석권하고 世界人心을 一新케하려는 천재적 영웅이다. 覇道一貫, 豪氣를 과장하는 점으로 보아서 大奈巴崙이상이라 하여도 과언이 안일 것이다.

大同鑛業專門學校校主 李鍾萬

힛틀러總統은 금일의 영웅이다. 그러나 오늘의 힛틀러가 있게 함은 獨逸국민의 위대한 단결력의 선물이다. 세계는 流動하는데서 진보를 기대할 수 있는 이상, 獨逸의 戰勝은 반드시 新秩序로의 전환에 박차를 가할 것이다.＜39＞

京城中央放送局 李晶燮

영웅이라 헐 수 있을가 모르겠으나 그가 정치가이고 안이고는 금후의 歐洲新秩序건설운동이 진행됨을 보지안코는 단언하기 어렵습니다. 巴里를 함락한 후에 奈巴崙무덤에 와서 경의를 표하는 것가튼 것은 인간으로 보아 傑作이라 하겠습니다.

永保合名會社重役 李定宰

힛틀러總統은 20世紀가 난 영웅이며 쾌남아입니다. 큼펜뉴의 森林에 진열되여 있는 켈만민족의 숙원인 寢臺車에서 佛제압의 調印을 할 때는 友邦 日本의 우리들은 물론이거니와 누구나 통쾌를 感했을 것임니다. 그는 반드시 최후의 승리를 획득할 것이며 또 그리되기를 빕니다.

朝鮮語學會(獨逸哲學博士) 李克魯

세찬 사람.

辯護士 辛泰嶽

인간으로의 인격상 문제로는 여려가지 논평할 여지도 있으리라고 생각하지마는, 그는 獨逸민족이 나은 不出世의 영웅, 더욱 그 地盤과 土臺, 또 風雲造化를 모다 自作自演하는 실로 천재적 神人이라고 하겠다. 생각컨대 그의 장래는 多端할 것이다.

鮮滿拓殖會社參事 金東進

「힛틀러유겐트」가 獨逸의 중견층이 되기까지는 「힛틀러」獨逸의 안정성을 말함이 早計일가 한다. 그는 巴里입성 벽두에 奈翁墓에 참배하였음이 무엇을 示唆함인가. 凡人은 그 門裏를 추측하기가 어렵다.＜40＞

滿鮮日報編輯局長 洪陽明

貫錄이나 있고 階梯밟아 올너온 舊套依然한 인물들은 큰일을 못한다는 實物교육을 준 점에서 21년전 一伍長이든 힛틀러씨의 금일 劃時代的 성공은 일대 痛快事! 더욱이 그의 광신적인 열정과 스피듸한 돌진력은 천재중의 천재임을 말하는 것.

獨逸醫學搏士 鄭錫泰

一. 獨逸국민으로서는 힛틀러總統이라기보다도 獨逸민족을 死地에서 부활시켰다는 구세주로 인정될 것이다.
二. 世界貧難國(日,獨,伊)과 被壓迫國(印, 支, 南米)등의 活路을 찻는 自覺의 동기를 주는 맹주가 되여 明朗한 世界改造를 보게하고 英, 佛, 米등 自作한 죄악의 벌을 주게하는 역사상 근대의 드문 통쾌한 위인으로 생각이 된다.

國民精神總動員朝鮮聯盟常務理事 鄭僑源

힛틀러氏는 금일까지의 行狀으로는 現代偉人의 一人이라고 함에 躊躇치 안습니다. 그의 희생적 정신을 보든지 실행력을 보든지...그러나 그가 과연 역사상 위인이 될는지 안될는지는 금후를 보아야 알 것입니다. 單히 허영적 패도적 승리에 終始한다면 一種 그 時의 傑物에 不外할 것이요 그의 標榜과 같이 千年事業을 정의로써 능히 완성하면 참으로 역사상 歐洲第一偉人이 될것임니다.

前朝鮮文人協會會長 李光洙

나는 昭和5년경에 힛틀러의 「마인캄프」의 일부를 번역출판하였다.(東光叢書), 그러고 이 全體主義야말로 明白의 세계를 風靡할 것이라고 지적하였다. 한자로 全體主義란 말은＜41＞「東光」에 내가 처음 쓴 말이다. 그때에는 파쇼라는 말은 있엇으나 全體主義란 말은 없엇다.
「民族의 祭典」이라는 영화에 히總統이 올림픽대회 구경하는 쓰냅이 數枚 있었다. 독일선수가 아슬아슬할 때에 두 주먹을 쥐고 조바심하는 것이며, 독일선수가 이긴 때에 기뻐하는 광경 등이엇다. 인간으로의 그의 풍모를 보는 듯 하여서 기뻤다.
그는 가정도 없고 享樂도 없고 오직 애국으로 생활을 삼고 있는 사람이다.

朝鮮日報編輯局長 咸尙勳

一軍曺로부터 투쟁을 통하여 現地位를 획득한 만큼 영웅임에는 틀림없다. 獨逸國民千年의 운명을 걸머지고 나선 총통의 사명은 重且大하다. 「앵글로·싹손」족의 세계제패를 꺽구러트림에 성공할 날을 기대한다. 그러나 「앵글로·싹손」에 대함에 게르만으로, 자본의 대신에 폭력으로 다수약소민족을 억압하는 정치를 한다면 세계인류는 또다시 평화속에 생활할 수 없을 것이다.

大昌鑛業株式會社社長 崔昌學

第二奈翁이 되지안키를 바라고 있는데?

天道敎敎領 李鍾麟

智愚兩面一英雄.

大同鑛業株式會社重役 李晟煥

非常時型의 精力家, 大戰종료후 歐洲聯盟이나 만들고 나면 독일민중으로서는 불필요한 인물.

三千里社社長 金東煥＜42＞
(141頁에 계속)
무엇보다 제 손으로 글쓸 줄 알고 秘書의 초안없이 제 뜻으로 연설하고, 영웅되는 길은 될 수룩 못난 제 얼골을 군중앞에 안보이고서 신격화하는데 비해서 그는 너무도 군중앞에 나서기를 조와하고, 국민을 무서워 防彈쪽기 입는 일도, 防彈유리창을 하여 단 자동차에 앉는 일 없고, 감옥서 중역도 하여보앗고 總大將이 되기전에 一伍長으로 총도 메고, 戰場에도 나가 보앗고, 나라를 위하여 娶妻도 안하였고, 그의 居宅에 美姬美酒가 있단 말을 못드럿고,-이러니 그는 큰사람 진실된 사람같이 인상되나이다.-(完)-＜141＞
＜39-42, 141＞
