Magazine Title: 삼천리 제12권 제8호
Publication Date: 1940년 09월 01일
Article Title: 女性消息 (Women's News)
Article Type: 소식 (News/Updates)

**Women's News**

Ms. Hwang Sin-dŏk (黃信德氏) (Former Tong-A Ilbo Reporter)
Having recently resigned from the Tong-A Ilbo, Ms. Hwang is said to be transitioning from the field of journalism to education and is establishing a home economics girls' school, keeping her very busy with preparations.

Ms. Im Yŏng-sin (任永信氏) (Principal of Central Nursery School)
It was heard that she had been in the United States for a long time raising funds for the school, and the results were good, so she returned safely last month.

Ms. Mo Yun-suk (毛允淑氏) (Poet)
Not only does she write poetry well, but she is also very skilled in speech. Since joining the broadcasting station, her speaking skills have become even more proficient. In the morning, she connects with housewives through cooking lectures, and in the evening, she connects with children through the children's newspaper. Rumor has it that her voice is getting better day by day, making both mothers and children happy.

Namgung Yoanna (南宮요안나) (Wife of Mr. Chŏng Hyŏn-ung 鄭玄雄氏)
They were said to be enjoying their newlywed life set up in Ttuksom, and she gave birth to a precious baby boy a month ago.

Ms. Yi Hyŏn-uk (李現郁氏) (Wife of Mr. Im Hwa 林和氏)
As she is frail, she is recuperating at her parents' home in Masan. It's said that she loves the blue sea, and on fine days, she goes out to the sea and enjoys gathering sea cucumbers, oysters, and clams.

Ms. No Ch'ŏn-myŏng (盧天命氏) (Poet)
Although she has become quite cheerful after visiting her older sister's house in the countryside, during the monsoon, moisture <152> has seeped into her room, making the walls damp. She says she feels frustration just sitting quietly in the room.

Ms. Yi Sŏn-hŭi (李善熙氏) (Novelist)
Her baby has already grown quite big. She is an enthusiast who takes her baby to see movies whenever a good one is showing.

Ms. Son Ch'o-ak (孫初岳氏) (Poet)
She gave birth to a precious baby boy some time ago. Despite the tedious monsoon, both mother and baby are reportedly doing well.

Ms. Im Hyo-jŏng (林孝貞氏) (Former Girls' Commercial School Teacher)
She built a new house on high ground in P'yŏngdong-jŏng (平洞町) and was living comfortably with her daughter, though without her husband. However, during the recent monsoon, the retaining wall collapsed, causing the house to lean to one side, resulting in significant damage.

Ms. Im Chŏng-hŭi (林貞姬氏) (Widow of the late Pak Yong-ch'ŏl 朴龍喆氏)
She collected the manuscripts of her late husband and published a complete collection of his poetry and criticism.

Ms. Kim Su-im (金壽任氏) (Seburansŭ Dental Clinic 世富蘭偲齒科)
After a month of seaside living, her face has become tanned and glossy, and her figure quite plump. With her hair down and a red ribbon tied on top, rumor has it she looks as cute as a child.

Ms. Ch'oe Ok-hŭi (崔玉禧氏) (Hagyessa 學藝社)
She had been recuperating from a chronic illness at a sanatorium outside the city for a long time, but recently she has fully recovered and is active again in company affairs.

Ms. Cho Kyŏng-hŭi (趙敬姬氏) (Chosŏn Ilbo Reporter)
She has recently resigned from the Chosŏn Ilbo and intends to embark on a long journey far away.

Ms. Chŏng Ok-kyŏng (鄭玉卿氏) (Wife of Mr. An Hwa-nam 安懷南氏)
Having previously had two sons, she has now given birth to a daughter as round as the moon.<153>

**Actress Correspondence**

Ms. Chi Kyŏng-sun (池京順氏)
Having spent a long time only in stage life, perhaps with something specific in mind, she has reportedly taken on the role of Kim Yŏng-suk (金英淑) in the first production of Kyŏngsŏng Film Company (京城映畵社), "The Ethics of a Wife" (안해의 倫理).

Ms. Mun Ye-bong (文藝峯氏)
News is that she went to Tokyo on the 28th of last month to appear in films, having signed a contract with Tokyo's Shōchiku Ōfuna Studio (松竹大船).

Ms. Kim Yŏn-sil (金蓮實氏)
She was active in the Hyŏmnŭk Theater Troupe (高協劇團), but a few months ago, <152> she suddenly went down to P'yŏngyang and organized the Kim Yŏn-sil Show. She has currently come up to Seoul (上京) and is delighting fans by singing and dancing on the stage of the Tongyang Theater (東洋劇場).

Ms. Kim So-yŏng (金素英氏)
Having returned from Tokyo, she is scheduled to appear in a new production by Koryŏ Film Company (高麗映畵社).

Ms. Han Ŭn-jin (韓銀珍氏)
As an exclusive actress for Chosŏn Stage (朝鮮舞台), she is currently touring the Kuanbuk (關北) region.

Ms. Pak On-sil (朴溫實氏)
Ms. Pak, who received the honor of being selected as Miss Chosŏn (미쓰朝鮮) for the Korean edition of Modern Japan (모던日本朝鮮版), has now become exclusive to Koryŏ Film Company (高麗映畵社) and is expected to appear on the silver screen in the future.<153>
<152-153>

**Summary**

This article from the September 1940 issue of *Samch'ŏlli* magazine provides short updates on the activities and personal lives of various prominent Korean women, including writers, educators, professionals, and actresses. It covers career changes (journalism to education, joining broadcasting), travel (USA, Japan), personal milestones (births, recuperation from illness), misfortunes (house damage due to monsoon), and cultural activities (publishing manuscripts, film appearances, stage performances). For colonial history, the article offers glimpses into the lives of educated and professional women navigating careers and personal lives under Japanese rule. It highlights their engagement in modern fields like media (newspapers, radio, film), education, and the arts, their mobility (travel abroad and within Korea), and their participation in both traditional and emerging cultural forms, reflecting the social dynamics and cultural landscape of late colonial Korea. The mention of actresses moving between Korean and Japanese film industries (Mun Ye-bong to Shochiku) is particularly notable.

**Named Entities**

黃信德氏	황신덕씨	Hwang Sin-dŏk
잡지명	삼천리 제12권 제8호
발행일	1940년 09월 01일
기사제목	女性消息
기사형태	소식

女性消息
黃信德氏(前東亞日報記者)
이번에 東亞日報를 그만두신 氏는 언론계에서 교육계로 전향하시려고 家政女學校를 창설하신다는데 그 준비에 매우 바쁘시다 한다.

任永信氏(中央保育校長)
오랬동안 米國 가 게시면서 學校기금을 모집하는 중이시라드니 결과가 좋와서 지난 달에 무사히 귀국하섰다고.

毛允淑氏(詩人)
詩도 잘 쓰시려니와 言辯에도 매우 能熟하시다. 방송국에 취임하신 이래, 말솜씨가 더 能熟해저서 아츰이면 요리강좌로 가정주부들과 친하고 저녁이면 어린이신문을 통해서, 어린이들과 친하시는데 날마다 목소리도 더 곻와지고 해서 어머니와 애기들이 다 좋와 한다는 소문.

南宮요안나(鄭玄雄氏夫人)
뚝섬에 신혼살림을 꾸미고 재밋게 재밋게 사신다드니 한달 전에 옥동자를 나으섰다고.

李現郁氏(林和氏夫人)
몸이 약하시여, 馬山 친정댁에서 靜養 중이신데 푸른 바다가 좋와서 날세가 좋은 날이면 바다에 나가 해삼과 굴과 조개잡이에, 재미를 부치섰다고.

盧天命氏(詩人)
시골 언니 집에 다녀온 뒤로 아주 명랑하시긴 하나 장마통에 방에 습기가＜152＞ 돌고 벽이 눅어들어와서 방에 가만이 앉아 있으면 울화증이 생긴다고.

李善熙氏(小說家)
애기가 벌써 크다래젔다. 좋은 영화가 상영된다면 애기를 안고 영화구경을 다니시는 정열가.

孫初岳氏(詩人)
얼마 전에 옥동자를 낳으셨다. 지리한 장마에도 애기와 어머님이 다 평안하시단다.

林孝貞氏(前女商敎諭)
平洞町 높은 지대에 새 집을 지으시고 夫君 없는 살림이나 따님과 安樂하게 지내시드니 이번 장마에 축대가 문허지며 집이 한족으로 쓰러져 大損害를 보셨다 한다.

林貞姬氏(故朴龍喆氏未亡人)
돌아가신 夫君의 遺稿를 蒐集하시여 詩와 평론 전집을 발간하셨다.

金壽任氏(世富蘭偲齒科)
한달 동안의 바다생활에서 얼굴이 깜앟게 윤끼나고 몸집이 아주 똥똥해지신 중에, 머리를 내리고 그 우에 또 빨강리봉을 매시여서, 애기같이 귀여워젔다는 소문이 있다.

崔玉禧氏(學藝社)
오랫동안 身病으로 시외 요양원에서 靜養 중이시든 바 요새는 쾌차하서서 다시 社務에 활약하신다고.

趙敬姬氏(朝鮮日報記者)
이번에 朝鮮日報를 그만 두시고 멀리 멀리 여행을 떠나시겠다고.

鄭玉卿氏(安懷南氏夫人)
위로 아드님 두분 두시드니 이번엔 달덩이같은 따님을 나으셨단다.＜153＞

女優通信
池京順氏
오랬동안 무대생활만 하시드니 무슨 뜻한 바가 있었든지 京城映畵社 제1회작품 「안해의 倫理」에 金英淑 役을 맡어 하기로 되셨다 한다.

文藝峯氏
東京 松竹大船와 결탁되여 영화에 출연하고저 지난 28일 渡東하셨다는 소식.

金蓮實氏
高協劇團에서 활약하시드니 몇 달 전＜152＞ 홀연히 平壤에 내려가서 金蓮實쇼-를 조직하였는데 방금 上京하여 東洋劇場 무대에서 노래를 부르고 춤을 추어서 팬들을 기쁘게 하신단다.

金素英氏
東京갔다 돌아와서 高麗映畵社 신작품에 출연할 예정이시란다.

韓銀珍氏
朝鮮舞台 專屬배우로 방금 關北지방 순회중이시다.

朴溫實氏
모던日本朝鮮版에 미쓰朝鮮으로 당당히 李選의 光榮을 바든 氏는 이번 高麗映畵社에 專屬이 되여 앞으로 銀幕에 나타나시리라 한다.＜153＞
＜152-153＞
